1c#app#app13#app1340/f  -0.219 0.809  -0.219 0.551  -0.219 0.293  -0.195 0.045  -0.071 -0.161  -0.071 -0.419  -0.071 -0.677  -0.071 -0.935  -0.071 -1.193  -0.071 -1.451  -0.071 -1.709  -0.150 -1.776  -0.219 -1.547  -0.219 -1.289  -0.219 -1.031  -0.356 -0.830  -0.367 -0.577  -0.367 -0.319  -0.354 -0.066  -0.219 0.136  -0.219 0.394  -0.219 0.651  -0.219 0.909  -0.175 1.149  -0.071 1.364  0.002 1.549  0.260 1.549  0.475 1.446  0.694 1.314  0.902 1.167  1.134 1.105  1.261 0.974  1.066 0.814  0.858 0.662  0.650 0.509  0.443 0.357  0.235 0.204  0.027 0.052  -0.181 -0.101  -0.389 -0.253  -0.597 -0.406  -0.805 -0.558  -0.912 -0.624  -0.696 -0.523  -0.462 -0.422  -0.363 -0.227  -0.105 -0.227  0.153 -0.227  0.411 -0.227  0.669 -0.227
1c#app#app13#app1340/a  0.310 0.693  0.310 0.854  0.310 1.016  0.290 1.157  0.129 1.157  -0.032 1.157  -0.154 1.117  -0.154 0.956  -0.285 0.925  -0.428 0.883  -0.543 0.769  -0.657 0.654  -0.771 0.540  -0.850 0.412  -0.850 0.250  -0.949 0.130  -1.063 0.016  -1.083 -0.138  -1.083 -0.299  -1.083 -0.461  -1.083 -0.622  -1.083 -0.784  -1.070 -0.932  -0.909 -0.932  -0.747 -0.932  -0.586 -0.932  -0.424 -0.932  -0.263 -0.932  -0.117 -0.895  -0.003 -0.781  0.078 -0.653  0.078 -0.492  0.216 -0.468  0.358 -0.421  0.472 -0.306  0.604 -0.236  0.766 -0.236  0.775 -0.084  0.775 0.078  0.786 0.228  0.947 0.228  1.007 0.330  1.007 0.430  1.007 0.268  1.007 0.107  1.007 -0.054  1.007 -0.216  1.007 -0.377  1.007 -0.539  1.007 -0.700
1c#app#app13#app1340/i  0.000 -0.991  0.000 -1.067  0.000 -1.142  0.000 -1.218  0.000 -1.293  0.000 -1.369  0.000 -1.444  0.000 -1.388  0.000 -1.312  0.000 -1.237  0.000 -1.161  0.000 -1.086  0.000 -1.010  0.000 -0.935  0.000 -0.859  0.000 -0.784  0.000 -0.708  0.000 -0.632  0.000 -0.557  0.000 -0.481  0.000 -0.406  0.000 -0.330  0.000 -0.255  0.000 -0.179  0.000 -0.104  0.000 -0.028  0.000 0.047  0.000 0.123  0.000 0.198  0.000 0.274  0.000 0.349  0.000 0.425  0.000 0.500  0.000 0.576  0.000 0.651  0.000 0.727  0.000 0.802  0.000 0.878  0.000 0.953  0.000 1.029  0.000 1.105  0.000 1.180  0.000 1.256  0.000 1.331  0.000 1.407  0.000 1.482  0.000 1.558  0.000 1.633  0.000 1.709  0.000 1.784
1c#app#app13#app1340/l  -0.239 1.535  -0.239 1.462  -0.239 1.390  -0.239 1.318  -0.223 1.262  -0.150 1.262  -0.078 1.262  -0.005 1.262  0.034 1.229  0.034 1.156  0.034 1.084  0.034 1.011  0.034 0.939  0.034 0.866  0.034 0.794  0.034 0.722  0.034 0.649  0.034 0.577  0.034 0.504  0.034 0.432  0.034 0.360  0.034 0.287  0.034 0.215  0.034 0.142  0.034 0.070  0.034 -0.003  0.034 -0.075  0.034 -0.147  0.034 -0.220  0.034 -0.292  0.034 -0.365  0.034 -0.437  0.034 -0.509  0.034 -0.582  0.034 -0.654  0.034 -0.727  0.034 -0.799  0.034 -0.872  0.034 -0.944  0.034 -1.016  0.034 -1.089  0.034 -1.161  0.034 -1.234  0.034 -1.306  0.034 -1.378  0.034 -1.451  0.034 -1.523  0.034 -1.596  0.034 -1.668  0.034 -1.741
1c#app#app13#app1340/e  -0.912 -0.334  -0.912 -0.493  -0.912 -0.651  -0.788 -0.686  -0.629 -0.686  -0.471 -0.686  -0.312 -0.686  -0.154 -0.686  0.005 -0.686  0.158 -0.673  0.270 -0.560  0.382 -0.448  0.494 -0.336  0.606 -0.224  0.719 -0.112  0.831 0.000  0.849 0.151  0.849 0.310  0.849 0.468  0.849 0.627  0.849 0.786  0.849 0.944  0.828 1.094  0.716 1.206  0.604 1.319  0.490 1.426  0.332 1.426  0.173 1.426  0.145 1.296  0.145 1.138  0.077 1.007  -0.035 0.895  -0.147 0.783  -0.207 0.649  -0.207 0.491  -0.207 0.332  -0.207 0.173  -0.210 0.016  -0.322 -0.096  -0.434 -0.208  -0.546 -0.321  -0.559 -0.474  -0.559 -0.632  -0.559 -0.791  -0.559 -0.949  -0.559 -1.108  -0.559 -1.266  -0.525 -1.390  -0.366 -1.390  -0.207 -1.390
1c#app#app13#app1340/d  -0.601 -0.133  -0.614 0.027  -0.760 0.000  -0.760 -0.172  -0.760 -0.345  -0.827 -0.452  -0.920 -0.531  -0.920 -0.704  -0.920 -0.876  -0.835 -1.014  -0.760 -1.156  -0.681 -1.249  -0.508 -1.249  -0.335 -1.249  -0.163 -1.249  -0.122 -1.116  -0.019 -0.986  0.037 -0.837  0.037 -0.664  0.122 -0.526  0.196 -0.385  0.196 -0.212  0.196 -0.039  0.272 0.102  0.356 0.240  0.356 0.413  0.356 0.585  0.356 0.758  0.356 0.931  0.356 1.103  0.356 1.276  0.356 1.449  0.356 1.622  0.356 1.767  0.356 1.594  0.356 1.422  0.356 1.249  0.356 1.076  0.356 0.904  0.356 0.731  0.356 0.558  0.356 0.386  0.356 0.213  0.356 0.040  0.356 -0.132  0.356 -0.305  0.356 -0.478  0.356 -0.651  0.393 -0.808  0.515 -0.930
1c#app#app13#app1340/w  -1.100 0.635  -1.100 0.733  -1.100 0.596  -1.100 0.458  -1.100 0.320  -1.100 0.183  -1.100 0.045  -1.039 -0.078  -0.982 -0.203  -0.982 -0.340  -0.982 -0.478  -0.982 -0.616  -0.982 -0.753  -0.906 -0.860  -0.786 -0.902  -0.648 -0.902  -0.575 -0.797  -0.514 -0.674  -0.387 -0.657  -0.325 -0.533  -0.273 -0.408  -0.244 -0.282  -0.155 -0.182  -0.133 -0.053  -0.036 0.045  -0.022 0.177  0.076 0.274  0.092 0.398  0.200 0.368  0.200 0.230  0.200 0.093  0.289 0.044  0.318 -0.065  0.325 -0.199  0.422 -0.297  0.554 -0.311  0.686 -0.297  0.784 -0.200  0.909 -0.184  0.909 -0.046  0.943 0.078  1.041 0.175  1.138 0.273  1.235 0.370  1.264 0.496  1.316 0.621  1.378 0.744  1.389 0.878  1.486 0.976  1.500 1.108
1c#app#app13#app1340/i  -0.180 0.675  -0.180 0.555  -0.180 0.435  -0.180 0.314  -0.180 0.194  -0.180 0.074  -0.180 -0.047  -0.180 -0.167  -0.180 -0.287  -0.180 -0.408  -0.180 -0.528  -0.180 -0.648  -0.180 -0.769  -0.180 -0.889  -0.180 -1.009  -0.180 -1.130  -0.180 -1.250  -0.180 -1.370  -0.174 -1.485  -0.054 -1.485  0.019 -1.435  0.026 -1.314  0.032 -1.194  0.039 -1.074  0.046 -0.954  0.052 -0.834  0.059 -0.714  0.066 -0.594  0.072 -0.473  0.079 -0.353  0.086 -0.233  0.092 -0.113  0.099 0.007  0.106 0.127  0.112 0.247  0.119 0.368  0.126 0.488  0.132 0.608  0.139 0.728  0.146 0.848  0.152 0.968  0.159 1.089  0.166 1.209  0.172 1.329  0.179 1.449  0.186 1.569  0.192 1.689  0.199 1.809  0.206 1.930  0.213 2.050
1c#app#app13#app1340/z  -0.945 1.052  -1.102 1.052  -1.167 0.960  -1.140 0.830  -0.983 0.830  -0.826 0.830  -0.669 0.830  -0.512 0.830  -0.355 0.830  -0.197 0.830  -0.040 0.830  0.117 0.830  0.274 0.830  0.431 0.830  0.588 0.830  0.610 0.694  0.539 0.608  0.384 0.604  0.273 0.493  0.165 0.380  0.165 0.223  0.068 0.164  -0.080 0.141  -0.191 0.030  -0.279 -0.091  -0.279 -0.248  -0.403 -0.281  -0.501 -0.340  -0.501 -0.497  -0.652 -0.503  -0.723 -0.589  -0.723 -0.746  -0.723 -0.903  -0.609 -0.947  -0.452 -0.947  -0.295 -0.947  -0.138 -0.947  -0.003 -0.893  0.108 -0.782  0.241 -0.725  0.398 -0.725  0.555 -0.725  0.712 -0.725  0.858 -0.698  0.969 -0.587  1.092 -0.503  1.249 -0.503  1.406 -0.503  1.563 -0.503  1.720 -0.503
1c#app#app13#app1340/a  0.430 0.945  0.309 0.945  0.188 0.945  0.137 1.015  0.137 1.137  0.118 1.239  -0.004 1.239  -0.125 1.239  -0.220 1.175  -0.305 1.090  -0.391 1.004  -0.477 0.918  -0.563 0.833  -0.648 0.747  -0.734 0.661  -0.743 0.544  -0.743 0.423  -0.743 0.301  -0.743 0.180  -0.743 0.059  -0.743 -0.062  -0.743 -0.183  -0.743 -0.305  -0.743 -0.426  -0.743 -0.547  -0.743 -0.668  -0.743 -0.789  -0.648 -0.815  -0.526 -0.815  -0.405 -0.815  -0.284 -0.815  -0.163 -0.815  -0.042 -0.815  0.080 -0.815  0.201 -0.815  0.322 -0.815  0.443 -0.815  0.564 -0.815  0.685 -0.815  0.724 -0.732  0.724 -0.611  0.756 -0.522  0.877 -0.522  0.998 -0.522  1.017 -0.419  1.017 -0.298  1.053 -0.192  1.139 -0.106  1.225 -0.021  1.310 0.065
1c#app#app13#app1340/r  -0.689 0.330  -0.689 0.224  -0.689 0.117  -0.689 0.011  -0.689 -0.096  -0.689 -0.202  -0.689 -0.309  -0.689 -0.415  -0.689 -0.522  -0.689 -0.628  -0.689 -0.734  -0.689 -0.841  -0.689 -0.947  -0.689 -1.054  -0.664 -1.135  -0.557 -1.135  -0.451 -1.135  -0.344 -1.135  -0.323 -1.050  -0.323 -0.944  -0.323 -0.837  -0.296 -0.742  -0.221 -0.666  -0.145 -0.591  -0.070 -0.516  0.005 -0.441  0.080 -0.365  0.156 -0.290  0.231 -0.215  0.306 -0.140  0.381 -0.064  0.410 0.031  0.410 0.137  0.410 0.243  0.410 0.350  0.410 0.456  0.410 0.563  0.410 0.669  0.466 0.752  0.541 0.828  0.616 0.903  0.692 0.978  0.767 1.054  0.776 1.156  0.776 1.263  0.776 1.369  0.823 1.429  0.929 1.429  1.036 1.429  1.142 1.429
