1c#tos#t3#t3050062/b  -1.509 -0.040  -1.311 0.005  -1.099 0.024  -0.887 0.063  -0.676 0.104  -0.474 0.170  -0.302 0.297  -0.112 0.396  0.087 0.480  0.240 0.633  0.390 0.788  0.537 0.932  0.591 1.125  0.591 1.342  0.500 1.497  0.289 1.464  0.158 1.320  0.032 1.144  -0.117 1.002  -0.246 0.837  -0.359 0.669  -0.382 0.456  -0.475 0.278  -0.587 0.108  -0.597 -0.106  -0.690 -0.294  -0.690 -0.510  -0.690 -0.727  -0.690 -0.943  -0.670 -1.155  -0.516 -1.257  -0.339 -1.321  -0.129 -1.296  0.069 -1.218  0.217 -1.088  0.394 -0.989  0.509 -0.839  0.591 -0.657  0.642 -0.491  0.621 -0.296  0.522 -0.133  0.315 -0.091  0.099 -0.091  0.275 -0.091  0.449 -0.194  0.663 -0.204  0.870 -0.245  1.084 -0.266  1.297 -0.296  1.513 -0.296
1c#tos#t3#t3050062/f  -0.654 0.645  -0.465 0.645  -0.277 0.652  -0.103 0.723  0.072 0.794  0.238 0.878  0.372 1.011  0.534 1.108  0.629 1.266  0.664 1.422  0.598 1.583  0.431 1.583  0.316 1.469  0.199 1.331  0.094 1.174  0.018 1.001  -0.075 0.838  -0.119 0.656  -0.191 0.483  -0.265 0.310  -0.304 0.126  -0.376 -0.048  -0.427 -0.230  -0.464 -0.415  -0.512 -0.598  -0.555 -0.778  -0.569 -0.964  -0.621 -1.141  -0.621 -1.330  -0.601 -1.507  -0.417 -1.530  -0.244 -1.476  -0.108 -1.346  0.026 -1.212  0.141 -1.065  0.236 -0.927  0.302 -0.765  0.273 -0.583  0.185 -0.433  0.041 -0.313  -0.101 -0.212  -0.290 -0.212  -0.276 -0.277  -0.095 -0.310  0.089 -0.343  0.278 -0.343  0.467 -0.343  0.656 -0.343  0.845 -0.343  1.027 -0.310
1c#tos#t3#t3050062/h  -0.918 0.249  -0.945 0.230  -0.788 0.263  -0.614 0.316  -0.443 0.383  -0.275 0.438  -0.115 0.533  0.052 0.616  0.217 0.702  0.377 0.799  0.534 0.897  0.656 1.020  0.561 1.147  0.386 1.189  0.217 1.253  0.039 1.287  -0.107 1.220  -0.202 1.088  -0.274 0.926  -0.354 0.763  -0.399 0.582  -0.482 0.418  -0.519 0.235  -0.550 0.052  -0.614 -0.115  -0.717 -0.267  -0.738 -0.451  -0.794 -0.628  -0.817 -0.812  -0.851 -0.990  -0.718 -0.875  -0.590 -0.743  -0.465 -0.611  -0.334 -0.483  -0.190 -0.388  -0.076 -0.287  0.037 -0.237  0.136 -0.385  0.202 -0.550  0.271 -0.723  0.404 -0.848  0.492 -0.994  0.638 -1.091  0.825 -1.090  0.980 -0.987  1.122 -0.867  1.257 -0.742  1.375 -0.598  1.516 -0.492  1.594 -0.354
1c#tos#t3#t3050062/j  -0.134 1.495  0.010 1.489  0.117 1.447  0.267 1.447  0.233 1.347  0.153 1.221  0.072 1.095  -0.009 0.970  -0.090 0.844  -0.134 0.707  -0.086 0.578  -0.086 0.428  -0.086 0.279  -0.086 0.129  -0.086 -0.020  -0.086 -0.169  -0.086 -0.319  -0.086 -0.468  -0.130 -0.607  -0.182 -0.736  -0.261 -0.806  -0.326 -0.928  -0.397 -1.033  -0.508 -1.132  -0.626 -1.220  -0.771 -1.238  -0.921 -1.238  -0.997 -1.164  -0.922 -1.041  -0.855 -0.907  -0.737 -0.824  -0.652 -0.701  -0.546 -0.595  -0.433 -0.500  -0.299 -0.433  -0.208 -0.318  -0.110 -0.207  -0.004 -0.101  0.121 -0.020  0.250 0.057  0.391 0.104  0.516 0.186  0.636 0.275  0.763 0.344  0.873 0.384  1.014 0.392  1.163 0.392  1.313 0.392  1.458 0.382  1.592 0.344
1c#tos#t3#t3050062/k  -0.133 1.303  -0.122 1.385  -0.301 1.133  -0.479 0.880  -0.657 0.628  -0.835 0.375  -1.014 0.123  -1.151 -0.114  -0.903 -0.055  -0.624 0.048  -0.371 0.219  -0.135 0.410  0.102 0.605  0.320 0.817  0.501 1.044  0.390 1.289  0.172 1.388  -0.091 1.390  -0.252 1.189  -0.303 0.892  -0.345 0.588  -0.473 0.322  -0.505 0.018  -0.557 -0.286  -0.557 -0.595  -0.598 -0.897  -0.600 -1.206  -0.557 -1.473  -0.436 -1.472  -0.250 -1.269  -0.060 -1.027  0.105 -0.766  0.270 -0.506  0.431 -0.242  0.625 -0.016  0.805 0.235  1.042 0.400  1.055 0.120  0.921 -0.110  0.748 -0.361  0.510 -0.556  0.234 -0.691  -0.048 -0.664  -0.091 -0.365  0.120 -0.267  0.349 -0.433  0.610 -0.586  0.812 -0.780  1.062 -0.949  1.267 -1.115
1c#tos#t3#t3050062/n  -0.755 0.810  -0.842 0.807  -0.842 0.662  -0.842 0.517  -0.842 0.372  -0.842 0.227  -0.870 0.086  -0.886 -0.057  -0.886 -0.202  -0.886 -0.347  -0.896 -0.490  -0.930 -0.630  -0.930 -0.775  -0.882 -0.718  -0.793 -0.605  -0.721 -0.480  -0.711 -0.337  -0.668 -0.199  -0.604 -0.069  -0.551 0.065  -0.482 0.191  -0.421 0.322  -0.405 0.464  -0.361 0.591  -0.317 0.717  -0.231 0.810  -0.174 0.897  -0.049 0.849  0.061 0.766  0.151 0.662  0.164 0.520  0.256 0.416  0.367 0.361  0.383 0.220  0.418 0.083  0.497 -0.039  0.565 -0.166  0.621 -0.299  0.676 -0.433  0.771 -0.541  0.865 -0.620  0.952 -0.715  1.091 -0.722  1.235 -0.722  1.345 -0.635  1.447 -0.533  1.549 -0.430  1.630 -0.313  1.747 -0.229  1.827 -0.109
1c#tos#t3#t3050062/q  0.507 1.027  0.507 1.264  0.468 1.462  0.292 1.549  0.067 1.501  -0.109 1.342  -0.302 1.204  -0.442 1.018  -0.573 0.821  -0.668 0.622  -0.653 0.388  -0.451 0.331  -0.214 0.331  -0.013 0.420  0.155 0.588  0.326 0.722  0.420 0.866  0.279 0.886  0.137 0.721  -0.015 0.559  -0.093 0.345  -0.246 0.167  -0.344 -0.048  -0.492 -0.233  -0.591 -0.448  -0.668 -0.671  -0.790 -0.874  -0.799 -1.109  -0.782 -1.340  -0.668 -1.541  -0.449 -1.584  -0.230 -1.524  -0.038 -1.384  0.068 -1.177  0.206 -0.984  0.381 -0.831  0.420 -0.600  0.420 -0.362  0.302 -0.192  0.075 -0.148  -0.161 -0.153  -0.363 -0.221  -0.151 -0.279  0.051 -0.366  0.288 -0.366  0.525 -0.366  0.763 -0.366  1.000 -0.366  1.227 -0.322  1.421 -0.279
1c#tos#t3#t3050062/s  -1.249 -0.454  -1.279 -0.602  -1.308 -0.750  -1.313 -0.773  -1.178 -0.751  -1.130 -0.608  -1.034 -0.494  -0.927 -0.387  -0.820 -0.280  -0.713 -0.174  -0.606 -0.067  -0.507 0.046  -0.416 0.167  -0.320 0.284  -0.216 0.393  -0.132 0.519  -0.048 0.644  0.034 0.771  0.107 0.902  0.214 1.009  0.321 1.116  0.412 1.230  0.458 1.335  0.589 1.286  0.667 1.167  0.667 1.016  0.690 0.888  0.795 0.842  0.797 0.691  0.845 0.547  0.859 0.398  0.859 0.247  0.859 0.096  0.859 -0.055  0.859 -0.206  0.859 -0.357  0.753 -0.443  0.731 -0.581  0.648 -0.707  0.533 -0.773  0.434 -0.858  0.309 -0.901  0.158 -0.901  0.007 -0.901  -0.131 -0.869  -0.258 -0.790  -0.365 -0.688  -0.419 -0.549  -0.472 -0.411  -0.482 -0.262
1c#tos#t3#t3050062/t  -1.287 -0.787  -1.074 -0.681  -0.861 -0.504  -0.657 -0.317  -0.521 -0.075  -0.332 0.128  -0.156 0.343  0.021 0.554  0.145 0.803  0.252 1.038  0.358 1.210  0.324 1.474  0.065 1.466  -0.013 1.221  -0.147 0.988  -0.226 0.743  -0.231 0.465  -0.279 0.193  -0.279 -0.086  -0.279 -0.364  -0.279 -0.642  -0.270 -0.919  -0.226 -1.190  -0.038 -1.385  0.165 -1.530  0.444 -1.530  0.662 -1.385  0.828 -1.166  0.979 -0.941  1.075 -0.680  1.179 -0.459  0.918 -0.364  0.656 -0.269  0.395 -0.174  0.133 -0.079  -0.128 0.016  -0.390 0.111  -0.651 0.206  -0.913 0.302  -1.177 0.380  -1.064 0.327  -0.786 0.327  -0.508 0.327  -0.230 0.327  0.048 0.329  0.320 0.380  0.598 0.393  0.871 0.442  1.143 0.499  1.419 0.539
1c#tos#t3#t3050062/u  -0.994 0.649  -0.969 0.649  -1.050 0.537  -1.081 0.395  -1.136 0.262  -1.168 0.122  -1.255 0.027  -1.255 -0.123  -1.255 -0.273  -1.255 -0.422  -1.215 -0.563  -1.070 -0.570  -0.920 -0.570  -0.771 -0.567  -0.647 -0.484  -0.541 -0.378  -0.452 -0.258  -0.343 -0.158  -0.253 -0.054  -0.183 0.067  -0.096 0.188  -0.026 0.320  0.041 0.454  0.154 0.543  0.226 0.671  0.291 0.780  0.226 0.739  0.160 0.605  0.066 0.490  0.051 0.347  0.051 0.197  0.051 0.047  0.051 -0.102  0.051 -0.252  0.056 -0.400  0.137 -0.523  0.285 -0.526  0.434 -0.526  0.575 -0.496  0.704 -0.422  0.843 -0.366  0.975 -0.297  1.105 -0.223  1.236 -0.151  1.370 -0.084  1.502 -0.014  1.632 0.060  1.762 0.135  1.886 0.218  2.011 0.301
1c#tos#t3#t3050062/v  -1.054 0.330  -1.054 0.484  -1.001 0.616  -0.886 0.717  -0.742 0.760  -0.594 0.796  -0.440 0.796  -0.286 0.796  -0.187 0.712  -0.169 0.570  -0.169 0.416  -0.250 0.296  -0.358 0.186  -0.443 0.058  -0.541 -0.056  -0.594 -0.188  -0.695 -0.303  -0.772 -0.435  -0.821 -0.574  -0.861 -0.722  -0.868 -0.875  -0.862 -1.026  -0.818 -1.160  -0.664 -1.160  -0.510 -1.160  -0.356 -1.160  -0.214 -1.112  -0.105 -1.004  0.018 -0.912  0.142 -0.822  0.261 -0.725  0.347 -0.598  0.456 -0.489  0.535 -0.359  0.596 -0.218  0.671 -0.088  0.763 0.028  0.763 0.182  0.764 0.335  0.801 0.485  0.809 0.638  0.809 0.791  0.716 0.833  0.763 0.726  0.856 0.665  0.944 0.563  1.098 0.563  1.249 0.586  1.401 0.610  1.555 0.610
