1c#apa#apa13#app1310/b  -0.348 2.142  -0.348 1.985  -0.348 1.828  -0.313 1.685  -0.263 1.549  -0.263 1.392  -0.263 1.234  -0.228 1.092  -0.179 0.955  -0.179 0.798  -0.179 0.641  -0.179 0.484  -0.179 0.327  -0.206 0.173  -0.244 0.020  -0.263 -0.134  -0.263 -0.291  -0.263 -0.449  -0.348 -0.571  -0.348 -0.728  -0.281 -0.819  -0.283 -0.681  -0.305 -0.526  -0.327 -0.370  -0.349 -0.215  -0.372 -0.059  -0.394 0.096  -0.416 0.252  -0.390 0.366  -0.233 0.366  -0.106 0.293  0.030 0.242  0.083 0.108  0.224 0.038  0.339 -0.067  0.450 -0.178  0.561 -0.290  0.697 -0.341  0.808 -0.452  0.919 -0.563  0.921 -0.719  0.863 -0.819  0.744 -0.911  0.646 -1.031  0.567 -1.157  0.411 -1.160  0.292 -1.260  0.153 -1.333  0.042 -1.444  -0.094 -1.495
1c#apa#apa13#app1310/i  0.156 1.236  0.156 1.103  0.156 0.969  0.156 0.836  0.156 0.703  0.156 0.569  0.156 0.436  0.156 0.302  0.156 0.169  0.156 0.035  0.156 -0.098  0.156 -0.232  0.156 -0.365  0.156 -0.498  0.156 -0.632  0.156 -0.765  0.156 -0.899  0.178 -1.023  0.272 -1.118  0.360 -1.215  0.360 -1.348  0.360 -1.482  0.359 -1.610  0.321 -1.482  0.284 -1.354  0.246 -1.226  0.208 -1.098  0.171 -0.970  0.133 -0.842  0.095 -0.714  0.058 -0.586  0.020 -0.458  -0.018 -0.330  -0.055 -0.202  -0.093 -0.074  -0.131 0.054  -0.168 0.182  -0.206 0.311  -0.244 0.439  -0.281 0.567  -0.319 0.695  -0.357 0.823  -0.394 0.951  -0.432 1.079  -0.469 1.207  -0.507 1.335  -0.545 1.463  -0.582 1.591  -0.620 1.719  -0.658 1.847
1c#apa#apa13#app1310/g  0.257 0.816  0.257 0.981  0.257 1.146  0.253 1.310  0.120 1.387  -0.045 1.387  -0.177 1.305  -0.310 1.228  -0.415 1.103  -0.492 0.957  -0.583 0.820  -0.640 0.672  -0.640 0.507  -0.640 0.342  -0.640 0.177  -0.640 0.012  -0.568 -0.081  -0.403 -0.081  -0.241 -0.057  -0.085 -0.004  0.036 0.106  0.153 0.223  0.269 0.339  0.369 0.469  0.420 0.621  0.368 0.735  0.219 0.697  0.153 0.572  0.077 0.473  0.012 0.335  0.066 0.192  0.125 0.051  0.217 -0.083  0.311 -0.216  0.370 -0.357  0.429 -0.498  0.502 -0.633  0.605 -0.755  0.665 -0.895  0.665 -1.060  0.581 -1.143  0.449 -1.222  0.318 -1.304  0.155 -1.314  0.008 -1.389  -0.123 -1.480  -0.283 -1.520  -0.444 -1.549  -0.596 -1.608  -0.722 -1.712
1c#apa#apa13#app1310/i  -0.112 0.405  -0.111 0.288  0.004 0.286  0.006 0.169  0.058 0.064  0.111 -0.042  0.121 -0.157  0.121 -0.275  0.121 -0.392  0.121 -0.510  0.121 -0.628  0.121 -0.746  0.121 -0.863  0.121 -0.981  0.121 -1.099  0.121 -1.216  0.196 -1.303  0.237 -1.403  0.298 -1.461  0.340 -1.401  0.313 -1.286  0.287 -1.172  0.260 -1.057  0.233 -0.943  0.206 -0.828  0.180 -0.713  0.153 -0.599  0.126 -0.484  0.099 -0.369  0.073 -0.255  0.046 -0.140  0.019 -0.026  -0.008 0.089  -0.034 0.204  -0.061 0.318  -0.088 0.433  -0.115 0.547  -0.141 0.662  -0.168 0.777  -0.195 0.891  -0.222 1.006  -0.248 1.121  -0.275 1.235  -0.302 1.350  -0.329 1.464  -0.355 1.579  -0.382 1.694  -0.409 1.808  -0.436 1.923  -0.462 2.037
1c#apa#apa13#app1310/n  -1.082 0.683  -1.082 0.545  -1.082 0.407  -1.082 0.269  -1.062 0.139  -0.964 0.041  -0.951 -0.092  -0.951 -0.230  -0.951 -0.368  -0.951 -0.506  -0.939 -0.640  -0.842 -0.737  -0.819 -0.866  -0.706 -0.891  -0.568 -0.891  -0.557 -0.763  -0.555 -0.625  -0.494 -0.502  -0.432 -0.378  -0.426 -0.241  -0.425 -0.103  -0.328 -0.006  -0.230 0.092  -0.164 0.203  -0.164 0.341  -0.122 0.462  -0.032 0.563  -0.020 0.696  0.078 0.794  0.099 0.923  0.215 0.945  0.353 0.945  0.491 0.945  0.492 0.809  0.501 0.674  0.599 0.576  0.623 0.448  0.702 0.343  0.799 0.245  0.886 0.142  0.886 0.004  0.907 -0.125  1.005 -0.223  1.017 -0.356  1.107 -0.457  1.205 -0.554  1.313 -0.629  1.451 -0.629  1.575 -0.662  1.673 -0.760
1c#apa#apa13#app1310/k  -0.725 1.797  -0.725 1.971  -0.725 1.801  -0.689 1.636  -0.637 1.475  -0.637 1.301  -0.637 1.127  -0.637 0.954  -0.576 0.795  -0.549 0.627  -0.549 0.453  -0.549 0.280  -0.549 0.106  -0.549 -0.068  -0.539 -0.237  -0.461 -0.379  -0.418 -0.534  -0.295 -0.657  -0.229 -0.711  -0.091 -0.605  0.047 -0.500  0.184 -0.394  0.322 -0.288  0.460 -0.182  0.597 -0.076  0.735 0.030  0.859 0.143  0.755 0.213  0.581 0.213  0.408 0.213  0.235 0.209  0.079 0.131  -0.076 0.054  -0.206 -0.059  -0.329 -0.182  -0.451 -0.305  -0.461 -0.475  -0.461 -0.648  -0.323 -0.736  -0.154 -0.755  0.020 -0.755  0.194 -0.755  0.367 -0.755  0.541 -0.755  0.715 -0.755  0.889 -0.755  1.062 -0.755  1.233 -0.766  1.389 -0.843  1.563 -0.843
1c#apa#apa13#app1310/y  1.265 1.145  1.196 1.052  1.080 0.952  1.038 0.804  0.948 0.669  0.848 0.543  0.734 0.429  0.620 0.315  0.513 0.196  0.441 0.051  0.353 -0.084  0.264 -0.219  0.154 -0.336  0.048 -0.457  -0.024 -0.601  -0.077 -0.754  -0.135 -0.902  -0.249 -1.017  -0.342 -1.146  -0.424 -1.284  -0.491 -1.417  -0.552 -1.564  -0.581 -1.538  -0.575 -1.376  -0.570 -1.215  -0.564 -1.053  -0.559 -0.892  -0.554 -0.731  -0.548 -0.569  -0.543 -0.408  -0.537 -0.247  -0.532 -0.085  -0.527 0.076  -0.521 0.238  -0.516 0.399  -0.511 0.560  -0.505 0.722  -0.500 0.883  -0.494 1.044  -0.430 1.145  -0.279 1.118  -0.145 1.052  -0.024 0.955  0.090 0.841  0.204 0.726  0.319 0.612  0.399 0.474  0.518 0.405  0.569 0.269  0.710 0.220
1c#apa#apa13#app1310/d  0.318 1.946  0.318 1.962  0.318 1.789  0.318 1.617  0.318 1.444  0.318 1.272  0.318 1.099  0.318 0.927  0.318 0.754  0.318 0.582  0.318 0.409  0.318 0.236  0.318 0.064  0.373 -0.100  0.413 -0.266  0.413 -0.439  0.489 -0.579  0.507 -0.745  0.601 -0.747  0.601 -0.575  0.601 -0.402  0.541 -0.254  0.486 -0.105  0.364 0.017  0.270 0.160  0.161 0.283  0.007 0.360  -0.148 0.437  -0.320 0.439  -0.475 0.399  -0.616 0.302  -0.759 0.210  -0.881 0.088  -0.967 -0.060  -1.044 -0.215  -1.094 -0.375  -1.094 -0.548  -1.094 -0.720  -0.990 -0.795  -0.868 -0.917  -0.719 -0.973  -0.547 -0.973  -0.374 -0.973  -0.202 -0.973  -0.042 -0.918  0.121 -0.879  0.294 -0.879  0.451 -0.813  0.617 -0.785  0.789 -0.785
1c#apa#apa13#app1310/e  -0.135 -0.075  -0.002 -0.073  0.092 0.021  0.127 0.139  0.187 0.247  0.258 0.351  0.274 0.480  0.333 0.599  0.389 0.719  0.389 0.852  0.389 0.985  0.389 1.118  0.374 1.236  0.241 1.236  0.108 1.236  -0.023 1.226  -0.142 1.167  -0.261 1.107  -0.356 1.015  -0.450 0.920  -0.538 0.822  -0.598 0.703  -0.657 0.584  -0.700 0.458  -0.742 0.332  -0.784 0.206  -0.790 0.074  -0.790 -0.060  -0.790 -0.193  -0.790 -0.326  -0.790 -0.459  -0.735 -0.579  -0.675 -0.698  -0.572 -0.773  -0.453 -0.833  -0.327 -0.861  -0.215 -0.912  -0.115 -0.992  0.018 -0.992  0.151 -0.992  0.284 -0.992  0.417 -0.992  0.550 -0.986  0.680 -0.960  0.811 -0.934  0.941 -0.908  1.072 -0.882  1.200 -0.849  1.319 -0.789  1.438 -0.730
1c#apa#apa13#app1310/v  -1.290 0.762  -1.193 0.762  -1.170 0.690  -1.170 0.594  -1.156 0.502  -1.103 0.422  -1.049 0.342  -0.996 0.262  -0.943 0.182  -0.930 0.090  -0.908 -0.001  -0.865 -0.087  -0.822 -0.173  -0.761 -0.246  -0.693 -0.314  -0.690 -0.409  -0.642 -0.485  -0.574 -0.553  -0.506 -0.620  -0.438 -0.688  -0.370 -0.756  -0.290 -0.796  -0.194 -0.796  -0.098 -0.796  -0.012 -0.756  0.074 -0.713  0.158 -0.667  0.226 -0.599  0.294 -0.531  0.362 -0.463  0.447 -0.436  0.524 -0.406  0.567 -0.320  0.610 -0.234  0.667 -0.158  0.735 -0.090  0.783 -0.008  0.826 0.078  0.869 0.164  0.937 0.232  0.988 0.307  0.988 0.403  1.056 0.471  1.108 0.545  1.108 0.642  1.108 0.738  1.108 0.834  1.108 0.930  1.108 1.026  1.108 1.122
1c#apa#apa13#app1310/i  0.104 -0.182  0.104 -0.279  0.104 -0.377  0.060 -0.464  0.016 -0.551  -0.027 -0.638  -0.071 -0.726  -0.092 -0.818  -0.092 -0.916  -0.092 -1.013  -0.092 -1.111  -0.092 -1.208  -0.041 -1.255  0.006 -1.306  0.056 -1.353  0.100 -1.303  0.094 -1.206  0.088 -1.108  0.082 -1.011  0.076 -0.914  0.070 -0.817  0.064 -0.719  0.058 -0.622  0.052 -0.525  0.046 -0.427  0.040 -0.330  0.034 -0.233  0.027 -0.135  0.021 -0.038  0.015 0.059  0.009 0.156  0.003 0.254  -0.003 0.351  -0.009 0.448  -0.015 0.546  -0.021 0.643  -0.027 0.740  -0.033 0.838  -0.039 0.935  -0.045 1.032  -0.052 1.130  -0.058 1.227  -0.064 1.324  -0.070 1.421  -0.076 1.519  -0.082 1.616  -0.088 1.713  -0.063 1.799  0.006 1.868  0.006 1.965
