1c#tos#f2#f2016063/b  0.089 1.784  -0.034 1.857  -0.118 1.969  -0.158 1.813  -0.158 1.617  -0.158 1.421  -0.158 1.224  -0.158 1.028  -0.158 0.832  -0.158 0.635  -0.158 0.439  -0.158 0.243  -0.158 0.047  -0.202 -0.137  -0.298 -0.306  -0.360 -0.492  -0.418 -0.680  -0.466 -0.870  -0.467 -1.066  -0.467 -1.263  -0.391 -1.220  -0.361 -1.026  -0.330 -0.832  -0.300 -0.638  -0.269 -0.444  -0.238 -0.250  -0.297 -0.133  -0.405 -0.045  -0.405 0.152  -0.405 0.348  -0.223 0.362  -0.026 0.362  0.169 0.368  0.356 0.423  0.552 0.423  0.737 0.394  0.919 0.362  0.955 0.201  0.955 0.005  0.955 -0.192  0.839 -0.319  0.722 -0.437  0.649 -0.619  0.512 -0.758  0.349 -0.867  0.195 -0.989  0.041 -1.111  -0.136 -1.184  -0.333 -1.184  -0.467 -1.246
1c#tos#f2#f2016063/d  0.267 -0.101  0.300 -0.297  0.412 -0.106  0.414 0.123  0.406 0.349  0.287 0.533  0.118 0.670  -0.109 0.686  -0.323 0.670  -0.488 0.530  -0.694 0.427  -0.810 0.252  -0.913 0.047  -0.999 -0.167  -1.149 -0.337  -1.159 -0.563  -1.208 -0.785  -1.208 -1.015  -1.180 -1.238  -1.026 -1.330  -0.800 -1.309  -0.583 -1.255  -0.395 -1.125  -0.274 -0.982  -0.153 -0.827  0.032 -0.707  0.097 -0.486  0.119 -0.259  0.213 -0.075  0.393 0.068  0.562 0.214  0.634 0.414  0.709 0.612  0.715 0.839  0.808 1.031  0.808 1.261  0.789 1.472  0.709 1.491  0.598 1.323  0.562 1.098  0.481 0.885  0.463 0.658  0.414 0.440  0.394 0.212  0.365 -0.014  0.286 -0.220  0.267 -0.444  0.267 -0.674  0.267 -0.903  0.316 -1.084
1c#tos#f2#f2016063/g  0.690 0.706  0.690 0.908  0.690 1.109  0.609 1.277  0.491 1.391  0.307 1.432  0.105 1.432  -0.048 1.326  -0.209 1.232  -0.398 1.183  -0.476 1.030  -0.636 0.912  -0.721 0.731  -0.721 0.529  -0.668 0.366  -0.470 0.343  -0.268 0.343  -0.067 0.343  0.120 0.378  0.303 0.424  0.452 0.549  0.507 0.554  0.489 0.364  0.448 0.179  0.448 -0.022  0.392 -0.182  0.368 -0.381  0.368 -0.583  0.368 -0.784  0.368 -0.986  0.368 -1.187  0.288 -1.309  0.127 -1.350  -0.074 -1.350  -0.235 -1.309  -0.432 -1.271  -0.581 -1.178  -0.695 -1.067  -0.842 -1.013  -0.922 -0.892  -0.761 -0.818  -0.674 -0.690  -0.499 -0.624  -0.327 -0.546  -0.165 -0.429  0.019 -0.350  0.196 -0.261  0.379 -0.200  0.572 -0.160  0.730 -0.100
1c#tos#f2#f2016063/i  0.187 1.359  0.110 1.359  0.032 1.359  -0.046 1.359  -0.092 1.391  -0.052 1.428  -0.015 1.381  -0.003 1.304  0.008 1.227  0.020 1.150  0.031 1.073  0.043 0.996  0.054 0.920  0.066 0.843  0.078 0.766  0.089 0.689  0.101 0.612  0.112 0.535  0.124 0.458  0.135 0.381  0.147 0.304  0.158 0.227  0.170 0.151  0.181 0.074  0.154 0.017  0.085 -0.018  0.011 -0.036  -0.022 -0.081  -0.022 -0.159  -0.041 -0.233  -0.066 -0.307  -0.090 -0.381  -0.092 -0.458  -0.092 -0.536  -0.092 -0.614  -0.092 -0.692  -0.092 -0.769  -0.092 -0.847  -0.092 -0.925  -0.092 -1.003  -0.092 -1.080  -0.092 -1.158  -0.092 -1.236  -0.092 -1.314  -0.092 -1.391  -0.092 -1.469  -0.092 -1.547  -0.092 -1.625  -0.092 -1.702  -0.092 -1.780
1c#tos#f2#f2016063/j  0.781 1.472  0.746 1.415  0.674 1.395  0.662 1.304  0.649 1.213  0.637 1.122  0.625 1.031  0.613 0.940  0.604 0.848  0.599 0.760  0.533 0.709  0.533 0.617  0.533 0.525  0.533 0.433  0.533 0.341  0.533 0.250  0.541 0.159  0.564 0.070  0.568 -0.021  0.568 -0.113  0.568 -0.205  0.568 -0.297  0.560 -0.386  0.509 -0.463  0.497 -0.551  0.462 -0.607  0.385 -0.623  0.293 -0.623  0.202 -0.623  0.110 -0.623  0.018 -0.623  -0.074 -0.623  -0.166 -0.623  -0.250 -0.598  -0.328 -0.552  -0.420 -0.552  -0.509 -0.536  -0.597 -0.516  -0.689 -0.516  -0.779 -0.499  -0.869 -0.481  -0.959 -0.466  -1.049 -0.448  -1.126 -0.410  -1.218 -0.410  -1.302 -0.380  -1.384 -0.366  -1.414 -0.303  -1.505 -0.303  -1.562 -0.268
1c#tos#f2#f2016063/k  -0.430 1.553  -0.430 1.678  -0.430 1.469  -0.430 1.259  -0.430 1.050  -0.430 0.840  -0.430 0.631  -0.434 0.422  -0.475 0.216  -0.564 0.030  -0.654 -0.155  -0.654 -0.364  -0.707 -0.561  -0.765 -0.757  -0.765 -0.966  -0.765 -1.176  -0.765 -1.385  -0.740 -1.570  -0.596 -1.432  -0.463 -1.270  -0.330 -1.108  -0.197 -0.946  -0.065 -0.784  0.068 -0.622  0.201 -0.460  0.334 -0.298  0.467 -0.136  0.600 0.025  0.732 0.187  0.865 0.349  0.998 0.511  1.097 0.690  1.131 0.896  0.966 0.940  0.756 0.940  0.597 0.812  0.432 0.687  0.301 0.553  0.106 0.493  -0.075 0.441  -0.168 0.270  -0.263 0.157  -0.153 -0.007  0.011 -0.136  0.071 -0.313  0.251 -0.343  0.449 -0.392  0.536 -0.566  0.733 -0.618  0.908 -0.733
1c#tos#f2#f2016063/m  -1.164 0.589  -1.164 0.769  -1.164 0.898  -1.164 0.718  -1.164 0.538  -1.108 0.367  -1.108 0.187  -1.108 0.007  -1.108 -0.173  -1.108 -0.352  -1.108 -0.532  -1.108 -0.712  -0.973 -0.725  -0.863 -0.637  -0.748 -0.515  -0.648 -0.365  -0.560 -0.209  -0.460 -0.080  -0.389 0.072  -0.328 0.238  -0.217 0.349  -0.169 0.517  -0.050 0.584  0.062 0.525  0.104 0.352  0.118 0.175  0.118 -0.005  0.118 -0.185  0.173 -0.352  0.173 -0.532  0.173 -0.711  0.212 -0.725  0.229 -0.549  0.385 -0.525  0.474 -0.382  0.508 -0.207  0.623 -0.074  0.722 0.076  0.822 0.225  0.865 0.389  0.992 0.517  1.120 0.578  1.287 0.587  1.287 0.407  1.287 0.227  1.287 0.047  1.339 -0.124  1.423 -0.271  1.510 -0.414  1.566 -0.581
1c#tos#f2#f2016063/o  0.614 0.805  0.466 0.805  0.318 0.805  0.169 0.805  0.021 0.805  -0.127 0.805  -0.276 0.805  -0.372 0.752  -0.442 0.627  -0.583 0.580  -0.660 0.460  -0.724 0.326  -0.771 0.186  -0.868 0.076  -0.952 -0.038  -0.952 -0.186  -0.952 -0.335  -0.952 -0.483  -0.952 -0.631  -0.952 -0.779  -0.952 -0.928  -0.835 -0.994  -0.711 -1.076  -0.573 -1.109  -0.425 -1.109  -0.276 -1.109  -0.128 -1.109  0.020 -1.109  0.162 -1.067  0.263 -0.969  0.361 -0.865  0.501 -0.817  0.605 -0.712  0.710 -0.607  0.815 -0.502  0.846 -0.367  0.846 -0.218  0.846 -0.070  0.846 0.078  0.846 0.227  0.846 0.375  0.846 0.523  0.824 0.665  0.741 0.788  0.607 0.815  0.518 0.933  0.421 1.037  0.273 1.037  0.125 1.037  -0.024 1.037
1c#tos#f2#f2016063/q  0.663 0.854  0.571 0.906  0.526 1.095  0.480 1.285  0.285 1.354  0.081 1.448  -0.145 1.410  -0.322 1.265  -0.520 1.200  -0.618 0.992  -0.819 0.870  -0.938 0.678  -1.024 0.467  -1.076 0.251  -1.061 0.030  -0.826 0.030  -0.591 0.030  -0.413 0.135  -0.189 0.185  0.016 0.259  0.228 0.335  0.417 0.467  0.537 0.557  0.361 0.625  0.297 0.454  0.205 0.275  0.174 0.043  0.112 -0.183  0.025 -0.400  -0.089 -0.605  -0.161 -0.823  -0.161 -1.058  -0.252 -1.256  -0.252 -1.491  -0.252 -1.726  -0.097 -1.782  0.069 -1.615  0.205 -1.427  0.344 -1.248  0.431 -1.031  0.571 -0.869  0.571 -0.634  0.571 -0.399  0.377 -0.314  0.204 -0.198  0.034 -0.107  0.017 -0.061  0.245 -0.107  0.481 -0.107  0.708 -0.061
1c#tos#f2#f2016063/s  1.365 0.889  1.289 1.016  1.192 1.092  1.038 1.117  0.884 1.143  0.737 1.194  0.579 1.194  0.421 1.194  0.325 1.092  0.171 1.067  0.024 1.022  -0.088 0.910  -0.160 0.811  -0.211 0.674  -0.211 0.516  -0.211 0.357  -0.145 0.220  -0.058 0.115  -0.041 -0.026  0.117 -0.026  0.237 -0.118  0.334 -0.244  0.449 -0.331  0.591 -0.370  0.654 -0.503  0.671 -0.654  0.810 -0.722  0.767 -0.798  0.621 -0.840  0.462 -0.840  0.304 -0.840  0.148 -0.815  -0.007 -0.789  -0.134 -0.739  -0.231 -0.616  -0.356 -0.535  -0.438 -0.437  -0.514 -0.331  -0.570 -0.227  -0.668 -0.109  -0.693 0.024  -0.821 -0.006  -0.918 -0.124  -0.973 -0.260  -0.985 -0.416  -1.024 -0.568  -1.062 -0.697  -1.216 -0.735  -1.228 -0.885  -1.228 -1.043
1c#tos#f2#f2016063/t  -1.160 0.560  -1.262 0.513  -1.268 0.459  -1.120 0.459  -0.971 0.459  -0.822 0.459  -0.673 0.459  -0.526 0.480  -0.380 0.504  -0.244 0.562  -0.107 0.611  0.042 0.611  0.190 0.619  0.334 0.655  0.482 0.662  0.596 0.745  0.717 0.814  0.696 0.884  0.581 0.966  0.432 0.966  0.284 0.966  0.135 0.966  0.006 0.946  0.006 0.797  0.006 0.649  -0.097 0.601  -0.118 0.454  -0.139 0.307  -0.165 0.161  -0.195 0.015  -0.273 -0.111  -0.298 -0.252  -0.298 -0.401  -0.298 -0.549  -0.298 -0.698  -0.298 -0.847  -0.298 -0.995  -0.262 -1.136  -0.181 -1.214  -0.032 -1.214  0.117 -1.214  0.265 -1.214  0.414 -1.214  0.563 -1.214  0.712 -1.214  0.836 -1.134  0.946 -1.034  1.082 -0.991  1.172 -0.907  1.172 -0.758
