1c#tos#f1#f1041060/f  0.616 1.674  0.443 1.674  0.309 1.768  0.243 1.680  0.243 1.507  0.243 1.334  0.243 1.161  0.243 0.988  0.243 0.815  0.243 0.642  0.243 0.469  0.243 0.296  0.260 0.126  0.296 -0.042  0.307 -0.211  0.403 -0.355  0.403 -0.528  0.403 -0.701  0.403 -0.874  0.380 -1.042  0.329 -1.206  0.296 -1.376  0.224 -1.477  0.060 -1.515  -0.036 -1.409  -0.117 -1.256  -0.199 -1.103  -0.280 -0.951  -0.362 -0.798  -0.443 -0.645  -0.525 -0.493  -0.606 -0.340  -0.687 -0.187  -0.769 -0.035  -0.826 0.124  -0.872 0.278  -1.042 0.285  -1.017 0.220  -0.913 0.125  -0.740 0.125  -0.567 0.125  -0.394 0.125  -0.221 0.125  -0.048 0.125  0.125 0.125  0.298 0.125  0.471 0.125  0.644 0.125  0.817 0.125  0.990 0.125
1c#tos#f1#f1041060/g  0.672 0.873  0.596 0.684  0.448 0.546  0.448 0.766  0.408 0.969  0.292 1.140  0.101 1.209  -0.085 1.264  -0.269 1.322  -0.480 1.265  -0.531 1.097  -0.692 0.987  -0.731 0.779  -0.666 0.575  -0.618 0.366  -0.518 0.199  -0.299 0.199  -0.079 0.199  0.111 0.229  0.248 0.312  0.335 0.487  0.363 0.703  0.392 0.920  0.237 0.985  0.167 0.835  0.167 0.616  0.211 0.403  0.223 0.185  0.223 -0.034  0.223 -0.254  0.223 -0.474  0.202 -0.691  0.167 -0.908  0.120 -1.120  0.005 -1.306  -0.041 -1.484  -0.092 -1.652  -0.305 -1.697  -0.523 -1.708  -0.562 -1.528  -0.562 -1.308  -0.562 -1.089  -0.506 -0.882  -0.358 -0.811  -0.180 -0.709  0.005 -0.603  0.194 -0.493  0.408 -0.474  0.627 -0.471  0.840 -0.418
1c#tos#f1#f1041060/h  -0.127 1.409  -0.201 1.547  -0.316 1.631  -0.378 1.539  -0.387 1.372  -0.420 1.207  -0.443 1.040  -0.443 0.872  -0.443 0.703  -0.443 0.534  -0.443 0.366  -0.519 0.220  -0.569 0.067  -0.569 -0.102  -0.569 -0.270  -0.569 -0.439  -0.598 -0.604  -0.632 -0.768  -0.632 -0.937  -0.632 -1.105  -0.556 -1.131  -0.443 -1.023  -0.443 -0.854  -0.443 -0.686  -0.425 -0.523  -0.331 -0.383  -0.253 -0.233  -0.190 -0.080  -0.190 0.089  -0.146 0.230  -0.009 0.326  0.086 0.464  0.157 0.616  0.254 0.714  0.379 0.670  0.522 0.635  0.632 0.512  0.632 0.343  0.632 0.175  0.632 0.006  0.632 -0.163  0.745 -0.284  0.766 -0.446  0.819 -0.606  0.821 -0.774  0.821 -0.943  0.898 -1.082  0.973 -1.233  1.095 -1.309  1.264 -1.309
1c#tos#f1#f1041060/j  0.347 0.289  0.347 0.164  0.347 0.040  0.347 -0.085  0.347 -0.209  0.347 -0.334  0.347 -0.458  0.337 -0.581  0.291 -0.697  0.276 -0.818  0.276 -0.943  0.215 -1.042  0.170 -1.148  0.115 -1.232  0.053 -1.333  -0.072 -1.333  -0.196 -1.333  -0.321 -1.333  -0.445 -1.333  -0.444 -1.230  -0.420 -1.108  -0.396 -0.986  -0.372 -0.864  -0.347 -0.742  -0.323 -0.620  -0.299 -0.498  -0.275 -0.375  -0.251 -0.253  -0.227 -0.131  -0.203 -0.009  -0.178 0.113  -0.154 0.235  -0.130 0.357  -0.106 0.479  -0.082 0.602  -0.058 0.724  -0.034 0.846  -0.009 0.968  0.015 1.090  0.039 1.212  0.063 1.334  0.087 1.457  0.111 1.579  0.135 1.697  0.115 1.593  0.100 1.483  0.100 1.359  0.100 1.234  0.146 1.148  0.170 1.029
1c#tos#f1#f1041060/l  -0.754 -1.296  -0.755 -1.447  -0.704 -1.445  -0.656 -1.302  -0.524 -1.231  -0.402 -1.145  -0.298 -1.036  -0.230 -0.900  -0.174 -0.760  -0.082 -0.652  0.048 -0.574  0.140 -0.462  0.149 -0.312  0.207 -0.185  0.267 -0.053  0.297 0.095  0.343 0.239  0.381 0.386  0.400 0.535  0.400 0.686  0.400 0.837  0.400 0.989  0.400 1.140  0.400 1.291  0.371 1.414  0.309 1.537  0.177 1.564  0.026 1.564  -0.107 1.503  -0.152 1.362  -0.152 1.211  -0.152 1.060  -0.152 0.908  -0.152 0.757  -0.152 0.606  -0.152 0.454  -0.152 0.303  -0.178 0.158  -0.202 0.012  -0.202 -0.139  -0.202 -0.290  -0.202 -0.442  -0.202 -0.593  -0.095 -0.699  0.031 -0.783  0.141 -0.887  0.248 -0.994  0.398 -0.995  0.550 -0.995  0.701 -0.995
1c#tos#f1#f1041060/m  -1.300 -0.326  -1.459 -0.383  -1.588 -0.330  -1.527 -0.191  -1.415 -0.089  -1.363 0.071  -1.222 0.186  -1.079 0.298  -0.949 0.425  -0.786 0.506  -0.634 0.593  -0.452 0.593  -0.381 0.482  -0.381 0.300  -0.381 0.117  -0.381 -0.065  -0.433 -0.232  -0.496 -0.395  -0.511 -0.571  -0.554 -0.720  -0.530 -0.541  -0.496 -0.365  -0.468 -0.211  -0.358 -0.118  -0.295 0.048  -0.175 0.185  -0.061 0.323  0.102 0.404  0.251 0.392  0.251 0.210  0.193 0.051  0.193 -0.131  0.193 -0.313  0.249 -0.441  0.366 -0.375  0.441 -0.268  0.623 -0.268  0.670 -0.120  0.751 0.043  0.871 0.179  1.020 0.283  1.170 0.376  1.249 0.479  1.382 0.399  1.425 0.236  1.515 0.109  1.548 -0.047  1.725 -0.091  1.744 -0.258  1.744 -0.441
1c#tos#f1#f1041060/p  0.054 1.009  -0.145 1.009  -0.113 0.889  -0.113 0.690  -0.113 0.491  -0.135 0.297  -0.224 0.119  -0.224 -0.080  -0.224 -0.279  -0.224 -0.478  -0.224 -0.677  -0.224 -0.876  -0.224 -1.075  -0.215 -1.274  -0.187 -1.471  -0.168 -1.669  -0.149 -1.863  -0.118 -1.820  -0.128 -1.621  -0.138 -1.422  -0.148 -1.223  -0.157 -1.024  -0.167 -0.825  -0.177 -0.627  -0.186 -0.428  -0.196 -0.229  -0.206 -0.030  -0.215 0.169  -0.232 0.366  -0.279 0.558  -0.279 0.757  -0.279 0.956  -0.279 1.155  -0.279 1.354  -0.125 1.398  0.074 1.398  0.263 1.367  0.422 1.248  0.565 1.110  0.721 0.998  0.777 0.854  0.777 0.655  0.777 0.456  0.705 0.282  0.542 0.193  0.436 0.064  0.340 -0.079  0.204 -0.213  0.010 -0.236  -0.168 -0.325
1c#tos#f1#f1041060/t  -0.632 0.007  -0.810 0.007  -0.948 -0.088  -1.126 -0.088  -1.304 -0.088  -1.482 -0.088  -1.492 -0.088  -1.315 -0.088  -1.137 -0.088  -0.959 -0.088  -0.786 -0.070  -0.626 0.007  -0.448 0.007  -0.270 0.007  -0.093 0.007  0.085 0.007  0.263 0.007  0.441 0.007  0.618 0.007  0.796 0.007  0.974 0.007  1.151 0.007  1.329 0.007  1.280 0.147  1.200 0.306  1.121 0.465  1.041 0.624  0.962 0.783  0.882 0.942  0.803 1.101  0.649 1.139  0.507 1.052  0.341 0.992  0.217 0.903  0.217 0.725  0.164 0.560  0.084 0.401  -0.025 0.290  -0.066 0.153  -0.066 -0.025  -0.102 -0.196  -0.158 -0.365  -0.160 -0.542  -0.160 -0.720  -0.160 -0.898  -0.160 -1.076  -0.160 -1.253  -0.160 -1.431  -0.160 -1.609  -0.160 -1.787
1c#tos#f1#f1041060/v  -0.377 0.971  -0.523 0.971  -0.608 0.910  -0.650 0.770  -0.685 0.629  -0.685 0.483  -0.685 0.337  -0.693 0.193  -0.796 0.090  -0.900 -0.014  -0.917 -0.153  -0.917 -0.300  -0.917 -0.446  -0.917 -0.592  -0.917 -0.739  -0.917 -0.885  -0.917 -1.031  -0.849 -1.110  -0.703 -1.110  -0.556 -1.110  -0.410 -1.110  -0.264 -1.110  -0.126 -1.090  -0.022 -0.987  0.081 -0.883  0.211 -0.816  0.240 -0.687  0.261 -0.550  0.377 -0.464  0.508 -0.398  0.625 -0.324  0.629 -0.179  0.710 -0.057  0.779 0.068  0.786 0.213  0.851 0.344  0.856 0.489  0.821 0.396  0.779 0.442  0.777 0.586  0.630 0.586  0.521 0.680  0.400 0.762  0.317 0.864  0.433 0.894  0.579 0.894  0.725 0.894  0.872 0.894  1.018 0.894  1.165 0.894
1c#tos#f1#f1041060/x  1.481 1.293  1.367 1.214  1.174 1.214  0.992 1.166  0.811 1.115  0.638 1.029  0.535 0.899  0.440 0.757  0.291 0.640  0.230 0.457  0.077 0.354  -0.096 0.267  -0.203 0.107  -0.253 -0.071  -0.253 -0.265  -0.258 -0.457  -0.320 -0.640  -0.463 -0.757  -0.629 -0.857  -0.727 -0.995  -0.805 -1.155  -0.800 -1.271  -0.774 -1.079  -0.747 -0.888  -0.721 -0.696  -0.695 -0.505  -0.668 -0.314  -0.642 -0.122  -0.615 0.069  -0.589 0.261  -0.563 0.452  -0.536 0.643  -0.510 0.835  -0.539 0.977  -0.565 0.816  -0.428 0.679  -0.291 0.542  -0.253 0.365  -0.113 0.242  0.041 0.126  0.068 -0.055  0.184 -0.210  0.299 -0.365  0.299 -0.558  0.442 -0.648  0.626 -0.709  0.799 -0.785  0.936 -0.922  1.084 -1.045  1.245 -1.152
1c#tos#f1#f1041060/z  -0.205 1.323  -0.367 1.323  -0.398 1.357  -0.300 1.439  -0.141 1.468  0.022 1.468  0.184 1.468  0.230 1.352  0.211 1.195  0.128 1.056  0.085 0.906  -0.056 0.853  -0.134 0.735  -0.220 0.615  -0.350 0.570  -0.350 0.500  -0.240 0.557  -0.088 0.599  0.074 0.599  0.237 0.599  0.326 0.498  0.326 0.336  0.326 0.174  0.326 0.012  0.326 -0.150  0.326 -0.312  0.326 -0.475  0.306 -0.628  0.192 -0.743  0.135 -0.893  0.133 -1.055  0.107 -1.201  -0.030 -1.286  -0.156 -1.385  -0.178 -1.526  -0.340 -1.526  -0.494 -1.518  -0.494 -1.356  -0.494 -1.194  -0.494 -1.032  -0.434 -0.886  -0.320 -0.772  -0.215 -0.648  -0.117 -0.521  0.017 -0.438  0.176 -0.415  0.292 -0.305  0.440 -0.268  0.600 -0.245  0.761 -0.222
