2#apb#apb21#app2172/I  -0.351 -1.116  -0.454 -1.071  -0.499 -0.936  -0.500 -0.793  -0.451 -0.662  -0.406 -0.527  -0.380 -0.387  -0.338 -0.252  -0.282 -0.121  -0.226 0.010  -0.166 0.139  -0.105 0.268  -0.048 0.398  0.009 0.529  0.073 0.656  0.136 0.784  0.220 0.898  0.307 1.011  0.407 1.112  0.487 1.229  0.567 1.346  0.666 1.447  0.774 1.403  0.815 1.267  0.815 1.126  0.808 0.984  0.796 0.842  0.783 0.700  0.764 0.559  0.720 0.424  0.677 0.288  0.630 0.154  0.564 0.027  0.498 -0.099  0.421 -0.218  0.329 -0.326  0.237 -0.435  0.135 -0.533  0.016 -0.610  -0.103 -0.688  -0.225 -0.762  -0.356 -0.818  -0.487 -0.873  -0.618 -0.929  -0.760 -0.934  -0.902 -0.934  -1.044 -0.933  -1.187 -0.924  -1.323 -0.898  -1.441 -0.819
2#apb#apb21#app2172/n  -1.480 -0.590  -1.506 -0.621  -1.484 -0.486  -1.425 -0.354  -1.356 -0.226  -1.272 -0.108  -1.170 -0.004  -1.074 0.104  -0.993 0.224  -0.892 0.327  -0.784 0.424  -0.677 0.520  -0.538 0.557  -0.393 0.556  -0.251 0.536  -0.205 0.420  -0.224 0.276  -0.262 0.136  -0.307 -0.002  -0.371 -0.131  -0.448 -0.253  -0.524 -0.323  -0.551 -0.356  -0.470 -0.288  -0.361 -0.194  -0.244 -0.107  -0.131 -0.016  -0.029 0.086  0.063 0.198  0.163 0.302  0.273 0.398  0.357 0.433  0.360 0.289  0.348 0.144  0.347 -0.001  0.348 -0.146  0.413 -0.276  0.519 -0.368  0.649 -0.416  0.794 -0.405  0.933 -0.374  1.066 -0.315  1.199 -0.256  1.321 -0.180  1.434 -0.089  1.548 0.001  1.661 0.092  1.769 0.189  1.876 0.288  1.982 0.387
2#apb#apb21#app2172/  -0.779 -0.662  -0.858 -0.655  -0.924 -0.605  -0.990 -0.556  -1.055 -0.507  -1.121 -0.457  -1.128 -0.379  -1.128 -0.296  -1.128 -0.214  -1.128 -0.132  -1.128 -0.050  -1.128 0.032  -1.085 0.101  -1.039 0.170  -0.994 0.238  -0.918 0.264  -0.838 0.284  -0.759 0.304  -0.678 0.316  -0.596 0.316  -0.514 0.316  -0.432 0.316  -0.350 0.313  -0.271 0.290  -0.193 0.266  -0.114 0.242  -0.035 0.219  0.043 0.195  0.122 0.172  0.201 0.148  0.279 0.124  0.359 0.104  0.441 0.096  0.522 0.088  0.604 0.080  0.686 0.072  0.767 0.064  0.849 0.055  0.931 0.047  1.013 0.039  1.093 0.022  1.172 -0.000  1.251 -0.022  1.330 -0.043  1.410 -0.065  1.489 -0.086  1.568 -0.108  1.647 -0.130  1.727 -0.151  1.806 -0.173
2#apb#apb21#app2172/Y  -0.214 0.744  -0.368 0.691  -0.564 0.623  -0.770 0.596  -0.956 0.672  -0.908 0.853  -0.744 0.980  -0.563 1.082  -0.366 1.146  -0.159 1.162  0.034 1.099  0.065 0.909  -0.009 0.715  -0.108 0.532  -0.217 0.354  -0.317 0.172  -0.390 -0.023  -0.462 -0.218  -0.510 -0.420  -0.520 -0.624  -0.332 -0.617  -0.153 -0.513  0.007 -0.382  0.142 -0.223  0.267 -0.057  0.390 0.111  0.511 0.281  0.618 0.459  0.721 0.640  0.835 0.815  0.928 1.000  0.880 0.910  0.796 0.720  0.722 0.525  0.669 0.324  0.615 0.122  0.562 -0.079  0.519 -0.283  0.478 -0.487  0.430 -0.690  0.381 -0.892  0.318 -1.091  0.251 -1.288  0.146 -1.467  0.008 -1.620  -0.191 -1.656  -0.391 -1.603  -0.560 -1.493  -0.704 -1.343  -0.817 -1.168
2#apb#apb21#app2172/u  -1.580 -0.951  -1.570 -0.938  -1.463 -0.810  -1.345 -0.692  -1.246 -0.557  -1.151 -0.420  -1.052 -0.285  -0.954 -0.150  -0.842 -0.026  -0.731 0.098  -0.632 0.233  -0.534 0.368  -0.417 0.487  -0.313 0.617  -0.234 0.762  -0.155 0.855  -0.236 0.711  -0.305 0.559  -0.377 0.408  -0.456 0.261  -0.535 0.114  -0.618 -0.031  -0.665 -0.191  -0.659 -0.354  -0.543 -0.462  -0.383 -0.510  -0.222 -0.501  -0.059 -0.464  0.089 -0.391  0.230 -0.302  0.370 -0.210  0.507 -0.115  0.625 0.003  0.735 0.128  0.848 0.251  0.966 0.369  1.059 0.507  1.149 0.648  1.236 0.790  1.237 0.791  1.149 0.649  1.089 0.495  1.039 0.335  0.988 0.176  0.935 0.018  0.921 -0.147  0.923 -0.313  0.960 -0.476  1.053 -0.608  1.171 -0.726
2#apb#apb21#app2172/n  -1.571 -0.691  -1.564 -0.625  -1.499 -0.472  -1.419 -0.327  -1.326 -0.188  -1.232 -0.051  -1.137 0.085  -1.015 0.198  -0.896 0.313  -0.792 0.443  -0.680 0.565  -0.553 0.672  -0.404 0.745  -0.250 0.758  -0.168 0.613  -0.135 0.451  -0.167 0.288  -0.205 0.126  -0.248 -0.034  -0.310 -0.188  -0.382 -0.338  -0.466 -0.482  -0.525 -0.616  -0.504 -0.491  -0.394 -0.366  -0.290 -0.237  -0.208 -0.092  -0.127 0.052  -0.030 0.186  0.083 0.308  0.196 0.431  0.318 0.543  0.441 0.655  0.586 0.734  0.727 0.725  0.806 0.582  0.806 0.416  0.806 0.250  0.806 0.083  0.787 -0.082  0.763 -0.246  0.757 -0.412  0.791 -0.573  0.925 -0.633  1.090 -0.632  1.256 -0.618  1.409 -0.555  1.559 -0.484  1.713 -0.421  1.871 -0.369
2#apb#apb21#app2172/g  0.156 0.247  0.265 0.341  0.330 0.475  0.379 0.615  0.446 0.748  0.465 0.895  0.467 1.044  0.430 1.181  0.292 1.224  0.147 1.198  0.007 1.150  -0.118 1.070  -0.238 0.982  -0.337 0.871  -0.427 0.752  -0.502 0.626  -0.528 0.480  -0.509 0.340  -0.389 0.261  -0.240 0.250  -0.092 0.256  0.051 0.288  0.183 0.356  0.292 0.451  0.362 0.582  0.389 0.726  0.374 0.743  0.371 0.594  0.359 0.446  0.366 0.297  0.374 0.148  0.368 -0.001  0.362 -0.149  0.349 -0.298  0.328 -0.445  0.307 -0.592  0.273 -0.737  0.224 -0.877  0.176 -1.018  0.105 -1.147  0.019 -1.269  -0.079 -1.380  -0.193 -1.475  -0.334 -1.512  -0.481 -1.534  -0.628 -1.524  -0.775 -1.498  -0.918 -1.462  -1.050 -1.393  -1.181 -1.323
2#apb#apb21#app2172/J  0.197 0.121  0.219 0.125  0.035 0.063  -0.155 0.023  -0.344 -0.006  -0.538 -0.000  -0.710 0.071  -0.821 0.232  -0.848 0.420  -0.811 0.609  -0.710 0.773  -0.576 0.913  -0.427 1.037  -0.262 1.141  -0.091 1.233  0.082 1.323  0.255 1.410  0.442 1.462  0.604 1.389  0.711 1.229  0.780 1.048  0.814 0.858  0.814 0.663  0.814 0.469  0.790 0.276  0.744 0.088  0.680 -0.096  0.588 -0.267  0.489 -0.434  0.377 -0.593  0.258 -0.747  0.132 -0.895  -0.009 -1.029  -0.147 -1.166  -0.280 -1.308  -0.444 -1.411  -0.622 -1.488  -0.771 -1.417  -0.795 -1.231  -0.743 -1.043  -0.648 -0.876  -0.537 -0.716  -0.402 -0.577  -0.261 -0.443  -0.101 -0.333  0.066 -0.234  0.252 -0.178  0.442 -0.148  0.637 -0.152  0.828 -0.188
2#apb#apb21#app2172/.  0.537 1.611  0.515 1.545  0.493 1.479  0.471 1.413  0.449 1.348  0.427 1.282  0.405 1.216  0.383 1.150  0.362 1.085  0.340 1.019  0.318 0.953  0.296 0.887  0.274 0.822  0.252 0.756  0.230 0.690  0.208 0.624  0.186 0.559  0.164 0.493  0.142 0.427  0.121 0.362  0.099 0.296  0.077 0.230  0.055 0.164  0.033 0.099  0.011 0.033  -0.011 -0.033  -0.033 -0.099  -0.055 -0.164  -0.077 -0.230  -0.099 -0.296  -0.121 -0.362  -0.142 -0.427  -0.164 -0.493  -0.186 -0.559  -0.208 -0.624  -0.230 -0.690  -0.252 -0.756  -0.274 -0.822  -0.296 -0.887  -0.318 -0.953  -0.340 -1.019  -0.362 -1.085  -0.383 -1.150  -0.405 -1.216  -0.427 -1.282  -0.449 -1.348  -0.471 -1.413  -0.493 -1.479  -0.515 -1.545  -0.537 -1.611
2#apb#apb21#app2172/M  -0.470 0.323  -0.638 0.314  -0.853 0.242  -1.078 0.220  -1.302 0.185  -1.526 0.188  -1.641 0.332  -1.478 0.485  -1.265 0.563  -1.046 0.621  -0.824 0.665  -0.599 0.690  -0.409 0.580  -0.392 0.359  -0.441 0.142  -0.527 -0.068  -0.629 -0.270  -0.749 -0.463  -0.875 -0.651  -0.780 -0.535  -0.644 -0.353  -0.505 -0.175  -0.353 -0.007  -0.184 0.144  0.000 0.275  0.215 0.288  0.289 0.090  0.253 -0.131  0.151 -0.330  0.036 -0.525  -0.050 -0.577  0.071 -0.385  0.210 -0.206  0.357 -0.034  0.508 0.135  0.678 0.285  0.856 0.425  1.048 0.544  1.192 0.546  1.131 0.328  1.031 0.126  0.920 -0.072  0.811 -0.270  0.784 -0.490  0.909 -0.656  1.125 -0.699  1.346 -0.648  1.566 -0.593  1.782 -0.525  1.990 -0.436
2#apb#apb21#app2172/a  -0.492 -0.002  -0.316 0.020  -0.176 0.131  -0.039 0.247  0.082 0.375  0.156 0.538  0.224 0.705  0.275 0.877  0.295 1.047  0.191 1.187  0.016 1.152  -0.145 1.071  -0.305 0.989  -0.462 0.903  -0.615 0.809  -0.762 0.706  -0.889 0.581  -1.002 0.441  -1.109 0.297  -1.188 0.142  -1.203 -0.037  -1.212 -0.217  -1.210 -0.396  -1.119 -0.533  -0.958 -0.610  -0.782 -0.578  -0.607 -0.539  -0.436 -0.482  -0.276 -0.406  -0.134 -0.296  0.009 -0.187  0.150 -0.077  0.239 0.079  0.266 0.192  0.183 0.058  0.127 -0.113  0.102 -0.290  0.108 -0.466  0.171 -0.634  0.329 -0.717  0.490 -0.797  0.667 -0.796  0.847 -0.785  1.021 -0.756  1.184 -0.679  1.346 -0.602  1.508 -0.525  1.663 -0.433  1.818 -0.342  1.973 -0.251
