3#apb#apb07#app0719/E  1.012 1.106  1.007 1.229  0.876 1.277  0.731 1.280  0.587 1.284  0.444 1.268  0.302 1.238  0.161 1.208  0.021 1.171  -0.118 1.133  -0.253 1.085  -0.377 1.011  -0.501 0.936  -0.593 0.829  -0.671 0.708  -0.738 0.582  -0.768 0.440  -0.797 0.299  -0.781 0.159  -0.742 0.020  -0.692 -0.113  -0.596 -0.222  -0.501 -0.330  -0.381 -0.405  -0.247 -0.459  -0.113 -0.510  0.031 -0.518  0.176 -0.521  0.136 -0.407  0.010 -0.341  -0.127 -0.314  -0.269 -0.338  -0.389 -0.419  -0.474 -0.534  -0.522 -0.667  -0.539 -0.810  -0.490 -0.938  -0.363 -0.990  -0.221 -0.989  -0.078 -0.966  0.063 -0.936  0.204 -0.902  0.344 -0.869  0.481 -0.823  0.617 -0.775  0.754 -0.727  0.890 -0.679  1.027 -0.633  1.164 -0.588  1.301 -0.542
3#apb#apb07#app0719/d  0.188 1.855  0.141 1.959  0.111 1.801  0.110 1.642  0.121 1.482  0.135 1.322  0.172 1.166  0.209 1.010  0.246 0.854  0.300 0.703  0.354 0.552  0.408 0.402  0.465 0.252  0.528 0.104  0.590 -0.043  0.648 -0.192  0.677 -0.350  0.696 -0.508  0.633 -0.608  0.518 -0.497  0.409 -0.379  0.308 -0.255  0.207 -0.130  0.110 -0.002  0.018 0.128  -0.075 0.259  -0.219 0.324  -0.369 0.382  -0.524 0.380  -0.677 0.345  -0.773 0.216  -0.851 0.080  -0.888 -0.076  -0.911 -0.234  -0.911 -0.394  -0.904 -0.554  -0.864 -0.709  -0.821 -0.863  -0.730 -0.995  -0.623 -1.109  -0.482 -1.185  -0.324 -1.156  -0.167 -1.127  -0.019 -1.064  0.128 -1.001  0.272 -0.932  0.409 -0.848  0.546 -0.765  0.674 -0.669  0.802 -0.571
3#apb#apb07#app0719/i  -0.312 1.667  -0.312 1.597  -0.312 1.528  -0.304 1.459  -0.292 1.391  -0.279 1.323  -0.267 1.254  -0.254 1.186  -0.242 1.118  -0.230 1.049  -0.217 0.981  -0.205 0.913  -0.192 0.845  -0.180 0.776  -0.167 0.708  -0.155 0.640  -0.142 0.571  -0.130 0.503  -0.117 0.435  -0.104 0.367  -0.092 0.298  -0.079 0.230  -0.067 0.162  -0.054 0.093  -0.041 0.025  -0.029 -0.043  -0.016 -0.111  -0.003 -0.180  0.009 -0.248  0.022 -0.316  0.035 -0.384  0.047 -0.453  0.068 -0.519  0.090 -0.585  0.113 -0.650  0.136 -0.716  0.158 -0.782  0.181 -0.847  0.204 -0.913  0.226 -0.978  0.249 -1.044  0.271 -1.110  0.294 -1.175  0.317 -1.241  0.339 -1.307  0.362 -1.372  0.385 -1.438  0.407 -1.504  0.430 -1.569  0.453 -1.635
3#apb#apb07#app0719/t  -0.635 1.210  -0.681 1.163  -0.716 1.021  -0.731 0.875  -0.746 0.729  -0.751 0.583  -0.731 0.438  -0.712 0.293  -0.693 0.147  -0.652 0.007  -0.604 -0.132  -0.557 -0.270  -0.510 -0.409  -0.448 -0.542  -0.382 -0.673  -0.317 -0.804  -0.251 -0.935  -0.178 -1.062  -0.106 -1.190  -0.034 -1.317  0.029 -1.450  0.108 -1.571  0.159 -1.462  0.203 -1.322  0.247 -1.182  0.290 -1.042  0.334 -0.902  0.378 -0.762  0.422 -0.622  0.466 -0.482  0.509 -0.343  0.553 -0.203  0.597 -0.063  0.641 0.077  0.685 0.217  0.729 0.357  0.772 0.497  0.816 0.637  0.860 0.777  0.873 0.855  0.735 0.892  0.589 0.899  0.442 0.899  0.296 0.899  0.149 0.899  0.002 0.899  -0.144 0.890  -0.290 0.875  -0.435 0.860  -0.581 0.845
3#apb#apb07#app0719/o  0.274 0.009  0.348 0.114  0.402 0.229  0.435 0.353  0.430 0.478  0.395 0.602  0.325 0.707  0.243 0.808  0.155 0.897  0.035 0.945  -0.085 0.993  -0.204 1.041  -0.331 1.057  -0.460 1.069  -0.588 1.080  -0.690 1.001  -0.791 0.921  -0.892 0.841  -0.917 0.715  -0.940 0.588  -0.964 0.462  -0.988 0.335  -0.957 0.210  -0.923 0.086  -0.889 -0.038  -0.855 -0.163  -0.790 -0.271  -0.712 -0.374  -0.633 -0.476  -0.555 -0.578  -0.476 -0.680  -0.362 -0.740  -0.248 -0.801  -0.135 -0.861  -0.021 -0.922  0.101 -0.956  0.229 -0.965  0.358 -0.974  0.486 -0.981  0.606 -0.934  0.726 -0.887  0.846 -0.840  0.953 -0.776  1.032 -0.674  1.111 -0.572  1.190 -0.470  1.194 -0.345  1.186 -0.217  1.178 -0.088  1.169 0.041
3#apb#apb07#app0719/r  -0.834 1.505  -0.883 1.269  -0.883 1.028  -0.879 0.786  -0.860 0.546  -0.842 0.305  -0.795 0.070  -0.727 -0.162  -0.658 -0.393  -0.575 -0.619  -0.491 -0.846  -0.410 -1.073  -0.334 -1.302  -0.253 -1.529  -0.235 -1.361  -0.268 -1.122  -0.294 -0.882  -0.287 -0.641  -0.280 -0.400  -0.271 -0.159  -0.262 0.082  -0.252 0.324  -0.239 0.564  -0.221 0.805  -0.202 1.046  -0.101 1.258  0.111 1.281  0.330 1.196  0.524 1.053  0.698 0.888  0.854 0.704  0.949 0.484  1.019 0.254  1.017 0.020  0.865 -0.132  0.631 -0.134  0.397 -0.073  0.176 0.022  -0.044 0.123  -0.277 0.180  -0.364 0.118  -0.215 -0.072  -0.030 -0.226  0.160 -0.374  0.376 -0.480  0.596 -0.580  0.815 -0.681  1.032 -0.785  1.250 -0.889  1.468 -0.993
3#apb#apb07#app0719/V  -0.986 0.931  -0.981 0.929  -0.966 0.817  -0.957 0.705  -0.947 0.593  -0.908 0.487  -0.870 0.381  -0.831 0.275  -0.792 0.170  -0.750 0.065  -0.709 -0.040  -0.667 -0.144  -0.625 -0.249  -0.571 -0.348  -0.515 -0.446  -0.460 -0.543  -0.404 -0.641  -0.354 -0.742  -0.306 -0.844  -0.258 -0.946  -0.214 -1.050  -0.175 -1.156  -0.154 -1.260  -0.072 -1.186  0.001 -1.100  0.074 -1.014  0.134 -0.919  0.193 -0.824  0.252 -0.728  0.312 -0.632  0.371 -0.536  0.419 -0.434  0.466 -0.331  0.512 -0.229  0.559 -0.127  0.606 -0.024  0.653 0.078  0.685 0.186  0.707 0.296  0.729 0.407  0.751 0.517  0.774 0.627  0.796 0.738  0.818 0.848  0.808 0.960  0.795 1.072  0.783 1.184  0.771 1.296  0.758 1.408  0.746 1.520
3#apb#apb07#app0719/P  -0.600 1.076  -0.600 1.023  -0.599 0.855  -0.591 0.686  -0.574 0.519  -0.538 0.355  -0.501 0.190  -0.467 0.025  -0.433 -0.140  -0.399 -0.305  -0.362 -0.469  -0.324 -0.634  -0.287 -0.798  -0.277 -0.966  -0.271 -1.134  -0.281 -1.302  -0.301 -1.469  -0.373 -1.589  -0.399 -1.423  -0.399 -1.255  -0.397 -1.086  -0.383 -0.918  -0.369 -0.750  -0.355 -0.582  -0.343 -0.414  -0.332 -0.246  -0.320 -0.078  -0.310 0.090  -0.302 0.259  -0.295 0.427  -0.287 0.595  -0.278 0.763  -0.265 0.932  -0.232 1.082  -0.069 1.126  0.089 1.086  0.247 1.026  0.400 0.959  0.530 0.852  0.661 0.745  0.790 0.637  0.909 0.518  1.029 0.399  1.148 0.280  1.253 0.148  1.358 0.016  1.357 -0.146  1.272 -0.262  1.114 -0.321  0.956 -0.380
3#apb#apb07#app0719/O  -0.245 -0.522  -0.149 -0.447  -0.031 -0.374  0.081 -0.290  0.180 -0.192  0.279 -0.094  0.357 0.021  0.424 0.144  0.489 0.267  0.530 0.401  0.570 0.535  0.565 0.671  0.541 0.809  0.515 0.946  0.453 1.071  0.390 1.196  0.314 1.310  0.198 1.387  0.077 1.449  -0.063 1.449  -0.176 1.395  -0.263 1.286  -0.350 1.176  -0.394 1.046  -0.424 0.910  -0.453 0.773  -0.483 0.636  -0.500 0.498  -0.500 0.359  -0.500 0.219  -0.500 0.079  -0.500 -0.061  -0.500 -0.201  -0.466 -0.336  -0.431 -0.472  -0.397 -0.607  -0.362 -0.742  -0.327 -0.878  -0.249 -0.993  -0.167 -1.106  -0.085 -1.219  -0.003 -1.332  0.090 -1.437  0.184 -1.540  0.290 -1.525  0.359 -1.403  0.407 -1.276  0.407 -1.136  0.407 -0.996  0.407 -0.856
3#apb#apb07#app0719/p  -0.438 1.257  -0.460 1.093  -0.458 0.928  -0.445 0.762  -0.424 0.598  -0.389 0.436  -0.354 0.273  -0.317 0.112  -0.268 -0.047  -0.219 -0.205  -0.170 -0.364  -0.118 -0.522  -0.062 -0.678  -0.007 -0.834  0.049 -0.991  0.093 -1.150  0.126 -1.313  0.159 -1.475  0.134 -1.639  0.011 -1.691  -0.122 -1.604  -0.222 -1.471  -0.298 -1.330  -0.309 -1.164  -0.320 -0.998  -0.309 -0.834  -0.285 -0.670  -0.260 -0.505  -0.235 -0.341  -0.212 -0.177  -0.189 -0.013  -0.165 0.152  -0.142 0.316  -0.111 0.479  -0.079 0.642  -0.047 0.805  -0.015 0.968  0.032 1.127  0.081 1.285  0.191 1.377  0.338 1.355  0.462 1.245  0.570 1.121  0.657 0.980  0.736 0.834  0.799 0.681  0.834 0.524  0.810 0.360  0.737 0.217  0.629 0.091
3#apb#apb07#app0719/e  -0.918 -0.803  -0.846 -0.675  -0.716 -0.634  -0.570 -0.642  -0.423 -0.653  -0.276 -0.653  -0.132 -0.640  0.007 -0.590  0.131 -0.519  0.231 -0.411  0.331 -0.304  0.388 -0.169  0.443 -0.032  0.486 0.106  0.486 0.253  0.486 0.400  0.480 0.546  0.455 0.691  0.430 0.836  0.405 0.981  0.368 1.122  0.320 1.261  0.271 1.400  0.205 1.529  0.113 1.644  0.019 1.580  -0.022 1.442  -0.050 1.298  -0.076 1.153  -0.083 1.006  -0.091 0.860  -0.098 0.713  -0.106 0.566  -0.113 0.419  -0.120 0.272  -0.127 0.126  -0.134 -0.021  -0.141 -0.168  -0.148 -0.315  -0.150 -0.462  -0.150 -0.608  -0.150 -0.755  -0.150 -0.902  -0.139 -1.049  -0.119 -1.194  -0.099 -1.340  -0.079 -1.485  -0.035 -1.625  0.040 -1.742  0.168 -1.813
