1b#app#app40#app4065/V  -0.679 1.518  -0.679 1.376  -0.679 1.234  -0.679 1.092  -0.679 0.949  -0.679 0.807  -0.679 0.665  -0.679 0.523  -0.679 0.381  -0.679 0.239  -0.679 0.097  -0.679 -0.045  -0.679 -0.188  -0.572 -0.223  -0.430 -0.223  -0.331 -0.266  -0.331 -0.408  -0.331 -0.550  -0.331 -0.692  -0.331 -0.834  -0.331 -0.976  -0.331 -1.119  -0.331 -1.261  -0.196 -1.268  -0.053 -1.268  0.018 -1.197  0.018 -1.055  0.025 -0.920  0.167 -0.920  0.309 -0.920  0.366 -0.834  0.366 -0.692  0.366 -0.550  0.366 -0.408  0.366 -0.266  0.465 -0.223  0.607 -0.223  0.714 -0.188  0.714 -0.045  0.714 0.097  0.714 0.239  0.714 0.381  0.714 0.523  0.714 0.665  0.714 0.807  0.714 0.949  0.714 1.092  0.714 1.234  0.714 1.376  0.714 1.518
1b#app#app40#app4065/E  -0.558 0.411  -0.558 0.187  -0.558 -0.038  -0.709 -0.111  -0.819 -0.225  -0.819 -0.450  -0.819 -0.674  -0.814 -0.894  -0.589 -0.894  -0.511 -0.707  -0.456 -0.489  -0.402 -0.271  -0.347 -0.053  -0.293 0.164  -0.239 0.382  -0.184 0.600  -0.130 0.818  -0.075 1.035  0.025 1.195  0.250 1.195  0.474 1.195  0.487 1.406  0.662 1.456  0.886 1.456  0.945 1.376  0.805 1.201  0.664 1.025  0.524 0.850  0.384 0.675  0.244 0.499  0.104 0.324  -0.034 0.150  0.191 0.150  0.415 0.150  0.640 0.150  0.665 0.068  0.506 -0.091  0.348 -0.250  0.189 -0.408  0.030 -0.567  -0.128 -0.726  -0.287 -0.884  -0.446 -1.043  -0.510 -1.202  -0.352 -1.361  -0.150 -1.416  0.074 -1.416  0.299 -1.416  0.487 -1.379  0.487 -1.155
1b#app#app40#app4065/X  -1.327 0.603  -1.115 0.603  -1.018 0.489  -1.018 0.277  -1.018 0.065  -0.887 -0.016  -0.675 -0.016  -0.463 -0.016  -0.398 -0.163  -0.349 -0.326  -0.137 -0.326  0.027 -0.442  0.177 -0.592  0.371 -0.636  0.531 -0.687  0.531 -0.899  0.697 -0.946  0.841 -1.014  0.841 -1.226  0.821 -1.074  0.798 -0.863  0.774 -0.653  0.751 -0.442  0.727 -0.231  0.704 -0.020  0.680 0.190  0.657 0.401  0.634 0.612  0.610 0.822  0.587 1.033  0.563 1.244  0.540 1.455  0.531 1.399  0.496 1.223  0.284 1.223  0.222 1.073  0.222 0.861  0.222 0.649  0.073 0.529  -0.117 0.434  -0.306 0.339  -0.398 0.184  -0.406 -0.024  -0.556 -0.174  -0.706 -0.324  -0.708 -0.536  -0.708 -0.748  -0.718 -0.956  -0.868 -1.105  -1.018 -1.255
1b#app#app40#app4065/I  -0.009 1.041  -0.009 0.779  -0.009 0.517  0.159 0.424  0.299 0.302  0.299 0.040  0.299 -0.223  0.299 -0.485  0.299 -0.747  0.299 -1.009  0.216 -0.995  0.070 -0.777  -0.075 -0.559  -0.220 -0.341  -0.366 -0.123  -0.511 0.095  -0.657 0.313  -0.802 0.532  -0.915 0.733  -0.653 0.733  -0.391 0.733  -0.184 0.866  0.005 1.041  0.267 1.041  0.529 1.041  0.792 1.041  1.014 1.138  1.199 1.323  1.067 1.192  0.882 1.006  0.697 0.821  0.511 0.636  0.326 0.450  0.141 0.265  -0.045 0.080  -0.230 -0.106  -0.415 -0.291  -0.601 -0.477  -0.786 -0.662  -0.972 -0.847  -1.157 -1.033  -1.107 -1.121  -0.845 -1.121  -0.583 -1.121  -0.321 -1.121  -0.059 -1.121  0.204 -1.121  0.448 -1.046  0.683 -0.929  0.917 -0.812
1b#app#app40#app4065/N  -0.848 -0.324  -0.848 -0.499  -0.936 -0.587  -1.112 -0.587  -1.112 -0.763  -1.024 -0.851  -0.849 -0.851  -0.848 -0.675  -0.848 -0.500  -0.848 -0.324  -0.848 -0.149  -0.787 0.002  -0.662 0.126  -0.585 0.269  -0.585 0.445  -0.585 0.620  -0.538 0.777  -0.414 0.901  -0.321 1.038  -0.321 1.214  -0.321 1.125  -0.321 0.950  -0.321 0.774  -0.321 0.598  -0.277 0.467  -0.102 0.467  -0.058 0.335  -0.058 0.160  -0.058 -0.016  -0.058 -0.192  -0.014 -0.324  0.161 -0.324  0.206 -0.455  0.249 -0.587  0.425 -0.587  0.469 -0.718  0.512 -0.851  0.688 -0.851  0.825 -0.758  0.949 -0.634  1.073 -0.510  1.198 -0.385  1.259 -0.235  1.259 -0.060  1.259 0.116  1.259 0.291  1.259 0.467  1.259 0.643  1.259 0.818  1.259 0.994
1b#app#app40#app4065/G  -0.266 1.335  -0.266 1.181  -0.310 1.072  -0.464 1.072  -0.591 1.009  -0.700 0.900  -0.809 0.792  -0.917 0.683  -1.026 0.574  -1.054 0.432  -1.054 0.278  -1.054 0.125  -1.054 -0.029  -1.054 -0.183  -1.054 -0.336  -1.054 -0.490  -0.915 -0.505  -0.791 -0.534  -0.791 -0.688  -0.717 -0.767  -0.563 -0.767  -0.409 -0.767  -0.256 -0.767  -0.102 -0.767  0.052 -0.767  0.205 -0.767  0.330 -0.697  0.439 -0.589  0.557 -0.505  0.711 -0.505  0.865 -0.505  1.018 -0.505  1.048 -0.381  1.063 -0.242  1.217 -0.242  1.311 -0.182  1.311 -0.029  1.311 0.125  1.311 0.279  1.162 0.284  1.008 0.284  0.855 0.284  0.701 0.284  0.547 0.284  0.394 0.284  0.240 0.284  0.086 0.284  -0.048 0.238  -0.157 0.130  -0.266 0.021
1b#app#app40#app4065/D  -0.452 0.825  -0.261 0.825  -0.200 0.695  -0.200 0.504  -0.200 0.313  -0.200 0.123  -0.200 -0.068  -0.200 -0.259  -0.200 -0.450  -0.200 -0.640  -0.200 -0.831  -0.200 -1.022  -0.212 -1.162  -0.298 -0.991  -0.383 -0.821  -0.468 -0.650  -0.554 -0.479  -0.639 -0.309  -0.724 -0.138  -0.809 0.033  -0.895 0.203  -0.980 0.374  -1.065 0.544  -1.151 0.715  -1.138 0.825  -0.947 0.825  -0.756 0.825  -0.566 0.825  -0.375 0.825  -0.184 0.825  0.007 0.825  0.197 0.825  0.388 0.825  0.579 0.825  0.770 0.825  0.915 0.715  1.050 0.580  1.056 0.392  1.056 0.202  1.056 0.011  1.056 -0.180  1.056 -0.371  1.056 -0.561  0.987 -0.683  0.805 -0.692  0.805 -0.882  0.707 -1.033  0.572 -1.167  0.437 -1.302  0.302 -1.437
1b#app#app40#app4065/A  -0.176 0.347  -0.358 0.165  -0.528 -0.027  -0.643 -0.258  -0.759 -0.488  -0.836 -0.728  -0.823 -0.973  -0.565 -0.973  -0.506 -0.774  -0.506 -0.516  -0.506 -0.258  -0.506 -0.000  -0.265 0.017  -0.176 0.185  -0.176 0.443  -0.176 0.701  -0.176 0.959  -0.176 1.217  -0.176 1.475  -0.176 1.733  -0.176 1.991  0.002 1.820  0.154 1.625  0.154 1.367  0.154 1.109  0.154 0.851  0.154 0.593  0.163 0.339  0.345 0.156  0.484 -0.044  0.484 -0.302  0.484 -0.560  0.608 -0.767  0.791 -0.949  0.814 -1.198  0.814 -1.456  0.764 -1.571  0.603 -1.369  0.442 -1.168  0.281 -0.966  0.120 -0.765  -0.041 -0.563  -0.203 -0.362  -0.364 -0.161  -0.475 0.017  -0.217 0.017  0.041 0.017  0.299 0.017  0.556 0.017  0.814 0.017
1b#app#app40#app4065/F  -0.430 0.255  -0.430 0.070  -0.521 -0.077  -0.651 -0.207  -0.671 -0.384  -0.671 -0.568  -0.671 -0.752  -0.671 -0.937  -0.671 -1.121  -0.671 -1.306  -0.671 -1.490  -0.671 -1.672  -0.635 -1.491  -0.598 -1.310  -0.562 -1.129  -0.526 -0.948  -0.490 -0.767  -0.454 -0.586  -0.417 -0.405  -0.381 -0.224  -0.345 -0.044  -0.309 0.137  -0.273 0.318  -0.237 0.499  -0.200 0.680  -0.062 0.736  0.102 0.786  0.232 0.917  0.391 0.977  0.576 0.977  0.760 0.977  0.945 0.977  1.129 0.977  1.257 1.034  1.256 1.218  1.126 1.088  0.996 0.957  0.865 0.827  0.735 0.696  0.604 0.566  0.474 0.435  0.343 0.305  0.213 0.175  0.082 0.044  -0.048 -0.086  -0.178 -0.217  -0.020 -0.227  0.165 -0.227  0.349 -0.227  0.534 -0.227
1b#app#app40#app4065/T  0.260 0.688  0.260 0.538  0.260 0.389  0.260 0.239  0.260 0.090  0.260 -0.059  0.260 -0.209  0.260 -0.358  0.260 -0.507  0.260 -0.657  0.260 -0.806  0.260 -0.955  0.260 -1.105  0.260 -1.254  0.260 -1.403  0.260 -1.553  0.247 -1.638  0.186 -1.502  0.125 -1.365  0.065 -1.229  0.004 -1.092  -0.057 -0.956  -0.117 -0.819  -0.178 -0.683  -0.239 -0.546  -0.299 -0.410  -0.360 -0.273  -0.421 -0.137  -0.481 -0.000  -0.542 0.136  -0.602 0.273  -0.663 0.409  -0.724 0.546  -0.784 0.682  -0.845 0.819  -0.906 0.955  -0.798 0.982  -0.648 0.982  -0.499 0.982  -0.350 0.982  -0.200 0.982  -0.051 0.982  0.098 0.982  0.248 0.982  0.397 0.982  0.547 0.982  0.696 0.982  0.845 0.982  0.995 0.982  1.144 0.982
1b#app#app40#app4065/J  0.275 0.330  0.275 0.495  0.157 0.541  0.135 0.541  0.275 0.517  0.275 0.353  0.275 0.188  0.371 0.119  0.486 0.070  0.486 -0.094  0.486 -0.258  0.486 -0.423  0.486 -0.587  0.486 -0.752  0.486 -0.916  0.342 -0.936  0.188 -0.980  0.041 -1.053  -0.106 -1.127  -0.266 -1.147  -0.430 -1.147  -0.594 -1.147  -0.759 -1.147  -0.780 -1.004  -0.877 -0.936  -0.991 -0.887  -0.991 -0.722  -0.991 -0.558  -0.968 -0.396  -0.935 -0.235  -0.903 -0.073  -0.871 0.088  -0.839 0.249  -0.806 0.410  -0.750 0.541  -0.585 0.541  -0.464 0.646  -0.344 0.752  -0.179 0.752  -0.015 0.752  0.150 0.752  0.314 0.752  0.478 0.752  0.643 0.752  0.775 0.830  0.891 0.946  1.049 0.964  1.213 0.964  1.377 0.964  1.542 0.964
