3#app#app06#app0630/O  -0.630 0.049  -0.670 0.147  -0.679 0.277  -0.657 0.412  -0.630 0.546  -0.581 0.665  -0.569 0.799  -0.531 0.922  -0.482 1.040  -0.414 1.151  -0.341 1.267  -0.260 1.329  -0.126 1.318  -0.013 1.255  0.091 1.166  0.197 1.081  0.280 0.970  0.373 0.868  0.447 0.753  0.493 0.622  0.578 0.516  0.635 0.392  0.690 0.265  0.749 0.141  0.749 0.002  0.799 -0.125  0.799 -0.264  0.799 -0.403  0.799 -0.541  0.799 -0.680  0.749 -0.798  0.714 -0.922  0.645 -1.041  0.532 -1.119  0.421 -1.199  0.290 -1.232  0.151 -1.232  0.013 -1.232  -0.112 -1.171  -0.236 -1.109  -0.344 -1.025  -0.442 -0.927  -0.508 -0.809  -0.578 -0.693  -0.650 -0.579  -0.679 -0.445  -0.679 -0.306  -0.679 -0.168  -0.670 -0.031  -0.630 0.098
3#app#app06#app0630/v  -0.795 0.754  -0.828 0.652  -0.962 0.652  -0.999 0.555  -0.999 0.421  -0.999 0.286  -0.934 0.179  -0.815 0.142  -0.714 0.061  -0.619 -0.034  -0.524 -0.129  -0.429 -0.224  -0.334 -0.319  -0.239 -0.414  -0.144 -0.509  -0.049 -0.604  0.046 -0.699  0.141 -0.794  0.236 -0.889  0.331 -0.984  0.426 -1.079  0.521 -1.174  0.616 -1.269  0.711 -1.364  0.735 -1.289  0.735 -1.155  0.708 -1.027  0.647 -0.907  0.633 -0.776  0.538 -0.681  0.501 -0.553  0.468 -0.423  0.436 -0.292  0.353 -0.190  0.284 -0.077  0.225 0.044  0.225 0.178  0.195 0.305  0.134 0.425  0.123 0.557  0.106 0.687  0.045 0.807  0.021 0.936  0.021 1.070  0.021 1.205  0.021 1.339  0.021 1.473  0.021 1.608  0.021 1.742  0.123 1.774
3#app#app06#app0630/e  -0.229 -0.329  -0.093 -0.320  -0.076 -0.192  0.044 -0.167  0.068 -0.032  0.170 0.071  0.180 0.211  0.279 0.315  0.381 0.418  0.484 0.520  0.586 0.623  0.590 0.766  0.590 0.911  0.590 1.056  0.590 1.201  0.553 1.309  0.408 1.309  0.263 1.309  0.118 1.309  -0.006 1.259  -0.108 1.156  -0.211 1.054  -0.229 0.917  -0.319 0.809  -0.401 0.692  -0.466 0.562  -0.547 0.445  -0.638 0.337  -0.638 0.193  -0.653 0.051  -0.718 -0.078  -0.775 -0.210  -0.775 -0.355  -0.750 -0.490  -0.648 -0.592  -0.638 -0.733  -0.635 -0.875  -0.494 -0.883  -0.391 -0.985  -0.289 -1.088  -0.168 -1.147  -0.024 -1.147  0.121 -1.147  0.266 -1.147  0.411 -1.147  0.556 -1.147  0.701 -1.147  0.846 -1.147  0.991 -1.147  1.136 -1.147
3#app#app06#app0630/r  -0.834 0.964  -0.733 0.863  -0.692 0.738  -0.692 0.595  -0.632 0.478  -0.550 0.369  -0.550 0.226  -0.530 0.092  -0.429 -0.009  -0.358 -0.131  -0.294 -0.258  -0.209 -0.371  -0.108 -0.472  -0.008 -0.572  0.093 -0.673  0.194 -0.774  0.295 -0.875  0.396 -0.976  0.497 -1.077  0.603 -1.165  0.740 -1.178  0.841 -1.279  0.972 -1.307  0.937 -1.234  0.837 -1.133  0.736 -1.032  0.635 -0.931  0.534 -0.830  0.437 -0.727  0.373 -0.599  0.309 -0.472  0.213 -0.368  0.130 -0.254  0.066 -0.127  -0.007 -0.006  -0.107 0.095  -0.125 0.231  -0.125 0.373  -0.209 0.481  -0.294 0.593  -0.358 0.721  -0.409 0.851  -0.409 0.994  -0.409 1.136  -0.387 1.270  -0.286 1.371  -0.185 1.471  -0.084 1.572  0.017 1.673  0.159 1.674
3#app#app06#app0630/T  -0.375 0.856  -0.343 0.991  -0.263 0.879  -0.193 0.742  -0.172 0.584  -0.097 0.436  -0.023 0.287  0.052 0.138  0.117 -0.014  0.172 -0.171  0.247 -0.319  0.334 -0.459  0.445 -0.581  0.519 -0.730  0.594 -0.879  0.668 -1.027  0.765 -1.160  0.835 -1.297  0.906 -1.434  0.974 -1.475  0.929 -1.328  0.808 -1.214  0.686 -1.101  0.564 -0.988  0.443 -0.874  0.321 -0.761  0.199 -0.648  0.077 -0.534  -0.044 -0.421  -0.166 -0.308  -0.288 -0.195  -0.409 -0.081  -0.531 0.032  -0.653 0.145  -0.774 0.259  -0.896 0.372  -0.982 0.402  -1.117 0.398  -1.037 0.531  -0.900 0.601  -0.765 0.695  -0.609 0.747  -0.447 0.788  -0.366 0.928  -0.217 1.003  -0.076 1.088  0.045 1.201  0.197 1.261  0.345 1.306  0.502 1.328
3#app#app06#app0630/h  -1.087 1.825  -1.008 1.746  -0.947 1.620  -0.943 1.468  -0.875 1.332  -0.807 1.196  -0.739 1.060  -0.701 0.912  -0.660 0.766  -0.576 0.640  -0.498 0.509  -0.438 0.370  -0.390 0.225  -0.342 0.081  -0.284 -0.060  -0.225 -0.200  -0.177 -0.344  -0.109 -0.480  -0.060 -0.624  -0.002 -0.764  0.034 -0.908  0.082 -1.053  0.166 -1.175  0.225 -1.303  0.145 -1.266  0.101 -1.124  0.054 -0.992  0.031 -0.849  0.031 -0.697  -0.022 -0.567  -0.038 -0.421  -0.038 -0.269  -0.038 -0.117  -0.008 0.030  0.031 0.176  0.060 0.317  0.101 0.452  0.208 0.498  0.360 0.498  0.474 0.405  0.581 0.297  0.679 0.182  0.730 0.042  0.783 -0.098  0.877 -0.216  0.940 -0.353  0.982 -0.495  1.074 -0.615  1.113 -0.757  1.149 -0.900
3#app#app06#app0630/e  -0.225 -0.114  -0.225 -0.221  -0.181 -0.114  -0.096 -0.048  -0.008 0.015  0.033 0.125  0.035 0.275  0.141 0.382  0.217 0.511  0.284 0.646  0.387 0.756  0.420 0.893  0.420 1.044  0.420 1.196  0.420 1.347  0.358 1.435  0.231 1.375  0.124 1.268  0.011 1.177  -0.127 1.146  -0.231 1.037  -0.298 0.902  -0.372 0.772  -0.479 0.665  -0.586 0.558  -0.613 0.418  -0.615 0.268  -0.683 0.132  -0.742 -0.005  -0.742 -0.156  -0.742 -0.307  -0.742 -0.458  -0.742 -0.609  -0.650 -0.722  -0.613 -0.857  -0.528 -0.973  -0.421 -1.080  -0.298 -1.147  -0.147 -1.147  0.004 -1.147  0.155 -1.147  0.305 -1.140  0.440 -1.073  0.578 -1.018  0.714 -0.982  0.827 -0.889  0.966 -0.860  1.075 -0.760  1.217 -0.737  1.324 -0.631
3#app#app06#app0630/L  -0.617 1.327  -0.634 1.394  -0.683 1.429  -0.683 1.408  -0.683 1.324  -0.668 1.246  -0.617 1.183  -0.617 1.098  -0.617 1.014  -0.588 0.936  -0.550 0.861  -0.542 0.778  -0.505 0.703  -0.483 0.624  -0.483 0.539  -0.451 0.462  -0.416 0.386  -0.416 0.302  -0.393 0.225  -0.346 0.154  -0.300 0.084  -0.283 0.005  -0.283 -0.079  -0.283 -0.164  -0.254 -0.236  -0.216 -0.305  -0.182 -0.375  -0.149 -0.446  -0.149 -0.530  -0.098 -0.593  -0.020 -0.608  0.041 -0.665  0.101 -0.725  0.160 -0.785  0.235 -0.809  0.312 -0.839  0.388 -0.875  0.472 -0.875  0.557 -0.875  0.625 -0.836  0.698 -0.809  0.782 -0.809  0.843 -0.751  0.922 -0.739  0.981 -0.679  1.056 -0.640  1.133 -0.608  1.217 -0.608  1.302 -0.608  1.386 -0.608
3#app#app06#app0630/a  -0.640 0.426  -0.640 0.633  -0.575 0.813  -0.429 0.960  -0.223 0.964  -0.016 0.964  0.147 0.856  0.315 0.762  0.462 0.615  0.608 0.469  0.651 0.279  0.651 0.072  0.641 -0.133  0.548 -0.318  0.544 -0.525  0.459 -0.712  0.328 -0.869  0.236 -1.019  0.064 -1.130  -0.120 -1.189  -0.327 -1.189  -0.502 -1.111  -0.640 -1.024  -0.710 -0.833  -0.835 -0.671  -0.963 -0.517  -0.963 -0.310  -0.963 -0.102  -0.963 0.105  -0.963 0.312  -0.855 0.475  -0.826 0.670  -0.748 0.845  -0.659 0.964  -0.560 1.071  -0.405 0.944  -0.234 0.856  -0.102 0.718  -0.010 0.549  0.137 0.402  0.283 0.256  0.392 0.082  0.527 -0.066  0.700 -0.181  0.855 -0.317  1.002 -0.463  1.148 -0.610  1.295 -0.756  1.366 -0.934  1.512 -1.081
3#app#app06#app0630/z  -1.457 1.064  -1.332 1.153  -1.156 1.241  -0.950 1.273  -0.751 1.329  -0.538 1.329  -0.325 1.329  -0.118 1.315  0.059 1.227  0.209 1.076  0.310 0.957  0.310 0.744  0.307 0.532  0.221 0.355  0.193 0.153  0.043 0.002  -0.044 -0.190  -0.107 -0.388  -0.203 -0.579  -0.258 -0.778  -0.309 -0.979  -0.208 -1.144  0.005 -1.144  0.133 -1.059  0.343 -1.055  0.535 -1.006  0.732 -0.967  0.914 -0.893  1.121 -0.879  1.281 -0.826  1.113 -0.732  0.912 -0.662  0.711 -0.592  0.510 -0.522  0.309 -0.452  0.108 -0.382  -0.093 -0.312  -0.294 -0.242  -0.496 -0.172  -0.697 -0.102  -0.750 -0.240  -0.765 -0.187  -0.614 -0.036  -0.418 0.005  -0.242 0.093  -0.049 0.179  0.163 0.181  0.338 0.279  0.540 0.346  0.751 0.358
3#app#app06#app0630/y  0.337 1.542  0.439 1.412  0.368 1.269  0.337 1.109  0.337 0.937  0.337 0.764  0.337 0.592  0.340 0.420  0.417 0.266  0.439 0.099  0.439 -0.074  0.439 -0.246  0.439 -0.418  0.439 -0.591  0.439 -0.763  0.439 -0.936  0.439 -1.108  0.439 -1.281  0.540 -1.411  0.540 -1.583  0.516 -1.667  0.428 -1.518  0.340 -1.370  0.252 -1.222  0.164 -1.073  0.077 -0.925  -0.011 -0.777  -0.099 -0.628  -0.187 -0.480  -0.275 -0.332  -0.363 -0.183  -0.451 -0.035  -0.539 0.113  -0.627 0.262  -0.715 0.410  -0.802 0.558  -0.890 0.707  -0.978 0.855  -1.066 1.003  -0.959 1.010  -0.818 0.933  -0.685 0.838  -0.563 0.716  -0.427 0.628  -0.290 0.544  -0.138 0.494  -0.016 0.372  0.136 0.322  0.266 0.222  0.439 0.222
