2#app#app18#app1824/f  -0.050 -1.390  -0.062 -1.609  -0.268 -1.585  -0.268 -1.355  -0.268 -1.125  -0.268 -0.895  -0.318 -0.685  -0.481 -0.522  -0.487 -0.295  -0.487 -0.064  -0.487 0.166  -0.459 0.384  -0.296 0.547  -0.268 0.766  -0.066 0.794  -0.050 1.008  0.168 1.020  0.188 1.230  0.418 1.230  0.648 1.230  0.878 1.230  1.109 1.230  1.260 1.152  1.189 0.957  1.008 0.815  0.826 0.674  0.644 0.533  0.462 0.391  0.281 0.250  0.099 0.109  -0.083 -0.033  -0.264 -0.174  -0.446 -0.315  -0.628 -0.457  -0.837 -0.517  -1.067 -0.517  -1.142 -0.672  -1.142 -0.568  -0.963 -0.517  -0.732 -0.517  -0.502 -0.517  -0.487 -0.302  -0.260 -0.298  -0.030 -0.298  0.191 -0.276  0.354 -0.113  0.570 -0.080  0.800 -0.080  1.030 -0.080  1.042 0.138
2#app#app18#app1824/e  -1.438 -0.045  -1.245 -0.045  -1.053 -0.045  -0.860 -0.045  -0.668 -0.045  -0.475 -0.045  -0.283 -0.045  -0.090 -0.045  0.102 -0.045  0.295 -0.045  0.374 0.069  0.378 0.257  0.571 0.257  0.676 0.345  0.676 0.537  0.796 0.680  0.933 0.816  0.850 0.861  0.676 0.880  0.676 1.073  0.574 1.163  0.381 1.163  0.189 1.163  0.072 1.088  0.072 0.895  -0.087 0.861  -0.265 0.826  -0.401 0.690  -0.532 0.552  -0.532 0.359  -0.596 0.193  -0.732 0.057  -0.834 -0.093  -0.834 -0.286  -0.834 -0.478  -0.834 -0.671  -0.834 -0.863  -0.729 -0.951  -0.536 -0.951  -0.344 -0.951  -0.151 -0.951  0.042 -0.951  0.234 -0.951  0.427 -0.951  0.619 -0.951  0.812 -0.951  1.004 -0.951  1.197 -0.951  1.280 -0.841  1.280 -0.649
2#app#app18#app1824/w  -1.346 0.635  -1.346 0.464  -1.346 0.293  -1.346 0.122  -1.346 -0.048  -1.232 -0.172  -1.115 -0.295  -1.115 -0.466  -1.115 -0.636  -1.059 -0.751  -0.888 -0.751  -0.717 -0.751  -0.653 -0.645  -0.606 -0.520  -0.436 -0.520  -0.422 -0.363  -0.325 -0.289  -0.191 -0.252  -0.191 -0.081  -0.191 0.090  -0.129 0.235  -0.008 0.356  -0.032 0.477  -0.153 0.597  -0.073 0.635  0.040 0.578  0.040 0.407  0.040 0.236  0.040 0.065  0.040 -0.106  0.040 -0.277  0.040 -0.448  0.139 -0.520  0.310 -0.520  0.481 -0.520  0.651 -0.520  0.822 -0.520  0.965 -0.491  0.965 -0.321  0.965 -0.150  1.044 -0.058  1.196 -0.039  1.196 0.132  1.196 0.303  1.196 0.474  1.196 0.645  1.196 0.816  1.196 0.987  1.196 1.157  1.196 1.328
2#app#app18#app1824/q  -0.114 0.974  -0.196 1.142  -0.445 1.142  -0.671 1.087  -0.848 0.911  -0.951 0.705  -1.119 0.623  -1.119 0.374  -1.107 0.137  -0.951 0.043  -0.784 -0.039  -0.694 -0.198  -0.445 -0.198  -0.281 -0.112  -0.114 -0.031  -0.032 0.137  0.053 0.300  0.053 0.394  0.053 0.464  0.053 0.713  0.053 0.962  0.053 1.211  -0.098 1.309  -0.114 1.076  0.033 0.974  0.053 0.746  0.053 0.496  0.094 0.264  0.221 0.067  0.114 -0.138  0.053 -0.362  0.053 -0.611  0.053 -0.860  0.053 -1.109  0.163 -1.313  0.221 -1.538  0.401 -1.706  0.650 -1.706  0.732 -1.538  0.891 -1.448  0.891 -1.199  0.891 -0.950  0.891 -0.701  0.891 -0.452  0.728 -0.366  0.669 -0.143  0.556 0.059  0.384 0.137  0.135 0.137  -0.114 0.137
2#app#app18#app1824/u  -1.155 0.256  -1.155 0.434  -1.155 0.611  -1.155 0.788  -1.155 0.931  -1.155 0.754  -1.155 0.576  -1.155 0.399  -1.155 0.222  -1.155 0.045  -1.155 -0.132  -1.155 -0.309  -1.119 -0.471  -0.993 -0.596  -0.845 -0.665  -0.668 -0.665  -0.491 -0.665  -0.314 -0.665  -0.136 -0.665  0.028 -0.635  0.153 -0.510  0.278 -0.384  0.404 -0.259  0.458 -0.105  0.505 0.026  0.682 0.026  0.689 0.196  0.689 0.373  0.689 0.550  0.689 0.727  0.689 0.905  0.555 0.948  0.458 0.867  0.431 0.717  0.254 0.717  0.228 0.566  0.228 0.389  0.259 0.225  0.384 0.100  0.458 -0.047  0.458 -0.224  0.458 -0.401  0.601 -0.435  0.689 -0.525  0.725 -0.665  0.902 -0.665  1.079 -0.665  1.256 -0.665  1.433 -0.665  1.611 -0.665
2#app#app18#app1824/i  0.177 0.929  0.177 1.018  0.177 1.107  0.177 1.196  0.177 1.285  0.128 1.325  0.039 1.325  -0.050 1.325  -0.139 1.325  -0.220 1.317  -0.220 1.228  -0.220 1.139  -0.220 1.050  -0.220 0.961  -0.220 0.872  -0.220 0.783  -0.220 0.694  -0.220 0.605  -0.220 0.516  -0.220 0.427  -0.220 0.338  -0.220 0.249  -0.220 0.160  -0.220 0.071  -0.220 -0.018  -0.220 -0.107  -0.220 -0.196  -0.195 -0.261  -0.106 -0.261  -0.017 -0.261  0.072 -0.261  0.161 -0.261  0.177 -0.334  0.177 -0.423  0.177 -0.512  0.177 -0.601  0.177 -0.690  0.177 -0.779  0.177 -0.868  0.177 -0.957  0.177 -1.046  0.177 -1.135  0.177 -1.224  0.177 -1.313  0.177 -1.402  0.177 -1.491  0.177 -1.580  0.177 -1.669  0.177 -1.758  0.177 -1.847
2#app#app18#app1824/p  -0.447 0.637  -0.302 0.665  -0.447 0.802  -0.447 0.588  -0.447 0.375  -0.447 0.161  -0.447 -0.053  -0.299 -0.205  -0.274 -0.408  -0.274 -0.622  -0.274 -0.835  -0.274 -1.049  -0.274 -1.262  -0.274 -1.476  -0.201 -1.617  -0.101 -1.730  -0.101 -1.637  0.069 -1.597  0.027 -1.388  -0.015 -1.178  -0.057 -0.969  -0.099 -0.759  -0.141 -0.550  -0.183 -0.340  -0.224 -0.131  -0.266 0.078  -0.308 0.288  -0.350 0.497  -0.392 0.707  -0.434 0.916  -0.447 1.128  -0.266 1.165  -0.115 1.316  0.093 1.330  0.306 1.330  0.520 1.330  0.692 1.231  0.766 1.048  0.916 0.984  0.940 0.794  0.940 0.580  0.871 0.395  0.766 0.225  0.661 0.117  0.593 -0.029  0.407 -0.056  0.246 -0.109  0.153 -0.230  -0.060 -0.230  -0.274 -0.230
2#app#app18#app1824/s  0.518 0.892  0.518 1.051  0.495 1.187  0.336 1.187  0.177 1.187  0.017 1.187  -0.142 1.187  -0.301 1.187  -0.368 1.095  -0.368 0.935  -0.483 0.892  -0.642 0.892  -0.663 0.753  -0.661 0.596  -0.502 0.596  -0.342 0.596  -0.183 0.596  -0.073 0.548  -0.073 0.388  -0.001 0.301  0.158 0.301  0.317 0.301  0.477 0.301  0.636 0.301  0.795 0.301  0.814 0.160  0.814 0.001  0.814 -0.158  0.814 -0.318  0.814 -0.477  0.763 -0.585  0.604 -0.585  0.518 -0.659  0.518 -0.818  0.421 -0.881  0.262 -0.881  0.223 -1.001  0.223 -1.160  0.080 -1.176  -0.079 -1.176  -0.239 -1.176  -0.389 -1.155  -0.502 -1.042  -0.614 -0.930  -0.753 -0.881  -0.912 -0.881  -0.959 -0.768  -0.959 -0.608  -0.959 -0.721  -0.959 -0.881
2#app#app18#app1824/g  0.398 1.567  0.309 1.425  0.113 1.390  0.113 1.159  -0.029 1.071  -0.029 1.125  -0.133 0.998  -0.364 0.998  -0.455 0.859  -0.598 0.771  -0.740 0.683  -0.740 0.452  -0.598 0.364  -0.585 0.145  -0.355 0.145  -0.124 0.145  -0.029 0.281  0.113 0.369  0.255 0.458  0.255 0.688  0.255 0.919  0.255 1.132  0.158 0.998  0.113 0.813  0.113 0.582  0.113 0.351  0.188 0.138  0.255 -0.076  0.255 -0.307  0.336 -0.504  0.398 -0.709  0.487 -0.850  0.540 -1.028  0.540 -1.259  0.540 -1.489  0.398 -1.578  0.292 -1.703  0.113 -1.651  -0.027 -1.561  -0.171 -1.474  -0.204 -1.276  -0.313 -1.155  -0.455 -0.984  -0.455 -0.753  -0.455 -0.522  -0.324 -0.423  -0.235 -0.281  -0.053 -0.164  0.167 -0.139  0.398 -0.139
2#app#app18#app1824/a  0.363 0.503  0.363 0.305  0.210 0.259  0.119 0.366  0.119 0.565  0.103 0.748  -0.096 0.748  -0.295 0.748  -0.493 0.748  -0.692 0.748  -0.860 0.717  -0.860 0.518  -1.044 0.503  -1.104 0.365  -1.197 0.259  -1.349 0.212  -1.349 0.013  -1.349 -0.186  -1.349 -0.385  -1.240 -0.475  -1.041 -0.475  -0.843 -0.475  -0.644 -0.475  -0.445 -0.475  -0.371 -0.351  -0.292 -0.230  -0.103 -0.207  0.038 -0.067  0.119 0.099  0.119 0.297  0.119 0.496  0.119 0.695  0.119 0.602  0.119 0.403  0.119 0.205  0.125 0.008  0.265 -0.132  0.363 -0.290  0.377 -0.475  0.576 -0.475  0.608 -0.642  0.729 -0.719  0.928 -0.719  1.127 -0.719  1.326 -0.719  1.524 -0.719  1.586 -0.582  1.677 -0.475  1.830 -0.429  1.830 -0.230
2#app#app18#app1824/l  -0.013 1.258  -0.013 1.332  -0.013 1.405  -0.013 1.479  -0.013 1.518  -0.013 1.445  -0.013 1.371  -0.013 1.298  -0.013 1.224  -0.013 1.151  -0.013 1.078  -0.013 1.004  -0.013 0.931  -0.013 0.857  -0.013 0.784  -0.013 0.711  -0.013 0.637  -0.013 0.564  -0.013 0.490  -0.013 0.417  -0.013 0.344  -0.013 0.270  -0.013 0.197  -0.013 0.123  -0.013 0.050  -0.013 -0.023  -0.013 -0.097  -0.013 -0.170  -0.013 -0.244  -0.013 -0.317  -0.013 -0.390  -0.013 -0.464  -0.013 -0.537  -0.013 -0.611  -0.013 -0.684  -0.013 -0.757  -0.013 -0.831  -0.013 -0.904  -0.013 -0.978  -0.013 -1.051  -0.013 -1.124  -0.013 -1.198  -0.013 -1.271  -0.013 -1.345  -0.013 -1.418  -0.013 -1.491  0.043 -1.508  0.117 -1.508  0.190 -1.508  0.263 -1.508
