2#apb#apb22#app2241/S  0.955 1.215  0.863 1.261  0.761 1.263  0.658 1.263  0.556 1.263  0.453 1.263  0.359 1.225  0.265 1.182  0.174 1.136  0.083 1.087  -0.007 1.039  -0.080 0.967  -0.153 0.894  -0.223 0.820  -0.290 0.742  -0.356 0.663  -0.409 0.576  -0.455 0.484  -0.468 0.383  -0.451 0.291  -0.378 0.218  -0.295 0.158  -0.212 0.097  -0.118 0.058  -0.022 0.021  0.071 -0.022  0.163 -0.068  0.254 -0.116  0.342 -0.169  0.412 -0.238  0.458 -0.330  0.473 -0.429  0.473 -0.532  0.432 -0.625  0.389 -0.718  0.322 -0.794  0.246 -0.863  0.166 -0.927  0.079 -0.981  -0.008 -1.036  -0.100 -1.080  -0.198 -1.110  -0.296 -1.141  -0.395 -1.166  -0.495 -1.189  -0.595 -1.211  -0.698 -1.211  -0.801 -1.211  -0.903 -1.204  -1.005 -1.195
2#apb#apb22#app2241/t  0.880 1.600  0.830 1.731  0.783 1.632  0.739 1.492  0.696 1.352  0.648 1.214  0.598 1.077  0.547 0.939  0.496 0.802  0.446 0.665  0.395 0.527  0.345 0.390  0.303 0.250  0.266 0.108  0.230 -0.033  0.193 -0.175  0.155 -0.316  0.116 -0.458  0.078 -0.599  0.039 -0.740  -0.007 -0.879  -0.056 -1.017  -0.104 -1.155  -0.146 -1.295  -0.195 -1.433  -0.252 -1.542  -0.305 -1.405  -0.358 -1.269  -0.412 -1.133  -0.465 -0.997  -0.518 -0.860  -0.572 -0.724  -0.625 -0.588  -0.678 -0.451  -0.732 -0.315  -0.785 -0.179  -0.838 -0.043  -0.892 0.094  -0.864 0.192  -0.721 0.219  -0.576 0.243  -0.432 0.267  -0.288 0.292  -0.144 0.317  0.001 0.342  0.145 0.367  0.291 0.373  0.437 0.373  0.583 0.373  0.730 0.373
2#apb#apb22#app2241/a  0.441 0.875  0.415 1.035  0.277 1.083  0.113 1.054  -0.025 0.962  -0.164 0.869  -0.301 0.775  -0.437 0.679  -0.573 0.583  -0.686 0.461  -0.799 0.338  -0.912 0.216  -1.020 0.090  -1.108 -0.052  -1.195 -0.194  -1.282 -0.336  -1.328 -0.495  -1.355 -0.652  -1.215 -0.715  -1.048 -0.715  -0.883 -0.708  -0.738 -0.627  -0.592 -0.546  -0.447 -0.465  -0.301 -0.384  -0.168 -0.286  -0.042 -0.177  0.084 -0.068  0.210 0.041  0.332 0.154  0.445 0.277  0.558 0.399  0.671 0.521  0.781 0.646  0.887 0.774  0.975 0.777  0.922 0.619  0.873 0.460  0.855 0.295  0.836 0.129  0.818 -0.036  0.795 -0.201  0.753 -0.362  0.710 -0.523  0.668 -0.684  0.626 -0.845  0.630 -1.011  0.640 -1.177  0.649 -1.343  0.658 -1.510
2#apb#apb22#app2241/n  -0.024 1.394  -0.121 1.260  -0.198 1.114  -0.242 0.954  -0.286 0.793  -0.340 0.637  -0.415 0.488  -0.489 0.339  -0.564 0.190  -0.638 0.041  -0.712 -0.107  -0.787 -0.256  -0.861 -0.405  -0.936 -0.554  -1.006 -0.705  -1.072 -0.858  -1.123 -1.015  -1.104 -1.014  -1.014 -0.875  -0.903 -0.752  -0.791 -0.628  -0.680 -0.505  -0.562 -0.387  -0.444 -0.269  -0.327 -0.152  -0.209 -0.034  -0.096 0.088  0.011 0.215  0.119 0.342  0.226 0.469  0.342 0.587  0.483 0.675  0.624 0.763  0.768 0.846  0.913 0.929  1.026 0.875  1.062 0.713  1.092 0.551  1.054 0.388  1.017 0.226  0.979 0.064  0.920 -0.091  0.855 -0.244  0.789 -0.397  0.724 -0.550  0.683 -0.711  0.642 -0.872  0.602 -1.034  0.539 -1.188  0.473 -1.341
2#apb#apb22#app2241/f  -0.661 -1.986  -0.721 -1.859  -0.733 -1.719  -0.708 -1.579  -0.684 -1.440  -0.651 -1.302  -0.617 -1.164  -0.583 -1.027  -0.550 -0.889  -0.517 -0.751  -0.483 -0.613  -0.454 -0.475  -0.425 -0.336  -0.396 -0.197  -0.374 -0.057  -0.352 0.083  -0.331 0.223  -0.296 0.360  -0.249 0.494  -0.204 0.628  -0.168 0.765  -0.121 0.898  -0.040 1.014  0.086 1.055  0.228 1.058  0.369 1.050  0.508 1.026  0.642 0.981  0.777 0.936  0.913 0.898  1.051 0.863  1.184 0.828  1.069 0.747  0.953 0.665  0.837 0.583  0.721 0.502  0.605 0.420  0.489 0.338  0.373 0.257  0.257 0.175  0.141 0.093  0.026 0.012  -0.090 -0.070  -0.206 -0.152  -0.322 -0.233  -0.336 -0.279  -0.196 -0.253  -0.058 -0.223  0.080 -0.190  0.218 -0.157
2#apb#apb22#app2241/o  0.058 1.229  -0.051 1.229  -0.146 1.175  -0.240 1.118  -0.306 1.031  -0.369 0.941  -0.432 0.851  -0.495 0.761  -0.550 0.666  -0.602 0.570  -0.654 0.473  -0.707 0.376  -0.759 0.279  -0.800 0.178  -0.832 0.073  -0.865 -0.032  -0.897 -0.137  -0.929 -0.242  -0.920 -0.349  -0.900 -0.457  -0.880 -0.565  -0.861 -0.673  -0.771 -0.731  -0.675 -0.785  -0.579 -0.838  -0.479 -0.869  -0.370 -0.855  -0.261 -0.840  -0.152 -0.826  -0.043 -0.811  0.064 -0.793  0.153 -0.729  0.242 -0.665  0.331 -0.600  0.420 -0.536  0.509 -0.472  0.598 -0.407  0.687 -0.343  0.769 -0.271  0.837 -0.185  0.905 -0.099  0.973 -0.012  1.041 0.074  1.109 0.160  1.174 0.248  1.226 0.345  1.279 0.442  1.331 0.538  1.383 0.635  1.435 0.732
2#apb#apb22#app2241/r  -0.073 0.718  -0.252 0.776  -0.426 0.695  -0.574 0.572  -0.669 0.405  -0.755 0.233  -0.842 0.060  -0.869 -0.129  -0.885 -0.322  -0.941 -0.505  -1.007 -0.687  -1.084 -0.864  -1.129 -1.038  -1.073 -1.043  -0.957 -0.889  -0.838 -0.736  -0.714 -0.588  -0.590 -0.441  -0.465 -0.294  -0.346 -0.142  -0.226 0.010  -0.107 0.162  -0.016 0.332  0.074 0.503  0.164 0.674  0.279 0.828  0.403 0.976  0.529 1.122  0.676 1.248  0.840 1.344  0.987 1.278  1.094 1.117  1.070 0.928  1.038 0.738  0.976 0.556  0.910 0.374  0.833 0.197  0.756 0.020  0.679 -0.157  0.559 -0.308  0.439 -0.459  0.280 -0.565  0.126 -0.680  -0.037 -0.589  0.032 -0.554  0.147 -0.708  0.284 -0.844  0.423 -0.978  0.566 -1.107  0.709 -1.237
2#apb#apb22#app2241/d  0.287 1.505  0.294 1.611  0.329 1.696  0.385 1.701  0.392 1.592  0.392 1.481  0.383 1.369  0.373 1.258  0.384 1.147  0.390 1.036  0.383 0.925  0.375 0.813  0.366 0.702  0.353 0.591  0.340 0.480  0.328 0.369  0.323 0.257  0.319 0.146  0.314 0.034  0.310 -0.078  0.304 -0.189  0.299 -0.301  0.294 -0.412  0.288 -0.524  0.269 -0.634  0.243 -0.742  0.217 -0.851  0.185 -0.958  0.143 -1.061  0.099 -1.164  0.040 -1.252  -0.070 -1.270  -0.175 -1.231  -0.274 -1.183  -0.366 -1.119  -0.455 -1.052  -0.519 -0.960  -0.583 -0.869  -0.629 -0.768  -0.671 -0.664  -0.687 -0.554  -0.695 -0.443  -0.701 -0.331  -0.701 -0.220  -0.685 -0.110  -0.653 -0.006  -0.551 0.037  -0.440 0.055  -0.329 0.065  -0.218 0.075
2#apb#apb22#app2241/U  -0.364 1.145  -0.334 1.297  -0.364 1.385  -0.451 1.255  -0.520 1.116  -0.574 0.969  -0.631 0.823  -0.683 0.676  -0.727 0.526  -0.771 0.376  -0.805 0.224  -0.835 0.070  -0.865 -0.083  -0.892 -0.237  -0.909 -0.392  -0.927 -0.547  -0.944 -0.703  -0.929 -0.857  -0.898 -1.009  -0.809 -1.136  -0.653 -1.150  -0.518 -1.075  -0.382 -0.996  -0.270 -0.888  -0.162 -0.776  -0.054 -0.663  0.051 -0.547  0.150 -0.426  0.248 -0.305  0.347 -0.184  0.445 -0.062  0.543 0.060  0.642 0.181  0.731 0.309  0.820 0.438  0.901 0.571  0.977 0.708  1.032 0.854  0.986 0.748  0.924 0.604  0.879 0.455  0.838 0.304  0.800 0.152  0.765 -0.000  0.730 -0.152  0.698 -0.305  0.666 -0.458  0.668 -0.613  0.684 -0.769  0.746 -0.911
2#apb#apb22#app2241/n  -0.373 0.908  -0.313 0.957  -0.347 0.810  -0.417 0.671  -0.486 0.531  -0.546 0.388  -0.606 0.244  -0.665 0.101  -0.727 -0.042  -0.793 -0.183  -0.859 -0.323  -0.925 -0.464  -0.984 -0.608  -1.039 -0.753  -1.095 -0.898  -1.144 -1.046  -1.116 -0.992  -1.015 -0.874  -0.913 -0.757  -0.810 -0.640  -0.708 -0.523  -0.605 -0.406  -0.503 -0.289  -0.400 -0.173  -0.297 -0.056  -0.194 0.060  -0.086 0.172  0.028 0.278  0.142 0.383  0.256 0.489  0.383 0.579  0.509 0.669  0.636 0.760  0.768 0.841  0.906 0.908  1.061 0.908  1.192 0.835  1.215 0.690  1.201 0.537  1.152 0.390  1.103 0.242  1.049 0.096  0.994 -0.049  0.940 -0.195  0.877 -0.337  0.807 -0.476  0.738 -0.615  0.693 -0.762  0.669 -0.915  0.646 -1.069
2#apb#apb22#app2241/i  0.158 -0.030  0.205 0.039  0.251 -0.068  0.251 -0.187  0.247 -0.305  0.222 -0.421  0.191 -0.535  0.149 -0.646  0.107 -0.757  0.066 -0.868  0.025 -0.979  -0.015 -1.090  -0.052 -1.203  -0.086 -1.317  -0.115 -1.432  -0.141 -1.547  -0.144 -1.485  -0.140 -1.366  -0.136 -1.248  -0.133 -1.129  -0.129 -1.011  -0.125 -0.892  -0.121 -0.774  -0.117 -0.656  -0.114 -0.537  -0.110 -0.419  -0.106 -0.300  -0.102 -0.182  -0.098 -0.063  -0.095 0.055  -0.091 0.174  -0.087 0.292  -0.083 0.411  -0.079 0.529  -0.076 0.648  -0.072 0.766  -0.068 0.884  -0.064 1.003  -0.061 1.121  -0.057 1.240  -0.048 1.356  0.033 1.443  0.110 1.531  0.204 1.595  0.171 1.610  0.125 1.501  0.042 1.423  0.017 1.308  0.086 1.258  0.204 1.258
