3#app#app32#app3231/t  0.236 1.530  0.236 1.669  0.306 1.737  0.340 1.839  0.340 1.701  0.340 1.563  0.340 1.425  0.340 1.287  0.340 1.149  0.340 1.010  0.330 0.873  0.297 0.739  0.263 0.605  0.236 0.471  0.236 0.333  0.236 0.194  0.236 0.056  0.236 -0.082  0.236 -0.220  0.236 -0.358  0.236 -0.496  0.192 -0.624  0.133 -0.748  0.133 -0.886  0.133 -1.024  0.133 -1.162  0.133 -1.301  0.210 -1.362  0.333 -1.356  0.232 -1.263  0.130 -1.169  0.028 -1.076  -0.074 -0.983  -0.176 -0.889  -0.277 -0.796  -0.379 -0.703  -0.481 -0.609  -0.583 -0.516  -0.685 -0.423  -0.787 -0.329  -0.888 -0.236  -0.882 -0.113  -0.759 -0.052  -0.628 -0.019  -0.490 -0.019  -0.392 0.076  -0.257 0.084  -0.125 0.110  -0.001 0.172  0.133 0.188
3#app#app32#app3231/h  -0.505 1.798  -0.505 1.646  -0.505 1.494  -0.505 1.342  -0.509 1.191  -0.577 1.055  -0.604 0.909  -0.604 0.757  -0.604 0.605  -0.604 0.453  -0.604 0.301  -0.604 0.148  -0.604 -0.004  -0.585 -0.153  -0.537 -0.297  -0.505 -0.444  -0.505 -0.596  -0.505 -0.748  -0.505 -0.900  -0.505 -1.052  -0.505 -0.981  -0.505 -0.829  -0.452 -0.689  -0.405 -0.548  -0.361 -0.407  -0.305 -0.268  -0.305 -0.116  -0.232 0.014  -0.147 0.141  -0.071 0.272  -0.002 0.407  0.106 0.515  0.222 0.602  0.374 0.602  0.526 0.602  0.592 0.516  0.654 0.378  0.739 0.255  0.816 0.128  0.864 -0.016  0.891 -0.164  0.891 -0.316  0.891 -0.468  0.909 -0.613  0.991 -0.731  0.991 -0.883  0.991 -1.035  0.991 -1.187  0.943 -1.292  0.891 -1.392
3#app#app32#app3231/e  -0.646 0.317  -0.517 0.343  -0.465 0.445  -0.310 0.445  -0.186 0.371  -0.054 0.317  0.101 0.317  0.256 0.317  0.410 0.317  0.549 0.278  0.667 0.188  0.821 0.188  0.976 0.188  0.917 0.188  0.891 0.317  0.767 0.348  0.727 0.486  0.639 0.604  0.613 0.753  0.544 0.891  0.510 1.038  0.405 1.087  0.250 1.087  0.096 1.087  -0.059 1.087  -0.190 1.029  -0.260 0.904  -0.318 0.773  -0.427 0.664  -0.517 0.546  -0.517 0.391  -0.574 0.260  -0.646 0.135  -0.646 -0.020  -0.646 -0.174  -0.646 -0.329  -0.646 -0.484  -0.646 -0.639  -0.646 -0.793  -0.646 -0.948  -0.550 -1.063  -0.441 -1.173  -0.332 -1.282  -0.212 -1.377  -0.074 -1.447  0.051 -1.536  0.174 -1.610  0.329 -1.610  0.484 -1.610  0.639 -1.610
3#app#app32#app3231/m  -1.044 0.719  -1.044 0.526  -1.044 0.333  -1.044 0.140  -1.044 -0.053  -1.044 -0.246  -0.980 -0.424  -0.952 -0.610  -0.952 -0.803  -1.006 -0.942  -1.000 -0.806  -0.952 -0.633  -0.923 -0.452  -0.860 -0.285  -0.781 -0.125  -0.767 0.063  -0.686 0.236  -0.556 0.377  -0.483 0.539  -0.310 0.625  -0.210 0.719  -0.113 0.618  -0.029 0.460  0.063 0.305  0.063 0.112  0.063 -0.081  0.063 -0.274  0.008 -0.444  -0.078 -0.573  -0.121 -0.608  -0.029 -0.508  0.063 -0.353  0.094 -0.173  0.203 -0.016  0.314 0.139  0.410 0.304  0.533 0.450  0.669 0.587  0.807 0.719  1.000 0.719  1.193 0.719  1.285 0.605  1.356 0.441  1.442 0.269  1.448 0.077  1.448 -0.116  1.448 -0.309  1.367 -0.469  1.355 -0.657  1.355 -0.850
3#app#app32#app3231/o  -0.079 1.170  -0.214 1.164  -0.311 1.067  -0.437 1.041  -0.465 0.932  -0.465 0.795  -0.554 0.695  -0.594 0.574  -0.634 0.446  -0.695 0.324  -0.723 0.193  -0.723 0.056  -0.723 -0.082  -0.723 -0.219  -0.723 -0.356  -0.723 -0.493  -0.723 -0.630  -0.628 -0.728  -0.594 -0.851  -0.525 -0.960  -0.465 -1.072  -0.404 -1.148  -0.287 -1.198  -0.183 -1.277  -0.045 -1.277  0.080 -1.247  0.177 -1.150  0.274 -1.053  0.371 -0.956  0.436 -0.846  0.489 -0.762  0.565 -0.701  0.565 -0.563  0.620 -0.449  0.694 -0.342  0.694 -0.205  0.694 -0.068  0.694 0.069  0.694 0.207  0.694 0.344  0.694 0.481  0.694 0.618  0.694 0.755  0.645 0.881  0.584 1.004  0.565 1.136  0.462 1.170  0.324 1.170  0.187 1.170  0.050 1.170
3#app#app32#app3231/c  0.554 1.246  0.554 1.331  0.518 1.380  0.433 1.380  0.348 1.380  0.270 1.363  0.209 1.303  0.149 1.243  0.089 1.183  0.029 1.123  -0.032 1.062  -0.092 1.002  -0.116 0.927  -0.116 0.842  -0.116 0.756  -0.143 0.683  -0.203 0.622  -0.259 0.558  -0.297 0.482  -0.335 0.406  -0.373 0.330  -0.384 0.247  -0.384 0.162  -0.384 0.077  -0.384 -0.008  -0.384 -0.093  -0.384 -0.179  -0.384 -0.264  -0.384 -0.349  -0.384 -0.434  -0.384 -0.519  -0.384 -0.605  -0.342 -0.672  -0.282 -0.733  -0.222 -0.793  -0.161 -0.853  -0.116 -0.919  -0.116 -1.005  -0.059 -1.033  0.024 -1.039  0.084 -1.099  0.144 -1.159  0.226 -1.167  0.312 -1.167  0.397 -1.167  0.482 -1.167  0.567 -1.167  0.652 -1.167  0.737 -1.167  0.823 -1.167
3#app#app32#app3231/k  -0.640 1.752  -0.640 1.521  -0.640 1.290  -0.640 1.059  -0.640 0.828  -0.640 0.596  -0.640 0.365  -0.640 0.134  -0.640 -0.097  -0.640 -0.328  -0.639 -0.559  -0.504 -0.734  -0.504 -0.965  -0.504 -1.196  -0.504 -1.427  -0.435 -1.378  -0.328 -1.173  -0.221 -0.969  -0.113 -0.764  -0.006 -0.559  0.101 -0.355  0.208 -0.150  0.316 0.055  0.423 0.259  0.530 0.464  0.637 0.669  0.744 0.874  0.852 1.078  0.959 1.283  0.991 1.182  0.905 0.987  0.831 0.801  0.635 0.716  0.561 0.529  0.364 0.446  0.201 0.282  -0.002 0.215  -0.184 0.077  -0.386 -0.033  -0.568 -0.151  -0.640 -0.310  -0.521 -0.422  -0.313 -0.478  -0.115 -0.558  0.094 -0.612  0.291 -0.694  0.500 -0.788  0.720 -0.831  0.896 -0.966  1.127 -0.966
3#app#app32#app3231/j  0.027 1.179  -0.045 1.254  -0.045 1.248  -0.045 1.101  -0.042 0.956  0.024 0.825  0.027 0.679  0.027 0.532  0.059 0.393  0.099 0.256  0.099 0.110  0.158 -0.023  0.224 -0.154  0.244 -0.296  0.290 -0.431  0.356 -0.562  0.388 -0.701  0.442 -0.825  0.461 -0.964  0.461 -1.111  0.461 -1.257  0.408 -1.350  0.316 -1.406  0.187 -1.423  0.058 -1.381  -0.067 -1.329  -0.192 -1.276  -0.296 -1.172  -0.426 -1.134  -0.475 -1.041  -0.444 -0.897  -0.414 -0.754  -0.384 -0.610  -0.354 -0.467  -0.324 -0.324  -0.293 -0.180  -0.263 -0.037  -0.233 0.106  -0.203 0.250  -0.173 0.393  -0.143 0.537  -0.112 0.680  -0.082 0.823  -0.052 0.967  -0.022 1.110  0.008 1.253  0.039 1.397  0.069 1.540  0.099 1.684  0.099 1.830
3#app#app32#app3231/u  -0.414 1.395  -0.497 1.312  -0.555 1.219  -0.563 1.105  -0.646 1.022  -0.696 0.926  -0.696 0.808  -0.696 0.691  -0.696 0.574  -0.737 0.467  -0.790 0.362  -0.836 0.256  -0.836 0.138  -0.836 0.021  -0.836 -0.096  -0.795 -0.196  -0.712 -0.279  -0.696 -0.390  -0.645 -0.486  -0.563 -0.569  -0.555 -0.683  -0.496 -0.776  -0.413 -0.859  -0.330 -0.942  -0.237 -0.999  -0.120 -0.999  -0.003 -0.999  0.115 -0.999  0.232 -0.999  0.332 -0.958  0.415 -0.875  0.498 -0.792  0.572 -0.705  0.572 -0.588  0.678 -0.577  0.713 -0.495  0.739 -0.384  0.792 -0.279  0.844 -0.174  0.854 -0.059  0.854 0.058  0.854 0.176  0.854 0.293  0.854 0.410  0.854 0.527  0.854 0.645  0.854 0.762  0.854 0.879  0.854 0.996  0.854 1.114
3#app#app32#app3231/r  -0.570 0.451  -0.570 0.329  -0.570 0.207  -0.570 0.084  -0.570 -0.038  -0.570 -0.160  -0.566 -0.281  -0.479 -0.367  -0.425 -0.467  -0.425 -0.589  -0.425 -0.711  -0.425 -0.834  -0.425 -0.956  -0.425 -1.078  -0.425 -1.200  -0.453 -1.294  -0.570 -1.289  -0.570 -1.166  -0.570 -1.044  -0.570 -0.922  -0.570 -0.800  -0.570 -0.677  -0.562 -0.559  -0.475 -0.472  -0.425 -0.371  -0.425 -0.249  -0.421 -0.129  -0.312 -0.074  -0.202 -0.019  -0.134 0.061  -0.134 0.183  -0.134 0.305  -0.025 0.360  0.084 0.415  0.186 0.480  0.272 0.567  0.359 0.653  0.445 0.739  0.532 0.826  0.625 0.903  0.734 0.958  0.844 1.012  0.961 1.033  1.083 1.033  1.197 1.011  1.283 0.925  1.390 0.887  1.466 0.841  1.489 0.742  1.611 0.742
3#app#app32#app3231/y  -0.676 1.586  -0.676 1.389  -0.676 1.191  -0.654 0.999  -0.599 0.815  -0.546 0.630  -0.476 0.457  -0.377 0.314  -0.219 0.200  -0.057 0.115  0.051 0.223  0.175 0.369  0.175 0.567  0.253 0.732  0.305 0.917  0.330 1.108  0.406 1.275  0.407 1.391  0.407 1.194  0.368 1.003  0.330 0.812  0.330 0.614  0.330 0.417  0.330 0.219  0.330 0.022  0.330 -0.176  0.330 -0.373  0.330 -0.570  0.281 -0.756  0.253 -0.947  0.253 -1.145  0.253 -1.342  0.175 -1.507  0.038 -1.648  -0.153 -1.665  -0.332 -1.622  -0.444 -1.516  -0.521 -1.351  -0.521 -1.153  -0.521 -0.956  -0.521 -0.759  -0.452 -0.590  -0.368 -0.427  -0.212 -0.310  -0.056 -0.194  0.121 -0.105  0.288 -0.004  0.454 0.100  0.630 0.188  0.795 0.270
