2#app#app09#app0901/S  0.241 0.509  0.144 0.605  0.124 0.733  0.112 0.858  0.008 0.890  -0.044 0.974  -0.109 1.046  -0.200 1.091  -0.337 1.091  -0.473 1.091  -0.609 1.091  -0.746 1.091  -0.807 1.015  -0.902 0.974  -0.923 0.859  -0.923 0.723  -0.896 0.598  -0.796 0.509  -0.669 0.487  -0.572 0.392  -0.442 0.349  -0.313 0.305  -0.186 0.257  -0.064 0.196  0.064 0.160  0.192 0.126  0.314 0.065  0.420 -0.019  0.534 -0.073  0.670 -0.073  0.706 -0.174  0.791 -0.275  0.915 -0.306  0.939 -0.418  0.932 -0.553  0.871 -0.675  0.822 -0.800  0.788 -0.922  0.692 -1.018  0.595 -1.115  0.465 -1.129  0.368 -1.225  0.237 -1.237  0.100 -1.237  -0.036 -1.237  -0.166 -1.208  -0.288 -1.147  -0.418 -1.120  -0.554 -1.120  -0.574 -1.004
2#app#app09#app0901/e  -0.482 0.758  -0.482 0.624  -0.371 0.601  -0.237 0.601  -0.103 0.601  0.031 0.601  0.164 0.601  0.298 0.601  0.303 0.730  0.303 0.864  0.303 0.998  0.243 1.072  0.110 1.072  -0.023 1.066  -0.143 1.007  -0.263 0.947  -0.389 0.915  -0.482 0.874  -0.495 0.746  -0.590 0.651  -0.639 0.538  -0.668 0.415  -0.763 0.321  -0.796 0.201  -0.796 0.067  -0.796 -0.067  -0.796 -0.201  -0.796 -0.335  -0.706 -0.432  -0.639 -0.538  -0.628 -0.667  -0.533 -0.762  -0.438 -0.857  -0.343 -0.951  -0.217 -0.970  -0.083 -0.970  0.051 -0.970  0.185 -0.970  0.319 -0.970  0.453 -0.970  0.587 -0.970  0.710 -0.924  0.829 -0.864  0.946 -0.799  1.040 -0.704  1.154 -0.655  1.276 -0.625  1.371 -0.531  1.465 -0.436  1.560 -0.341
2#app#app09#app0901/e  -0.733 0.105  -0.733 -0.054  -0.586 -0.066  -0.426 -0.066  -0.267 -0.066  -0.219 0.045  -0.119 0.105  0.031 0.144  0.173 0.215  0.296 0.299  0.303 0.456  0.416 0.568  0.529 0.681  0.639 0.795  0.639 0.954  0.639 1.114  0.639 1.273  0.512 1.306  0.353 1.306  0.194 1.306  0.125 1.216  0.046 1.134  -0.094 1.088  -0.207 0.975  -0.319 0.862  -0.432 0.749  -0.545 0.637  -0.562 0.484  -0.562 0.325  -0.562 0.165  -0.562 0.006  -0.562 -0.154  -0.562 -0.313  -0.562 -0.473  -0.562 -0.632  -0.562 -0.792  -0.535 -0.924  -0.379 -0.935  -0.267 -1.047  -0.127 -1.096  -0.047 -1.175  0.020 -1.267  0.180 -1.267  0.339 -1.267  0.499 -1.267  0.652 -1.254  0.765 -1.141  0.906 -1.096  1.041 -1.037  1.154 -0.924
2#app#app09#app0901/?  -0.774 0.807  -0.678 0.807  -0.662 0.887  -0.597 0.919  -0.551 0.968  -0.517 1.030  -0.426 1.043  -0.358 1.111  -0.275 1.142  -0.179 1.142  -0.083 1.142  0.013 1.142  0.109 1.142  0.180 1.081  0.248 1.013  0.316 0.945  0.343 0.860  0.343 0.764  0.343 0.668  0.343 0.572  0.343 0.476  0.343 0.380  0.308 0.292  0.266 0.206  0.212 0.137  0.119 0.134  0.119 0.038  0.060 -0.034  -0.008 -0.102  -0.076 -0.170  -0.144 -0.238  -0.212 -0.306  -0.216 -0.400  -0.216 -0.496  -0.216 -0.592  -0.193 -0.682  -0.142 -0.763  -0.091 -0.844  -0.040 -0.926  0.011 -1.007  0.062 -1.089  0.113 -1.170  0.164 -1.252  0.215 -1.333  0.266 -1.415  0.317 -1.496  0.343 -1.585  0.374 -1.650  0.439 -1.650  0.343 -1.650
2#app#app09#app0901/\"  -1.087 0.687  -1.087 0.822  -1.048 0.919  -0.912 0.919  -0.855 0.997  -0.855 1.133  -0.855 1.033  -0.855 0.898  -0.855 0.762  -0.855 0.627  -0.855 0.491  -0.855 0.356  -0.853 0.221  -0.757 0.125  -0.661 0.029  -0.623 -0.090  -0.623 -0.226  -0.623 -0.361  -0.623 -0.497  -0.623 -0.632  -0.578 -0.749  -0.482 -0.845  -0.387 -0.931  -0.300 -0.827  -0.214 -0.722  -0.127 -0.618  -0.040 -0.514  0.047 -0.410  0.133 -0.306  0.220 -0.202  0.307 -0.098  0.394 0.006  0.480 0.110  0.567 0.214  0.654 0.319  0.741 0.423  0.861 0.455  0.996 0.455  1.000 0.323  1.000 0.187  1.000 0.052  1.000 -0.084  1.000 -0.219  1.000 -0.355  1.018 -0.472  1.153 -0.472  1.231 -0.529  1.231 -0.665  1.231 -0.800  1.231 -0.936
2#app#app09#app0901/s  0.422 0.950  0.411 1.077  0.318 1.170  0.192 1.183  0.061 1.183  -0.070 1.183  -0.202 1.183  -0.333 1.183  -0.465 1.183  -0.508 1.095  -0.581 0.994  -0.694 0.950  -0.741 0.865  -0.741 0.734  -0.626 0.717  -0.611 0.601  -0.508 0.572  -0.466 0.471  -0.342 0.429  -0.217 0.388  -0.110 0.319  -0.006 0.252  0.120 0.229  0.238 0.170  0.361 0.136  0.422 0.066  0.507 0.020  0.609 -0.051  0.655 -0.164  0.737 -0.213  0.771 -0.311  0.771 -0.442  0.771 -0.573  0.752 -0.697  0.659 -0.790  0.646 -0.911  0.521 -0.927  0.429 -1.020  0.336 -1.113  0.226 -1.183  0.109 -1.242  -0.019 -1.259  -0.150 -1.259  -0.281 -1.259  -0.407 -1.245  -0.500 -1.152  -0.593 -1.059  -0.625 -0.941  -0.625 -0.809  -0.625 -0.678
2#app#app09#app0901/c  0.460 1.485  0.370 1.485  0.279 1.485  0.188 1.485  0.097 1.484  0.033 1.420  -0.031 1.355  -0.082 1.286  -0.082 1.195  -0.096 1.110  -0.160 1.045  -0.224 0.981  -0.263 0.907  -0.263 0.816  -0.263 0.725  -0.263 0.634  -0.263 0.543  -0.263 0.452  -0.273 0.362  -0.295 0.274  -0.317 0.186  -0.339 0.098  -0.361 0.010  -0.383 -0.078  -0.405 -0.166  -0.427 -0.255  -0.431 -0.338  -0.367 -0.402  -0.303 -0.466  -0.263 -0.541  -0.263 -0.632  -0.263 -0.723  -0.263 -0.813  -0.227 -0.868  -0.136 -0.868  -0.082 -0.905  -0.082 -0.996  -0.044 -1.049  0.047 -1.049  0.137 -1.049  0.228 -1.049  0.319 -1.049  0.410 -1.049  0.497 -1.030  0.578 -0.990  0.659 -0.949  0.740 -0.909  0.822 -0.868  0.913 -0.868  1.003 -0.868
2#app#app09#app0901/r  -0.657 0.444  -0.657 0.578  -0.657 0.522  -0.657 0.389  -0.657 0.255  -0.657 0.121  -0.657 -0.013  -0.606 -0.126  -0.511 -0.221  -0.484 -0.343  -0.484 -0.477  -0.472 -0.606  -0.377 -0.701  -0.310 -0.807  -0.310 -0.941  -0.310 -1.075  -0.310 -1.208  -0.310 -1.342  -0.310 -1.444  -0.310 -1.310  -0.310 -1.176  -0.310 -1.042  -0.310 -0.908  -0.310 -0.774  -0.310 -0.640  -0.310 -0.507  -0.310 -0.373  -0.310 -0.239  -0.310 -0.105  -0.310 0.029  -0.265 0.144  -0.170 0.238  -0.137 0.359  -0.103 0.478  -0.008 0.573  0.086 0.668  0.181 0.762  0.303 0.790  0.437 0.790  0.566 0.802  0.661 0.896  0.767 0.963  0.901 0.963  0.996 0.869  1.097 0.790  1.231 0.790  1.365 0.790  1.499 0.790  1.633 0.790  1.767 0.790
2#app#app09#app0901/e  -0.461 0.497  -0.461 0.337  -0.461 0.178  -0.359 0.120  -0.200 0.120  -0.040 0.120  0.119 0.120  0.279 0.120  0.438 0.120  0.479 0.239  0.569 0.309  0.667 0.370  0.667 0.530  0.667 0.689  0.667 0.849  0.571 0.968  0.479 1.090  0.479 1.249  0.319 1.249  0.160 1.249  0.030 1.176  -0.083 1.064  -0.085 0.905  -0.212 0.873  -0.343 0.803  -0.456 0.691  -0.568 0.578  -0.650 0.452  -0.661 0.297  -0.774 0.184  -0.838 0.051  -0.838 -0.108  -0.838 -0.268  -0.838 -0.427  -0.737 -0.545  -0.650 -0.668  -0.644 -0.825  -0.531 -0.938  -0.407 -1.035  -0.265 -1.106  -0.122 -1.178  0.033 -1.196  0.193 -1.196  0.352 -1.196  0.512 -1.196  0.671 -1.196  0.831 -1.196  0.990 -1.196  1.118 -1.121  1.231 -1.008
2#app#app09#app0901/e  0.000 0.254  -0.115 0.139  -0.169 -0.002  -0.249 -0.084  -0.264 -0.084  -0.121 -0.036  -0.005 0.079  0.155 0.085  0.275 0.190  0.390 0.305  0.505 0.421  0.620 0.536  0.736 0.651  0.846 0.769  0.846 0.932  0.846 1.095  0.735 1.212  0.596 1.270  0.433 1.270  0.270 1.270  0.125 1.225  0.010 1.110  -0.105 0.995  -0.220 0.880  -0.336 0.764  -0.451 0.649  -0.566 0.534  -0.680 0.417  -0.753 0.271  -0.825 0.126  -0.846 -0.033  -0.846 -0.196  -0.846 -0.359  -0.846 -0.522  -0.846 -0.685  -0.759 -0.761  -0.677 -0.842  -0.602 -0.930  -0.439 -0.930  -0.338 -0.992  -0.282 -1.099  -0.119 -1.099  0.044 -1.099  0.207 -1.099  0.370 -1.099  0.533 -1.099  0.696 -1.099  0.859 -1.099  1.022 -1.099  1.185 -1.099
2#app#app09#app0901/c  0.950 0.678  0.950 0.784  0.872 0.811  0.817 0.862  0.794 0.944  0.688 0.944  0.613 1.015  0.533 1.077  0.427 1.077  0.322 1.077  0.216 1.077  0.123 1.047  0.049 0.972  -0.045 0.944  -0.139 0.917  -0.214 0.842  -0.245 0.750  -0.279 0.678  -0.382 0.674  -0.457 0.599  -0.511 0.516  -0.512 0.411  -0.586 0.337  -0.643 0.255  -0.643 0.150  -0.643 0.044  -0.643 -0.061  -0.643 -0.167  -0.643 -0.272  -0.643 -0.377  -0.643 -0.483  -0.643 -0.588  -0.612 -0.681  -0.538 -0.755  -0.443 -0.782  -0.378 -0.822  -0.369 -0.924  -0.294 -0.998  -0.210 -1.048  -0.104 -1.048  0.001 -1.048  0.107 -1.048  0.212 -1.048  0.317 -1.048  0.423 -1.048  0.528 -1.048  0.634 -1.048  0.739 -1.048  0.844 -1.048  0.950 -1.048
