1b#tos#f3#f3021061/A  -1.206 -1.195  -1.183 -1.170  -1.106 -0.982  -1.028 -0.794  -0.929 -0.616  -0.828 -0.438  -0.737 -0.256  -0.618 -0.096  -0.489 0.049  -0.413 0.236  -0.331 0.421  -0.211 0.585  -0.130 0.770  -0.044 0.952  -0.022 1.154  0.121 1.261  0.175 1.458  0.261 1.632  0.373 1.663  0.408 1.465  0.461 1.273  0.529 1.081  0.549 0.882  0.549 0.678  0.549 0.474  0.549 0.270  0.560 0.067  0.593 -0.134  0.593 -0.338  0.593 -0.542  0.593 -0.746  0.593 -0.951  0.593 -1.155  0.593 -1.359  0.505 -1.384  0.402 -1.208  0.298 -1.032  0.195 -0.856  0.091 -0.681  -0.012 -0.505  -0.116 -0.329  -0.219 -0.153  -0.323 0.023  -0.521 0.033  -0.547 0.033  -0.348 0.073  -0.144 0.077  0.060 0.077  0.258 0.112  0.461 0.121
1b#tos#f3#f3021061/B  -0.153 1.295  -0.160 1.542  -0.252 1.381  -0.252 1.126  -0.252 0.872  -0.252 0.618  -0.302 0.372  -0.378 0.141  -0.430 -0.100  -0.500 -0.338  -0.550 -0.584  -0.599 -0.818  -0.649 -1.051  -0.675 -1.110  -0.596 -0.868  -0.518 -0.627  -0.439 -0.385  -0.360 -0.143  -0.281 0.099  -0.203 0.340  -0.124 0.582  -0.045 0.824  0.045 1.022  0.175 1.146  0.429 1.146  0.683 1.146  0.738 0.909  0.578 0.739  0.374 0.593  0.170 0.453  -0.076 0.403  -0.310 0.354  -0.337 0.354  -0.087 0.332  0.151 0.255  0.397 0.203  0.618 0.114  0.802 -0.049  0.986 -0.152  1.085 -0.365  1.062 -0.610  0.938 -0.830  0.729 -0.973  0.534 -1.134  0.298 -1.228  0.096 -1.377  -0.157 -1.381  -0.399 -1.429  -0.654 -1.429  -0.896 -1.379
1b#tos#f3#f3021061/D  -0.129 0.866  -0.129 1.068  -0.129 0.978  -0.129 0.776  -0.183 0.587  -0.215 0.392  -0.254 0.195  -0.301 -0.001  -0.301 -0.203  -0.387 -0.370  -0.387 -0.572  -0.462 -0.751  -0.473 -0.950  -0.480 -0.899  -0.490 -0.697  -0.500 -0.495  -0.510 -0.293  -0.520 -0.092  -0.530 0.110  -0.540 0.312  -0.550 0.514  -0.580 0.694  -0.645 0.831  -0.607 0.995  -0.405 0.995  -0.203 0.995  -0.001 0.995  0.201 0.995  0.396 0.952  0.592 0.912  0.783 0.866  0.961 0.808  1.124 0.723  1.203 0.572  1.203 0.370  1.150 0.184  1.064 0.002  0.951 -0.160  0.816 -0.310  0.693 -0.470  0.567 -0.628  0.425 -0.772  0.320 -0.942  0.175 -1.076  0.008 -1.191  -0.138 -1.328  -0.332 -1.384  -0.527 -1.412  -0.729 -1.412  -0.860 -1.283
1b#tos#f3#f3021061/F  -0.559 0.648  -0.782 0.648  -1.006 0.648  -0.807 0.648  -0.583 0.648  -0.362 0.657  -0.164 0.740  0.026 0.820  0.244 0.832  0.457 0.878  0.680 0.878  0.872 0.991  1.081 1.061  1.250 1.053  1.037 0.986  0.824 0.919  0.611 0.852  0.398 0.785  0.185 0.718  -0.028 0.651  -0.242 0.584  -0.423 0.648  -0.467 0.470  -0.467 0.246  -0.496 0.026  -0.513 -0.195  -0.559 -0.411  -0.587 -0.629  -0.605 -0.850  -0.651 -1.066  -0.651 -1.289  -0.651 -1.513  -0.625 -1.559  -0.563 -1.345  -0.500 -1.130  -0.438 -0.916  -0.375 -0.702  -0.329 -0.485  -0.138 -0.453  0.074 -0.407  0.298 -0.407  0.482 -0.344  0.688 -0.315  0.743 -0.177  0.588 -0.089  0.588 -0.313  0.588 -0.536  0.588 -0.759  0.634 -0.964  0.634 -1.187
1b#tos#f3#f3021061/G  0.287 0.871  0.287 1.048  0.287 1.224  0.217 1.330  0.133 1.422  -0.043 1.422  -0.201 1.376  -0.331 1.312  -0.437 1.184  -0.527 1.043  -0.591 0.879  -0.680 0.730  -0.768 0.591  -0.794 0.423  -0.900 0.282  -0.946 0.113  -0.952 -0.062  -0.987 -0.234  -0.998 -0.409  -0.998 -0.585  -0.965 -0.754  -0.869 -0.899  -0.715 -0.964  -0.539 -0.964  -0.363 -0.964  -0.188 -0.956  -0.019 -0.908  0.132 -0.826  0.289 -0.779  0.419 -0.661  0.570 -0.570  0.608 -0.418  0.481 -0.298  0.350 -0.181  0.219 -0.063  0.066 -0.000  0.088 0.046  0.218 0.091  0.375 0.137  0.547 0.163  0.700 0.203  0.838 0.216  0.838 0.040  0.838 -0.136  0.838 -0.312  0.838 -0.488  0.838 -0.665  0.838 -0.841  0.838 -1.017  0.838 -1.193
1b#tos#f3#f3021061/H  -0.447 1.239  -0.585 1.309  -0.585 1.056  -0.624 0.807  -0.631 0.555  -0.731 0.325  -0.781 0.077  -0.834 -0.170  -0.895 -0.416  -0.907 -0.667  -0.907 -0.920  -0.907 -1.173  -0.819 -1.338  -0.671 -1.134  -0.524 -0.928  -0.378 -0.722  -0.232 -0.515  -0.086 -0.309  0.061 -0.103  0.207 0.104  0.353 0.310  0.500 0.516  0.646 0.723  0.792 0.929  0.939 1.135  0.934 1.329  0.934 1.357  0.934 1.104  0.934 0.851  0.923 0.599  0.888 0.351  0.888 0.098  0.888 -0.155  0.888 -0.408  0.888 -0.661  0.888 -0.914  0.713 -0.970  0.491 -0.849  0.269 -0.728  0.047 -0.607  -0.175 -0.486  -0.398 -0.365  -0.620 -0.244  -0.819 -0.092  -0.871 -0.003  -0.618 -0.003  -0.365 -0.003  -0.112 -0.003  0.138 0.022  0.382 0.089
1b#tos#f3#f3021061/K  -0.433 1.566  -0.521 1.741  -0.608 1.727  -0.608 1.509  -0.608 1.291  -0.608 1.073  -0.608 0.855  -0.608 0.638  -0.608 0.420  -0.608 0.202  -0.608 -0.016  -0.608 -0.234  -0.608 -0.452  -0.608 -0.669  -0.608 -0.887  -0.593 -1.103  -0.550 -1.313  -0.471 -1.428  -0.368 -1.236  -0.265 -1.045  -0.162 -0.853  -0.058 -0.661  0.045 -0.469  0.148 -0.277  0.251 -0.086  0.355 0.106  0.458 0.298  0.561 0.490  0.665 0.681  0.733 0.882  0.732 0.982  0.635 0.788  0.470 0.652  0.346 0.479  0.219 0.305  0.066 0.154  -0.025 -0.007  -0.204 -0.127  -0.375 -0.251  -0.288 -0.183  -0.129 -0.125  0.089 -0.125  0.295 -0.153  0.452 -0.299  0.620 -0.420  0.733 -0.591  0.887 -0.745  1.041 -0.899  1.167 -1.070  1.374 -1.115
1b#tos#f3#f3021061/M  -0.785 1.064  -0.925 1.102  -0.881 0.811  -0.881 0.513  -0.881 0.215  -0.892 -0.081  -0.929 -0.375  -0.929 -0.673  -0.929 -0.971  -0.929 -1.269  -0.818 -1.222  -0.644 -0.980  -0.470 -0.738  -0.296 -0.496  -0.122 -0.255  0.052 -0.013  0.226 0.229  0.400 0.471  0.574 0.713  0.748 0.955  0.922 1.197  0.986 1.388  0.986 1.090  0.890 0.810  0.890 0.512  0.890 0.214  0.855 -0.080  0.842 -0.376  0.842 -0.674  0.842 -0.972  0.842 -1.270  0.682 -1.151  0.483 -0.929  0.284 -0.707  0.085 -0.485  -0.114 -0.264  -0.313 -0.042  -0.512 0.180  -0.711 0.402  -0.862 0.586  -0.737 0.344  -0.618 0.083  -0.522 -0.179  -0.285 -0.324  0.008 -0.298  0.223 -0.104  0.419 0.118  0.563 0.377  0.696 0.631  0.746 0.921
1b#tos#f3#f3021061/Q  0.569 -0.624  0.477 -0.733  0.355 -0.822  0.162 -0.853  -0.038 -0.853  -0.239 -0.853  -0.432 -0.810  -0.607 -0.726  -0.785 -0.634  -0.949 -0.521  -1.038 -0.342  -1.081 -0.152  -1.081 0.048  -1.081 0.249  -1.075 0.448  -1.011 0.638  -0.881 0.777  -0.760 0.934  -0.645 1.095  -0.483 1.212  -0.355 1.347  -0.155 1.347  0.046 1.347  0.246 1.347  0.440 1.319  0.598 1.209  0.752 1.099  0.846 0.929  0.890 0.736  0.890 0.535  0.890 0.335  0.838 0.143  0.763 -0.042  0.707 -0.230  0.596 -0.387  0.460 -0.521  0.310 -0.639  0.182 -0.782  0.003 -0.853  -0.198 -0.853  -0.347 -0.768  -0.231 -0.606  -0.111 -0.446  0.009 -0.285  0.081 -0.120  0.232 -0.241  0.361 -0.391  0.501 -0.522  0.624 -0.679  0.752 -0.807
1b#tos#f3#f3021061/S  0.694 0.880  0.740 0.986  0.786 1.128  0.786 1.280  0.786 1.432  0.650 1.484  0.498 1.484  0.352 1.447  0.215 1.381  0.089 1.296  0.008 1.169  -0.043 1.046  -0.117 0.931  -0.142 0.785  -0.142 0.632  -0.096 0.491  -0.041 0.361  0.034 0.240  0.142 0.132  0.225 0.007  0.357 -0.065  0.461 -0.162  0.554 -0.257  0.617 -0.359  0.665 -0.501  0.694 -0.646  0.655 -0.782  0.526 -0.837  0.432 -0.913  0.295 -0.967  0.145 -0.976  -0.007 -0.976  -0.159 -0.976  -0.305 -0.937  -0.400 -0.852  -0.508 -0.791  -0.568 -0.698  -0.606 -0.584  -0.653 -0.478  -0.653 -0.326  -0.626 -0.180  -0.560 -0.078  -0.606 -0.151  -0.637 -0.296  -0.699 -0.433  -0.699 -0.586  -0.745 -0.727  -0.745 -0.879  -0.812 -1.016  -0.838 -1.162
1b#tos#f3#f3021061/X  -0.859 0.812  -1.016 0.906  -0.937 0.811  -0.857 0.645  -0.779 0.479  -0.665 0.337  -0.568 0.182  -0.498 0.010  -0.406 -0.149  -0.303 -0.303  -0.174 -0.436  -0.070 -0.587  0.045 -0.731  0.198 -0.820  0.307 -0.963  0.424 -1.094  0.546 -1.224  0.568 -1.089  0.594 -0.906  0.619 -0.722  0.645 -0.538  0.671 -0.355  0.696 -0.171  0.722 0.013  0.748 0.196  0.774 0.380  0.799 0.564  0.825 0.747  0.851 0.931  0.873 1.115  0.873 1.300  0.776 1.321  0.660 1.185  0.534 1.053  0.413 0.914  0.282 0.782  0.183 0.630  0.104 0.464  -0.024 0.331  -0.119 0.172  -0.236 0.030  -0.364 -0.104  -0.475 -0.253  -0.591 -0.398  -0.703 -0.545  -0.798 -0.704  -0.899 -0.854  -1.029 -0.979  -1.122 -1.137  -1.234 -1.249
1b#tos#f3#f3021061/Z  -0.160 0.878  -0.374 1.021  -0.592 1.123  -0.377 1.166  -0.120 1.166  0.138 1.166  0.396 1.166  0.654 1.166  0.786 1.070  0.580 0.931  0.391 0.769  0.194 0.607  0.070 0.408  -0.112 0.229  -0.237 0.004  -0.408 -0.186  -0.565 -0.384  -0.687 -0.609  -0.768 -0.850  -0.771 -1.091  -0.524 -1.139  -0.267 -1.139  -0.009 -1.139  0.249 -1.139  0.506 -1.139  0.764 -1.139  1.022 -1.139  1.268 -1.091  1.076 -0.957  0.860 -0.817  0.644 -0.676  0.428 -0.535  0.212 -0.394  -0.004 -0.253  -0.220 -0.113  -0.436 0.028  -0.651 0.169  -0.867 0.310  -1.113 0.350  -1.350 0.350  -1.092 0.350  -0.837 0.335  -0.601 0.234  -0.350 0.205  -0.095 0.177  0.155 0.115  0.412 0.109  0.669 0.109  0.927 0.109  1.185 0.109
