2#app#app35#app3546/T  0.307 0.891  0.250 0.761  0.233 0.615  0.233 0.462  0.233 0.308  0.284 0.176  0.307 0.032  0.307 -0.121  0.307 -0.275  0.307 -0.428  0.307 -0.582  0.307 -0.735  0.365 -0.864  0.380 -1.011  0.380 -1.164  0.380 -1.318  0.307 -1.397  0.251 -1.412  0.145 -1.301  0.040 -1.190  -0.066 -1.079  -0.172 -0.968  -0.278 -0.857  -0.384 -0.746  -0.489 -0.635  -0.595 -0.524  -0.701 -0.413  -0.807 -0.302  -0.912 -0.190  -1.018 -0.079  -1.124 0.032  -1.156 0.153  -1.004 0.162  -0.869 0.233  -0.760 0.341  -0.628 0.414  -0.486 0.471  -0.345 0.531  -0.217 0.616  -0.090 0.701  0.038 0.786  0.171 0.861  0.313 0.918  0.459 0.967  0.596 1.036  0.733 1.104  0.870 1.173  0.990 1.260  1.114 1.330  1.192 1.260
2#app#app35#app3546/w  -1.598 0.890  -1.448 0.874  -1.337 0.763  -1.321 0.612  -1.210 0.501  -1.134 0.364  -1.064 0.224  -1.061 0.068  -1.033 -0.078  -0.926 -0.191  -0.906 -0.340  -0.795 -0.451  -0.779 -0.601  -0.668 -0.712  -0.650 -0.857  -0.493 -0.857  -0.389 -0.804  -0.389 -0.647  -0.319 -0.519  -0.254 -0.389  -0.215 -0.241  -0.145 -0.101  -0.120 0.051  -0.120 0.208  -0.120 0.365  -0.095 0.511  0.016 0.619  0.127 0.508  0.238 0.397  0.283 0.259  0.365 0.136  0.417 0.000  0.492 -0.126  0.552 -0.258  0.619 -0.387  0.730 -0.498  0.841 -0.609  0.952 -0.720  0.974 -0.588  1.089 -0.547  1.089 -0.389  1.089 -0.232  1.089 -0.075  1.089 0.082  1.089 0.239  1.089 0.396  1.089 0.553  1.089 0.710  1.089 0.867  1.089 1.024
2#app#app35#app3546/o  -0.156 1.153  -0.156 1.012  -0.254 0.969  -0.340 0.913  -0.353 0.785  -0.494 0.785  -0.524 0.673  -0.573 0.552  -0.673 0.452  -0.773 0.352  -0.873 0.252  -0.893 0.119  -0.924 -0.015  -0.987 -0.142  -1.051 -0.268  -1.077 -0.403  -1.077 -0.545  -1.077 -0.686  -0.979 -0.787  -0.874 -0.873  -0.732 -0.873  -0.591 -0.873  -0.449 -0.873  -0.308 -0.873  -0.166 -0.873  -0.025 -0.873  0.116 -0.873  0.253 -0.853  0.380 -0.790  0.506 -0.727  0.622 -0.649  0.722 -0.549  0.845 -0.505  0.976 -0.479  1.076 -0.379  1.134 -0.262  1.134 -0.120  1.134 0.021  1.134 0.162  1.062 0.232  0.929 0.253  0.829 0.353  0.766 0.468  0.758 0.604  0.632 0.668  0.505 0.731  0.383 0.799  0.283 0.899  0.170 0.969  0.029 0.969
2#app#app35#app3546/f  0.646 1.434  0.600 1.506  0.481 1.506  0.363 1.506  0.275 1.434  0.173 1.393  0.068 1.362  -0.036 1.328  -0.139 1.289  -0.257 1.289  -0.303 1.217  -0.363 1.159  -0.363 1.041  -0.327 0.931  -0.291 0.821  -0.265 0.707  -0.227 0.595  -0.219 0.478  -0.173 0.379  -0.147 0.271  -0.122 0.159  -0.075 0.052  -0.075 -0.066  -0.041 -0.179  -0.004 -0.292  -0.003 -0.410  -0.003 -0.528  -0.003 -0.646  -0.003 -0.764  0.024 -0.878  0.061 -0.991  0.069 -1.107  0.069 -1.226  0.041 -1.332  -0.003 -1.432  0.069 -1.418  0.049 -1.302  0.018 -1.188  -0.013 -1.074  -0.044 -0.960  -0.075 -0.846  -0.106 -0.732  -0.137 -0.618  -0.208 -0.584  -0.090 -0.584  0.029 -0.584  0.141 -0.578  0.193 -0.512  0.311 -0.512  0.430 -0.512
2#app#app35#app3546/l  0.007 1.678  0.007 1.607  0.007 1.536  0.006 1.466  -0.044 1.416  -0.094 1.366  -0.098 1.297  -0.098 1.226  -0.098 1.155  -0.098 1.084  -0.098 1.014  -0.098 0.943  -0.098 0.872  -0.098 0.801  -0.098 0.730  -0.098 0.660  -0.091 0.590  -0.078 0.520  -0.064 0.451  -0.050 0.381  -0.036 0.312  -0.022 0.243  -0.008 0.173  0.006 0.104  0.007 0.033  0.007 -0.038  0.007 -0.109  0.007 -0.179  0.007 -0.250  0.007 -0.321  0.007 -0.392  0.007 -0.462  0.007 -0.533  0.007 -0.604  0.007 -0.675  0.007 -0.746  0.007 -0.816  0.033 -0.876  0.083 -0.926  0.112 -0.985  0.112 -1.056  0.112 -1.127  0.112 -1.197  0.112 -1.268  0.112 -1.339  0.112 -1.410  0.112 -1.480  0.112 -1.551  0.112 -1.622  0.112 -1.693
2#app#app35#app3546/o  0.385 0.862  0.540 0.862  0.568 0.989  0.468 1.045  0.313 1.045  0.157 1.045  0.007 1.034  -0.103 0.924  -0.213 0.814  -0.323 0.704  -0.433 0.594  -0.543 0.484  -0.653 0.374  -0.782 0.312  -0.926 0.284  -1.036 0.174  -1.082 0.038  -1.082 -0.118  -1.082 -0.273  -1.082 -0.429  -1.082 -0.584  -1.082 -0.740  -0.986 -0.836  -0.847 -0.905  -0.707 -0.971  -0.552 -0.971  -0.396 -0.971  -0.241 -0.971  -0.085 -0.971  0.070 -0.971  0.225 -0.971  0.381 -0.971  0.492 -0.864  0.616 -0.788  0.751 -0.768  0.751 -0.613  0.899 -0.605  0.935 -0.485  0.935 -0.330  0.935 -0.174  0.909 -0.029  0.799 0.081  0.751 0.216  0.691 0.312  0.568 0.344  0.565 0.498  0.455 0.608  0.385 0.734  0.385 0.890  0.385 1.045
2#app#app35#app3546/w  -1.429 0.869  -1.286 0.833  -1.235 0.675  -1.108 0.548  -1.001 0.414  -1.001 0.234  -1.001 0.055  -0.905 -0.085  -0.807 -0.232  -0.727 -0.393  -0.715 -0.569  -0.715 -0.748  -0.634 -0.847  -0.572 -0.964  -0.572 -1.123  -0.539 -0.957  -0.429 -0.824  -0.429 -0.644  -0.429 -0.465  -0.370 -0.300  -0.289 -0.139  -0.286 0.039  -0.265 0.215  -0.209 0.385  -0.152 0.555  -0.076 0.717  0.000 0.878  0.032 1.044  0.166 1.155  0.286 1.097  0.353 0.945  0.429 0.797  0.429 0.618  0.494 0.454  0.572 0.293  0.572 0.114  0.572 -0.065  0.685 -0.132  0.719 -0.279  0.846 -0.406  0.973 -0.532  1.001 -0.700  1.034 -0.847  1.144 -0.778  1.144 -0.599  1.144 -0.420  1.144 -0.241  1.144 -0.061  1.144 0.118  1.144 0.297
2#app#app35#app3546/e  -0.745 -0.222  -0.906 -0.205  -0.872 -0.061  -0.745 -0.010  -0.677 0.100  -0.500 0.100  -0.423 0.201  -0.305 0.261  -0.128 0.261  -0.102 0.412  0.067 0.422  0.220 0.446  0.261 0.582  0.439 0.582  0.595 0.636  0.728 0.743  0.905 0.743  1.024 0.802  0.970 0.958  0.837 1.065  0.659 1.065  0.482 1.065  0.327 1.010  0.193 0.904  0.015 0.904  -0.102 0.843  -0.179 0.743  -0.329 0.676  -0.455 0.551  -0.580 0.425  -0.706 0.300  -0.745 0.138  -0.745 -0.040  -0.745 -0.217  -0.745 -0.395  -0.732 -0.569  -0.652 -0.728  -0.559 -0.865  -0.393 -0.894  -0.268 -1.020  -0.102 -1.035  -0.076 -1.186  0.102 -1.186  0.280 -1.186  0.457 -1.186  0.635 -1.186  0.813 -1.186  0.990 -1.186  1.168 -1.186  1.346 -1.186
2#app#app35#app3546/r  -0.283 0.886  -0.283 0.758  -0.283 0.630  -0.283 0.502  -0.283 0.374  -0.283 0.246  -0.283 0.118  -0.283 -0.010  -0.283 -0.138  -0.283 -0.266  -0.283 -0.393  -0.283 -0.521  -0.283 -0.649  -0.283 -0.777  -0.283 -0.905  -0.283 -1.033  -0.283 -1.161  -0.217 -1.261  -0.127 -1.352  -0.094 -1.466  -0.094 -1.553  -0.094 -1.425  -0.094 -1.298  -0.094 -1.170  -0.094 -1.042  -0.094 -0.914  -0.094 -0.786  -0.094 -0.658  -0.094 -0.530  -0.094 -0.402  -0.094 -0.274  -0.094 -0.146  -0.094 -0.019  -0.094 0.109  -0.046 0.226  0.011 0.340  0.069 0.455  0.126 0.569  0.183 0.683  0.240 0.798  0.284 0.915  0.284 1.043  0.352 1.143  0.443 1.233  0.533 1.324  0.624 1.414  0.714 1.505  0.805 1.595  0.913 1.642  1.041 1.642
2#app#app35#app3546/h  -0.467 2.076  -0.467 1.931  -0.467 1.786  -0.467 1.642  -0.467 1.497  -0.467 1.352  -0.449 1.210  -0.404 1.073  -0.365 0.935  -0.365 0.790  -0.365 0.645  -0.365 0.501  -0.365 0.356  -0.365 0.211  -0.365 0.067  -0.365 -0.078  -0.365 -0.223  -0.365 -0.367  -0.365 -0.512  -0.365 -0.657  -0.365 -0.801  -0.365 -0.946  -0.365 -1.091  -0.305 -1.176  -0.264 -1.073  -0.264 -0.928  -0.264 -0.784  -0.171 -0.677  -0.162 -0.536  -0.129 -0.399  -0.065 -0.270  0.035 -0.166  0.041 -0.024  0.096 0.098  0.178 0.215  0.243 0.345  0.385 0.348  0.448 0.266  0.536 0.158  0.606 0.033  0.651 -0.101  0.712 -0.221  0.753 -0.349  0.753 -0.493  0.803 -0.617  0.854 -0.741  0.854 -0.885  0.895 -1.013  0.956 -1.133  0.956 -1.277
2#app#app35#app3546/a  0.511 0.827  0.511 0.972  0.511 1.118  0.382 1.135  0.236 1.135  0.090 1.135  -0.056 1.135  -0.174 1.068  -0.277 0.964  -0.380 0.861  -0.495 0.773  -0.617 0.692  -0.738 0.611  -0.859 0.530  -0.877 0.394  -0.959 0.282  -1.032 0.166  -1.056 0.030  -1.160 -0.073  -1.186 -0.208  -1.186 -0.354  -1.094 -0.408  -1.032 -0.491  -0.957 -0.562  -0.811 -0.562  -0.665 -0.562  -0.519 -0.562  -0.373 -0.562  -0.227 -0.562  -0.089 -0.545  0.015 -0.441  0.146 -0.408  0.266 -0.344  0.374 -0.253  0.518 -0.247  0.621 -0.144  0.724 -0.041  0.809 0.055  0.665 0.053  0.665 -0.093  0.665 -0.239  0.665 -0.385  0.752 -0.494  0.820 -0.612  0.862 -0.716  1.008 -0.716  1.128 -0.741  1.145 -0.871  1.291 -0.871  1.437 -0.871
