3#apa#apa00#app0089/B  -0.249 1.288  -0.340 1.101  -0.340 0.823  -0.340 0.545  -0.340 0.267  -0.287 0.001  -0.249 -0.268  -0.223 -0.543  -0.158 -0.813  -0.110 -1.079  -0.067 -1.347  -0.063 -1.624  -0.014 -1.560  -0.081 -1.291  -0.149 -1.021  -0.216 -0.751  -0.283 -0.481  -0.351 -0.211  -0.418 0.058  -0.486 0.328  -0.553 0.598  -0.621 0.868  -0.688 1.137  -0.679 1.404  -0.466 1.561  -0.188 1.561  0.090 1.561  0.321 1.446  0.453 1.223  0.478 0.955  0.478 0.677  0.428 0.420  0.284 0.185  0.088 -0.011  -0.126 -0.166  -0.367 -0.257  -0.489 -0.166  -0.313 -0.048  -0.089 0.085  0.179 0.107  0.437 0.057  0.660 -0.075  0.842 -0.225  0.959 -0.438  1.024 -0.652  0.933 -0.839  0.799 -0.984  0.560 -1.079  0.302 -1.165  0.024 -1.165
3#apa#apa00#app0089/r  -0.676 1.185  -0.670 1.050  -0.542 1.037  -0.542 0.896  -0.542 0.755  -0.542 0.614  -0.542 0.473  -0.542 0.332  -0.542 0.191  -0.542 0.050  -0.542 -0.091  -0.542 -0.232  -0.506 -0.364  -0.443 -0.490  -0.380 -0.616  -0.317 -0.742  -0.274 -0.873  -0.238 -0.999  -0.138 -1.099  -0.039 -1.198  -0.005 -1.326  0.066 -1.437  0.093 -1.464  -0.005 -1.364  -0.005 -1.223  -0.005 -1.082  -0.005 -0.941  -0.026 -0.809  -0.125 -0.709  -0.139 -0.574  -0.139 -0.433  -0.139 -0.292  -0.139 -0.151  -0.139 -0.010  -0.125 0.125  -0.025 0.225  0.074 0.324  0.129 0.443  0.179 0.563  0.278 0.663  0.378 0.762  0.511 0.782  0.617 0.867  0.737 0.916  0.878 0.916  0.994 0.976  1.104 1.050  1.245 1.050  1.372 1.085  1.472 1.185
3#apa#apa00#app0089/o  0.121 1.270  0.255 1.270  0.187 1.270  0.053 1.270  -0.070 1.245  -0.164 1.151  -0.259 1.056  -0.353 0.962  -0.448 0.868  -0.542 0.773  -0.543 0.640  -0.614 0.536  -0.708 0.441  -0.710 0.308  -0.779 0.204  -0.874 0.109  -0.876 -0.024  -0.876 -0.157  -0.876 -0.291  -0.876 -0.424  -0.876 -0.558  -0.781 -0.652  -0.687 -0.747  -0.592 -0.841  -0.479 -0.890  -0.355 -0.912  -0.260 -1.007  -0.147 -1.056  -0.014 -1.056  0.120 -1.056  0.253 -1.056  0.387 -1.056  0.501 -1.009  0.595 -0.914  0.719 -0.890  0.786 -0.823  0.786 -0.690  0.786 -0.556  0.786 -0.423  0.786 -0.289  0.786 -0.156  0.786 -0.022  0.786 0.111  0.786 0.245  0.712 0.348  0.620 0.443  0.620 0.577  0.573 0.699  0.513 0.819  0.454 0.938
3#apa#apa00#app0089/k  -0.561 2.173  -0.561 1.969  -0.561 1.764  -0.561 1.559  -0.561 1.354  -0.561 1.149  -0.503 0.954  -0.466 0.755  -0.466 0.550  -0.414 0.358  -0.371 0.163  -0.371 -0.042  -0.309 -0.232  -0.276 -0.429  -0.276 -0.634  -0.247 -0.832  -0.181 -1.021  -0.181 -1.226  -0.181 -1.431  -0.181 -1.245  -0.181 -1.040  -0.181 -0.835  -0.181 -0.630  -0.181 -0.425  -0.181 -0.220  -0.096 -0.035  -0.085 0.167  -0.015 0.342  0.010 0.537  0.155 0.652  0.321 0.747  0.526 0.747  0.675 0.692  0.770 0.526  0.643 0.430  0.471 0.352  0.299 0.272  0.106 0.224  -0.059 0.107  -0.085 -0.087  0.002 -0.204  0.168 -0.299  0.295 -0.432  0.390 -0.542  0.485 -0.707  0.547 -0.898  0.605 -1.084  0.750 -1.229  0.851 -1.345  0.961 -1.440
3#apa#apa00#app0089/e  -0.915 0.038  -0.764 0.038  -0.613 0.038  -0.462 0.038  -0.354 0.140  -0.224 0.190  -0.096 0.245  0.014 0.343  0.165 0.343  0.313 0.349  0.420 0.456  0.554 0.496  0.705 0.496  0.765 0.587  0.854 0.649  0.918 0.735  0.858 0.861  0.751 0.968  0.644 1.075  0.507 1.107  0.356 1.107  0.205 1.107  0.084 1.036  -0.033 0.954  -0.151 0.921  -0.182 0.801  -0.304 0.773  -0.323 0.630  -0.430 0.523  -0.536 0.416  -0.609 0.296  -0.609 0.145  -0.609 -0.006  -0.609 -0.157  -0.609 -0.307  -0.609 -0.458  -0.584 -0.599  -0.478 -0.705  -0.457 -0.847  -0.372 -0.963  -0.266 -1.070  -0.159 -1.177  -0.052 -1.283  0.054 -1.390  0.164 -1.490  0.315 -1.490  0.465 -1.490  0.616 -1.490  0.767 -1.490  0.918 -1.490
3#apa#apa00#app0089/n  -0.954 0.982  -0.954 0.832  -0.954 0.682  -0.954 0.531  -0.954 0.381  -0.954 0.231  -0.937 0.088  -0.831 -0.019  -0.808 -0.160  -0.808 -0.310  -0.808 -0.460  -0.716 -0.572  -0.662 -0.700  -0.662 -0.850  -0.662 -1.001  -0.662 -0.978  -0.662 -0.828  -0.662 -0.678  -0.662 -0.527  -0.662 -0.377  -0.555 -0.334  -0.516 -0.223  -0.401 -0.187  -0.370 -0.068  -0.370 0.082  -0.242 0.105  -0.223 0.237  -0.088 0.251  -0.077 0.391  0.067 0.397  0.174 0.502  0.280 0.608  0.396 0.690  0.535 0.717  0.642 0.824  0.787 0.836  0.800 0.699  0.941 0.690  0.946 0.545  0.946 0.394  0.949 0.245  1.017 0.110  1.084 -0.024  1.092 -0.172  1.188 -0.283  1.239 -0.412  1.297 -0.538  1.397 -0.650  1.464 -0.784  1.531 -0.918
3#apa#apa00#app0089/M  -0.663 1.052  -0.663 0.817  -0.748 0.618  -0.748 0.383  -0.748 0.148  -0.748 -0.086  -0.748 -0.321  -0.695 -0.547  -0.663 -0.776  -0.663 -1.011  -0.663 -1.246  -0.631 -1.473  -0.576 -1.461  -0.561 -1.227  -0.547 -0.993  -0.532 -0.759  -0.517 -0.525  -0.503 -0.290  -0.488 -0.056  -0.474 0.178  -0.459 0.412  -0.444 0.646  -0.430 0.880  -0.415 1.115  -0.378 1.106  -0.324 0.894  -0.290 0.664  -0.239 0.436  -0.131 0.242  -0.000 0.050  0.046 -0.166  0.211 -0.332  0.422 -0.390  0.473 -0.188  0.579 0.003  0.610 0.225  0.610 0.460  0.658 0.687  0.778 0.881  0.842 1.052  0.968 0.929  1.034 0.709  1.034 0.475  1.034 0.240  1.034 0.006  1.034 -0.229  1.034 -0.464  1.051 -0.696  1.119 -0.919  1.119 -1.154
3#apa#apa00#app0089/o  0.480 1.034  0.480 1.180  0.480 1.326  0.382 1.374  0.236 1.374  0.104 1.339  0.001 1.235  -0.103 1.132  -0.206 1.029  -0.309 0.925  -0.404 0.815  -0.485 0.693  -0.566 0.572  -0.647 0.450  -0.711 0.323  -0.711 0.177  -0.711 0.031  -0.711 -0.115  -0.711 -0.261  -0.711 -0.407  -0.711 -0.554  -0.711 -0.700  -0.705 -0.843  -0.602 -0.947  -0.481 -1.008  -0.335 -1.008  -0.189 -1.008  -0.042 -1.008  0.104 -1.008  0.140 -1.118  0.140 -1.264  0.202 -1.348  0.310 -1.309  0.320 -1.167  0.423 -1.064  0.480 -0.941  0.480 -0.795  0.480 -0.649  0.480 -0.503  0.480 -0.357  0.480 -0.211  0.480 -0.065  0.480 0.082  0.480 0.228  0.480 0.374  0.480 0.520  0.480 0.666  0.480 0.812  0.413 0.931  0.310 1.034
3#apa#apa00#app0089/o  0.307 1.167  0.307 1.306  0.175 1.312  0.036 1.312  -0.102 1.312  -0.127 1.197  -0.203 1.090  -0.301 0.992  -0.399 0.894  -0.416 0.762  -0.493 0.656  -0.591 0.557  -0.689 0.459  -0.705 0.327  -0.705 0.189  -0.705 0.050  -0.705 -0.089  -0.705 -0.227  -0.705 -0.366  -0.705 -0.505  -0.653 -0.622  -0.561 -0.722  -0.559 -0.860  -0.461 -0.958  -0.363 -1.056  -0.262 -1.148  -0.127 -1.151  -0.127 -1.290  0.009 -1.293  0.148 -1.293  0.250 -1.205  0.365 -1.148  0.452 -1.096  0.484 -0.971  0.582 -0.873  0.597 -0.740  0.597 -0.602  0.597 -0.463  0.597 -0.324  0.597 -0.186  0.597 -0.047  0.597 0.092  0.597 0.230  0.597 0.369  0.568 0.501  0.506 0.625  0.452 0.751  0.452 0.890  0.452 1.028  0.452 1.167
3#apa#apa00#app0089/n  -0.497 1.424  -0.524 1.278  -0.644 1.224  -0.644 1.051  -0.644 0.877  -0.644 0.703  -0.644 0.530  -0.644 0.356  -0.644 0.183  -0.644 0.009  -0.644 -0.165  -0.644 -0.338  -0.644 -0.512  -0.644 -0.686  -0.644 -0.859  -0.644 -1.033  -0.511 -1.074  -0.497 -1.208  -0.497 -1.034  -0.450 -0.880  -0.350 -0.748  -0.350 -0.574  -0.350 -0.401  -0.271 -0.260  -0.203 -0.114  -0.203 0.059  -0.203 0.233  -0.092 0.360  -0.056 0.519  0.011 0.677  0.089 0.832  0.113 0.984  0.286 0.984  0.460 0.984  0.633 0.984  0.769 0.893  0.826 0.743  0.826 0.569  0.826 0.395  0.826 0.222  0.826 0.048  0.826 -0.126  0.826 -0.299  0.826 -0.473  0.826 -0.646  0.826 -0.820  0.826 -0.994  0.826 -1.167  0.826 -1.341  0.973 -1.367
3#apa#apa00#app0089/s  0.613 1.191  0.542 1.262  0.460 1.306  0.359 1.306  0.258 1.306  0.158 1.306  0.057 1.306  0.039 1.223  -0.030 1.191  -0.130 1.191  -0.190 1.151  -0.217 1.076  -0.305 1.064  -0.305 0.963  -0.305 0.863  -0.305 0.762  -0.255 0.682  -0.190 0.608  -0.190 0.508  -0.190 0.407  -0.133 0.330  -0.067 0.255  -0.022 0.165  0.023 0.075  0.039 -0.022  0.075 -0.108  0.146 -0.179  0.217 -0.250  0.269 -0.329  0.269 -0.430  0.269 -0.531  0.269 -0.631  0.355 -0.646  0.384 -0.718  0.384 -0.819  0.384 -0.919  0.363 -1.011  0.292 -1.082  0.220 -1.154  0.147 -1.220  0.046 -1.220  -0.054 -1.220  -0.155 -1.220  -0.256 -1.220  -0.356 -1.220  -0.446 -1.194  -0.517 -1.123  -0.588 -1.052  -0.664 -0.990  -0.764 -0.990
3#apa#apa00#app0089/t  -0.205 2.050  -0.205 1.891  -0.205 1.732  -0.205 1.573  -0.205 1.414  -0.205 1.255  -0.205 1.095  -0.205 0.936  -0.205 0.777  -0.205 0.618  -0.205 0.459  -0.205 0.300  -0.205 0.141  -0.205 -0.018  -0.205 -0.177  -0.205 -0.336  -0.205 -0.495  -0.205 -0.654  -0.205 -0.813  -0.205 -0.972  -0.205 -1.132  -0.205 -1.291  -0.099 -1.297  -0.022 -1.215  0.137 -1.215  0.296 -1.215  0.416 -1.121  0.571 -1.110  0.730 -1.110  0.783 -1.005  0.915 -0.939  0.878 -0.829  0.762 -0.720  0.646 -0.612  0.529 -0.503  0.413 -0.394  0.297 -0.286  0.180 -0.177  0.064 -0.069  -0.052 0.040  -0.168 0.148  -0.285 0.257  -0.401 0.365  -0.517 0.474  -0.618 0.583  -0.500 0.681  -0.341 0.681  -0.184 0.691  -0.042 0.762  0.111 0.786
3#apa#apa00#app0089/h  -0.560 2.030  -0.560 1.884  -0.560 1.739  -0.560 1.593  -0.516 1.465  -0.456 1.345  -0.456 1.199  -0.456 1.053  -0.456 0.907  -0.401 0.775  -0.352 0.640  -0.352 0.495  -0.352 0.349  -0.352 0.203  -0.352 0.057  -0.352 -0.088  -0.352 -0.234  -0.352 -0.380  -0.352 -0.526  -0.352 -0.671  -0.352 -0.817  -0.352 -0.963  -0.352 -1.109  -0.352 -1.145  -0.352 -0.999  -0.328 -0.863  -0.247 -0.751  -0.247 -0.605  -0.166 -0.493  -0.143 -0.356  -0.107 -0.226  -0.039 -0.108  0.025 0.011  0.155 0.051  0.196 0.155  0.273 0.223  0.383 0.259  0.529 0.259  0.586 0.170  0.678 0.063  0.781 -0.040  0.794 -0.181  0.840 -0.308  0.899 -0.429  0.899 -0.575  0.899 -0.721  0.899 -0.866  0.899 -1.012  0.899 -1.158  0.899 -1.304
3#apa#apa00#app0089/a  -0.734 1.410  -0.579 1.410  -0.425 1.407  -0.287 1.337  -0.148 1.268  0.005 1.260  0.159 1.260  0.272 1.158  0.407 1.109  0.471 1.018  0.566 0.959  0.621 0.859  0.621 0.704  0.514 0.657  0.392 0.578  0.320 0.453  0.262 0.356  0.125 0.312  0.015 0.205  -0.138 0.200  -0.247 0.090  -0.357 -0.019  -0.466 -0.129  -0.576 -0.238  -0.685 -0.348  -0.734 -0.482  -0.734 -0.637  -0.734 -0.792  -0.734 -0.947  -0.734 -1.102  -0.628 -1.150  -0.473 -1.150  -0.433 -1.265  -0.314 -1.301  -0.159 -1.301  -0.004 -1.301  0.112 -1.207  0.243 -1.150  0.375 -1.095  0.471 -0.979  0.471 -0.825  0.471 -0.670  0.471 -0.515  0.471 -0.360  0.471 -0.205  0.471 -0.050  0.471 0.105  0.433 0.244  0.323 0.353  0.320 0.507
3#apa#apa00#app0089/t  0.155 2.186  0.155 2.042  0.155 1.899  0.155 1.755  0.056 1.653  0.047 1.513  0.047 1.369  0.047 1.225  -0.011 1.095  -0.061 0.964  -0.061 0.820  -0.061 0.676  -0.061 0.533  -0.061 0.389  -0.061 0.245  -0.061 0.102  -0.080 -0.039  -0.126 -0.175  -0.170 -0.312  -0.170 -0.455  -0.170 -0.599  -0.170 -0.742  -0.170 -0.886  -0.170 -1.030  -0.170 -1.173  -0.170 -1.317  -0.101 -1.392  0.043 -1.392  0.145 -1.293  0.247 -1.192  0.380 -1.167  0.481 -1.065  0.518 -0.958  0.540 -0.905  0.444 -0.798  0.347 -0.692  0.251 -0.586  0.154 -0.479  0.057 -0.373  -0.039 -0.267  -0.136 -0.161  -0.233 -0.054  -0.329 0.052  -0.426 0.158  -0.495 0.194  -0.419 0.126  -0.276 0.126  -0.132 0.126  0.012 0.126  0.155 0.126
3#apa#apa00#app0089/d  0.350 -0.245  0.253 -0.127  0.153 0.046  0.035 0.143  -0.083 0.240  -0.232 0.174  -0.391 0.081  -0.543 -0.071  -0.695 -0.223  -0.847 -0.375  -1.000 -0.527  -1.008 -0.739  -1.008 -0.954  -0.956 -1.118  -0.814 -1.044  -0.622 -1.021  -0.447 -0.924  -0.304 -0.776  -0.193 -0.594  -0.076 -0.417  0.055 -0.249  0.138 -0.068  0.156 0.140  0.251 0.333  0.253 0.547  0.285 0.758  0.338 0.967  0.350 1.181  0.350 1.396  0.447 1.571  0.447 1.786  0.447 1.775  0.352 1.599  0.341 1.387  0.253 1.193  0.210 0.984  0.156 0.778  0.156 0.563  0.095 0.373  0.059 0.173  0.059 -0.043  0.065 -0.256  0.156 -0.450  0.156 -0.665  0.259 -0.839  0.350 -1.033  0.350 -1.248  0.447 -1.366  0.619 -1.408  0.834 -1.408
3#apa#apa00#app0089/i  -0.359 0.749  -0.225 0.749  -0.207 0.634  -0.304 0.597  -0.359 0.518  -0.402 0.402  -0.497 0.307  -0.512 0.180  -0.512 0.046  -0.512 -0.088  -0.512 -0.222  -0.512 -0.356  -0.512 -0.490  -0.512 -0.624  -0.512 -0.758  -0.512 -0.892  -0.512 -1.026  -0.431 -1.079  -0.359 -1.141  -0.315 -1.231  -0.181 -1.231  -0.048 -1.231  0.086 -1.231  0.184 -1.144  0.291 -1.079  0.425 -1.079  0.555 -1.074  0.555 -0.940  0.535 -0.808  0.513 -0.676  0.491 -0.544  0.469 -0.412  0.447 -0.280  0.425 -0.148  0.403 -0.016  0.381 0.116  0.359 0.249  0.337 0.381  0.315 0.513  0.293 0.645  0.271 0.777  0.249 0.909  0.227 1.041  0.205 1.173  0.183 1.305  0.161 1.437  0.139 1.569  0.117 1.701  0.098 1.834  0.098 1.968
3#apa#apa00#app0089/s  0.489 1.251  0.386 1.251  0.282 1.251  0.179 1.251  0.075 1.251  -0.028 1.251  -0.132 1.251  -0.226 1.229  -0.299 1.156  -0.384 1.112  -0.482 1.106  -0.482 1.002  -0.482 0.899  -0.454 0.807  -0.381 0.734  -0.308 0.661  -0.234 0.587  -0.144 0.557  -0.048 0.539  0.026 0.466  0.073 0.382  0.074 0.279  0.147 0.206  0.224 0.141  0.327 0.141  0.351 0.061  0.382 -0.029  0.455 -0.102  0.489 -0.192  0.489 -0.295  0.489 -0.399  0.489 -0.502  0.489 -0.606  0.481 -0.707  0.435 -0.800  0.389 -0.892  0.338 -0.982  0.265 -1.055  0.183 -1.107  0.079 -1.107  0.004 -1.176  -0.070 -1.246  -0.174 -1.246  -0.277 -1.246  -0.381 -1.246  -0.484 -1.246  -0.587 -1.246  -0.620 -1.176  -0.656 -1.107  -0.759 -1.107
3#apa#apa00#app0089/a  -1.089 0.800  -0.944 0.802  -0.940 0.948  -0.836 1.053  -0.704 1.090  -0.653 1.187  -0.554 1.236  -0.406 1.236  -0.258 1.236  -0.110 1.236  0.037 1.236  0.153 1.157  0.219 1.037  0.219 0.890  0.219 0.742  0.177 0.612  0.074 0.507  0.071 0.360  -0.034 0.256  -0.114 0.134  -0.180 0.001  -0.263 -0.119  -0.362 -0.225  -0.362 -0.373  -0.370 -0.517  -0.475 -0.622  -0.508 -0.756  -0.508 -0.904  -0.508 -1.051  -0.399 -1.090  -0.284 -1.169  -0.164 -1.236  -0.016 -1.236  0.132 -1.236  0.219 -1.176  0.282 -1.090  0.430 -1.090  0.558 -1.043  0.662 -0.938  0.767 -0.834  0.801 -0.700  0.801 -0.553  0.801 -0.405  0.801 -0.257  0.801 -0.109  0.722 0.006  0.656 0.126  0.600 0.218  0.469 0.259  0.365 0.364
3#apa#apa00#app0089/s  0.494 0.515  0.494 0.641  0.494 0.767  0.416 0.861  0.360 0.964  0.320 1.050  0.194 1.050  0.067 1.050  -0.059 1.050  -0.185 1.050  -0.311 1.050  -0.438 1.050  -0.564 1.050  -0.690 1.050  -0.711 0.945  -0.809 0.917  -0.845 0.827  -0.845 0.700  -0.778 0.615  -0.665 0.559  -0.577 0.487  -0.563 0.367  -0.474 0.277  -0.369 0.210  -0.256 0.153  -0.139 0.113  -0.021 0.093  0.068 0.004  0.157 -0.086  0.246 -0.175  0.336 -0.264  0.425 -0.354  0.514 -0.443  0.604 -0.532  0.628 -0.648  0.687 -0.750  0.762 -0.845  0.762 -0.972  0.756 -1.092  0.630 -1.092  0.540 -1.180  0.433 -1.226  0.306 -1.226  0.180 -1.226  0.054 -1.226  -0.072 -1.226  -0.199 -1.226  -0.325 -1.226  -0.451 -1.226  -0.577 -1.226
