2#apb#apb40#app4053/S  -1.234 -0.838  -1.260 -0.808  -1.140 -0.735  -1.028 -0.644  -0.921 -0.547  -0.815 -0.449  -0.708 -0.352  -0.607 -0.249  -0.506 -0.145  -0.405 -0.042  -0.304 0.061  -0.203 0.164  -0.101 0.266  0.001 0.368  0.104 0.470  0.206 0.572  0.306 0.676  0.399 0.786  0.493 0.896  0.587 1.006  0.662 1.127  0.721 1.259  0.768 1.394  0.773 1.463  0.730 1.325  0.686 1.187  0.648 1.048  0.618 0.907  0.587 0.766  0.556 0.625  0.527 0.483  0.501 0.341  0.474 0.199  0.447 0.057  0.424 -0.085  0.402 -0.228  0.381 -0.371  0.350 -0.512  0.312 -0.651  0.257 -0.783  0.183 -0.907  0.078 -1.005  -0.038 -1.087  -0.176 -1.131  -0.319 -1.139  -0.459 -1.119  -0.587 -1.052  -0.702 -0.966  -0.801 -0.864  -0.863 -0.738
2#apb#apb40#app4053/e  -0.835 -0.927  -0.700 -0.853  -0.581 -0.741  -0.474 -0.619  -0.366 -0.497  -0.258 -0.375  -0.148 -0.255  -0.038 -0.135  0.072 -0.014  0.182 0.106  0.292 0.226  0.404 0.344  0.516 0.463  0.627 0.581  0.698 0.724  0.745 0.880  0.792 1.036  0.776 1.186  0.703 1.332  0.584 1.414  0.423 1.439  0.278 1.396  0.146 1.300  0.014 1.205  -0.106 1.099  -0.195 0.962  -0.283 0.825  -0.371 0.687  -0.459 0.550  -0.534 0.408  -0.581 0.252  -0.628 0.095  -0.675 -0.061  -0.722 -0.217  -0.733 -0.377  -0.725 -0.540  -0.718 -0.702  -0.650 -0.836  -0.527 -0.942  -0.403 -1.048  -0.249 -1.078  -0.087 -1.085  0.076 -1.092  0.236 -1.079  0.390 -1.025  0.543 -0.971  0.693 -0.909  0.822 -0.810  0.951 -0.711  1.081 -0.612
2#apb#apb40#app4053/p  -0.061 0.678  -0.036 0.499  -0.039 0.320  -0.055 0.141  -0.086 -0.036  -0.127 -0.211  -0.168 -0.387  -0.233 -0.553  -0.306 -0.718  -0.380 -0.882  -0.461 -1.043  -0.541 -1.204  -0.619 -1.367  -0.696 -1.529  -0.753 -1.595  -0.749 -1.415  -0.704 -1.241  -0.659 -1.066  -0.614 -0.892  -0.571 -0.717  -0.527 -0.543  -0.483 -0.368  -0.437 -0.194  -0.390 -0.020  -0.343 0.154  -0.296 0.327  -0.245 0.500  -0.179 0.667  -0.112 0.835  -0.046 1.002  0.020 1.169  0.165 1.275  0.312 1.380  0.479 1.413  0.659 1.404  0.794 1.299  0.917 1.168  0.968 1.005  0.980 0.825  0.992 0.646  0.936 0.476  0.873 0.307  0.793 0.147  0.700 -0.008  0.589 -0.147  0.453 -0.264  0.298 -0.351  0.132 -0.400  -0.030 -0.324  -0.111 -0.163
2#apb#apb40#app4053/t  0.832 1.994  0.796 1.863  0.744 1.735  0.692 1.608  0.641 1.480  0.590 1.352  0.539 1.225  0.487 1.097  0.436 0.969  0.388 0.840  0.343 0.710  0.299 0.579  0.255 0.449  0.210 0.319  0.166 0.188  0.133 0.055  0.106 -0.080  0.078 -0.215  0.051 -0.350  0.023 -0.485  0.008 -0.622  -0.005 -0.759  -0.018 -0.896  -0.032 -1.033  -0.047 -1.170  -0.061 -1.307  -0.111 -1.427  -0.187 -1.347  -0.260 -1.230  -0.332 -1.112  -0.404 -0.995  -0.477 -0.878  -0.549 -0.761  -0.622 -0.644  -0.694 -0.527  -0.766 -0.410  -0.839 -0.292  -0.911 -0.175  -0.872 -0.086  -0.734 -0.086  -0.597 -0.075  -0.461 -0.058  -0.324 -0.040  -0.189 -0.011  -0.055 0.017  0.080 0.046  0.214 0.079  0.346 0.117  0.478 0.156  0.610 0.194
2#apb#apb40#app4053/.  1.174 1.250  1.124 1.199  1.073 1.149  1.023 1.099  0.973 1.049  0.923 0.998  0.872 0.948  0.822 0.898  0.772 0.848  0.722 0.797  0.671 0.747  0.621 0.697  0.571 0.647  0.521 0.596  0.470 0.546  0.420 0.496  0.370 0.446  0.320 0.395  0.269 0.345  0.219 0.295  0.169 0.245  0.134 0.183  0.102 0.120  0.070 0.056  0.039 -0.007  0.007 -0.071  -0.025 -0.134  -0.057 -0.198  -0.089 -0.261  -0.147 -0.298  -0.211 -0.330  -0.274 -0.362  -0.338 -0.394  -0.401 -0.425  -0.465 -0.457  -0.528 -0.489  -0.592 -0.521  -0.635 -0.576  -0.674 -0.635  -0.714 -0.694  -0.753 -0.753  -0.792 -0.813  -0.832 -0.872  -0.871 -0.931  -0.911 -0.990  -0.950 -1.049  -0.989 -1.108  -1.029 -1.167  -1.068 -1.226  -1.108 -1.286
2#apb#apb40#app4053/2  -0.878 0.493  -0.834 0.581  -0.791 0.668  -0.715 0.722  -0.626 0.762  -0.536 0.801  -0.447 0.840  -0.356 0.877  -0.266 0.914  -0.175 0.952  -0.083 0.982  0.014 0.992  0.111 1.003  0.208 1.014  0.302 1.001  0.394 0.966  0.485 0.931  0.565 0.877  0.638 0.812  0.689 0.734  0.711 0.639  0.733 0.544  0.713 0.452  0.675 0.362  0.636 0.272  0.598 0.182  0.559 0.093  0.500 0.015  0.439 -0.061  0.378 -0.138  0.318 -0.215  0.257 -0.291  0.196 -0.368  0.136 -0.445  0.076 -0.522  0.015 -0.599  -0.045 -0.676  -0.105 -0.753  -0.165 -0.830  -0.222 -0.909  -0.276 -0.991  -0.331 -1.072  -0.385 -1.153  -0.436 -1.236  -0.465 -1.329  -0.494 -1.423  -0.509 -1.517  -0.491 -1.612  -0.401 -1.651  -0.312 -1.691
2#apb#apb40#app4053/3  -1.134 0.637  -1.085 0.780  -0.976 0.889  -0.862 0.991  -0.729 1.069  -0.597 1.147  -0.452 1.197  -0.305 1.241  -0.156 1.266  -0.004 1.243  0.148 1.220  0.264 1.126  0.372 1.017  0.357 0.867  0.334 0.715  0.274 0.580  0.174 0.463  0.075 0.346  -0.032 0.237  -0.156 0.146  -0.281 0.056  -0.405 -0.034  -0.522 -0.134  -0.640 -0.233  -0.597 -0.294  -0.448 -0.260  -0.299 -0.223  -0.150 -0.186  0.000 -0.153  0.150 -0.120  0.300 -0.087  0.451 -0.054  0.601 -0.083  0.752 -0.114  0.881 -0.183  0.990 -0.292  0.977 -0.443  0.959 -0.596  0.857 -0.705  0.744 -0.808  0.630 -0.912  0.509 -1.004  0.369 -1.068  0.229 -1.131  0.089 -1.194  -0.051 -1.257  -0.191 -1.321  -0.331 -1.384  -0.471 -1.447  -0.612 -1.511
2#apb#apb40#app4053/N  -0.837 0.246  -0.883 0.453  -0.878 0.663  -0.759 0.833  -0.582 0.951  -0.383 1.020  -0.177 1.038  0.025 0.994  0.143 0.817  0.226 0.632  0.204 0.421  0.183 0.210  0.083 0.023  -0.017 -0.164  -0.126 -0.344  -0.260 -0.509  -0.394 -0.673  -0.535 -0.831  -0.682 -0.984  -0.827 -1.138  -0.987 -1.273  -1.020 -1.074  -0.980 -0.866  -0.906 -0.669  -0.785 -0.496  -0.658 -0.327  -0.532 -0.158  -0.398 0.006  -0.274 0.177  -0.140 0.341  0.007 0.495  0.161 0.640  0.321 0.779  0.507 0.879  0.701 0.961  0.905 1.015  1.098 0.947  1.192 0.759  1.178 0.547  1.149 0.339  1.073 0.141  0.997 -0.057  0.890 -0.239  0.779 -0.420  0.662 -0.596  0.539 -0.769  0.417 -0.943  0.296 -1.117  0.181 -1.294  0.100 -1.392
2#apb#apb40#app4053/o  -0.811 -0.092  -0.783 0.081  -0.723 0.118  -0.766 -0.053  -0.819 -0.221  -0.889 -0.383  -0.959 -0.546  -0.975 -0.719  -0.964 -0.894  -0.892 -1.054  -0.718 -1.089  -0.547 -1.102  -0.379 -1.047  -0.212 -0.988  -0.079 -0.873  0.055 -0.757  0.133 -0.604  0.192 -0.437  0.174 -0.261  0.156 -0.085  0.085 0.071  -0.012 0.220  -0.108 0.368  -0.227 0.499  -0.347 0.628  -0.494 0.722  -0.654 0.782  -0.825 0.738  -0.934 0.620  -0.881 0.463  -0.761 0.337  -0.584 0.328  -0.408 0.320  -0.231 0.322  -0.055 0.330  0.122 0.337  0.288 0.392  0.453 0.456  0.618 0.520  0.792 0.550  0.966 0.579  1.142 0.594  1.318 0.599  1.467 0.537  1.533 0.376  1.562 0.201  1.563 0.025  1.536 -0.149  1.482 -0.317  1.400 -0.440
2#apb#apb40#app4053/v  -0.449 0.196  -0.464 0.336  -0.449 0.476  -0.519 0.446  -0.594 0.329  -0.655 0.202  -0.715 0.075  -0.778 -0.051  -0.843 -0.176  -0.909 -0.300  -0.956 -0.431  -0.980 -0.570  -1.003 -0.709  -1.011 -0.848  -0.989 -0.987  -0.928 -1.110  -0.839 -1.210  -0.698 -1.210  -0.567 -1.157  -0.437 -1.105  -0.315 -1.034  -0.195 -0.961  -0.074 -0.889  0.022 -0.786  0.118 -0.683  0.210 -0.577  0.286 -0.459  0.363 -0.340  0.416 -0.211  0.459 -0.077  0.498 0.058  0.518 0.197  0.538 0.337  0.536 0.476  0.512 0.614  0.485 0.752  0.450 0.889  0.409 1.022  0.327 1.130  0.265 1.064  0.328 0.938  0.427 0.846  0.549 0.776  0.681 0.727  0.814 0.683  0.951 0.655  1.092 0.648  1.232 0.643  1.371 0.669  1.509 0.694
2#apb#apb40#app4053/.  1.287 1.104  1.223 1.069  1.159 1.034  1.095 0.999  1.031 0.964  0.967 0.930  0.903 0.895  0.839 0.860  0.775 0.825  0.711 0.790  0.647 0.755  0.583 0.720  0.519 0.685  0.455 0.650  0.391 0.615  0.327 0.580  0.263 0.545  0.199 0.510  0.135 0.476  0.071 0.441  0.007 0.406  -0.049 0.364  -0.076 0.296  -0.103 0.228  -0.130 0.161  -0.157 0.093  -0.185 0.025  -0.212 -0.043  -0.239 -0.110  -0.266 -0.178  -0.297 -0.244  -0.337 -0.304  -0.378 -0.365  -0.418 -0.426  -0.458 -0.486  -0.499 -0.547  -0.539 -0.608  -0.580 -0.668  -0.620 -0.729  -0.661 -0.790  -0.701 -0.850  -0.742 -0.911  -0.769 -0.976  -0.769 -1.049  -0.769 -1.122  -0.769 -1.194  -0.769 -1.267  -0.751 -1.333  -0.700 -1.384  -0.648 -1.436
