1d#ced#jekn5827_s_26/(  0.641 0.757  0.661 0.834  0.688 0.904  0.688 0.983  0.688 1.063  0.688 1.142  0.688 1.222  0.662 1.240  0.609 1.182  0.564 1.116  0.514 1.054  0.464 0.992  0.415 0.930  0.362 0.870  0.310 0.811  0.275 0.740  0.220 0.682  0.170 0.621  0.122 0.558  0.074 0.494  0.036 0.425  -0.009 0.361  -0.065 0.304  -0.115 0.242  -0.160 0.177  -0.201 0.108  -0.234 0.036  -0.265 -0.037  -0.309 -0.103  -0.345 -0.173  -0.375 -0.247  -0.394 -0.324  -0.421 -0.398  -0.444 -0.474  -0.445 -0.553  -0.461 -0.631  -0.468 -0.710  -0.468 -0.789  -0.468 -0.869  -0.468 -0.948  -0.468 -1.028  -0.452 -1.105  -0.426 -1.180  -0.401 -1.255  -0.376 -1.331  -0.336 -1.399  -0.296 -1.468  -0.261 -1.539  -0.217 -1.606  -0.190 -1.680
1d#ced#jekn5827_s_26/)  -0.270 0.591  -0.292 0.678  -0.344 0.751  -0.389 0.828  -0.436 0.904  -0.487 0.978  -0.529 1.057  -0.592 1.121  -0.625 1.204  -0.637 1.250  -0.562 1.205  -0.499 1.142  -0.435 1.078  -0.365 1.022  -0.307 0.956  -0.247 0.890  -0.192 0.819  -0.132 0.752  -0.075 0.684  -0.021 0.612  0.032 0.539  0.072 0.459  0.134 0.394  0.178 0.317  0.227 0.242  0.274 0.166  0.311 0.084  0.351 0.004  0.384 -0.080  0.410 -0.165  0.430 -0.253  0.449 -0.341  0.466 -0.428  0.466 -0.518  0.466 -0.608  0.466 -0.698  0.463 -0.787  0.441 -0.875  0.419 -0.962  0.371 -1.037  0.337 -1.119  0.287 -1.194  0.237 -1.269  0.187 -1.344  0.116 -1.391  0.048 -1.447  -0.022 -1.500  -0.105 -1.534  -0.186 -1.574  -0.270 -1.604
1d#ced#jekn5827_s_26/  -0.258 -0.181  -0.338 -0.128  -0.417 -0.075  -0.502 -0.036  -0.597 -0.036  -0.693 -0.036  -0.784 -0.023  -0.864 0.031  -0.943 0.084  -1.032 0.108  -1.127 0.108  -1.221 0.116  -1.312 0.147  -1.403 0.177  -1.332 0.153  -1.241 0.123  -1.148 0.108  -1.052 0.108  -0.957 0.108  -0.861 0.108  -0.765 0.108  -0.670 0.103  -0.578 0.079  -0.485 0.056  -0.392 0.036  -0.296 0.036  -0.201 0.036  -0.105 0.036  -0.009 0.036  0.085 0.022  0.177 -0.001  0.270 -0.024  0.364 -0.036  0.460 -0.036  0.555 -0.036  0.651 -0.036  0.747 -0.036  0.841 -0.042  0.932 -0.072  1.023 -0.103  1.117 -0.109  1.213 -0.109  1.309 -0.109  1.404 -0.109  1.500 -0.109  1.596 -0.109  1.691 -0.109  1.787 -0.109  1.882 -0.109  1.978 -0.109
1d#ced#jekn5827_s_26/,  0.729 0.901  0.705 0.972  0.681 1.043  0.657 1.114  0.643 1.187  0.643 1.262  0.643 1.235  0.643 1.160  0.643 1.085  0.643 1.010  0.620 0.940  0.586 0.873  0.553 0.806  0.519 0.739  0.486 0.672  0.449 0.606  0.411 0.542  0.372 0.478  0.337 0.412  0.314 0.341  0.282 0.273  0.240 0.211  0.198 0.149  0.157 0.086  0.115 0.024  0.074 -0.039  0.032 -0.101  -0.010 -0.163  -0.056 -0.221  -0.118 -0.263  -0.176 -0.309  -0.209 -0.376  -0.243 -0.443  -0.289 -0.501  -0.342 -0.554  -0.392 -0.609  -0.434 -0.672  -0.477 -0.733  -0.530 -0.786  -0.583 -0.839  -0.632 -0.896  -0.679 -0.954  -0.726 -1.013  -0.773 -1.071  -0.826 -1.124  -0.879 -1.177  -0.932 -1.230  -0.978 -1.289  -1.023 -1.349  -1.068 -1.409
1d#ced#jekn5827_s_26/:  0.055 0.973  0.055 1.049  0.055 1.126  0.055 1.203  0.024 1.270  -0.018 1.334  -0.061 1.398  -0.103 1.367  -0.146 1.303  -0.188 1.239  -0.198 1.165  -0.198 1.089  -0.198 1.012  -0.186 0.938  -0.162 0.865  -0.137 0.792  -0.125 0.717  -0.114 0.641  -0.103 0.565  -0.092 0.489  -0.081 0.413  -0.070 0.338  -0.059 0.262  -0.048 0.186  -0.037 0.110  -0.026 0.034  -0.015 -0.042  -0.004 -0.117  0.007 -0.193  0.018 -0.269  0.029 -0.345  0.040 -0.421  0.051 -0.497  0.062 -0.572  0.073 -0.648  0.084 -0.724  0.095 -0.800  0.106 -0.876  0.117 -0.952  0.128 -1.027  0.139 -1.103  0.150 -1.179  0.161 -1.255  0.172 -1.331  0.176 -1.406  0.152 -1.479  0.127 -1.551  0.103 -1.624  0.079 -1.697  0.055 -1.769
1d#ced#jekn5827_s_26/  0.414 -0.732  0.307 -0.705  0.199 -0.678  0.092 -0.651  -0.007 -0.603  -0.109 -0.560  -0.216 -0.534  -0.323 -0.507  -0.430 -0.480  -0.538 -0.453  -0.645 -0.426  -0.749 -0.392  -0.841 -0.330  -0.933 -0.269  -1.032 -0.223  -1.137 -0.188  -1.232 -0.139  -1.293 -0.047  -1.354 0.045  -1.319 0.099  -1.212 0.126  -1.104 0.153  -0.995 0.165  -0.885 0.165  -0.774 0.165  -0.664 0.165  -0.553 0.165  -0.442 0.165  -0.335 0.187  -0.231 0.222  -0.124 0.247  -0.013 0.247  0.097 0.247  0.208 0.247  0.318 0.247  0.424 0.277  0.529 0.312  0.637 0.328  0.747 0.328  0.858 0.328  0.968 0.328  1.079 0.328  1.190 0.328  1.300 0.328  1.411 0.328  1.521 0.328  1.632 0.328  1.742 0.328  1.853 0.328  1.964 0.328
1d#ced#jekn5827_s_26/  -1.649 -0.044  -1.581 -0.021  -1.513 0.002  -1.450 0.035  -1.391 0.074  -1.332 0.114  -1.272 0.153  -1.213 0.193  -1.151 0.226  -1.080 0.226  -1.009 0.226  -0.937 0.226  -0.866 0.226  -0.794 0.226  -0.725 0.211  -0.655 0.194  -0.586 0.177  -0.518 0.155  -0.450 0.133  -0.381 0.114  -0.311 0.102  -0.241 0.091  -0.170 0.079  -0.100 0.067  -0.031 0.047  0.036 0.025  0.106 0.010  0.177 0.010  0.247 0.006  0.307 -0.033  0.366 -0.073  0.430 -0.097  0.501 -0.097  0.572 -0.100  0.640 -0.123  0.708 -0.145  0.778 -0.151  0.850 -0.151  0.921 -0.151  0.993 -0.151  1.061 -0.173  1.128 -0.195  1.198 -0.205  1.270 -0.205  1.341 -0.205  1.412 -0.205  1.484 -0.205  1.555 -0.205  1.627 -0.205  1.698 -0.205
1d#ced#jekn5827_s_26/:  -0.512 0.459  -0.462 0.614  -0.446 0.778  -0.379 0.929  -0.273 1.053  -0.205 1.124  -0.346 1.076  -0.369 0.962  -0.211 0.945  -0.080 1.033  -0.019 1.181  -0.081 1.314  -0.227 1.350  -0.240 1.321  -0.073 1.321  0.094 1.321  0.260 1.321  0.274 1.172  0.271 1.005  0.267 0.839  0.264 0.672  0.261 0.506  0.258 0.339  0.254 0.172  0.251 0.006  0.248 -0.161  0.244 -0.327  0.241 -0.494  0.238 -0.660  0.234 -0.827  0.231 -0.993  0.228 -1.160  0.228 -1.009  0.228 -0.842  0.088 -0.776  -0.077 -0.776  -0.222 -0.842  -0.265 -1.002  -0.249 -1.166  -0.166 -1.300  -0.041 -1.324  0.031 -1.179  0.025 -1.014  -0.093 -0.897  -0.242 -0.914  -0.165 -1.022  -0.018 -1.069  0.149 -1.069  0.316 -1.069  0.277 -0.921
1d#ced#jekn5827_s_26/$  1.015 0.755  1.045 0.985  0.850 1.067  0.626 1.006  0.397 0.957  0.172 0.895  -0.015 0.763  -0.126 0.587  0.065 0.455  0.273 0.349  0.470 0.223  0.638 0.068  0.662 -0.157  0.593 -0.380  0.464 -0.574  0.298 -0.739  0.128 -0.898  -0.062 -1.030  -0.227 -1.196  -0.409 -1.341  -0.604 -1.471  -0.809 -1.584  -0.787 -1.442  -0.704 -1.223  -0.621 -1.004  -0.538 -0.785  -0.455 -0.567  -0.372 -0.348  -0.289 -0.129  -0.206 0.090  -0.123 0.309  -0.040 0.528  0.043 0.746  0.126 0.965  0.139 1.194  0.116 1.425  0.042 1.585  -0.041 1.388  -0.056 1.156  -0.091 0.926  -0.104 0.693  -0.126 0.461  -0.132 0.228  -0.160 -0.004  -0.160 -0.238  -0.160 -0.472  -0.160 -0.706  -0.195 -0.937  -0.195 -1.171  -0.195 -1.405
1d#ced#jekn5827_s_26/,  0.186 0.978  0.210 1.050  0.234 1.123  0.245 1.197  0.264 1.271  0.288 1.343  0.318 1.372  0.360 1.309  0.403 1.245  0.413 1.176  0.395 1.102  0.376 1.027  0.359 0.953  0.344 0.878  0.329 0.803  0.314 0.728  0.295 0.654  0.271 0.581  0.247 0.509  0.223 0.436  0.199 0.364  0.174 0.291  0.150 0.219  0.126 0.146  0.102 0.073  0.078 0.001  0.057 -0.073  0.038 -0.147  0.020 -0.221  -0.008 -0.291  -0.050 -0.355  -0.093 -0.418  -0.121 -0.488  -0.140 -0.562  -0.158 -0.637  -0.186 -0.707  -0.229 -0.770  -0.271 -0.834  -0.299 -0.904  -0.318 -0.978  -0.337 -1.052  -0.364 -1.122  -0.407 -1.186  -0.449 -1.250  -0.492 -1.313  -0.534 -1.377  -0.576 -1.441  -0.619 -1.504  -0.661 -1.568  -0.704 -1.631
1d#ced#jekn5827_s_26/!  0.225 1.647  0.259 1.748  0.315 1.826  0.348 1.792  0.337 1.687  0.308 1.586  0.276 1.484  0.250 1.381  0.229 1.276  0.225 1.170  0.200 1.068  0.197 0.962  0.197 0.855  0.197 0.749  0.197 0.642  0.197 0.535  0.197 0.429  0.183 0.324  0.169 0.219  0.169 0.113  0.142 0.010  0.166 -0.091  0.142 -0.195  0.119 -0.299  0.095 -0.403  0.072 -0.507  0.049 -0.611  0.025 -0.714  0.002 -0.818  -0.022 -0.922  -0.027 -0.862  -0.039 -0.760  -0.108 -0.685  -0.209 -0.651  -0.314 -0.637  -0.420 -0.637  -0.503 -0.684  -0.481 -0.783  -0.414 -0.866  -0.335 -0.936  -0.239 -0.973  -0.215 -0.914  -0.303 -0.889  -0.393 -0.946  -0.469 -1.004  -0.368 -1.022  -0.264 -1.001  -0.161 -0.981  -0.093 -0.904  -0.111 -0.805
