1b#tos#f3#f3025059/A  -0.939 -0.912  -1.055 -1.045  -1.073 -0.962  -0.984 -0.810  -0.939 -0.631  -0.876 -0.461  -0.771 -0.303  -0.709 -0.125  -0.656 0.056  -0.571 0.226  -0.456 0.373  -0.343 0.520  -0.254 0.684  -0.156 0.845  -0.075 1.011  0.017 1.155  0.091 1.320  0.173 1.476  0.307 1.569  0.307 1.492  0.396 1.365  0.396 1.176  0.403 0.988  0.485 0.818  0.592 0.673  0.624 0.495  0.684 0.316  0.757 0.141  0.825 -0.035  0.850 -0.218  0.885 -0.399  0.930 -0.570  0.930 -0.760  1.019 -0.894  0.984 -0.941  0.810 -0.866  0.636 -0.790  0.462 -0.715  0.289 -0.640  0.115 -0.564  -0.059 -0.489  -0.233 -0.414  -0.370 -0.422  -0.559 -0.422  -0.749 -0.422  -0.807 -0.378  -0.617 -0.378  -0.428 -0.378  -0.239 -0.378  -0.049 -0.378
1b#tos#f3#f3025059/B  -0.395 1.686  -0.369 1.400  -0.290 1.122  -0.290 0.832  -0.321 0.546  -0.342 0.259  -0.342 -0.031  -0.395 -0.309  -0.395 -0.600  -0.343 -0.878  -0.342 -1.168  -0.352 -1.348  -0.401 -1.062  -0.449 -0.776  -0.498 -0.489  -0.547 -0.203  -0.596 0.083  -0.644 0.370  -0.693 0.656  -0.742 0.942  -0.692 1.058  -0.402 1.058  -0.176 1.162  0.114 1.162  0.403 1.156  0.674 1.073  0.938 0.981  0.966 0.702  0.866 0.482  0.696 0.316  0.512 0.095  0.254 0.010  0.074 -0.121  -0.209 -0.154  -0.492 -0.199  -0.430 -0.176  -0.154 -0.105  0.134 -0.094  0.425 -0.094  0.715 -0.094  1.005 -0.094  1.071 -0.359  1.034 -0.641  0.914 -0.896  0.712 -0.984  0.518 -1.183  0.242 -1.246  -0.036 -1.299  -0.326 -1.299  -0.604 -1.246
1b#tos#f3#f3025059/D  -0.242 1.260  -0.386 1.200  -0.386 0.995  -0.386 0.790  -0.386 0.585  -0.386 0.380  -0.386 0.176  -0.386 -0.029  -0.386 -0.234  -0.386 -0.439  -0.386 -0.644  -0.386 -0.849  -0.386 -1.054  -0.386 -1.258  -0.391 -1.216  -0.404 -1.012  -0.418 -0.807  -0.431 -0.603  -0.444 -0.398  -0.458 -0.194  -0.471 0.011  -0.484 0.215  -0.498 0.419  -0.511 0.624  -0.524 0.828  -0.544 1.020  -0.603 1.037  -0.402 1.068  -0.197 1.068  0.006 1.054  0.200 0.991  0.389 0.923  0.576 0.851  0.767 0.797  0.904 0.654  1.063 0.533  1.189 0.374  1.203 0.173  1.174 -0.020  1.107 -0.197  1.047 -0.384  0.882 -0.505  0.737 -0.650  0.618 -0.812  0.432 -0.871  0.291 -1.001  0.108 -1.093  -0.038 -1.221  -0.229 -1.243  -0.386 -1.291
1b#tos#f3#f3025059/E  -0.591 1.156  -0.757 1.068  -0.575 1.040  -0.327 1.040  -0.079 1.040  0.169 1.040  0.416 1.040  0.655 1.002  0.903 1.002  0.994 1.004  0.782 1.030  0.534 1.018  0.286 1.007  0.039 0.995  -0.209 0.983  -0.457 0.971  -0.630 0.888  -0.589 0.650  -0.553 0.411  -0.553 0.163  -0.514 -0.076  -0.475 -0.315  -0.475 -0.563  -0.475 -0.811  -0.435 -0.920  -0.424 -0.672  -0.414 -0.424  -0.404 -0.177  -0.465 -0.114  -0.239 -0.119  0.009 -0.119  0.257 -0.119  0.442 -0.033  0.397 0.113  0.414 -0.105  0.414 -0.352  0.238 -0.505  0.030 -0.640  -0.178 -0.776  -0.385 -0.911  -0.597 -1.015  -0.560 -1.124  -0.312 -1.124  -0.064 -1.124  0.184 -1.124  0.428 -1.092  0.675 -1.086  0.923 -1.086  1.171 -1.086  1.380 -1.047
1b#tos#f3#f3025059/I  -0.230 1.459  -0.319 1.440  -0.280 1.370  -0.182 1.326  -0.074 1.326  0.035 1.326  0.143 1.326  0.234 1.281  0.338 1.264  0.346 1.237  0.238 1.237  0.129 1.237  0.126 1.131  0.126 1.023  0.126 0.914  0.093 0.814  0.082 0.708  0.082 0.600  0.082 0.491  0.082 0.383  0.082 0.274  0.082 0.166  0.082 0.057  0.082 -0.051  0.048 -0.155  0.037 -0.261  0.037 -0.370  0.037 -0.478  0.037 -0.587  0.037 -0.695  0.037 -0.804  0.037 -0.912  -0.040 -0.944  -0.148 -0.944  -0.257 -0.944  -0.276 -1.033  -0.384 -1.033  -0.493 -1.033  -0.571 -1.033  -0.507 -0.989  -0.398 -0.989  -0.290 -0.989  -0.181 -0.989  -0.073 -0.989  0.034 -1.002  0.137 -1.033  0.246 -1.033  0.354 -1.033  0.463 -1.033  0.571 -1.033
1b#tos#f3#f3025059/J  -0.462 1.115  -0.562 1.084  -0.588 0.971  -0.491 0.948  -0.377 0.927  -0.262 0.907  -0.143 0.907  -0.024 0.907  0.095 0.907  0.214 0.907  0.333 0.907  0.452 0.907  0.571 0.907  0.673 0.948  0.621 0.956  0.504 0.975  0.386 0.990  0.279 0.970  0.247 0.859  0.247 0.740  0.247 0.621  0.289 0.543  0.289 0.424  0.289 0.305  0.289 0.186  0.289 0.067  0.325 -0.030  0.373 -0.120  0.373 -0.239  0.373 -0.358  0.330 -0.451  0.289 -0.545  0.289 -0.664  0.283 -0.782  0.247 -0.895  0.188 -0.989  0.122 -1.081  0.060 -1.139  -0.030 -1.208  -0.133 -1.264  -0.252 -1.264  -0.372 -1.264  -0.491 -1.264  -0.610 -1.264  -0.687 -1.222  -0.755 -1.170  -0.758 -1.054  -0.838 -0.984  -0.855 -0.872  -0.880 -0.763
1b#tos#f3#f3025059/M  -0.663 1.051  -0.782 0.925  -0.792 0.782  -0.792 0.571  -0.749 0.370  -0.749 0.159  -0.749 -0.052  -0.749 -0.263  -0.749 -0.475  -0.749 -0.686  -0.749 -0.897  -0.749 -1.108  -0.736 -0.961  -0.721 -0.751  -0.705 -0.540  -0.690 -0.330  -0.674 -0.119  -0.659 0.092  -0.644 0.302  -0.628 0.513  -0.620 0.724  -0.743 0.836  -0.651 0.683  -0.491 0.608  -0.441 0.433  -0.362 0.278  -0.293 0.088  -0.200 -0.095  -0.132 -0.267  0.023 -0.408  0.153 -0.490  0.287 -0.481  0.340 -0.278  0.416 -0.088  0.539 0.084  0.626 0.272  0.725 0.430  0.810 0.604  0.856 0.793  0.926 0.739  0.969 0.545  1.012 0.352  1.109 0.181  1.184 -0.007  1.231 -0.199  1.328 -0.383  1.399 -0.581  1.466 -0.782  1.485 -0.990  1.528 -1.183
1b#tos#f3#f3025059/N  -0.409 1.259  -0.593 1.223  -0.593 1.004  -0.593 0.784  -0.593 0.565  -0.593 0.345  -0.593 0.126  -0.593 -0.094  -0.593 -0.313  -0.593 -0.533  -0.639 -0.742  -0.639 -0.961  -0.639 -1.181  -0.625 -1.043  -0.608 -0.824  -0.591 -0.605  -0.573 -0.386  -0.556 -0.167  -0.539 0.052  -0.522 0.271  -0.505 0.490  -0.488 0.708  -0.470 0.927  -0.480 1.121  -0.547 1.034  -0.452 0.844  -0.296 0.700  -0.251 0.494  -0.129 0.311  -0.082 0.107  0.093 -0.024  0.178 -0.219  0.288 -0.407  0.393 -0.597  0.497 -0.789  0.631 -0.960  0.680 -1.162  0.829 -1.267  0.831 -1.142  0.923 -0.987  0.923 -0.767  0.943 -0.550  0.969 -0.332  1.014 -0.120  1.015 0.100  1.015 0.319  1.015 0.539  1.017 0.758  1.061 0.967  1.061 1.121
1b#tos#f3#f3025059/P  -0.014 1.456  -0.121 1.279  -0.121 1.058  -0.142 0.840  -0.174 0.623  -0.217 0.413  -0.281 0.207  -0.281 -0.014  -0.290 -0.234  -0.334 -0.449  -0.334 -0.670  -0.334 -0.890  -0.334 -1.111  -0.334 -1.332  -0.334 -1.553  -0.281 -1.752  -0.281 -1.825  -0.273 -1.605  -0.265 -1.384  -0.256 -1.163  -0.248 -0.943  -0.239 -0.722  -0.231 -0.502  -0.223 -0.281  -0.214 -0.060  -0.206 0.160  -0.197 0.381  -0.189 0.601  -0.180 0.822  -0.240 0.977  -0.461 0.977  -0.547 1.112  -0.351 1.136  -0.130 1.136  0.091 1.136  0.239 1.005  0.428 0.892  0.643 0.870  0.781 0.715  0.944 0.583  1.026 0.444  1.051 0.248  1.051 0.027  0.910 -0.118  0.759 -0.254  0.552 -0.320  0.370 -0.427  0.152 -0.461  -0.060 -0.514  -0.281 -0.514
1b#tos#f3#f3025059/Q  0.014 -0.498  -0.002 -0.699  -0.218 -0.699  -0.433 -0.699  -0.623 -0.607  -0.748 -0.469  -0.862 -0.310  -0.989 -0.186  -0.989 0.030  -0.989 0.246  -0.989 0.462  -0.989 0.678  -0.909 0.847  -0.788 0.943  -0.776 1.146  -0.580 1.194  -0.404 1.307  -0.188 1.307  0.028 1.307  0.244 1.307  0.417 1.262  0.465 1.061  0.575 0.929  0.615 0.719  0.615 0.504  0.615 0.288  0.615 0.072  0.514 -0.109  0.414 -0.300  0.294 -0.473  0.168 -0.618  -0.032 -0.689  -0.233 -0.739  -0.449 -0.739  -0.625 -0.699  -0.628 -0.486  -0.523 -0.313  -0.354 -0.184  -0.197 -0.097  0.009 -0.057  0.219 -0.080  0.345 -0.203  0.496 -0.341  0.655 -0.458  0.774 -0.615  0.962 -0.711  1.109 -0.862  1.295 -0.959  1.480 -0.934  1.578 -0.779
1b#tos#f3#f3025059/R  -0.352 1.711  -0.447 1.532  -0.399 1.265  -0.399 0.991  -0.363 0.720  -0.328 0.451  -0.304 0.181  -0.304 -0.094  -0.304 -0.368  -0.304 -0.642  -0.304 -0.917  -0.304 -1.191  -0.304 -1.465  -0.353 -1.639  -0.373 -1.365  -0.392 -1.091  -0.411 -0.818  -0.430 -0.544  -0.449 -0.270  -0.469 0.003  -0.488 0.277  -0.507 0.550  -0.526 0.824  -0.589 1.050  -0.377 1.140  -0.103 1.140  0.171 1.140  0.433 1.079  0.704 1.045  0.837 0.905  0.932 0.725  0.858 0.469  0.682 0.276  0.489 0.110  0.248 -0.019  0.034 -0.188  -0.197 -0.322  -0.416 -0.476  -0.632 -0.521  -0.400 -0.374  -0.168 -0.228  0.064 -0.081  0.267 0.012  0.415 -0.155  0.579 -0.313  0.722 -0.524  0.885 -0.719  0.989 -0.933  1.123 -1.106  1.265 -1.237
