1b#app#app31#app3126/F  -0.223 0.532  -0.326 0.677  -0.326 0.925  -0.326 0.919  -0.326 0.671  -0.326 0.423  -0.326 0.176  -0.326 -0.072  -0.326 -0.320  -0.326 -0.568  -0.326 -0.816  -0.326 -1.064  -0.326 -1.312  -0.326 -1.560  -0.429 -1.765  -0.351 -1.935  -0.344 -1.714  -0.381 -1.468  -0.418 -1.223  -0.454 -0.978  -0.491 -0.733  -0.528 -0.488  -0.565 -0.243  -0.601 0.003  -0.659 0.224  -0.690 0.374  -0.465 0.429  -0.240 0.524  -0.018 0.635  0.204 0.746  0.425 0.857  0.647 0.967  0.877 1.046  1.102 1.143  1.348 1.149  1.287 1.038  1.096 0.881  0.904 0.723  0.713 0.565  0.521 0.408  0.330 0.250  0.139 0.093  -0.053 -0.065  -0.244 -0.223  -0.196 -0.263  -0.021 -0.088  0.202 -0.006  0.412 0.121  0.599 0.181  0.805 0.224
1b#app#app31#app3126/I  0.333 1.132  0.207 1.230  0.207 1.024  0.082 0.871  0.082 0.665  0.082 0.460  0.082 0.254  0.082 0.049  0.082 -0.157  0.082 -0.362  0.082 -0.568  0.082 -0.773  0.082 -0.979  -0.092 -1.049  -0.291 -1.098  -0.490 -1.148  -0.690 -1.198  -0.889 -1.248  -0.804 -1.137  -0.622 -1.043  -0.425 -1.005  -0.227 -0.971  -0.044 -0.879  0.151 -0.814  0.347 -0.754  0.553 -0.754  0.744 -0.720  0.911 -0.628  1.062 -0.613  0.886 -0.507  0.710 -0.401  0.534 -0.296  0.357 -0.190  0.181 -0.084  0.005 0.021  -0.171 0.127  -0.348 0.233  -0.524 0.339  -0.700 0.444  -0.798 0.594  -0.798 0.800  -0.710 0.969  -0.565 1.114  -0.382 1.170  -0.213 1.258  -0.008 1.258  0.164 1.340  0.351 1.383  0.557 1.383  0.710 1.258
1b#app#app31#app3126/R  -0.508 0.705  -0.402 0.858  -0.297 0.820  -0.297 0.562  -0.317 0.306  -0.380 0.055  -0.402 -0.201  -0.451 -0.448  -0.508 -0.693  -0.588 -0.933  -0.613 -1.186  -0.719 -1.401  -0.614 -1.616  -0.402 -1.508  -0.402 -1.249  -0.402 -0.991  -0.402 -0.732  -0.402 -0.474  -0.402 -0.215  -0.402 0.044  -0.402 0.302  -0.402 0.561  -0.402 0.820  -0.508 1.034  -0.387 1.240  -0.151 1.338  0.107 1.338  0.366 1.338  0.624 1.338  0.846 1.249  0.864 0.998  0.864 0.739  0.758 0.524  0.641 0.376  0.458 0.193  0.259 0.033  0.048 -0.111  -0.199 -0.139  -0.414 -0.245  -0.572 -0.203  -0.339 -0.139  -0.081 -0.139  0.178 -0.139  0.407 -0.210  0.621 -0.318  0.835 -0.427  1.037 -0.561  1.180 -0.677  1.286 -0.830  1.391 -0.983
1b#app#app31#app3126/S  0.748 1.143  0.747 1.273  0.617 1.273  0.486 1.273  0.355 1.273  0.225 1.273  0.096 1.270  0.003 1.178  -0.089 1.086  -0.181 0.993  -0.274 0.901  -0.397 0.884  -0.496 0.808  -0.551 0.700  -0.605 0.624  -0.681 0.569  -0.681 0.438  -0.641 0.324  -0.547 0.234  -0.421 0.230  -0.416 0.104  -0.286 0.102  -0.169 0.044  -0.053 -0.015  0.075 -0.025  0.206 -0.025  0.337 -0.025  0.435 -0.102  0.544 -0.155  0.674 -0.155  0.788 -0.196  0.878 -0.289  0.874 -0.418  0.782 -0.511  0.690 -0.603  0.597 -0.695  0.505 -0.788  0.381 -0.805  0.262 -0.853  0.145 -0.911  0.043 -0.990  -0.056 -1.064  -0.184 -1.076  -0.301 -1.134  -0.418 -1.193  -0.548 -1.194  -0.679 -1.194  -0.809 -1.194  -0.940 -1.194  -1.070 -1.194
1b#app#app31#app3126/T  0.017 0.888  0.017 0.946  0.017 0.783  0.017 0.621  0.017 0.458  0.017 0.295  0.017 0.133  0.017 -0.030  0.017 -0.192  0.017 -0.355  0.017 -0.518  0.017 -0.680  0.017 -0.843  0.109 -0.968  0.127 -1.123  0.127 -1.285  0.220 -1.409  0.265 -1.537  0.347 -1.617  0.283 -1.530  0.205 -1.388  0.127 -1.245  0.048 -1.103  -0.030 -0.960  -0.109 -0.818  -0.187 -0.675  -0.265 -0.533  -0.344 -0.390  -0.422 -0.248  -0.501 -0.105  -0.579 0.037  -0.657 0.180  -0.736 0.322  -0.814 0.465  -0.865 0.615  -0.865 0.777  -0.703 0.778  -0.541 0.778  -0.395 0.848  -0.241 0.888  -0.079 0.888  0.084 0.888  0.212 0.973  0.364 0.998  0.526 0.998  0.689 0.998  0.852 0.998  1.014 0.998  1.177 0.998  1.339 0.998
1b#app#app31#app3126/M  -0.748 0.215  -0.655 0.393  -0.735 0.586  -0.841 0.366  -0.853 0.098  -0.934 -0.155  -0.993 -0.402  -1.026 -0.659  -1.049 -0.921  -1.119 -1.164  -1.026 -0.956  -1.001 -0.686  -0.970 -0.416  -0.938 -0.147  -0.906 0.123  -0.875 0.393  -0.843 0.662  -0.902 0.864  -0.692 0.715  -0.501 0.523  -0.309 0.332  -0.178 0.122  0.037 -0.014  0.163 -0.233  0.388 -0.190  0.489 0.062  0.590 0.314  0.691 0.566  0.678 0.586  0.541 0.391  0.349 0.199  0.157 0.007  -0.035 -0.184  -0.192 -0.336  -0.006 -0.207  0.112 -0.038  0.238 0.181  0.406 0.390  0.568 0.603  0.736 0.805  0.856 0.771  1.001 0.598  1.116 0.372  1.199 0.114  1.199 -0.158  1.238 -0.420  1.292 -0.679  1.329 -0.935  1.385 -1.183  1.570 -1.269
1b#app#app31#app3126/A  -0.105 0.841  -0.024 0.678  -0.105 0.411  -0.278 0.182  -0.469 -0.040  -0.563 -0.318  -0.742 -0.555  -0.833 -0.834  -0.955 -1.084  -1.076 -1.264  -1.076 -1.368  -0.966 -1.113  -0.925 -0.829  -0.811 -0.571  -0.712 -0.294  -0.651 -0.008  -0.559 0.265  -0.469 0.529  -0.348 0.779  -0.264 1.046  -0.137 1.294  0.099 1.448  0.381 1.428  0.381 1.128  0.495 0.854  0.502 0.555  0.502 0.254  0.502 -0.047  0.570 -0.319  0.624 -0.598  0.695 -0.881  0.814 -1.102  0.993 -1.223  1.231 -1.089  1.231 -0.789  1.114 -0.562  0.841 -0.436  0.568 -0.310  0.295 -0.184  0.022 -0.058  -0.251 0.068  -0.469 0.185  -0.600 0.355  -0.645 0.476  -0.344 0.476  -0.043 0.476  0.257 0.476  0.508 0.598  0.809 0.598  0.988 0.476
1b#app#app31#app3126/T  0.405 0.552  0.301 0.656  0.299 0.514  0.299 0.368  0.299 0.221  0.261 0.091  0.193 -0.028  0.193 -0.174  0.100 -0.282  0.047 -0.417  0.000 -0.556  -0.019 -0.700  -0.019 -0.846  -0.063 -0.974  -0.125 -1.095  -0.125 -1.242  -0.149 -1.378  -0.230 -1.491  -0.179 -1.617  -0.133 -1.603  -0.150 -1.457  -0.168 -1.312  -0.185 -1.166  -0.203 -1.021  -0.220 -0.875  -0.237 -0.730  -0.255 -0.584  -0.272 -0.439  -0.290 -0.293  -0.307 -0.148  -0.325 -0.002  -0.342 0.143  -0.360 0.289  -0.377 0.434  -0.395 0.580  -0.412 0.725  -0.430 0.871  -0.442 1.017  -0.360 1.081  -0.320 1.187  -0.173 1.187  -0.026 1.187  0.120 1.187  0.267 1.187  0.413 1.187  0.560 1.187  0.706 1.187  0.853 1.187  0.934 1.122  1.040 1.081
1b#app#app31#app3126/E  -0.034 0.929  -0.128 0.722  -0.222 0.514  -0.296 0.291  -0.374 0.063  -0.488 -0.149  -0.631 -0.349  -0.721 -0.560  -0.829 -0.781  -0.928 -0.987  -0.943 -1.228  -0.744 -1.343  -0.497 -1.343  -0.298 -1.456  -0.051 -1.456  0.172 -1.354  0.416 -1.343  0.637 -1.235  0.880 -1.224  0.940 -1.036  0.811 -0.825  0.683 -0.615  0.554 -0.404  0.425 -0.194  0.297 0.017  0.168 0.228  0.039 0.438  -0.089 0.649  -0.218 0.859  -0.411 0.966  -0.488 1.180  -0.331 1.270  -0.085 1.270  0.162 1.270  0.409 1.270  0.643 1.216  0.842 1.076  0.715 0.923  0.518 0.775  0.320 0.627  0.123 0.479  -0.075 0.331  -0.272 0.183  -0.470 0.034  -0.602 0.130  -0.359 0.134  -0.122 0.109  0.088 0.021  0.327 0.001  0.534 -0.093
1b#app#app31#app3126/E  -0.073 0.707  0.052 0.574  -0.073 0.361  -0.172 0.120  -0.332 -0.083  -0.437 -0.304  -0.591 -0.505  -0.719 -0.716  -0.906 -0.903  -0.979 -1.137  -0.954 -1.391  -0.732 -1.494  -0.468 -1.494  -0.204 -1.494  0.061 -1.494  0.325 -1.494  0.547 -1.392  0.468 -1.165  0.345 -0.931  0.221 -0.698  0.097 -0.464  -0.026 -0.231  -0.150 0.003  -0.274 0.237  -0.397 0.470  -0.521 0.704  -0.510 0.917  -0.332 1.032  -0.138 1.127  0.103 1.225  0.367 1.225  0.632 1.225  0.842 1.095  1.102 1.085  1.138 0.918  0.909 0.787  0.679 0.656  0.450 0.525  0.220 0.394  -0.009 0.262  -0.239 0.131  -0.468 0.000  -0.591 0.053  -0.462 0.264  -0.252 0.318  0.012 0.318  0.250 0.254  0.488 0.189  0.738 0.155  0.963 0.059
1b#app#app31#app3126/X  -1.323 1.034  -1.288 0.882  -1.102 0.882  -0.945 0.809  -0.813 0.677  -0.682 0.545  -0.550 0.414  -0.418 0.282  -0.286 0.150  -0.258 -0.025  -0.130 -0.158  0.002 -0.290  0.134 -0.422  0.198 -0.582  0.314 -0.697  0.481 -0.780  0.513 -0.943  0.655 -0.988  0.734 -1.095  0.807 -0.981  0.807 -0.795  0.807 -0.608  0.807 -0.422  0.807 -0.235  0.807 -0.049  0.807 0.138  0.807 0.324  0.807 0.511  0.807 0.697  0.807 0.884  0.807 1.070  0.757 1.137  0.613 1.034  0.426 1.034  0.272 0.956  0.172 0.804  0.113 0.628  0.054 0.451  -0.067 0.312  -0.199 0.181  -0.304 0.029  -0.387 -0.137  -0.506 -0.279  -0.610 -0.431  -0.694 -0.598  -0.714 -0.779  -0.838 -0.914  -0.970 -1.046  -1.018 -1.213  -1.018 -1.399
