1c#app#app06#app0647/o  -0.615 0.345  -0.482 0.352  -0.482 0.493  -0.467 0.627  -0.368 0.726  -0.349 0.858  -0.228 0.878  -0.125 0.968  -0.026 1.067  0.082 1.144  0.222 1.144  0.363 1.144  0.503 1.144  0.583 1.084  0.630 0.964  0.730 0.865  0.829 0.765  0.849 0.634  0.849 0.494  0.849 0.354  0.849 0.213  0.849 0.073  0.849 -0.067  0.835 -0.201  0.736 -0.301  0.637 -0.400  0.563 -0.514  0.519 -0.647  0.474 -0.780  0.405 -0.898  0.306 -0.997  0.207 -1.096  0.108 -1.195  -0.009 -1.252  -0.149 -1.252  -0.290 -1.252  -0.406 -1.195  -0.482 -1.086  -0.510 -0.957  -0.609 -0.858  -0.674 -0.734  -0.737 -0.609  -0.748 -0.471  -0.803 -0.344  -0.865 -0.219  -0.881 -0.082  -0.881 0.058  -0.881 0.198  -0.881 0.338  -0.881 0.479
1c#app#app06#app0647/f  0.042 -0.045  0.084 -0.204  0.191 -0.342  0.270 -0.500  0.327 -0.667  0.383 -0.835  0.459 -0.995  0.509 -1.160  0.515 -1.334  0.625 -1.465  0.544 -1.561  0.392 -1.537  0.307 -1.444  0.173 -1.342  0.159 -1.171  0.088 -1.024  0.042 -0.866  -0.035 -0.707  -0.096 -0.543  -0.139 -0.371  -0.182 -0.200  -0.191 -0.024  -0.191 0.153  -0.191 0.329  -0.191 0.506  -0.191 0.683  -0.191 0.860  -0.191 1.037  -0.191 1.213  -0.123 1.374  -0.027 1.520  0.098 1.645  0.159 1.796  0.116 1.676  0.066 1.507  0.016 1.337  -0.034 1.167  -0.084 0.998  -0.134 0.828  -0.183 0.659  -0.233 0.489  -0.283 0.319  -0.333 0.150  -0.383 -0.020  -0.445 -0.182  -0.541 -0.319  -0.440 -0.395  -0.263 -0.395  -0.117 -0.320  0.042 -0.278
1c#app#app06#app0647/s  -0.390 1.607  -0.390 1.510  -0.390 1.412  -0.390 1.314  -0.390 1.217  -0.437 1.139  -0.506 1.069  -0.531 0.982  -0.551 0.905  -0.649 0.905  -0.671 0.829  -0.671 0.732  -0.671 0.634  -0.671 0.536  -0.671 0.439  -0.669 0.343  -0.571 0.343  -0.473 0.343  -0.376 0.343  -0.278 0.343  -0.201 0.294  -0.132 0.225  -0.043 0.203  0.054 0.203  0.152 0.203  0.172 0.125  0.207 0.062  0.304 0.062  0.312 -0.028  0.359 -0.078  0.453 -0.083  0.453 -0.180  0.453 -0.278  0.464 -0.371  0.533 -0.440  0.593 -0.513  0.593 -0.610  0.593 -0.708  0.593 -0.806  0.593 -0.903  0.593 -1.001  0.567 -1.088  0.498 -1.157  0.453 -1.236  0.453 -1.333  0.390 -1.405  0.321 -1.474  0.227 -1.483  0.172 -1.525  0.172 -1.623
1c#app#app06#app0647/a  -0.481 0.993  -0.337 1.137  -0.141 1.153  0.063 1.153  0.266 1.153  0.426 1.048  0.482 0.867  0.490 0.672  0.642 0.621  0.642 0.417  0.642 0.213  0.628 0.016  0.484 -0.128  0.454 -0.319  0.314 -0.466  0.223 -0.649  0.115 -0.819  0.000 -0.975  -0.084 -1.094  -0.160 -1.221  -0.331 -1.255  -0.534 -1.255  -0.738 -1.255  -0.802 -1.116  -0.884 -0.931  -0.963 -0.746  -0.963 -0.543  -0.963 -0.339  -0.963 -0.135  -0.963 0.068  -0.963 0.272  -0.838 0.351  -0.684 0.469  -0.642 0.656  -0.509 0.804  -0.365 0.948  -0.180 0.993  -0.031 0.863  0.160 0.832  0.252 0.650  0.321 0.463  0.386 0.286  0.512 0.130  0.603 -0.053  0.724 -0.213  0.803 -0.384  0.803 -0.588  0.929 -0.739  1.033 -0.912  1.124 -1.094
1c#app#app06#app0647/r  -0.487 0.715  -0.394 0.622  -0.301 0.529  -0.300 0.398  -0.300 0.266  -0.300 0.134  -0.300 0.003  -0.232 -0.100  -0.139 -0.194  -0.114 -0.315  -0.084 -0.434  0.009 -0.528  0.073 -0.633  0.073 -0.764  0.156 -0.862  0.249 -0.955  0.260 -1.082  0.303 -1.196  0.396 -1.289  0.446 -1.400  0.442 -1.521  0.349 -1.428  0.260 -1.334  0.260 -1.202  0.260 -1.070  0.248 -0.941  0.189 -0.824  0.130 -0.706  0.073 -0.588  0.073 -0.456  0.073 -0.324  0.073 -0.193  0.073 -0.061  0.001 0.041  -0.092 0.134  -0.114 0.257  -0.114 0.388  -0.114 0.520  -0.114 0.652  -0.114 0.783  -0.114 0.915  -0.114 1.047  -0.114 1.178  -0.114 1.310  -0.114 1.442  -0.114 1.573  -0.114 1.705  -0.113 1.836  -0.020 1.929  0.073 2.022
1c#app#app06#app0647/e  0.215 1.071  0.215 1.172  0.268 1.219  0.362 1.225  0.362 1.325  0.303 1.366  0.215 1.353  0.215 1.253  0.149 1.219  0.059 1.202  0.014 1.112  -0.030 1.022  -0.075 0.933  -0.144 0.860  -0.214 0.789  -0.227 0.694  -0.252 0.604  -0.323 0.534  -0.386 0.457  -0.431 0.368  -0.476 0.278  -0.521 0.189  -0.521 0.088  -0.521 -0.012  -0.521 -0.112  -0.521 -0.212  -0.521 -0.313  -0.521 -0.413  -0.521 -0.513  -0.521 -0.613  -0.521 -0.713  -0.521 -0.814  -0.470 -0.893  -0.399 -0.964  -0.310 -0.989  -0.209 -0.989  -0.109 -0.989  -0.009 -0.989  0.091 -0.989  0.192 -0.989  0.292 -0.989  0.392 -0.989  0.492 -0.989  0.584 -0.952  0.673 -0.907  0.763 -0.862  0.858 -0.842  0.956 -0.836  1.027 -0.766  1.098 -0.695
1c#app#app06#app0647/u  -0.901 1.186  -0.901 1.298  -0.901 1.130  -0.901 0.962  -0.901 0.794  -0.901 0.626  -0.901 0.458  -0.901 0.290  -0.901 0.122  -0.901 -0.046  -0.839 -0.199  -0.764 -0.349  -0.761 -0.516  -0.761 -0.684  -0.706 -0.829  -0.621 -0.962  -0.545 -1.054  -0.481 -1.158  -0.349 -1.194  -0.201 -1.174  -0.153 -1.054  -0.061 -0.978  0.012 -0.840  0.079 -0.700  0.079 -0.532  0.171 -0.402  0.219 -0.254  0.219 -0.086  0.230 0.077  0.349 0.196  0.359 0.360  0.359 0.528  0.408 0.675  0.499 0.806  0.499 0.974  0.499 1.142  0.499 1.062  0.504 0.896  0.579 0.745  0.639 0.592  0.639 0.424  0.703 0.282  0.779 0.146  0.779 -0.022  0.861 -0.156  0.919 -0.300  1.033 -0.354  1.059 -0.496  1.080 -0.655  1.199 -0.774
1c#app#app06#app0647/n  -1.095 1.338  -0.934 1.308  -0.934 1.116  -0.841 1.018  -0.774 0.894  -0.774 0.703  -0.642 0.566  -0.614 0.387  -0.599 0.202  -0.463 0.066  -0.453 -0.121  -0.453 -0.312  -0.453 -0.503  -0.376 -0.662  -0.293 -0.819  -0.293 -1.011  -0.293 -1.202  -0.133 -1.233  -0.133 -1.424  -0.133 -1.477  -0.133 -1.286  -0.133 -1.095  -0.133 -0.903  -0.133 -0.712  -0.133 -0.521  -0.133 -0.330  -0.093 -0.145  -0.033 0.037  0.027 0.218  0.027 0.409  0.072 0.582  0.188 0.726  0.229 0.900  0.348 1.042  0.348 1.233  0.409 1.278  0.508 1.128  0.508 0.937  0.508 0.745  0.610 0.596  0.668 0.429  0.668 0.238  0.668 0.047  0.668 -0.145  0.719 -0.315  0.829 -0.461  0.829 -0.652  0.829 -0.843  0.958 -0.905  0.989 -1.065
1c#app#app06#app0647/d  -0.341 2.004  -0.255 1.918  -0.168 1.832  -0.099 1.734  -0.045 1.625  -0.021 1.509  -0.021 1.387  -0.021 1.265  -0.021 1.143  -0.004 1.029  0.083 0.943  0.085 0.822  0.085 0.700  0.085 0.578  0.085 0.457  0.118 0.343  0.172 0.234  0.191 0.116  0.191 -0.005  0.191 -0.127  0.205 -0.243  0.291 -0.329  0.302 -0.447  0.388 -0.533  0.404 -0.450  0.323 -0.362  0.298 -0.250  0.226 -0.158  0.191 -0.051  0.103 -0.017  -0.018 -0.017  -0.105 -0.101  -0.192 -0.187  -0.278 -0.273  -0.341 -0.369  -0.375 -0.476  -0.447 -0.568  -0.447 -0.690  -0.447 -0.812  -0.447 -0.934  -0.447 -1.055  -0.379 -1.149  -0.273 -1.187  -0.175 -1.246  -0.073 -1.294  0.048 -1.294  0.170 -1.294  0.292 -1.294  0.402 -1.242  0.510 -1.187
1c#app#app06#app0647/e  -0.540 0.236  -0.400 0.236  -0.378 0.354  -0.283 0.399  -0.164 0.450  -0.065 0.549  -0.052 0.684  0.047 0.724  0.188 0.724  0.273 0.779  0.302 0.901  0.427 0.964  0.552 1.027  0.598 1.138  0.532 1.212  0.405 1.182  0.306 1.082  0.179 1.050  0.060 0.999  -0.039 0.900  -0.052 0.766  -0.151 0.724  -0.269 0.671  -0.368 0.571  -0.378 0.435  -0.451 0.326  -0.550 0.227  -0.649 0.128  -0.703 0.010  -0.703 -0.130  -0.703 -0.270  -0.703 -0.410  -0.703 -0.550  -0.623 -0.657  -0.517 -0.739  -0.378 -0.741  -0.378 -0.881  -0.272 -0.955  -0.146 -1.018  -0.028 -1.090  0.071 -1.189  0.195 -1.227  0.336 -1.227  0.476 -1.227  0.616 -1.227  0.756 -1.227  0.896 -1.227  1.036 -1.227  1.150 -1.164  1.249 -1.065
1c#app#app06#app0647/f  0.023 0.032  0.103 -0.098  0.153 -0.257  0.153 -0.467  0.153 -0.676  0.159 -0.883  0.283 -1.042  0.364 -1.218  0.413 -1.407  0.323 -1.527  0.163 -1.407  0.015 -1.258  -0.107 -1.099  -0.159 -0.902  -0.262 -0.721  -0.366 -0.555  -0.366 -0.346  -0.366 -0.136  -0.366 0.074  -0.366 0.283  -0.366 0.493  -0.357 0.700  -0.263 0.888  -0.223 1.085  -0.107 1.246  -0.018 1.419  0.168 1.476  0.330 1.591  0.502 1.680  0.660 1.702  0.544 1.527  0.428 1.353  0.311 1.179  0.195 1.004  0.079 0.830  -0.037 0.656  -0.154 0.481  -0.270 0.307  -0.386 0.133  -0.502 -0.042  -0.619 -0.216  -0.626 -0.423  -0.611 -0.617  -0.401 -0.617  -0.191 -0.617  0.018 -0.617  0.174 -0.747  0.383 -0.747  0.593 -0.747  0.802 -0.747
