3#app#app37#app3715/W  -1.295 1.229  -1.195 1.028  -1.094 0.828  -0.954 0.656  -0.851 0.457  -0.832 0.238  -0.754 0.032  -0.716 -0.183  -0.709 -0.406  -0.609 -0.606  -0.485 -0.780  -0.460 -0.994  -0.369 -1.181  -0.369 -1.405  -0.253 -1.353  -0.253 -1.129  -0.253 -0.905  -0.253 -0.681  -0.253 -0.457  -0.253 -0.232  -0.253 -0.008  -0.253 0.216  -0.253 0.440  -0.137 0.548  -0.137 0.773  -0.137 0.766  -0.022 0.658  0.079 0.534  0.160 0.353  0.210 0.149  0.313 -0.032  0.326 -0.251  0.326 -0.476  0.441 -0.652  0.441 -0.876  0.557 -0.984  0.673 -1.079  0.673 -0.855  0.673 -0.631  0.673 -0.407  0.673 -0.183  0.763 0.020  0.788 0.238  0.788 0.462  0.788 0.687  0.788 0.911  0.788 1.135  0.788 1.359  0.788 1.569  0.904 1.460
3#app#app37#app3715/I  -0.094 1.707  -0.094 1.636  -0.094 1.566  -0.094 1.495  -0.094 1.424  -0.094 1.354  -0.094 1.283  -0.094 1.212  -0.094 1.142  -0.094 1.071  -0.094 1.000  -0.094 0.929  -0.094 0.859  -0.094 0.788  -0.094 0.717  -0.094 0.647  -0.094 0.576  -0.094 0.505  -0.094 0.435  -0.094 0.364  -0.090 0.294  -0.058 0.231  -0.026 0.168  0.005 0.104  0.037 0.041  0.047 -0.027  0.047 -0.098  0.047 -0.169  0.047 -0.239  0.047 -0.310  0.047 -0.381  0.047 -0.451  0.047 -0.522  0.047 -0.593  0.047 -0.664  0.047 -0.734  0.047 -0.805  0.047 -0.876  0.047 -0.946  0.047 -1.017  0.047 -1.088  0.047 -1.158  0.047 -1.229  0.086 -1.284  0.136 -1.334  0.186 -1.384  0.187 -1.454  0.187 -1.524  0.187 -1.595  0.187 -1.666
3#app#app37#app3715/T  -0.047 0.702  -0.047 0.552  -0.047 0.403  -0.047 0.253  -0.047 0.103  -0.047 -0.047  -0.047 -0.196  -0.047 -0.346  -0.047 -0.496  -0.047 -0.646  -0.047 -0.795  -0.047 -0.945  -0.047 -1.095  0.003 -1.195  0.080 -1.268  0.080 -1.418  0.080 -1.567  0.080 -1.433  0.080 -1.283  0.080 -1.133  0.080 -0.983  0.008 -0.861  -0.092 -0.749  -0.191 -0.637  -0.291 -0.525  -0.390 -0.413  -0.490 -0.302  -0.589 -0.190  -0.689 -0.078  -0.788 0.034  -0.888 0.146  -0.849 0.196  -0.699 0.196  -0.587 0.288  -0.452 0.323  -0.339 0.410  -0.215 0.491  -0.081 0.558  0.032 0.654  0.138 0.760  0.244 0.866  0.350 0.972  0.455 1.078  0.561 1.183  0.667 1.289  0.798 1.334  0.948 1.334  1.059 1.428  1.195 1.461  1.218 1.587
3#app#app37#app3715/H  -0.770 1.483  -0.655 1.253  -0.631 1.002  -0.631 0.745  -0.631 0.488  -0.631 0.230  -0.631 -0.027  -0.631 -0.284  -0.573 -0.517  -0.493 -0.740  -0.493 -0.997  -0.493 -1.254  -0.472 -1.349  -0.407 -1.100  -0.342 -0.852  -0.277 -0.603  -0.212 -0.354  -0.148 -0.105  -0.083 0.143  -0.018 0.392  0.047 0.641  0.112 0.890  0.177 1.138  0.242 1.387  0.307 1.636  0.339 1.632  0.447 1.483  0.478 1.257  0.478 1.000  0.493 0.745  0.574 0.501  0.616 0.251  0.689 0.024  0.755 -0.206  0.755 -0.463  0.755 -0.720  0.755 -0.977  0.755 -1.234  0.576 -1.200  0.346 -1.086  0.116 -0.971  -0.114 -0.856  -0.344 -0.741  -0.574 -0.626  -0.466 -0.498  -0.246 -0.366  -0.025 -0.233  0.172 -0.071  0.394 0.013  0.616 0.096
3#app#app37#app3715/A  -0.869 -1.286  -0.833 -1.108  -0.727 -0.958  -0.727 -0.765  -0.727 -0.571  -0.727 -0.378  -0.727 -0.184  -0.714 0.004  -0.585 0.144  -0.585 0.338  -0.585 0.531  -0.585 0.725  -0.585 0.918  -0.585 1.112  -0.585 1.305  -0.585 1.499  -0.486 1.651  -0.349 1.601  -0.213 1.464  -0.159 1.293  -0.147 1.102  -0.060 0.929  0.051 0.774  0.188 0.637  0.267 0.476  0.267 0.283  0.286 0.094  0.373 -0.079  0.409 -0.264  0.525 -0.410  0.550 -0.593  0.550 -0.786  0.550 -0.980  0.692 -1.031  0.692 -1.225  0.692 -1.154  0.655 -0.984  0.482 -0.897  0.309 -0.811  0.136 -0.724  -0.037 -0.638  -0.119 -0.536  0.027 -0.412  0.200 -0.326  0.351 -0.208  0.521 -0.151  0.666 -0.035  0.803 0.102  0.940 0.239  1.118 0.275
3#app#app37#app3715/Q  -0.410 1.248  -0.448 1.052  -0.530 0.866  -0.530 0.661  -0.582 0.477  -0.650 0.300  -0.650 0.095  -0.650 -0.110  -0.650 -0.316  -0.650 -0.521  -0.650 -0.726  -0.633 -0.924  -0.488 -1.069  -0.410 -1.242  -0.230 -1.267  -0.040 -1.202  0.128 -1.088  0.308 -1.028  0.453 -0.883  0.598 -0.738  0.743 -0.593  0.788 -0.406  0.836 -0.212  0.907 -0.024  0.902 0.180  0.810 0.364  0.788 0.564  0.734 0.756  0.627 0.929  0.482 1.074  0.337 1.219  0.157 1.280  -0.012 1.368  -0.217 1.368  -0.302 1.248  -0.410 1.151  -0.410 0.946  -0.386 0.743  -0.352 0.540  -0.318 0.338  -0.290 0.135  -0.205 -0.035  -0.060 -0.180  0.035 -0.361  0.073 -0.557  0.165 -0.741  0.212 -0.931  0.308 -1.096  0.343 -1.267  0.428 -1.387
3#app#app37#app3715/U  -0.967 1.314  -0.967 1.133  -0.967 0.953  -0.967 0.772  -0.967 0.591  -0.967 0.410  -0.967 0.229  -0.967 0.048  -0.967 -0.133  -0.942 -0.304  -0.834 -0.440  -0.780 -0.599  -0.701 -0.747  -0.583 -0.810  -0.535 -0.942  -0.354 -0.942  -0.211 -0.850  -0.170 -0.686  -0.094 -0.523  -0.038 -0.356  -0.038 -0.175  0.070 -0.038  0.104 0.129  0.228 0.258  0.228 0.439  0.228 0.620  0.240 0.796  0.361 0.927  0.361 1.108  0.361 1.289  0.493 1.292  0.493 1.111  0.493 0.930  0.375 0.798  0.361 0.623  0.361 0.442  0.361 0.261  0.361 0.080  0.361 -0.101  0.361 -0.282  0.361 -0.463  0.361 -0.644  0.371 -0.820  0.499 -0.948  0.628 -1.075  0.794 -1.040  0.935 -0.942  1.116 -0.942  1.295 -0.938  1.423 -0.810
3#app#app37#app3715/A  -0.747 -1.382  -0.747 -1.170  -0.735 -0.963  -0.611 -0.803  -0.611 -0.591  -0.611 -0.379  -0.611 -0.167  -0.611 0.045  -0.508 0.214  -0.476 0.412  -0.476 0.624  -0.443 0.822  -0.340 0.992  -0.340 1.203  -0.281 1.391  -0.204 1.571  -0.161 1.739  -0.069 1.619  0.067 1.543  0.067 1.332  0.203 1.176  0.271 0.992  0.338 0.808  0.338 0.597  0.338 0.385  0.474 0.229  0.540 0.045  0.610 -0.138  0.744 -0.295  0.746 -0.506  0.746 -0.718  0.746 -0.929  0.580 -0.960  0.369 -0.940  0.158 -0.921  -0.053 -0.902  -0.264 -0.883  -0.475 -0.864  -0.686 -0.845  -0.641 -0.733  -0.451 -0.679  -0.285 -0.568  -0.073 -0.568  0.081 -0.425  0.270 -0.330  0.474 -0.296  0.624 -0.147  0.774 0.003  0.941 0.111  1.017 0.247
3#app#app37#app3715/L  -0.529 1.427  -0.529 1.530  -0.449 1.555  -0.401 1.499  -0.370 1.427  -0.273 1.420  -0.273 1.316  -0.273 1.213  -0.301 1.116  -0.347 1.023  -0.394 0.930  -0.401 0.828  -0.401 0.725  -0.401 0.621  -0.401 0.518  -0.401 0.414  -0.401 0.310  -0.401 0.207  -0.401 0.103  -0.401 -0.000  -0.401 -0.104  -0.401 -0.208  -0.401 -0.311  -0.401 -0.415  -0.401 -0.518  -0.401 -0.622  -0.401 -0.726  -0.342 -0.805  -0.273 -0.880  -0.273 -0.984  -0.188 -1.002  -0.084 -1.002  0.020 -1.002  0.123 -1.002  0.227 -1.002  0.238 -0.909  0.286 -0.826  0.359 -0.752  0.433 -0.679  0.511 -0.618  0.615 -0.618  0.718 -0.618  0.801 -0.567  0.874 -0.494  0.947 -0.420  1.005 -0.341  1.005 -0.237  1.106 -0.235  1.187 -0.180  1.261 -0.107
3#app#app37#app3715/M  -0.674 0.512  -0.674 0.294  -0.735 0.102  -0.791 -0.093  -0.791 -0.310  -0.791 -0.528  -0.882 -0.654  -0.907 -0.846  -0.907 -0.944  -0.907 -0.726  -0.907 -0.509  -0.907 -0.291  -0.907 -0.073  -0.863 0.134  -0.791 0.334  -0.791 0.552  -0.791 0.769  -0.674 0.853  -0.597 0.668  -0.558 0.466  -0.536 0.257  -0.441 0.079  -0.441 -0.138  -0.404 -0.341  -0.251 -0.495  -0.167 -0.654  0.050 -0.654  0.146 -0.529  0.244 -0.335  0.259 -0.121  0.295 0.082  0.375 0.266  0.375 0.484  0.492 0.653  0.581 0.834  0.670 0.978  0.725 1.141  0.829 1.107  0.958 0.943  0.972 0.731  1.075 0.556  1.075 0.339  1.075 0.121  1.075 -0.096  1.075 -0.314  1.075 -0.532  1.075 -0.749  1.075 -0.967  1.207 -1.121  1.308 -1.237
3#app#app37#app3715/T  0.231 1.105  0.231 0.946  0.231 0.787  0.231 0.628  0.231 0.469  0.231 0.310  0.231 0.151  0.231 -0.008  0.231 -0.167  0.231 -0.326  0.231 -0.485  0.231 -0.644  0.231 -0.804  0.231 -0.963  0.231 -1.122  0.231 -1.281  0.231 -1.440  0.231 -1.599  0.141 -1.476  0.048 -1.347  -0.044 -1.217  -0.137 -1.088  -0.229 -0.958  -0.322 -0.829  -0.414 -0.699  -0.507 -0.570  -0.599 -0.440  -0.692 -0.311  -0.784 -0.182  -0.877 -0.052  -0.969 0.077  -1.061 0.207  -1.070 0.293  -0.911 0.293  -0.752 0.293  -0.593 0.293  -0.477 0.398  -0.364 0.510  -0.236 0.601  -0.094 0.672  0.048 0.743  0.190 0.814  0.345 0.835  0.503 0.836  0.616 0.949  0.728 1.061  0.869 1.105  1.015 1.159  1.158 1.230  1.314 1.241
