3#app#app31#app3191/B  -0.569 -0.594  -0.452 -0.406  -0.352 -0.143  -0.302 0.141  -0.169 0.390  -0.101 0.666  -0.218 0.854  -0.218 1.158  -0.218 0.857  -0.119 0.594  -0.101 0.297  -0.101 -0.008  -0.101 -0.312  -0.101 -0.616  -0.101 -0.921  -0.218 -1.177  -0.242 -1.347  -0.346 -1.061  -0.450 -0.775  -0.554 -0.489  -0.658 -0.202  -0.686 0.097  -0.686 0.401  -0.569 0.657  -0.452 0.913  -0.211 1.050  0.004 1.265  0.187 1.393  0.465 1.501  0.717 1.625  0.717 1.321  0.533 1.093  0.318 0.877  0.157 0.623  -0.045 0.398  -0.209 0.225  -0.157 -0.009  0.148 -0.009  0.452 -0.009  0.757 -0.009  1.029 -0.087  1.068 -0.375  1.007 -0.654  0.792 -0.870  0.576 -1.085  0.360 -1.298  0.097 -1.447  -0.125 -1.646  -0.335 -1.551  -0.218 -1.295
3#app#app31#app3191/r  -0.101 0.515  -0.003 0.417  0.094 0.319  0.059 0.277  -0.080 0.277  -0.218 0.277  -0.339 0.259  -0.339 0.121  -0.339 -0.017  -0.339 -0.155  -0.339 -0.293  -0.339 -0.431  -0.339 -0.570  -0.339 -0.708  -0.339 -0.846  -0.339 -0.984  -0.339 -1.122  -0.260 -1.228  -0.163 -1.326  -0.101 -1.438  -0.101 -1.577  -0.101 -1.536  -0.101 -1.397  -0.101 -1.259  -0.101 -1.121  -0.101 -0.983  -0.101 -0.845  -0.101 -0.707  -0.101 -0.568  -0.101 -0.430  -0.101 -0.292  -0.101 -0.154  -0.101 -0.016  -0.064 0.114  -0.002 0.237  0.060 0.361  0.122 0.485  0.137 0.619  0.140 0.756  0.238 0.854  0.336 0.951  0.375 1.073  0.375 1.212  0.375 1.350  0.397 1.466  0.535 1.466  0.612 1.527  0.612 1.665  0.712 1.703  0.850 1.703
3#app#app31#app3191/o  0.701 0.726  0.534 0.726  0.367 0.726  0.200 0.726  0.033 0.726  -0.111 0.669  -0.229 0.551  -0.363 0.474  -0.530 0.474  -0.697 0.474  -0.810 0.420  -0.810 0.253  -0.906 0.126  -1.024 0.008  -1.062 -0.144  -1.062 -0.311  -1.062 -0.478  -1.062 -0.645  -1.043 -0.804  -0.925 -0.922  -0.806 -1.037  -0.639 -1.037  -0.472 -1.037  -0.305 -1.037  -0.138 -1.037  0.029 -1.037  0.196 -1.037  0.363 -1.037  0.506 -0.980  0.624 -0.862  0.759 -0.785  0.926 -0.785  0.952 -0.645  0.952 -0.478  0.952 -0.311  0.952 -0.144  0.952 0.023  0.952 0.190  0.857 0.317  0.739 0.435  0.621 0.553  0.503 0.671  0.449 0.816  0.443 0.977  0.276 0.977  0.110 0.977  -0.057 0.977  -0.224 0.977  -0.306 0.892  -0.306 0.726
3#app#app31#app3191/k  -0.426 2.003  -0.315 2.148  -0.264 2.125  -0.204 1.949  -0.204 1.758  -0.204 1.568  -0.204 1.377  -0.221 1.191  -0.306 1.021  -0.315 0.832  -0.315 0.642  -0.315 0.451  -0.315 0.261  -0.315 0.071  -0.315 -0.120  -0.315 -0.310  -0.315 -0.501  -0.315 -0.691  -0.237 -0.850  -0.172 -0.995  -0.093 -1.105  -0.009 -1.198  -0.168 -1.093  -0.326 -0.987  -0.484 -0.881  -0.643 -0.776  -0.485 -0.720  -0.350 -0.586  -0.215 -0.451  -0.081 -0.317  0.063 -0.195  0.234 -0.110  0.370 0.023  0.504 0.158  0.666 0.227  0.753 0.184  0.618 0.049  0.483 -0.085  0.349 -0.220  0.214 -0.355  0.080 -0.489  -0.055 -0.624  0.005 -0.759  0.130 -0.713  0.260 -0.642  0.395 -0.507  0.558 -0.439  0.748 -0.439  0.938 -0.439  1.129 -0.439
3#app#app31#app3191/e  -0.601 -0.198  -0.482 -0.080  -0.364 0.039  -0.245 0.157  -0.097 0.205  0.070 0.205  0.206 0.237  0.206 0.405  0.371 0.407  0.539 0.407  0.707 0.407  0.874 0.407  1.012 0.436  1.012 0.604  1.175 0.608  1.123 0.699  1.001 0.810  0.834 0.810  0.666 0.810  0.498 0.810  0.331 0.810  0.163 0.810  -0.004 0.810  -0.172 0.810  -0.340 0.810  -0.476 0.733  -0.594 0.615  -0.759 0.608  -0.802 0.484  -0.893 0.407  -1.004 0.350  -1.004 0.183  -1.004 0.015  -1.004 -0.152  -1.004 -0.320  -0.942 -0.462  -0.824 -0.580  -0.705 -0.699  -0.586 -0.817  -0.468 -0.936  -0.329 -1.005  -0.161 -1.005  0.006 -1.005  0.174 -1.005  0.302 -1.101  0.426 -1.206  0.593 -1.206  0.716 -1.314  0.845 -1.408  1.012 -1.408
3#app#app31#app3191/n  -0.741 -0.485  -0.861 -0.485  -0.982 -0.485  -1.097 -0.497  -1.183 -0.583  -1.245 -0.645  -1.160 -0.560  -1.085 -0.470  -1.085 -0.350  -1.025 -0.254  -0.940 -0.168  -0.855 -0.083  -0.770 0.002  -0.684 0.087  -0.599 0.173  -0.569 0.281  -0.569 0.401  -0.569 0.522  -0.501 0.614  -0.416 0.700  -0.331 0.785  -0.245 0.870  -0.160 0.955  -0.075 1.041  0.037 1.062  0.146 1.034  0.231 0.949  0.290 0.852  0.290 0.732  0.290 0.611  0.329 0.507  0.415 0.422  0.462 0.321  0.464 0.201  0.549 0.116  0.634 0.030  0.634 -0.090  0.634 -0.211  0.647 -0.326  0.732 -0.411  0.805 -0.502  0.805 -0.622  0.892 -0.656  0.977 -0.691  0.977 -0.812  1.082 -0.828  1.202 -0.828  1.322 -0.827  1.407 -0.742  1.493 -0.656
3#app#app31#app3191/M  -0.525 1.069  -0.668 1.168  -0.722 0.981  -0.821 0.763  -0.821 0.522  -0.821 0.280  -0.821 0.039  -0.821 -0.203  -0.821 -0.444  -0.821 -0.685  -0.821 -0.927  -0.821 -1.168  -0.810 -1.399  -0.730 -1.246  -0.742 -1.005  -0.754 -0.764  -0.766 -0.523  -0.778 -0.282  -0.790 -0.040  -0.802 0.201  -0.814 0.442  -0.713 0.575  -0.472 0.575  -0.259 0.507  -0.031 0.476  0.169 0.375  0.369 0.274  0.539 0.103  0.660 -0.088  0.549 -0.226  0.379 -0.397  0.265 -0.608  0.167 -0.607  0.281 -0.396  0.419 -0.202  0.495 0.016  0.561 0.230  0.647 0.451  0.758 0.649  0.857 0.791  0.956 0.992  0.956 0.905  0.956 0.663  0.956 0.422  0.956 0.180  1.032 -0.049  1.087 -0.279  1.153 -0.504  1.250 -0.706  1.351 -0.905
3#app#app31#app3191/o  0.031 1.245  0.031 1.097  -0.017 0.970  -0.121 0.865  -0.225 0.761  -0.330 0.657  -0.425 0.549  -0.425 0.401  -0.481 0.277  -0.586 0.173  -0.653 0.053  -0.653 -0.094  -0.653 -0.242  -0.653 -0.389  -0.653 -0.537  -0.653 -0.684  -0.653 -0.832  -0.653 -0.979  -0.653 -1.127  -0.640 -1.261  -0.492 -1.261  -0.345 -1.261  -0.197 -1.261  -0.050 -1.261  0.098 -1.261  0.245 -1.261  0.258 -1.127  0.297 -0.995  0.401 -0.891  0.498 -0.782  0.564 -0.650  0.630 -0.518  0.696 -0.386  0.714 -0.243  0.714 -0.095  0.714 0.052  0.714 0.200  0.714 0.347  0.714 0.495  0.657 0.619  0.553 0.723  0.448 0.827  0.344 0.932  0.258 1.044  0.258 1.191  0.165 1.245  0.017 1.245  -0.130 1.245  -0.197 1.165  -0.197 1.017
3#app#app31#app3191/o  0.169 0.096  0.062 0.203  -0.045 0.310  -0.151 0.416  -0.258 0.523  -0.399 0.548  -0.550 0.548  -0.701 0.548  -0.852 0.548  -0.962 0.507  -0.962 0.356  -0.962 0.205  -0.962 0.054  -0.962 -0.097  -0.962 -0.248  -0.962 -0.399  -0.962 -0.550  -0.878 -0.667  -0.772 -0.774  -0.665 -0.880  -0.558 -0.987  -0.427 -1.035  -0.276 -1.035  -0.125 -1.035  0.027 -1.035  0.178 -1.035  0.329 -1.035  0.480 -1.035  0.628 -1.029  0.735 -0.922  0.842 -0.815  0.848 -0.667  0.848 -0.516  0.848 -0.364  0.848 -0.213  0.848 -0.062  0.848 0.089  0.848 0.240  0.848 0.391  0.848 0.542  0.746 0.651  0.639 0.758  0.565 0.888  0.497 1.023  0.430 1.159  0.321 1.227  0.170 1.227  0.019 1.227  -0.057 1.152  -0.057 1.001
3#app#app31#app3191/n  -0.369 0.591  -0.369 0.420  -0.369 0.249  -0.369 0.077  -0.463 -0.055  -0.554 -0.189  -0.554 -0.360  -0.554 -0.532  -0.557 -0.702  -0.678 -0.823  -0.738 -0.969  -0.811 -1.067  -0.922 -1.007  -0.875 -0.883  -0.738 -0.849  -0.738 -0.678  -0.738 -0.506  -0.738 -0.335  -0.738 -0.164  -0.629 -0.037  -0.554 0.103  -0.517 0.259  -0.396 0.380  -0.275 0.501  -0.185 0.635  -0.171 0.803  -0.095 0.957  -0.018 1.110  0.132 1.144  0.183 1.264  0.290 1.328  0.462 1.328  0.552 1.247  0.552 1.076  0.552 0.905  0.552 0.733  0.552 0.562  0.552 0.391  0.552 0.219  0.552 0.048  0.666 -0.076  0.736 -0.218  0.736 -0.389  0.736 -0.561  0.760 -0.722  0.881 -0.844  1.002 -0.965  1.131 -1.067  1.289 -1.080  1.289 -1.252
3#app#app31#app3191/s  0.483 1.050  0.371 1.050  0.287 1.078  0.287 1.189  0.232 1.247  0.121 1.247  0.009 1.247  -0.103 1.247  -0.215 1.247  -0.327 1.247  -0.439 1.247  -0.499 1.195  -0.499 1.083  -0.499 0.971  -0.499 0.860  -0.499 0.748  -0.483 0.642  -0.404 0.563  -0.325 0.484  -0.246 0.405  -0.167 0.326  -0.088 0.247  -0.009 0.168  0.070 0.089  0.149 0.010  0.228 -0.070  0.287 -0.157  0.287 -0.269  0.327 -0.364  0.406 -0.443  0.485 -0.522  0.564 -0.601  0.643 -0.681  0.680 -0.777  0.680 -0.889  0.593 -0.914  0.482 -0.916  0.403 -0.995  0.323 -1.074  0.227 -1.110  0.115 -1.110  0.003 -1.110  -0.109 -1.110  -0.221 -1.110  -0.332 -1.110  -0.444 -1.110  -0.556 -1.110  -0.668 -1.110  -0.611 -1.110  -0.499 -1.110
