1c#tos#t3#t3042061/a  0.423 0.149  0.583 0.149  0.639 0.284  0.639 0.444  0.584 0.581  0.509 0.710  0.368 0.778  0.211 0.795  0.051 0.795  -0.109 0.795  -0.268 0.795  -0.416 0.765  -0.529 0.652  -0.667 0.575  -0.816 0.515  -0.959 0.446  -1.086 0.350  -1.206 0.244  -1.247 0.102  -1.247 -0.058  -1.355 -0.151  -1.355 -0.311  -1.355 -0.471  -1.261 -0.592  -1.163 -0.670  -1.010 -0.714  -0.850 -0.714  -0.694 -0.691  -0.539 -0.660  -0.380 -0.657  -0.247 -0.568  -0.106 -0.493  0.027 -0.409  0.140 -0.296  0.262 -0.208  0.367 -0.105  0.505 -0.026  0.548 0.111  0.639 0.233  0.722 0.310  0.774 0.203  0.860 0.084  0.955 -0.036  1.016 -0.158  1.095 -0.253  1.230 -0.336  1.232 -0.494  1.374 -0.532  1.503 -0.606  1.609 -0.660
1c#tos#t3#t3042061/b  0.072 2.119  -0.098 2.119  -0.069 1.987  -0.069 1.817  -0.069 1.647  -0.069 1.478  -0.069 1.308  -0.069 1.138  -0.086 0.970  -0.116 0.804  -0.116 0.634  -0.116 0.464  -0.137 0.296  -0.168 0.129  -0.219 -0.032  -0.257 -0.198  -0.257 -0.367  -0.257 -0.537  -0.257 -0.707  -0.257 -0.877  -0.263 -1.045  -0.339 -1.056  -0.353 -0.890  -0.445 -0.777  -0.445 -0.608  -0.445 -0.438  -0.419 -0.274  -0.344 -0.132  -0.210 -0.045  -0.142 0.096  0.027 0.098  0.147 0.218  0.305 0.272  0.473 0.285  0.641 0.280  0.782 0.190  0.825 0.063  0.825 -0.106  0.794 -0.263  0.695 -0.399  0.624 -0.553  0.531 -0.671  0.376 -0.729  0.242 -0.830  0.137 -0.959  0.004 -1.062  -0.116 -1.160  -0.267 -1.211  -0.416 -1.268  -0.539 -1.221
1c#tos#t3#t3042061/c  0.955 0.286  0.955 0.408  0.950 0.527  0.896 0.626  0.837 0.723  0.759 0.777  0.654 0.817  0.533 0.821  0.425 0.876  0.303 0.876  0.182 0.876  0.060 0.876  -0.060 0.872  -0.176 0.834  -0.294 0.817  -0.416 0.817  -0.537 0.817  -0.635 0.761  -0.670 0.650  -0.738 0.549  -0.830 0.473  -0.931 0.405  -0.933 0.285  -0.961 0.170  -0.992 0.056  -0.992 -0.065  -0.992 -0.187  -0.992 -0.308  -0.945 -0.410  -0.874 -0.502  -0.814 -0.599  -0.694 -0.601  -0.608 -0.687  -0.500 -0.722  -0.382 -0.751  -0.264 -0.776  -0.142 -0.776  -0.021 -0.776  0.101 -0.776  0.222 -0.776  0.344 -0.776  0.465 -0.776  0.586 -0.776  0.708 -0.776  0.829 -0.776  0.951 -0.776  1.072 -0.776  1.111 -0.661  1.187 -0.599  1.309 -0.599
1c#tos#t3#t3042061/d  0.810 2.017  0.719 1.918  0.719 1.763  0.699 1.613  0.674 1.464  0.674 1.310  0.649 1.158  0.606 1.010  0.583 0.858  0.567 0.706  0.509 0.563  0.466 0.415  0.447 0.262  0.435 0.109  0.393 -0.040  0.324 -0.178  0.311 -0.330  0.311 -0.485  0.311 -0.639  0.311 -0.794  0.311 -0.912  0.337 -0.768  0.356 -0.621  0.356 -0.467  0.336 -0.320  0.220 -0.232  0.162 -0.101  0.111 0.022  0.002 0.095  -0.097 0.158  -0.252 0.158  -0.406 0.158  -0.544 0.102  -0.679 0.026  -0.758 -0.095  -0.868 -0.151  -0.963 -0.237  -1.013 -0.360  -1.075 -0.490  -1.140 -0.605  -1.100 -0.743  -0.997 -0.802  -0.857 -0.840  -0.711 -0.873  -0.559 -0.885  -0.405 -0.880  -0.260 -0.840  -0.126 -0.786  0.020 -0.749  0.084 -0.658
1c#tos#t3#t3042061/f  0.794 1.790  0.671 1.831  0.628 1.801  0.549 1.711  0.441 1.636  0.398 1.526  0.295 1.445  0.264 1.320  0.182 1.237  0.113 1.127  0.060 1.012  0.030 0.884  -0.040 0.774  -0.062 0.646  -0.062 0.514  -0.062 0.381  -0.062 0.248  0.000 0.135  0.052 0.013  0.060 -0.118  0.142 -0.200  0.182 -0.316  0.182 -0.449  0.182 -0.582  0.140 -0.698  0.066 -0.806  -0.034 -0.884  -0.062 -1.010  -0.144 -1.109  -0.184 -1.233  -0.242 -1.308  -0.305 -1.206  -0.352 -1.082  -0.399 -0.958  -0.447 -0.833  -0.494 -0.709  -0.541 -0.585  -0.589 -0.461  -0.672 -0.513  -0.707 -0.533  -0.578 -0.509  -0.447 -0.493  -0.317 -0.478  -0.191 -0.452  -0.059 -0.449  0.058 -0.411  0.191 -0.411  0.324 -0.411  0.457 -0.411  0.590 -0.411
1c#tos#t3#t3042061/g  0.571 0.518  0.494 0.462  0.640 0.518  0.774 0.630  0.795 0.811  0.760 0.999  0.627 1.114  0.555 1.245  0.353 1.245  0.150 1.245  -0.052 1.245  -0.250 1.226  -0.388 1.133  -0.491 1.034  -0.491 0.832  -0.491 0.630  -0.298 0.589  -0.099 0.574  0.103 0.574  0.306 0.574  0.508 0.574  0.472 0.475  0.408 0.299  0.254 0.182  0.224 0.003  0.124 -0.157  0.111 -0.358  0.068 -0.553  0.012 -0.742  -0.017 -0.938  -0.044 -1.134  -0.130 -1.301  -0.180 -1.487  -0.343 -1.551  -0.545 -1.551  -0.692 -1.495  -0.779 -1.375  -0.883 -1.248  -0.883 -1.046  -0.883 -0.843  -0.819 -0.680  -0.630 -0.609  -0.480 -0.477  -0.337 -0.334  -0.149 -0.265  0.041 -0.235  0.210 -0.153  0.406 -0.115  0.592 -0.041  0.795 -0.041
1c#tos#t3#t3042061/h  -0.186 1.824  -0.103 1.870  -0.095 1.748  -0.095 1.619  -0.095 1.489  -0.095 1.360  -0.119 1.238  -0.189 1.128  -0.220 1.003  -0.268 0.883  -0.324 0.767  -0.324 0.637  -0.339 0.511  -0.397 0.395  -0.437 0.273  -0.468 0.147  -0.500 0.021  -0.544 -0.100  -0.592 -0.221  -0.599 -0.349  -0.599 -0.478  -0.649 -0.557  -0.690 -0.646  -0.690 -0.706  -0.690 -0.576  -0.593 -0.506  -0.501 -0.414  -0.409 -0.322  -0.337 -0.217  -0.234 -0.146  -0.161 -0.054  -0.032 -0.054  0.082 -0.093  0.152 -0.198  0.208 -0.311  0.238 -0.426  0.318 -0.506  0.318 -0.636  0.335 -0.758  0.363 -0.876  0.445 -0.924  0.575 -0.924  0.704 -0.924  0.802 -0.872  0.904 -0.812  1.031 -0.786  1.147 -0.735  1.245 -0.671  1.333 -0.603  1.371 -0.512
1c#tos#t3#t3042061/i  -1.230 -0.595  -1.326 -0.671  -1.255 -0.728  -1.126 -0.664  -1.041 -0.573  -0.914 -0.521  -0.795 -0.446  -0.792 -0.306  -0.699 -0.255  -0.612 -0.166  -0.517 -0.113  -0.412 -0.206  -0.361 -0.300  -0.342 -0.439  -0.292 -0.567  -0.216 -0.680  -0.144 -0.788  -0.071 -0.859  0.047 -0.885  0.190 -0.885  0.334 -0.885  0.478 -0.885  0.621 -0.885  0.749 -0.832  0.844 -0.765  0.942 -0.673  0.942 -0.529  0.942 -0.385  0.942 -0.242  0.893 -0.110  0.828 0.019  0.764 0.147  0.700 0.276  0.636 0.404  0.571 0.533  0.507 0.661  0.443 0.790  0.379 0.918  0.314 1.047  0.250 1.175  0.186 1.304  0.122 1.432  -0.022 1.432  -0.069 1.335  -0.101 1.199  -0.120 1.058  -0.213 0.953  -0.280 0.837  -0.314 0.708  -0.361 0.611
1c#tos#t3#t3042061/j  -0.567 0.609  -0.702 0.519  -0.512 0.518  -0.321 0.518  -0.133 0.532  0.045 0.602  0.205 0.699  0.291 0.684  0.241 0.514  0.201 0.340  0.163 0.164  0.110 -0.005  0.110 -0.196  0.110 -0.387  0.110 -0.578  0.094 -0.762  0.020 -0.931  -0.027 -1.111  -0.137 -1.264  -0.161 -1.445  -0.283 -1.514  -0.474 -1.514  -0.618 -1.463  -0.748 -1.344  -0.793 -1.198  -0.793 -1.007  -0.682 -0.927  -0.591 -0.781  -0.468 -0.647  -0.299 -0.566  -0.144 -0.459  0.017 -0.388  0.201 -0.362  0.387 -0.337  0.522 -0.249  0.642 -0.189  0.611 -0.001  0.579 0.188  0.548 0.376  0.517 0.565  0.485 0.753  0.454 0.942  0.422 1.130  0.391 1.318  0.360 1.507  0.287 1.647  0.110 1.633  0.086 1.467  0.065 1.296  0.065 1.105
1c#tos#t3#t3042061/k  0.160 2.407  0.160 2.220  0.160 2.033  0.160 1.846  0.160 1.659  0.126 1.482  0.057 1.316  0.037 1.134  -0.046 0.967  -0.046 0.780  -0.111 0.612  -0.149 0.437  -0.176 0.258  -0.252 0.094  -0.252 -0.093  -0.344 -0.252  -0.395 -0.430  -0.406 -0.616  -0.457 -0.795  -0.457 -0.982  -0.457 -1.114  -0.560 -1.030  -0.560 -0.843  -0.502 -0.684  -0.356 -0.568  -0.209 -0.452  -0.063 -0.336  0.084 -0.220  0.230 -0.104  0.377 0.012  0.524 0.128  0.670 0.244  0.595 0.144  0.425 0.101  0.247 0.050  0.076 -0.023  -0.097 -0.092  -0.225 -0.190  -0.397 -0.263  -0.457 -0.392  -0.454 -0.576  -0.315 -0.654  -0.163 -0.755  0.000 -0.833  0.184 -0.845  0.362 -0.884  0.549 -0.884  0.672 -0.987  0.859 -0.987  1.034 -1.039
1c#tos#t3#t3042061/l  -0.677 -1.042  -0.809 -1.081  -0.907 -1.181  -0.866 -1.235  -0.724 -1.200  -0.597 -1.131  -0.501 -1.032  -0.368 -0.965  -0.283 -0.846  -0.182 -0.748  -0.102 -0.624  0.015 -0.533  0.110 -0.422  0.181 -0.293  0.256 -0.165  0.334 -0.040  0.404 0.089  0.431 0.228  0.519 0.347  0.559 0.488  0.582 0.633  0.635 0.771  0.674 0.909  0.674 1.057  0.674 1.206  0.674 1.354  0.674 1.502  0.530 1.506  0.443 1.445  0.355 1.360  0.243 1.267  0.165 1.143  0.134 1.002  0.072 0.873  -0.028 0.765  -0.073 0.633  -0.149 0.506  -0.215 0.375  -0.240 0.229  -0.252 0.082  -0.252 -0.066  -0.252 -0.214  -0.252 -0.362  -0.252 -0.511  -0.252 -0.659  -0.252 -0.807  -0.252 -0.955  -0.252 -1.103  -0.213 -1.242  -0.136 -1.313
