2#app#app18#app1868/{  0.509 1.521  0.471 1.652  0.303 1.652  0.135 1.652  -0.028 1.638  -0.148 1.521  -0.275 1.480  -0.331 1.335  -0.405 1.198  -0.405 1.029  -0.405 0.861  -0.360 0.738  -0.275 0.655  -0.189 0.522  -0.040 0.477  -0.002 0.346  0.117 0.297  0.117 0.129  0.117 -0.039  0.086 -0.176  -0.014 -0.245  -0.120 -0.306  -0.289 -0.306  -0.457 -0.306  -0.599 -0.243  -0.666 -0.249  -0.556 -0.306  -0.405 -0.289  -0.350 -0.176  -0.209 -0.110  -0.067 -0.045  -0.014 0.069  0.094 -0.022  0.248 -0.050  0.248 -0.218  0.248 -0.387  0.129 -0.437  0.099 -0.585  -0.014 -0.707  -0.046 -0.861  -0.144 -0.989  -0.096 -1.137  -0.014 -1.271  0.076 -1.351  0.244 -1.351  0.412 -1.351  0.580 -1.351  0.748 -1.351  0.912 -1.339  1.031 -1.220
2#app#app18#app1868/B  -0.721 0.522  -0.552 0.655  -0.552 0.662  -0.645 0.690  -0.552 0.510  -0.552 0.237  -0.552 -0.036  -0.552 -0.309  -0.552 -0.582  -0.412 -0.797  -0.384 -1.058  -0.384 -1.331  -0.309 -1.422  -0.239 -1.189  -0.284 -0.920  -0.329 -0.650  -0.374 -0.381  -0.419 -0.112  -0.464 0.157  -0.508 0.426  -0.558 0.690  -0.721 0.800  -0.552 0.905  -0.401 1.027  -0.297 1.195  -0.024 1.195  0.249 1.195  0.522 1.195  0.794 1.194  0.900 1.027  0.813 0.878  0.618 0.690  0.457 0.578  0.254 0.488  0.037 0.354  -0.068 0.186  -0.091 0.186  0.182 0.186  0.455 0.186  0.698 0.113  0.891 -0.080  0.962 -0.323  0.962 -0.596  0.962 -0.869  0.812 -0.992  0.708 -1.161  0.603 -1.329  0.330 -1.329  0.057 -1.329  -0.216 -1.329
2#app#app18#app1868/r  -0.572 0.484  -0.572 0.647  -0.514 0.752  -0.351 0.752  -0.421 0.752  -0.572 0.740  -0.572 0.577  -0.502 0.484  -0.339 0.484  -0.304 0.356  -0.304 0.192  -0.304 0.029  -0.304 -0.134  -0.304 -0.297  -0.304 -0.460  -0.304 -0.623  -0.304 -0.786  -0.304 -0.949  -0.304 -1.113  -0.304 -1.276  -0.304 -1.439  -0.304 -1.602  -0.304 -1.555  -0.304 -1.392  -0.304 -1.229  -0.304 -1.065  -0.304 -0.902  -0.304 -0.739  -0.304 -0.576  -0.304 -0.413  -0.304 -0.250  -0.304 -0.087  -0.304 0.076  -0.287 0.233  -0.172 0.348  -0.057 0.463  -0.036 0.618  -0.007 0.752  0.156 0.752  0.319 0.752  0.482 0.752  0.645 0.752  0.809 0.752  0.972 0.752  1.135 0.752  1.298 0.752  1.415 0.640  1.530 0.525  1.676 0.484  1.839 0.484
2#app#app18#app1868/a  0.319 0.597  0.319 0.780  0.188 0.833  0.083 0.911  0.058 1.069  -0.126 1.069  -0.309 1.069  -0.492 1.069  -0.661 1.033  -0.790 0.903  -0.920 0.773  -1.050 0.644  -1.097 0.480  -1.097 0.297  -1.097 0.113  -1.097 -0.070  -0.954 -0.111  -0.861 -0.201  -0.824 -0.347  -0.640 -0.347  -0.457 -0.347  -0.274 -0.347  -0.153 -0.285  -0.143 -0.111  0.040 -0.111  0.083 0.029  0.083 0.213  0.083 0.396  0.083 0.579  -0.083 0.597  -0.153 0.483  -0.153 0.300  -0.153 0.117  -0.153 -0.067  -0.153 -0.250  -0.067 -0.347  0.083 -0.381  0.083 -0.564  0.199 -0.699  0.333 -0.819  0.516 -0.819  0.657 -0.921  0.787 -1.051  0.969 -1.055  1.152 -1.055  1.314 -1.004  1.444 -0.874  1.604 -0.819  1.735 -0.766  1.735 -0.583
2#app#app18#app1868/c  0.213 0.684  0.354 0.684  0.474 0.684  0.333 0.684  0.213 0.704  0.213 0.844  0.213 0.924  0.213 0.784  0.213 0.724  0.213 0.865  0.163 0.955  0.022 0.955  -0.118 0.955  -0.259 0.955  -0.399 0.955  -0.540 0.955  -0.599 0.874  -0.599 0.733  -0.690 0.684  -0.831 0.684  -0.870 0.583  -0.870 0.442  -0.870 0.302  -0.870 0.161  -0.870 0.021  -0.870 -0.120  -0.777 -0.222  -0.678 -0.321  -0.599 -0.429  -0.599 -0.569  -0.560 -0.670  -0.419 -0.670  -0.328 -0.720  -0.328 -0.860  -0.269 -0.941  -0.128 -0.941  0.012 -0.941  0.153 -0.941  0.293 -0.941  0.433 -0.941  0.574 -0.941  0.714 -0.941  0.855 -0.941  0.995 -0.941  1.025 -0.831  1.025 -0.690  1.146 -0.670  1.286 -0.670  1.296 -0.540  1.296 -0.399
2#app#app18#app1868/e  -0.606 0.410  -0.452 0.410  -0.385 0.323  -0.366 0.188  -0.212 0.188  -0.058 0.188  0.096 0.188  0.250 0.188  0.279 0.313  0.336 0.410  0.490 0.410  0.501 0.553  0.501 0.707  0.501 0.861  0.501 1.015  0.406 1.074  0.252 1.074  0.098 1.074  -0.056 1.074  -0.197 1.041  -0.305 0.932  -0.426 0.853  -0.580 0.853  -0.606 0.724  -0.667 0.631  -0.821 0.631  -0.828 0.484  -0.828 0.330  -0.828 0.176  -0.828 0.022  -0.828 -0.132  -0.806 -0.277  -0.697 -0.385  -0.588 -0.494  -0.479 -0.603  -0.370 -0.712  -0.261 -0.821  -0.148 -0.919  0.006 -0.919  0.130 -0.991  0.239 -1.100  0.376 -1.140  0.530 -1.140  0.684 -1.140  0.838 -1.140  0.992 -1.140  1.146 -1.140  1.300 -1.140  1.386 -1.073  1.386 -0.919
2#app#app18#app1868/Y  -0.634 1.089  -0.634 0.916  -0.573 0.768  -0.504 0.623  -0.451 0.462  -0.374 0.307  -0.342 0.147  -0.244 0.014  -0.244 -0.159  -0.159 -0.297  -0.113 -0.452  -0.006 -0.580  0.020 -0.722  0.072 -0.556  0.124 -0.391  0.175 -0.226  0.227 -0.060  0.279 0.105  0.330 0.271  0.382 0.436  0.434 0.601  0.485 0.767  0.537 0.932  0.589 1.098  0.640 1.263  0.609 1.408  0.537 1.407  0.422 1.349  0.407 1.190  0.356 1.038  0.277 0.898  0.277 0.724  0.269 0.553  0.192 0.398  0.147 0.235  0.095 0.074  0.017 -0.081  0.017 -0.254  -0.043 -0.402  -0.113 -0.547  -0.113 -0.720  -0.185 -0.876  -0.244 -1.036  -0.244 -1.209  -0.301 -1.369  -0.382 -1.521  -0.504 -1.644  -0.504 -1.817  -0.504 -1.991  -0.504 -2.164
2#app#app18#app1868/o  -0.169 0.762  -0.169 0.917  -0.215 1.026  -0.371 1.026  -0.433 0.932  -0.433 0.777  -0.573 0.762  -0.697 0.730  -0.697 0.575  -0.697 0.420  -0.697 0.264  -0.821 0.234  -0.961 0.218  -0.961 0.062  -0.961 -0.093  -0.961 -0.248  -0.884 -0.372  -0.774 -0.481  -0.697 -0.605  -0.697 -0.760  -0.604 -0.822  -0.448 -0.822  -0.433 -0.962  -0.402 -1.086  -0.246 -1.086  -0.091 -1.086  0.064 -1.086  0.220 -1.086  0.370 -1.075  0.480 -0.966  0.590 -0.856  0.731 -0.822  0.887 -0.822  0.887 -0.668  0.887 -0.512  0.887 -0.357  0.887 -0.202  0.887 -0.046  0.887 0.109  0.887 0.264  0.887 0.420  0.810 0.498  0.654 0.498  0.623 0.622  0.623 0.777  0.623 0.932  0.561 1.026  0.406 1.026  0.251 1.026  0.095 1.026
2#app#app18#app1868/u  -0.732 0.976  -0.732 1.129  -0.841 1.173  -0.929 1.108  -0.944 0.961  -1.052 0.853  -1.126 0.730  -1.126 0.577  -1.126 0.424  -1.126 0.271  -1.126 0.119  -1.108 -0.027  -0.999 -0.135  -0.929 -0.259  -0.919 -0.402  -0.766 -0.402  -0.613 -0.402  -0.461 -0.402  -0.308 -0.402  -0.155 -0.402  -0.002 -0.402  0.055 -0.306  0.107 -0.205  0.252 -0.197  0.252 -0.044  0.252 0.109  0.252 0.262  0.252 0.415  0.252 0.568  0.252 0.721  0.252 0.685  0.252 0.532  0.252 0.379  0.252 0.226  0.252 0.073  0.252 -0.080  0.272 -0.225  0.380 -0.333  0.449 -0.458  0.461 -0.599  0.614 -0.599  0.767 -0.599  0.897 -0.653  1.005 -0.761  1.144 -0.796  1.279 -0.753  1.387 -0.645  1.521 -0.599  1.674 -0.599  1.827 -0.599
2#app#app18#app1868/r  -0.625 1.002  -0.625 0.848  -0.608 0.712  -0.453 0.712  -0.335 0.676  -0.335 0.522  -0.335 0.368  -0.335 0.214  -0.335 0.060  -0.335 -0.095  -0.335 -0.249  -0.335 -0.403  -0.335 -0.557  -0.335 -0.711  -0.335 -0.865  -0.335 -1.019  -0.335 -1.174  -0.335 -1.328  -0.335 -1.482  -0.335 -1.588  -0.335 -1.434  -0.335 -1.280  -0.335 -1.126  -0.335 -0.972  -0.335 -0.818  -0.335 -0.664  -0.335 -0.510  -0.335 -0.355  -0.335 -0.201  -0.335 -0.047  -0.335 0.107  -0.335 0.261  -0.335 0.415  -0.335 0.569  -0.323 0.712  -0.169 0.712  -0.015 0.712  0.139 0.712  0.294 0.712  0.448 0.712  0.602 0.712  0.756 0.712  0.910 0.712  1.064 0.712  1.218 0.712  1.372 0.712  1.408 0.593  1.408 0.439  1.544 0.421  1.698 0.421
2#app#app18#app1868/s  0.827 0.960  0.668 0.960  0.509 0.960  0.350 0.960  0.191 0.960  0.032 0.960  -0.127 0.960  -0.286 0.960  -0.445 0.960  -0.604 0.960  -0.763 0.960  -0.922 0.960  -0.982 0.862  -0.982 0.703  -0.902 0.578  -0.789 0.465  -0.675 0.357  -0.516 0.357  -0.357 0.357  -0.198 0.357  -0.039 0.357  0.120 0.357  0.279 0.357  0.438 0.357  0.597 0.357  0.756 0.357  0.827 0.270  0.827 0.111  0.827 -0.048  0.827 -0.207  0.827 -0.366  0.827 -0.525  0.827 -0.684  0.827 -0.843  0.719 -0.957  0.606 -1.070  0.481 -1.151  0.322 -1.151  0.163 -1.151  0.004 -1.151  -0.155 -1.151  -0.314 -1.151  -0.379 -1.057  -0.379 -0.898  -0.489 -0.849  -0.648 -0.849  -0.681 -0.723  -0.681 -0.564  -0.681 -0.690  -0.681 -0.849
