3#app#app13#app1319/[  0.919 1.217  0.809 1.217  0.731 1.185  0.683 1.123  0.572 1.123  0.462 1.123  0.354 1.121  0.336 1.029  0.226 1.029  0.116 1.029  0.005 1.029  -0.105 1.029  -0.215 1.029  -0.320 1.015  -0.398 0.937  -0.400 0.828  -0.400 0.718  -0.400 0.608  -0.400 0.497  -0.400 0.387  -0.400 0.277  -0.400 0.167  -0.400 0.057  -0.433 -0.040  -0.494 -0.125  -0.494 -0.235  -0.494 -0.345  -0.494 -0.455  -0.556 -0.540  -0.589 -0.637  -0.589 -0.747  -0.656 -0.829  -0.683 -0.928  -0.595 -0.950  -0.485 -0.946  -0.387 -0.897  -0.286 -0.856  -0.176 -0.856  -0.066 -0.856  0.044 -0.856  0.155 -0.856  0.265 -0.856  0.375 -0.856  0.485 -0.856  0.595 -0.856  0.706 -0.856  0.816 -0.856  0.926 -0.856  1.030 -0.872  1.108 -0.950
3#app#app13#app1319/(  0.507 1.340  0.507 1.436  0.507 1.488  0.507 1.392  0.463 1.340  0.367 1.340  0.337 1.274  0.337 1.178  0.249 1.169  0.167 1.156  0.167 1.060  0.141 0.974  0.073 0.906  0.006 0.838  -0.004 0.746  -0.010 0.652  -0.078 0.585  -0.146 0.517  -0.174 0.432  -0.174 0.336  -0.229 0.263  -0.297 0.195  -0.344 0.118  -0.344 0.022  -0.381 -0.059  -0.449 -0.127  -0.514 -0.196  -0.514 -0.292  -0.514 -0.388  -0.514 -0.484  -0.514 -0.580  -0.514 -0.676  -0.514 -0.772  -0.514 -0.868  -0.424 -0.873  -0.344 -0.890  -0.344 -0.986  -0.306 -1.044  -0.209 -1.044  -0.113 -1.044  -0.017 -1.044  0.079 -1.044  0.175 -1.044  0.271 -1.044  0.367 -1.044  0.463 -1.044  0.559 -1.044  0.655 -1.044  0.751 -1.044  0.847 -1.044
3#app#app13#app1319/1  0.168 1.760  0.168 1.684  0.168 1.608  0.168 1.532  0.168 1.457  0.168 1.381  0.168 1.305  0.168 1.229  0.168 1.154  0.168 1.078  0.168 1.002  0.168 0.926  0.168 0.850  0.168 0.775  0.168 0.699  0.168 0.623  0.168 0.547  0.168 0.472  0.168 0.396  0.168 0.320  0.168 0.244  0.168 0.168  0.168 0.093  0.168 0.017  0.168 -0.059  0.168 -0.135  0.168 -0.210  0.168 -0.286  0.123 -0.343  0.069 -0.397  0.016 -0.450  -0.038 -0.504  -0.091 -0.558  -0.145 -0.611  -0.174 -0.675  -0.174 -0.750  -0.174 -0.826  -0.174 -0.902  -0.174 -0.978  -0.224 -1.033  -0.278 -1.087  -0.331 -1.140  -0.385 -1.194  -0.438 -1.247  -0.492 -1.301  -0.478 -1.326  -0.402 -1.326  -0.326 -1.326  -0.250 -1.326  -0.174 -1.326
3#app#app13#app1319/)  -0.535 1.106  -0.450 1.106  -0.365 1.106  -0.343 1.168  -0.343 1.253  -0.302 1.298  -0.218 1.298  -0.150 1.280  -0.150 1.195  -0.150 1.110  -0.070 1.106  0.015 1.106  0.042 1.048  0.042 0.963  0.067 0.888  0.127 0.828  0.187 0.768  0.234 0.703  0.234 0.618  0.234 0.533  0.234 0.448  0.234 0.363  0.234 0.278  0.234 0.193  0.234 0.108  0.234 0.023  0.234 -0.061  0.234 -0.146  0.234 -0.231  0.234 -0.316  0.234 -0.401  0.234 -0.486  0.234 -0.571  0.220 -0.652  0.182 -0.728  0.144 -0.804  0.106 -0.880  0.068 -0.956  0.042 -1.035  0.042 -1.120  0.037 -1.200  -0.048 -1.200  -0.133 -1.200  -0.150 -1.267  -0.150 -1.352  -0.195 -1.392  -0.280 -1.392  -0.343 -1.415  -0.343 -1.500  -0.343 -1.585
3#app#app13#app1319/(  0.425 1.570  0.425 1.491  0.425 1.412  0.401 1.357  0.322 1.357  0.242 1.357  0.213 1.308  0.213 1.228  0.213 1.149  0.160 1.092  0.104 1.036  0.048 0.980  0.000 0.921  0.000 0.842  0.000 0.763  0.000 0.684  0.000 0.604  0.000 0.525  -0.043 0.464  -0.099 0.408  -0.155 0.352  -0.211 0.296  -0.212 0.218  -0.212 0.139  -0.212 0.059  -0.212 -0.020  -0.212 -0.099  -0.212 -0.178  -0.212 -0.257  -0.212 -0.336  -0.212 -0.415  -0.212 -0.494  -0.212 -0.573  -0.212 -0.653  -0.212 -0.732  -0.212 -0.811  -0.212 -0.890  -0.212 -0.969  -0.212 -1.048  -0.212 -1.127  -0.199 -1.193  -0.119 -1.193  -0.040 -1.193  0.028 -1.220  0.084 -1.276  0.139 -1.332  0.195 -1.388  0.267 -1.405  0.346 -1.405  0.425 -1.405
3#app#app13#app1319/2  -1.061 0.881  -0.927 0.881  -0.792 0.881  -0.784 1.008  -0.784 1.143  -0.665 1.158  -0.530 1.158  -0.396 1.158  -0.261 1.158  -0.126 1.158  0.008 1.158  0.143 1.158  0.278 1.158  0.323 1.069  0.323 0.934  0.405 0.881  0.539 0.881  0.600 0.807  0.600 0.672  0.600 0.538  0.600 0.403  0.600 0.268  0.600 0.134  0.564 0.014  0.469 -0.081  0.374 -0.176  0.323 -0.290  0.323 -0.425  0.267 -0.504  0.133 -0.504  0.046 -0.552  0.046 -0.687  0.018 -0.809  -0.078 -0.905  -0.173 -1.000  -0.284 -1.057  -0.418 -1.057  -0.507 -1.012  -0.507 -0.877  -0.469 -0.781  -0.335 -0.781  -0.231 -0.811  -0.231 -0.946  -0.208 -1.057  -0.073 -1.057  0.062 -1.057  0.196 -1.057  0.331 -1.057  0.466 -1.057  0.600 -1.057
3#app#app13#app1319/)  -0.537 1.335  -0.459 1.335  -0.381 1.335  -0.303 1.335  -0.225 1.335  -0.147 1.335  -0.069 1.335  -0.036 1.290  -0.036 1.212  -0.036 1.134  -0.036 1.056  -0.036 0.978  -0.036 0.900  -0.028 0.825  0.027 0.770  0.082 0.715  0.138 0.660  0.193 0.605  0.215 0.536  0.215 0.458  0.215 0.380  0.215 0.302  0.215 0.224  0.215 0.146  0.215 0.068  0.215 -0.010  0.215 -0.088  0.215 -0.166  0.215 -0.244  0.215 -0.322  0.215 -0.400  0.174 -0.461  0.119 -0.517  0.064 -0.572  0.009 -0.627  -0.036 -0.686  -0.036 -0.764  -0.036 -0.842  -0.036 -0.920  -0.036 -0.998  -0.036 -1.076  -0.036 -1.155  -0.036 -1.233  -0.036 -1.311  -0.036 -1.389  -0.066 -1.454  -0.121 -1.509  -0.176 -1.564  -0.231 -1.620  -0.287 -1.675
3#app#app13#app1319/(  0.385 1.635  0.330 1.580  0.275 1.525  0.220 1.470  0.185 1.406  0.185 1.328  0.185 1.250  0.141 1.190  0.086 1.135  0.031 1.080  -0.016 1.021  -0.016 0.943  -0.016 0.865  -0.048 0.800  -0.104 0.745  -0.159 0.690  -0.214 0.635  -0.216 0.558  -0.216 0.480  -0.216 0.402  -0.216 0.324  -0.216 0.246  -0.216 0.167  -0.216 0.089  -0.216 0.011  -0.216 -0.067  -0.216 -0.145  -0.216 -0.223  -0.216 -0.301  -0.216 -0.379  -0.216 -0.457  -0.216 -0.535  -0.216 -0.613  -0.216 -0.691  -0.216 -0.769  -0.162 -0.825  -0.107 -0.880  -0.052 -0.935  -0.016 -0.998  -0.016 -1.076  -0.016 -1.154  0.045 -1.172  0.123 -1.172  0.196 -1.183  0.251 -1.239  0.307 -1.294  0.362 -1.349  0.430 -1.373  0.508 -1.373  0.586 -1.373
3#app#app13#app1319/3  -0.460 1.232  -0.347 1.232  -0.234 1.232  -0.222 1.132  -0.222 1.019  -0.134 0.995  -0.021 0.995  0.091 0.995  0.204 0.995  0.316 0.995  0.429 0.995  0.490 0.943  0.490 0.831  0.529 0.758  0.642 0.758  0.727 0.730  0.727 0.618  0.712 0.520  0.599 0.520  0.488 0.518  0.408 0.439  0.328 0.359  0.247 0.283  0.135 0.283  0.022 0.283  -0.090 0.283  -0.203 0.283  -0.222 0.190  -0.222 0.077  -0.222 -0.035  -0.222 -0.148  -0.222 -0.260  -0.222 -0.373  -0.222 -0.486  -0.222 -0.598  -0.191 -0.698  -0.111 -0.777  -0.032 -0.857  0.015 -0.950  0.015 -1.063  -0.009 -1.165  -0.089 -1.245  -0.168 -1.324  -0.259 -1.378  -0.371 -1.378  -0.460 -1.402  -0.460 -1.515  -0.472 -1.615  -0.584 -1.615  -0.697 -1.615
3#app#app13#app1319/)  -0.054 1.587  -0.054 1.510  -0.054 1.434  -0.054 1.358  0.015 1.350  0.092 1.350  0.168 1.350  0.183 1.289  0.183 1.212  0.183 1.136  0.183 1.060  0.183 0.983  0.183 0.907  0.183 0.831  0.183 0.754  0.183 0.678  0.183 0.602  0.183 0.525  0.183 0.449  0.183 0.373  0.183 0.297  0.183 0.220  0.183 0.144  0.183 0.068  0.183 -0.009  0.183 -0.085  0.183 -0.161  0.183 -0.238  0.175 -0.311  0.121 -0.365  0.067 -0.419  0.013 -0.473  -0.041 -0.527  -0.054 -0.598  -0.054 -0.674  -0.054 -0.750  -0.090 -0.812  -0.144 -0.866  -0.197 -0.920  -0.251 -0.974  -0.290 -1.034  -0.290 -1.110  -0.290 -1.187  -0.290 -1.263  -0.290 -1.339  -0.290 -1.416  -0.297 -1.485  -0.374 -1.485  -0.450 -1.485  -0.526 -1.485
3#app#app13#app1319/(  0.458 1.403  0.392 1.470  0.325 1.536  0.279 1.554  0.279 1.461  0.279 1.367  0.279 1.273  0.279 1.179  0.279 1.086  0.226 1.045  0.132 1.045  0.100 0.984  0.100 0.890  0.050 0.817  -0.016 0.751  -0.079 0.683  -0.079 0.589  -0.088 0.499  -0.154 0.433  -0.221 0.367  -0.258 0.289  -0.258 0.195  -0.293 0.116  -0.359 0.049  -0.425 -0.017  -0.437 -0.106  -0.437 -0.200  -0.437 -0.293  -0.437 -0.387  -0.437 -0.481  -0.437 -0.574  -0.437 -0.668  -0.437 -0.762  -0.437 -0.855  -0.411 -0.923  -0.317 -0.923  -0.223 -0.923  -0.130 -0.923  -0.079 -0.966  -0.079 -1.060  -0.027 -1.102  0.066 -1.102  0.160 -1.102  0.254 -1.102  0.347 -1.102  0.441 -1.102  0.535 -1.102  0.628 -1.102  0.722 -1.102  0.816 -1.102
