1c#app#app07#app0773/p  0.116 1.204  0.116 0.996  0.116 0.788  0.027 0.618  -0.008 0.424  -0.045 0.222  -0.111 0.025  -0.132 -0.179  -0.177 -0.377  -0.257 -0.566  -0.257 -0.774  -0.257 -0.982  -0.280 -1.180  -0.381 -1.346  -0.381 -1.554  -0.381 -1.762  -0.378 -1.836  -0.369 -1.629  -0.359 -1.421  -0.350 -1.213  -0.340 -1.006  -0.331 -0.798  -0.321 -0.590  -0.312 -0.383  -0.302 -0.175  -0.293 0.033  -0.284 0.240  -0.274 0.448  -0.265 0.656  -0.234 0.854  -0.132 1.020  -0.028 1.185  0.120 1.329  0.303 1.391  0.485 1.453  0.633 1.309  0.738 1.144  0.862 1.061  0.862 0.853  0.862 0.645  0.847 0.443  0.738 0.281  0.600 0.210  0.489 0.113  0.328 0.005  0.130 -0.039  -0.025 -0.169  -0.222 -0.234  -0.381 -0.328  -0.505 -0.411
1c#app#app07#app0773/r  -0.736 -1.558  -0.736 -1.464  -0.736 -1.369  -0.736 -1.274  -0.736 -1.180  -0.736 -1.085  -0.736 -0.990  -0.736 -0.895  -0.736 -0.801  -0.736 -0.706  -0.736 -0.611  -0.736 -0.517  -0.694 -0.439  -0.627 -0.372  -0.560 -0.305  -0.556 -0.212  -0.556 -0.118  -0.556 -0.023  -0.556 0.072  -0.556 0.166  -0.533 0.238  -0.438 0.238  -0.376 0.271  -0.376 0.365  -0.376 0.460  -0.376 0.555  -0.324 0.597  -0.230 0.597  -0.135 0.597  -0.040 0.597  0.055 0.597  0.149 0.597  0.244 0.597  0.339 0.597  0.433 0.597  0.528 0.597  0.623 0.597  0.701 0.581  0.701 0.487  0.727 0.418  0.822 0.418  0.916 0.418  1.011 0.418  1.106 0.418  1.200 0.418  1.279 0.379  1.346 0.312  1.413 0.245  1.505 0.238  1.599 0.238
1c#app#app07#app0773/e  -0.273 -0.450  -0.163 -0.340  -0.053 -0.230  0.057 -0.120  0.167 -0.010  0.276 0.100  0.416 0.137  0.510 0.199  0.531 0.333  0.686 0.333  0.706 0.469  0.706 0.625  0.706 0.780  0.706 0.935  0.706 1.091  0.575 1.116  0.420 1.116  0.265 1.116  0.109 1.116  -0.046 1.116  -0.201 1.116  -0.332 1.056  -0.442 0.947  -0.552 0.837  -0.662 0.727  -0.664 0.573  -0.776 0.529  -0.860 0.458  -0.860 0.302  -0.860 0.147  -0.860 -0.008  -0.860 -0.164  -0.860 -0.319  -0.860 -0.474  -0.860 -0.630  -0.720 -0.645  -0.594 -0.716  -0.484 -0.825  -0.374 -0.935  -0.261 -1.037  -0.105 -1.037  0.050 -1.037  0.205 -1.037  0.361 -1.037  0.516 -1.037  0.671 -1.037  0.827 -1.037  0.982 -1.037  1.137 -1.037  1.292 -1.037
1c#app#app07#app0773/s  0.930 1.285  0.839 1.195  0.744 1.116  0.616 1.116  0.488 1.116  0.360 1.116  0.232 1.116  0.104 1.116  -0.024 1.116  -0.134 1.070  -0.224 0.980  -0.315 0.889  -0.405 0.799  -0.524 0.776  -0.636 0.738  -0.727 0.647  -0.838 0.606  -0.937 0.578  -0.937 0.450  -0.856 0.356  -0.768 0.264  -0.768 0.136  -0.678 0.097  -0.564 0.064  -0.474 -0.027  -0.371 -0.101  -0.257 -0.158  -0.142 -0.215  -0.021 -0.242  0.100 -0.261  0.190 -0.351  0.293 -0.412  0.421 -0.412  0.511 -0.503  0.590 -0.598  0.590 -0.726  0.693 -0.751  0.760 -0.813  0.740 -0.921  0.612 -0.921  0.484 -0.921  0.420 -0.985  0.398 -1.091  0.270 -1.091  0.142 -1.091  0.033 -1.138  -0.057 -1.229  -0.172 -1.260  -0.300 -1.260  -0.428 -1.260
1c#app#app07#app0773/s  0.973 1.176  0.857 1.176  0.740 1.176  0.623 1.176  0.507 1.176  0.390 1.176  0.274 1.176  0.157 1.176  0.040 1.176  -0.043 1.097  -0.126 1.014  -0.232 0.989  -0.348 0.989  -0.465 0.989  -0.526 0.933  -0.526 0.817  -0.526 0.700  -0.526 0.584  -0.526 0.467  -0.526 0.351  -0.521 0.239  -0.404 0.239  -0.339 0.188  -0.339 0.072  -0.270 -0.017  -0.188 -0.099  -0.086 -0.135  0.030 -0.135  0.036 -0.246  0.064 -0.351  0.147 -0.434  0.232 -0.510  0.348 -0.510  0.411 -0.564  0.411 -0.681  0.481 -0.768  0.564 -0.851  0.550 -0.933  0.468 -1.015  0.375 -1.072  0.258 -1.072  0.142 -1.072  0.028 -1.080  -0.054 -1.163  -0.137 -1.245  -0.247 -1.260  -0.364 -1.260  -0.480 -1.260  -0.597 -1.260  -0.713 -1.260
1c#app#app07#app0773/e  -0.219 -0.237  -0.063 -0.237  0.094 -0.237  0.216 -0.203  0.261 -0.092  0.400 -0.052  0.513 0.052  0.650 0.072  0.672 0.219  0.782 0.329  0.892 0.440  0.939 0.576  0.939 0.733  0.939 0.889  0.851 1.008  0.719 1.065  0.563 1.065  0.407 1.065  0.251 1.065  0.095 1.065  -0.062 1.065  -0.176 0.964  -0.286 0.853  -0.405 0.755  -0.545 0.685  -0.688 0.631  -0.818 0.590  -0.888 0.450  -0.942 0.307  -0.963 0.155  -1.033 0.016  -1.087 -0.127  -1.087 -0.283  -1.046 -0.423  -0.942 -0.536  -0.921 -0.671  -0.765 -0.671  -0.622 -0.702  -0.512 -0.812  -0.357 -0.816  -0.206 -0.828  -0.096 -0.939  0.051 -0.961  0.207 -0.961  0.363 -0.961  0.515 -0.971  0.626 -1.081  0.772 -1.105  0.928 -1.105  1.084 -1.105
1c#app#app07#app0773/d  -0.037 -0.440  -0.119 -0.341  -0.299 -0.341  -0.479 -0.341  -0.622 -0.431  -0.750 -0.559  -0.877 -0.686  -1.005 -0.814  -1.027 -0.985  -1.027 -1.166  -0.912 -1.231  -0.731 -1.231  -0.603 -1.105  -0.476 -0.977  -0.319 -0.920  -0.235 -0.774  -0.134 -0.636  -0.024 -0.498  0.033 -0.327  0.062 -0.151  0.175 -0.015  0.256 0.146  0.260 0.326  0.329 0.490  0.359 0.663  0.401 0.833  0.457 1.000  0.474 1.177  0.555 1.338  0.556 1.518  0.513 1.681  0.359 1.734  0.321 1.563  0.240 1.402  0.161 1.240  0.161 1.060  0.087 0.897  0.062 0.722  0.062 0.542  0.062 0.362  0.062 0.181  0.062 0.001  0.062 -0.179  0.114 -0.347  0.215 -0.494  0.343 -0.622  0.475 -0.737  0.656 -0.737  0.791 -0.854  0.952 -0.935
1c#app#app07#app0773/t  -1.012 -1.393  -1.012 -1.152  -0.884 -1.013  -0.713 -0.842  -0.543 -0.671  -0.401 -0.477  -0.248 -0.292  -0.079 -0.119  0.045 0.085  0.199 0.268  0.337 0.462  0.477 0.655  0.585 0.871  0.693 1.087  0.782 1.310  0.841 1.544  0.908 1.729  0.694 1.663  0.534 1.483  0.389 1.290  0.227 1.111  0.057 0.941  -0.050 0.730  -0.160 0.517  -0.276 0.308  -0.359 0.081  -0.493 -0.115  -0.505 -0.352  -0.505 -0.593  -0.363 -0.776  -0.193 -0.947  0.004 -1.056  0.210 -1.140  0.443 -1.160  0.642 -1.292  0.528 -1.169  0.352 -1.004  0.176 -0.839  0.001 -0.673  -0.175 -0.508  -0.351 -0.342  -0.527 -0.177  -0.703 -0.011  -0.611 0.115  -0.407 0.210  -0.175 0.249  0.056 0.294  0.284 0.352  0.519 0.379  0.761 0.379
1c#app#app07#app0773/h  0.564 1.910  0.564 1.804  0.564 1.698  0.564 1.593  0.499 1.514  0.441 1.429  0.407 1.329  0.374 1.229  0.339 1.129  0.292 1.035  0.245 0.941  0.198 0.846  0.150 0.752  0.103 0.657  0.056 0.563  0.006 0.470  -0.069 0.395  -0.126 0.309  -0.174 0.214  -0.221 0.120  -0.268 0.025  -0.315 -0.069  -0.389 -0.145  -0.463 -0.220  -0.538 -0.294  -0.585 -0.389  -0.632 -0.483  -0.648 -0.585  -0.648 -0.691  -0.648 -0.796  -0.648 -0.902  -0.597 -0.956  -0.491 -0.956  -0.428 -0.914  -0.390 -0.846  -0.294 -0.822  -0.220 -0.748  -0.145 -0.673  -0.063 -0.608  0.031 -0.561  0.126 -0.515  0.232 -0.515  0.233 -0.619  0.304 -0.695  0.344 -0.784  0.363 -0.885  0.411 -0.980  0.463 -1.066  0.564 -1.071  0.564 -1.176
1c#app#app07#app0773/e  -0.002 0.243  0.132 0.243  0.135 0.373  0.262 0.380  0.359 0.467  0.409 0.580  0.469 0.654  0.586 0.694  0.680 0.788  0.775 0.883  0.819 0.998  0.752 1.064  0.619 1.064  0.485 1.064  0.352 1.064  0.224 1.040  0.105 0.981  -0.014 0.919  -0.125 0.845  -0.236 0.771  -0.347 0.697  -0.451 0.615  -0.546 0.520  -0.640 0.426  -0.717 0.319  -0.776 0.199  -0.844 0.085  -0.938 -0.009  -0.959 -0.134  -0.959 -0.267  -0.959 -0.401  -0.894 -0.507  -0.823 -0.611  -0.793 -0.715  -0.667 -0.733  -0.573 -0.828  -0.478 -0.922  -0.372 -0.988  -0.239 -0.988  -0.105 -0.988  0.028 -0.988  0.162 -0.988  0.295 -0.988  0.429 -0.988  0.562 -0.988  0.696 -0.988  0.829 -0.988  0.963 -0.988  1.096 -0.988  1.230 -0.988
1c#app#app07#app0773/e  -0.094 -0.127  -0.064 -0.006  0.087 -0.006  0.212 0.057  0.319 0.164  0.426 0.271  0.541 0.359  0.635 0.416  0.722 0.480  0.757 0.597  0.757 0.748  0.757 0.899  0.673 0.966  0.521 0.966  0.370 0.966  0.219 0.966  0.068 0.966  -0.084 0.966  -0.229 0.953  -0.336 0.846  -0.471 0.778  -0.601 0.703  -0.708 0.596  -0.815 0.489  -0.922 0.382  -1.029 0.275  -1.136 0.168  -1.188 0.038  -1.188 -0.113  -1.188 -0.264  -1.156 -0.402  -1.049 -0.509  -0.941 -0.613  -0.793 -0.628  -0.658 -0.696  -0.516 -0.735  -0.368 -0.758  -0.221 -0.794  -0.074 -0.831  0.074 -0.856  0.225 -0.856  0.376 -0.856  0.528 -0.856  0.679 -0.856  0.809 -0.804  0.931 -0.735  1.082 -0.735  1.233 -0.735  1.343 -0.634  1.486 -0.613
