3#app#app33#app3324/S  0.053 0.630  0.053 0.781  0.053 0.932  0.089 1.068  0.092 1.132  -0.059 1.132  -0.192 1.088  -0.319 1.031  -0.434 0.945  -0.470 0.809  -0.577 0.702  -0.649 0.581  -0.749 0.530  -0.785 0.394  -0.892 0.287  -0.950 0.161  -1.051 0.110  -0.982 0.028  -0.931 0.128  -0.780 0.128  -0.642 0.182  -0.516 0.262  -0.392 0.329  -0.253 0.377  -0.114 0.429  0.037 0.429  0.188 0.429  0.339 0.429  0.479 0.404  0.599 0.329  0.722 0.261  0.829 0.155  0.865 0.019  0.956 -0.095  0.956 -0.246  0.956 -0.397  0.922 -0.540  0.855 -0.675  0.819 -0.811  0.712 -0.918  0.655 -1.045  0.569 -1.160  0.463 -1.267  0.356 -1.374  0.206 -1.376  0.055 -1.376  -0.096 -1.376  -0.247 -1.376  -0.348 -1.327  -0.449 -1.276
3#app#app33#app3324/e  -1.059 -0.567  -0.902 -0.567  -0.786 -0.470  -0.675 -0.359  -0.565 -0.249  -0.454 -0.138  -0.338 -0.040  -0.181 -0.040  -0.070 0.070  0.059 0.136  0.203 0.167  0.314 0.278  0.424 0.388  0.535 0.499  0.646 0.610  0.756 0.720  0.867 0.831  1.020 0.840  1.051 0.965  0.976 1.090  0.862 1.191  0.705 1.191  0.548 1.191  0.431 1.098  0.308 1.015  0.158 1.001  0.047 0.890  -0.089 0.840  -0.180 0.774  -0.212 0.631  -0.323 0.520  -0.434 0.410  -0.531 0.293  -0.531 0.137  -0.531 -0.020  -0.531 -0.176  -0.531 -0.333  -0.531 -0.490  -0.531 -0.646  -0.531 -0.803  -0.503 -0.948  -0.392 -1.058  -0.281 -1.169  -0.167 -1.271  -0.010 -1.271  0.102 -1.377  0.230 -1.447  0.387 -1.447  0.543 -1.447  0.700 -1.447
3#app#app33#app3324/e  -0.849 0.095  -0.739 0.205  -0.606 0.260  -0.451 0.260  -0.313 0.217  -0.203 0.107  -0.053 0.095  0.103 0.095  0.258 0.095  0.414 0.095  0.569 0.095  0.725 0.095  0.796 0.180  0.796 0.335  0.796 0.491  0.796 0.646  0.747 0.753  0.631 0.793  0.631 0.948  0.610 1.082  0.467 1.094  0.463 1.247  0.308 1.247  0.152 1.247  0.038 1.147  -0.072 1.037  -0.182 0.927  -0.292 0.817  -0.356 0.688  -0.356 0.533  -0.356 0.377  -0.382 0.233  -0.492 0.123  -0.520 -0.021  -0.520 -0.176  -0.520 -0.332  -0.520 -0.487  -0.520 -0.643  -0.520 -0.798  -0.520 -0.954  -0.483 -1.094  -0.373 -1.204  -0.356 -1.352  -0.234 -1.385  -0.111 -1.465  0.009 -1.550  0.165 -1.550  0.320 -1.550  0.476 -1.550  0.631 -1.550
3#app#app33#app3324/?  -0.680 0.282  -0.680 0.393  -0.680 0.503  -0.680 0.614  -0.647 0.711  -0.569 0.789  -0.490 0.867  -0.412 0.945  -0.313 0.973  -0.227 1.032  -0.148 1.110  -0.063 1.171  0.048 1.171  0.159 1.171  0.269 1.171  0.359 1.120  0.437 1.041  0.505 0.959  0.505 0.848  0.478 0.749  0.406 0.668  0.391 0.563  0.313 0.485  0.303 0.381  0.197 0.370  0.119 0.291  0.041 0.213  0.011 0.115  -0.069 0.084  -0.088 -0.008  -0.087 -0.118  -0.062 -0.226  -0.037 -0.334  -0.012 -0.442  0.013 -0.550  0.038 -0.658  0.063 -0.765  0.088 -0.873  0.113 -0.981  0.137 -1.089  0.162 -1.197  0.187 -1.305  0.209 -1.413  0.209 -1.524  0.169 -1.595  0.059 -1.595  0.011 -1.532  -0.064 -1.496  -0.001 -1.496  0.011 -1.595
3#app#app33#app3324/\"  -1.278 1.269  -1.133 1.269  -0.987 1.269  -0.841 1.269  -0.695 1.269  -0.629 1.189  -0.629 1.043  -0.629 0.897  -0.544 0.837  -0.413 0.822  -0.413 0.676  -0.413 0.530  -0.413 0.384  -0.413 0.238  -0.413 0.092  -0.413 -0.054  -0.413 -0.200  -0.484 -0.316  -0.587 -0.419  -0.629 -0.548  -0.629 -0.694  -0.629 -0.840  -0.629 -0.986  -0.614 -1.097  -0.504 -1.001  -0.394 -0.905  -0.284 -0.809  -0.174 -0.713  -0.065 -0.617  0.045 -0.520  0.155 -0.424  0.265 -0.328  0.375 -0.232  0.484 -0.136  0.594 -0.040  0.704 0.056  0.814 0.152  0.924 0.248  1.033 0.344  1.102 0.348  1.102 0.203  1.102 0.057  1.102 -0.089  1.102 -0.235  0.966 -0.245  0.885 -0.311  0.885 -0.457  0.885 -0.603  0.885 -0.748  0.885 -0.894
3#app#app33#app3324/s  0.321 0.953  0.299 1.062  0.168 1.062  0.037 1.062  -0.094 1.062  -0.225 1.062  -0.349 1.043  -0.441 0.951  -0.534 0.858  -0.658 0.842  -0.751 0.750  -0.875 0.734  -0.968 0.641  -0.982 0.516  -0.956 0.410  -0.825 0.410  -0.694 0.410  -0.563 0.410  -0.432 0.410  -0.301 0.410  -0.170 0.410  -0.040 0.410  0.091 0.410  0.222 0.410  0.352 0.400  0.476 0.359  0.600 0.317  0.705 0.244  0.755 0.134  0.813 0.027  0.864 -0.083  0.864 -0.214  0.864 -0.345  0.864 -0.476  0.835 -0.595  0.743 -0.688  0.650 -0.781  0.630 -0.898  0.506 -0.940  0.381 -0.981  0.273 -1.049  0.181 -1.141  0.082 -1.218  -0.045 -1.238  -0.162 -1.297  -0.286 -1.327  -0.417 -1.327  -0.516 -1.250  -0.634 -1.218  -0.656 -1.110
3#app#app33#app3324/c  0.276 1.160  0.276 1.256  0.276 1.352  0.231 1.403  0.140 1.390  0.072 1.322  -0.007 1.282  -0.089 1.268  -0.089 1.172  -0.149 1.100  -0.213 1.030  -0.244 0.939  -0.274 0.848  -0.305 0.757  -0.338 0.668  -0.406 0.600  -0.467 0.527  -0.510 0.441  -0.553 0.355  -0.575 0.264  -0.575 0.168  -0.575 0.072  -0.575 -0.024  -0.575 -0.120  -0.575 -0.216  -0.575 -0.312  -0.575 -0.408  -0.516 -0.480  -0.454 -0.550  -0.454 -0.646  -0.398 -0.719  -0.330 -0.787  -0.262 -0.855  -0.188 -0.907  -0.092 -0.907  0.004 -0.907  0.100 -0.907  0.197 -0.907  0.293 -0.907  0.389 -0.907  0.485 -0.907  0.581 -0.907  0.666 -0.881  0.734 -0.813  0.819 -0.785  0.915 -0.785  1.009 -0.782  1.077 -0.714  1.153 -0.664  1.249 -0.664
3#app#app33#app3324/r  -0.410 0.770  -0.410 0.639  -0.410 0.508  -0.410 0.377  -0.410 0.246  -0.410 0.115  -0.410 -0.016  -0.410 -0.147  -0.383 -0.271  -0.324 -0.388  -0.269 -0.506  -0.269 -0.637  -0.269 -0.768  -0.269 -0.899  -0.269 -1.030  -0.269 -1.161  -0.269 -1.292  -0.214 -1.400  -0.128 -1.478  -0.128 -1.347  -0.257 -1.346  -0.269 -1.227  -0.269 -1.096  -0.269 -0.965  -0.269 -0.834  -0.269 -0.703  -0.269 -0.572  -0.269 -0.441  -0.257 -0.312  -0.225 -0.185  -0.194 -0.058  -0.162 0.069  -0.130 0.196  -0.073 0.314  -0.015 0.431  0.044 0.548  0.102 0.665  0.154 0.784  0.157 0.914  0.250 1.006  0.342 1.099  0.435 1.191  0.565 1.193  0.696 1.193  0.827 1.193  0.958 1.193  1.089 1.193  1.197 1.137  1.293 1.052  1.423 1.052
3#app#app33#app3324/e  -0.266 0.233  -0.140 0.233  -0.118 0.336  -0.037 0.380  0.029 0.439  0.066 0.527  0.191 0.527  0.316 0.527  0.407 0.611  0.502 0.690  0.614 0.746  0.726 0.802  0.764 0.903  0.824 0.969  0.912 1.006  0.896 1.116  0.771 1.116  0.658 1.063  0.546 1.007  0.442 0.940  0.353 0.852  0.241 0.822  0.149 0.768  0.093 0.656  0.037 0.544  -0.047 0.452  -0.135 0.363  -0.224 0.275  -0.312 0.186  -0.401 0.098  -0.461 -0.011  -0.517 -0.123  -0.560 -0.238  -0.565 -0.361  -0.653 -0.449  -0.707 -0.552  -0.707 -0.677  -0.707 -0.803  -0.707 -0.928  -0.630 -1.021  -0.542 -1.109  -0.453 -1.198  -0.413 -1.306  -0.367 -1.386  -0.249 -1.402  -0.160 -1.491  -0.052 -1.533  0.073 -1.533  0.198 -1.533  0.323 -1.533
3#app#app33#app3324/e  -1.384 -0.022  -1.265 -0.141  -1.122 -0.202  -0.954 -0.202  -0.803 -0.161  -0.684 -0.043  -0.524 -0.022  -0.356 -0.022  -0.222 0.059  -0.094 0.158  0.074 0.158  0.242 0.158  0.410 0.158  0.578 0.158  0.703 0.263  0.840 0.339  1.008 0.339  1.139 0.376  1.139 0.544  1.139 0.712  1.137 0.879  0.969 0.879  0.801 0.879  0.778 1.024  0.645 1.059  0.477 1.059  0.341 0.982  0.215 0.879  0.050 0.871  -0.069 0.753  -0.123 0.607  -0.203 0.519  -0.303 0.451  -0.303 0.282  -0.347 0.158  -0.483 0.126  -0.483 -0.042  -0.483 -0.210  -0.483 -0.378  -0.483 -0.546  -0.483 -0.714  -0.483 -0.882  -0.483 -1.051  -0.401 -1.185  -0.282 -1.304  -0.163 -1.423  -0.012 -1.463  0.127 -1.533  0.250 -1.643  0.418 -1.643
3#app#app33#app3324/c  0.373 0.787  0.438 0.851  0.492 0.920  0.492 1.011  0.492 1.102  0.492 1.193  0.472 1.264  0.381 1.264  0.290 1.264  0.199 1.264  0.123 1.240  0.082 1.158  0.041 1.077  0.000 0.995  -0.040 0.914  -0.081 0.832  -0.132 0.758  -0.197 0.694  -0.223 0.614  -0.235 0.525  -0.275 0.444  -0.316 0.362  -0.342 0.277  -0.344 0.187  -0.385 0.105  -0.426 0.024  -0.462 -0.059  -0.462 -0.150  -0.462 -0.241  -0.462 -0.332  -0.462 -0.424  -0.462 -0.515  -0.404 -0.582  -0.342 -0.647  -0.342 -0.739  -0.305 -0.819  -0.255 -0.894  -0.204 -0.970  -0.154 -1.046  -0.103 -1.121  -0.012 -1.121  0.079 -1.121  0.160 -1.146  0.224 -1.211  0.298 -1.262  0.380 -1.303  0.461 -1.344  0.549 -1.359  0.640 -1.359  0.731 -1.359
