2#apb#apb13#app1357/a  -0.191 0.072  -0.079 0.193  -0.030 0.364  0.051 0.530  -0.025 0.684  -0.172 0.790  -0.357 0.796  -0.526 0.723  -0.688 0.631  -0.863 0.577  -0.948 0.415  -1.051 0.264  -1.124 0.094  -1.227 -0.061  -1.306 -0.228  -1.374 -0.401  -1.425 -0.576  -1.352 -0.741  -1.190 -0.768  -1.011 -0.720  -0.836 -0.657  -0.664 -0.586  -0.498 -0.503  -0.340 -0.406  -0.185 -0.303  -0.042 -0.184  0.101 -0.065  0.238 0.061  0.374 0.187  0.511 0.313  0.649 0.438  0.777 0.572  0.868 0.732  0.898 0.910  0.778 0.880  0.651 0.744  0.540 0.595  0.457 0.429  0.398 0.254  0.382 0.071  0.403 -0.113  0.440 -0.293  0.559 -0.436  0.690 -0.567  0.847 -0.658  1.023 -0.716  1.202 -0.770  1.375 -0.837  1.555 -0.867  1.741 -0.867
2#apb#apb13#app1357/b  0.895 1.597  0.870 1.660  0.792 1.530  0.714 1.399  0.635 1.269  0.566 1.135  0.514 0.992  0.462 0.849  0.405 0.708  0.347 0.567  0.288 0.427  0.231 0.286  0.175 0.145  0.122 0.002  0.080 -0.144  0.024 -0.284  -0.001 -0.426  0.105 -0.387  0.205 -0.274  0.310 -0.164  0.389 -0.034  0.444 0.107  0.492 0.251  0.513 0.400  0.488 0.549  0.383 0.612  0.237 0.573  0.101 0.505  -0.037 0.442  -0.176 0.380  -0.304 0.301  -0.420 0.202  -0.535 0.103  -0.651 0.004  -0.767 -0.094  -0.886 -0.189  -0.925 -0.327  -0.942 -0.478  -0.931 -0.629  -0.905 -0.778  -0.837 -0.914  -0.765 -1.048  -0.690 -1.180  -0.577 -1.278  -0.449 -1.358  -0.299 -1.383  -0.149 -1.405  0.002 -1.424  0.153 -1.407  0.304 -1.391
2#apb#apb13#app1357/c  0.156 0.545  0.161 0.681  0.189 0.770  0.156 0.711  0.195 0.585  0.286 0.481  0.407 0.424  0.530 0.460  0.648 0.532  0.763 0.609  0.856 0.707  0.933 0.821  0.946 0.956  0.824 0.972  0.688 0.961  0.560 0.910  0.432 0.858  0.304 0.805  0.177 0.751  0.050 0.696  -0.076 0.642  -0.195 0.571  -0.313 0.500  -0.432 0.429  -0.550 0.357  -0.667 0.284  -0.783 0.210  -0.900 0.136  -0.986 0.031  -1.062 -0.084  -1.116 -0.211  -1.145 -0.338  -1.084 -0.461  -0.996 -0.564  -0.892 -0.655  -0.786 -0.744  -0.665 -0.810  -0.544 -0.876  -0.421 -0.938  -0.286 -0.967  -0.151 -0.996  -0.016 -1.025  0.121 -1.040  0.259 -1.049  0.396 -1.057  0.534 -1.066  0.670 -1.089  0.806 -1.115  0.942 -1.140  1.077 -1.165
2#apb#apb13#app1357/d  0.905 1.608  0.825 1.707  0.732 1.568  0.639 1.428  0.546 1.289  0.498 1.129  0.454 0.967  0.413 0.804  0.378 0.640  0.343 0.476  0.314 0.311  0.299 0.144  0.284 -0.023  0.282 -0.191  0.282 -0.358  0.282 -0.526  0.262 -0.692  0.245 -0.858  0.282 -0.853  0.328 -0.695  0.355 -0.532  0.355 -0.364  0.355 -0.197  0.355 -0.029  0.355 0.139  0.323 0.301  0.264 0.458  0.154 0.576  0.022 0.679  -0.115 0.757  -0.278 0.717  -0.440 0.676  -0.572 0.589  -0.669 0.452  -0.745 0.304  -0.808 0.149  -0.863 -0.009  -0.900 -0.173  -0.923 -0.337  -0.905 -0.504  -0.881 -0.670  -0.840 -0.832  -0.769 -0.980  -0.662 -1.108  -0.522 -1.197  -0.370 -1.268  -0.213 -1.326  -0.052 -1.367  0.115 -1.382  0.282 -1.398
2#apb#apb13#app1357/e  0.224 0.666  0.144 0.753  -0.006 0.680  -0.099 0.538  -0.214 0.420  -0.255 0.259  -0.185 0.113  -0.055 0.001  0.055 -0.130  0.164 -0.250  0.335 -0.269  0.505 -0.258  0.663 -0.195  0.737 -0.044  0.741 0.127  0.741 0.299  0.711 0.467  0.666 0.633  0.624 0.800  0.544 0.951  0.463 1.102  0.360 1.222  0.191 1.241  0.020 1.222  -0.137 1.162  -0.285 1.074  -0.410 0.960  -0.516 0.824  -0.618 0.686  -0.717 0.545  -0.803 0.398  -0.867 0.238  -0.908 0.073  -0.922 -0.099  -0.927 -0.269  -0.882 -0.435  -0.831 -0.599  -0.745 -0.748  -0.658 -0.896  -0.531 -1.004  -0.382 -1.091  -0.230 -1.167  -0.061 -1.201  0.108 -1.234  0.278 -1.251  0.450 -1.251  0.622 -1.251  0.794 -1.259  0.966 -1.270  1.137 -1.282
2#apb#apb13#app1357/f  0.366 0.049  0.305 0.153  0.333 0.075  0.341 -0.090  0.227 -0.078  0.066 -0.043  -0.088 0.013  -0.172 0.156  -0.260 0.297  -0.357 0.431  -0.401 0.584  -0.413 0.750  -0.376 0.911  -0.313 1.060  -0.206 1.187  -0.098 1.313  0.011 1.438  0.149 1.527  0.312 1.515  0.449 1.431  0.536 1.290  0.604 1.141  0.638 0.979  0.672 0.817  0.661 0.652  0.646 0.487  0.628 0.322  0.567 0.168  0.507 0.013  0.446 -0.141  0.374 -0.290  0.302 -0.440  0.230 -0.589  0.153 -0.736  0.066 -0.877  -0.021 -1.018  -0.119 -1.150  -0.246 -1.257  -0.373 -1.363  -0.504 -1.465  -0.654 -1.530  -0.772 -1.431  -0.801 -1.269  -0.771 -1.106  -0.710 -0.953  -0.633 -0.807  -0.516 -0.690  -0.396 -0.575  -0.261 -0.479  -0.126 -0.382
2#apb#apb13#app1357/g  -0.864 0.198  -0.761 0.354  -0.560 0.446  -0.358 0.536  -0.176 0.661  0.011 0.777  0.209 0.873  0.402 0.980  0.539 1.117  0.376 1.190  0.186 1.101  -0.011 1.011  -0.219 0.944  -0.406 0.826  -0.549 0.660  -0.566 0.447  -0.399 0.331  -0.181 0.301  0.036 0.329  0.243 0.397  0.424 0.524  0.605 0.651  0.779 0.787  0.908 0.961  0.926 0.875  0.868 0.663  0.790 0.456  0.703 0.253  0.608 0.054  0.508 -0.143  0.393 -0.332  0.278 -0.521  0.162 -0.709  0.043 -0.895  -0.075 -1.082  -0.206 -1.259  -0.349 -1.427  -0.512 -1.573  -0.699 -1.690  -0.889 -1.656  -0.884 -1.436  -0.796 -1.232  -0.682 -1.048  -0.526 -0.891  -0.361 -0.745  -0.182 -0.616  -0.003 -0.487  0.201 -0.402  0.406 -0.320  0.611 -0.238
2#apb#apb13#app1357/h  -0.928 -0.793  -1.109 -0.792  -1.131 -0.805  -0.948 -0.809  -0.763 -0.738  -0.584 -0.659  -0.435 -0.529  -0.304 -0.380  -0.176 -0.229  -0.053 -0.074  0.068 0.083  0.171 0.251  0.259 0.428  0.339 0.609  0.390 0.800  0.430 0.993  0.430 1.191  0.410 1.388  0.367 1.579  0.252 1.740  0.070 1.780  0.001 1.605  -0.034 1.410  -0.075 1.216  -0.128 1.025  -0.181 0.835  -0.217 0.640  -0.251 0.445  -0.275 0.248  -0.294 0.051  -0.313 -0.146  -0.338 -0.343  -0.364 -0.539  -0.345 -0.736  -0.339 -0.934  -0.296 -0.820  -0.202 -0.651  -0.070 -0.503  0.086 -0.383  0.249 -0.271  0.415 -0.163  0.600 -0.102  0.735 -0.185  0.749 -0.379  0.709 -0.572  0.661 -0.765  0.660 -0.963  0.660 -1.161  0.681 -1.357  0.763 -1.536
2#apb#apb13#app1357/i  -1.398 -1.124  -1.305 -1.123  -1.164 -1.077  -1.016 -1.056  -0.896 -0.969  -0.787 -0.869  -0.691 -0.755  -0.608 -0.632  -0.545 -0.499  -0.511 -0.354  -0.460 -0.217  -0.378 -0.093  -0.311 0.040  -0.249 0.175  -0.188 0.310  -0.135 0.449  -0.176 0.388  -0.244 0.256  -0.336 0.138  -0.419 0.016  -0.500 -0.109  -0.485 -0.247  -0.401 -0.366  -0.288 -0.463  -0.159 -0.539  -0.031 -0.614  0.115 -0.624  0.264 -0.624  0.413 -0.624  0.562 -0.624  0.692 -0.670  0.755 -0.648  0.740 -0.500  0.724 -0.352  0.709 -0.204  0.694 -0.056  0.679 0.093  0.664 0.241  0.649 0.389  0.634 0.537  0.619 0.685  0.604 0.833  0.589 0.981  0.574 1.129  0.559 1.278  0.543 1.426  0.528 1.574  0.513 1.722  0.414 1.703  0.441 1.669
2#apb#apb13#app1357/j  -0.527 0.062  -0.620 0.085  -0.528 0.126  -0.400 0.200  -0.286 0.295  -0.175 0.394  -0.071 0.501  0.029 0.611  0.124 0.725  0.209 0.847  0.294 0.970  0.362 1.101  0.429 1.235  0.505 1.362  0.577 1.492  0.651 1.565  0.651 1.416  0.651 1.267  0.640 1.119  0.618 0.972  0.596 0.824  0.568 0.678  0.530 0.534  0.493 0.390  0.455 0.246  0.405 0.106  0.350 -0.032  0.295 -0.170  0.240 -0.309  0.180 -0.445  0.116 -0.579  0.051 -0.713  -0.013 -0.848  -0.086 -0.977  -0.167 -1.102  -0.247 -1.228  -0.345 -1.339  -0.446 -1.448  -0.575 -1.509  -0.679 -1.436  -0.712 -1.295  -0.712 -1.146  -0.690 -1.001  -0.647 -0.858  -0.589 -0.722  -0.508 -0.597  -0.428 -0.472  -0.313 -0.381  -0.189 -0.298  -0.065 -0.216
2#apb#apb13#app1357/k  -0.907 -0.812  -1.085 -0.946  -1.144 -0.943  -0.931 -0.792  -0.696 -0.665  -0.497 -0.490  -0.308 -0.302  -0.113 -0.121  0.082 0.061  0.254 0.265  0.417 0.475  0.536 0.714  0.622 0.966  0.660 1.227  0.660 1.493  0.590 1.725  0.389 1.801  0.210 1.607  0.064 1.386  -0.052 1.146  -0.159 0.902  -0.255 0.653  -0.345 0.402  -0.452 0.157  -0.559 -0.087  -0.679 -0.325  -0.745 -0.579  -0.789 -0.841  -0.715 -0.768  -0.631 -0.515  -0.535 -0.266  -0.405 -0.036  -0.248 0.179  -0.065 0.372  0.163 0.500  0.427 0.516  0.640 0.357  0.781 0.132  0.800 -0.107  0.708 -0.350  0.537 -0.553  0.317 -0.659  0.055 -0.627  -0.187 -0.565  -0.027 -0.759  0.202 -0.886  0.459 -0.955  0.720 -1.007  0.986 -1.032  1.252 -1.048
