1b#tos#f2#f2064063/C  1.004 0.712  1.004 0.818  0.962 0.914  0.897 0.996  0.820 1.065  0.714 1.065  0.607 1.065  0.501 1.065  0.395 1.065  0.290 1.062  0.189 1.029  0.087 1.006  -0.012 0.990  -0.101 0.947  -0.170 0.873  -0.233 0.788  -0.298 0.704  -0.364 0.623  -0.415 0.531  -0.503 0.472  -0.585 0.410  -0.585 0.304  -0.585 0.198  -0.585 0.092  -0.601 -0.006  -0.690 -0.064  -0.762 -0.132  -0.762 -0.238  -0.762 -0.344  -0.762 -0.450  -0.671 -0.466  -0.576 -0.483  -0.529 -0.578  -0.526 -0.684  -0.447 -0.741  -0.389 -0.820  -0.355 -0.920  -0.262 -0.944  -0.159 -0.970  -0.056 -0.995  0.050 -0.996  0.156 -0.996  0.262 -0.996  0.368 -0.996  0.474 -0.996  0.580 -0.996  0.686 -0.996  0.792 -0.996  0.898 -0.996  1.004 -0.996
1b#tos#f2#f2064063/F  -0.036 0.806  -0.249 0.806  -0.462 0.806  -0.399 0.806  -0.213 0.897  -0.001 0.897  0.212 0.902  0.420 0.942  0.629 0.972  0.840 0.988  1.053 0.988  1.266 0.988  1.092 0.968  0.880 0.947  0.668 0.926  0.457 0.905  0.244 0.897  0.101 0.827  -0.015 0.711  -0.089 0.525  -0.222 0.359  -0.309 0.168  -0.357 -0.029  -0.490 -0.195  -0.558 -0.396  -0.625 -0.598  -0.628 -0.811  -0.702 -1.003  -0.810 -1.180  -0.855 -1.347  -0.855 -1.560  -0.807 -1.544  -0.721 -1.349  -0.636 -1.154  -0.550 -0.959  -0.464 -0.764  -0.378 -0.570  -0.508 -0.515  -0.444 -0.514  -0.254 -0.433  -0.042 -0.424  0.165 -0.378  0.378 -0.378  0.556 -0.344  0.688 -0.180  0.826 -0.018  0.626 -0.054  0.556 -0.237  0.511 -0.439  0.511 -0.652
1b#tos#f2#f2064063/H  0.046 1.034  -0.226 1.034  -0.347 0.994  -0.492 0.799  -0.571 0.546  -0.691 0.337  -0.740 0.091  -0.760 -0.175  -0.892 -0.412  -1.033 -0.628  -1.077 -0.873  -1.077 -1.145  -1.016 -1.251  -0.841 -1.042  -0.665 -0.834  -0.490 -0.625  -0.315 -0.417  -0.140 -0.208  0.035 0.000  0.210 0.209  0.385 0.417  0.560 0.626  0.736 0.834  0.911 1.043  1.086 1.251  1.261 1.460  1.112 1.409  1.107 1.138  0.975 0.902  0.889 0.644  0.817 0.389  0.690 0.148  0.607 -0.099  0.512 -0.343  0.370 -0.574  0.326 -0.839  0.326 -1.111  0.248 -1.282  0.117 -1.043  -0.013 -0.804  -0.143 -0.565  -0.274 -0.326  -0.405 -0.089  -0.677 -0.089  -0.754 -0.089  -0.482 -0.089  -0.210 -0.089  0.062 -0.089  0.335 -0.089  0.607 -0.089
1b#tos#f2#f2064063/I  0.199 0.890  0.068 0.890  -0.064 0.890  -0.195 0.890  -0.195 0.890  -0.064 0.890  0.068 0.890  0.200 0.890  0.331 0.890  0.459 0.915  0.587 0.936  0.718 0.936  0.850 0.936  0.981 0.936  0.945 0.918  0.817 0.889  0.688 0.861  0.605 0.798  0.473 0.798  0.356 0.749  0.238 0.706  0.120 0.673  0.027 0.580  -0.033 0.473  -0.077 0.360  -0.092 0.230  -0.123 0.102  -0.123 -0.029  -0.144 -0.155  -0.215 -0.265  -0.215 -0.396  -0.215 -0.528  -0.317 -0.605  -0.381 -0.712  -0.399 -0.841  -0.429 -0.965  -0.445 -1.093  -0.535 -1.135  -0.666 -1.135  -0.798 -1.135  -0.893 -1.181  -0.761 -1.181  -0.629 -1.181  -0.498 -1.181  -0.366 -1.181  -0.235 -1.181  -0.103 -1.181  0.028 -1.181  0.160 -1.181  0.291 -1.181
1b#tos#f2#f2064063/M  -0.469 0.924  -0.597 0.906  -0.597 0.672  -0.597 0.439  -0.612 0.210  -0.673 -0.013  -0.683 -0.245  -0.683 -0.478  -0.683 -0.711  -0.683 -0.944  -0.683 -1.177  -0.683 -1.410  -0.662 -1.224  -0.638 -0.992  -0.615 -0.761  -0.591 -0.529  -0.567 -0.297  -0.544 -0.065  -0.520 0.167  -0.497 0.399  -0.473 0.630  -0.449 0.862  -0.426 1.094  -0.636 1.133  -0.554 0.924  -0.427 0.754  -0.399 0.528  -0.383 0.299  -0.297 0.101  -0.254 -0.125  -0.126 -0.229  -0.025 -0.362  0.147 -0.276  0.285 -0.166  0.432 -0.004  0.637 0.106  0.695 0.298  0.804 0.471  0.963 0.581  1.032 0.782  1.075 0.790  1.117 0.575  1.117 0.342  1.160 0.116  1.160 -0.117  1.160 -0.350  1.202 -0.573  1.203 -0.806  1.246 -1.029  1.289 -1.219
1b#tos#f2#f2064063/O  0.108 1.040  -0.036 1.072  -0.184 1.087  -0.334 1.087  -0.416 1.020  -0.443 0.897  -0.559 0.863  -0.559 0.713  -0.612 0.579  -0.704 0.462  -0.749 0.320  -0.749 0.170  -0.749 0.020  -0.767 -0.128  -0.797 -0.274  -0.797 -0.424  -0.797 -0.574  -0.738 -0.710  -0.702 -0.854  -0.630 -0.949  -0.538 -1.057  -0.417 -1.135  -0.287 -1.200  -0.137 -1.200  0.013 -1.200  0.163 -1.200  0.310 -1.180  0.407 -1.100  0.543 -1.046  0.624 -0.922  0.680 -0.796  0.680 -0.646  0.760 -0.554  0.860 -0.458  0.871 -0.310  0.871 -0.161  0.871 -0.011  0.871 0.139  0.865 0.288  0.823 0.428  0.761 0.516  0.642 0.573  0.585 0.706  0.441 0.738  0.338 0.838  0.220 0.897  0.070 0.897  -0.080 0.897  -0.230 0.897  -0.368 0.944
1b#tos#f2#f2064063/R  -0.830 1.153  -0.847 0.940  -0.769 0.702  -0.656 0.485  -0.656 0.221  -0.656 -0.043  -0.570 -0.290  -0.570 -0.554  -0.557 -0.817  -0.526 -1.078  -0.483 -1.324  -0.427 -1.265  -0.402 -1.003  -0.378 -0.740  -0.354 -0.477  -0.329 -0.215  -0.305 0.048  -0.281 0.311  -0.257 0.573  -0.232 0.836  -0.333 1.036  -0.526 1.120  -0.357 1.251  -0.096 1.283  0.168 1.283  0.432 1.283  0.688 1.239  0.873 1.117  0.991 0.945  0.991 0.681  0.961 0.430  0.845 0.211  0.675 0.036  0.557 -0.180  0.325 -0.259  0.112 -0.408  -0.134 -0.451  -0.398 -0.451  -0.644 -0.494  -0.417 -0.419  -0.165 -0.339  0.086 -0.260  0.037 -0.222  0.264 -0.305  0.366 -0.520  0.567 -0.689  0.747 -0.871  0.957 -1.025  1.177 -1.168  1.338 -1.318
1b#tos#f2#f2064063/T  -0.882 0.566  -1.024 0.566  -1.155 0.557  -1.260 0.521  -1.273 0.521  -1.131 0.521  -0.990 0.521  -0.849 0.521  -0.712 0.494  -0.574 0.475  -0.433 0.475  -0.297 0.447  -0.158 0.430  -0.017 0.430  0.124 0.430  0.265 0.430  0.406 0.430  0.548 0.430  0.689 0.430  0.830 0.430  0.971 0.430  1.112 0.430  1.074 0.521  0.933 0.535  0.793 0.550  0.653 0.565  0.512 0.580  0.372 0.594  0.231 0.609  0.090 0.612  -0.005 0.566  -0.019 0.438  0.014 0.301  0.027 0.162  0.027 0.020  0.027 -0.121  0.027 -0.262  0.027 -0.403  0.027 -0.544  0.049 -0.683  0.072 -0.822  0.072 -0.963  0.072 -1.104  0.072 -1.245  0.072 -1.387  0.072 -1.528  0.072 -1.669  0.118 -1.799  0.163 -1.930  0.163 -2.071
1b#tos#f2#f2064063/U  -0.634 1.164  -0.749 1.164  -0.822 1.122  -0.775 1.054  -0.775 0.939  -0.775 0.825  -0.775 0.710  -0.775 0.595  -0.775 0.480  -0.775 0.366  -0.761 0.252  -0.739 0.140  -0.701 0.032  -0.681 -0.078  -0.681 -0.192  -0.673 -0.305  -0.622 -0.408  -0.587 -0.514  -0.555 -0.619  -0.490 -0.714  -0.417 -0.802  -0.354 -0.897  -0.297 -0.963  -0.229 -1.039  -0.115 -1.039  -0.019 -1.086  0.095 -1.086  0.210 -1.085  0.291 -1.004  0.306 -0.895  0.374 -0.803  0.443 -0.712  0.495 -0.609  0.549 -0.508  0.618 -0.416  0.682 -0.322  0.709 -0.211  0.741 -0.101  0.777 0.008  0.814 0.117  0.819 0.231  0.819 0.346  0.819 0.460  0.819 0.575  0.840 0.687  0.866 0.799  0.866 0.913  0.866 1.028  0.866 1.143  0.866 1.258
1b#tos#f2#f2064063/V  -0.716 1.055  -0.841 1.055  -0.821 1.014  -0.719 0.952  -0.716 0.829  -0.676 0.713  -0.663 0.590  -0.663 0.465  -0.651 0.342  -0.605 0.226  -0.558 0.109  -0.518 -0.010  -0.479 -0.129  -0.453 -0.250  -0.451 -0.375  -0.430 -0.499  -0.410 -0.622  -0.391 -0.746  -0.373 -0.870  -0.355 -0.994  -0.295 -1.067  -0.295 -1.192  -0.295 -1.317  -0.215 -1.362  -0.100 -1.317  -0.051 -1.207  -0.011 -1.088  0.028 -0.969  0.068 -0.850  0.108 -0.731  0.175 -0.629  0.264 -0.541  0.302 -0.425  0.327 -0.302  0.351 -0.179  0.376 -0.056  0.411 0.063  0.458 0.180  0.518 0.286  0.618 0.361  0.703 0.444  0.703 0.569  0.771 0.672  0.846 0.772  0.861 0.893  0.898 1.007  0.966 1.112  0.966 1.237  0.966 1.362  1.071 1.423
1b#tos#f2#f2064063/Z  -0.106 0.899  -0.214 0.858  -0.364 0.858  -0.513 0.858  -0.663 0.858  -0.549 0.858  -0.399 0.858  -0.249 0.858  -0.100 0.858  0.041 0.901  0.183 0.940  0.333 0.940  0.482 0.940  0.632 0.940  0.782 0.940  0.931 0.940  1.040 0.899  0.929 0.825  0.793 0.774  0.657 0.717  0.575 0.594  0.469 0.489  0.409 0.359  0.287 0.289  0.218 0.157  0.097 0.072  0.030 -0.062  -0.084 -0.154  -0.209 -0.237  -0.317 -0.339  -0.412 -0.454  -0.513 -0.563  -0.619 -0.661  -0.692 -0.790  -0.825 -0.856  -0.927 -0.960  -0.968 -1.068  -0.903 -1.071  -0.754 -1.071  -0.604 -1.071  -0.455 -1.071  -0.308 -1.057  -0.162 -1.030  -0.013 -1.028  0.132 -0.991  0.281 -0.989  0.431 -0.989  0.580 -0.989  0.730 -0.989  0.879 -0.989
