3#app#app13#app1350/h  -0.475 1.511  -0.632 1.511  -0.672 1.395  -0.672 1.238  -0.672 1.081  -0.672 0.925  -0.672 0.768  -0.672 0.611  -0.672 0.455  -0.672 0.298  -0.672 0.141  -0.672 -0.015  -0.672 -0.172  -0.672 -0.329  -0.672 -0.485  -0.672 -0.642  -0.672 -0.799  -0.672 -0.955  -0.672 -0.974  -0.642 -0.846  -0.486 -0.846  -0.475 -0.700  -0.400 -0.575  -0.289 -0.464  -0.279 -0.311  -0.206 -0.185  -0.096 -0.074  0.015 0.037  0.114 0.152  0.114 0.309  0.208 0.427  0.311 0.541  0.311 0.698  0.440 0.725  0.596 0.725  0.739 0.691  0.849 0.580  0.900 0.444  0.900 0.288  0.900 0.131  0.900 -0.026  0.900 -0.182  0.900 -0.339  0.900 -0.496  0.900 -0.652  0.900 -0.809  0.900 -0.966  0.900 -1.122  0.900 -1.279  0.900 -1.436
3#app#app13#app1350/e  -0.870 -0.558  -0.712 -0.558  -0.590 -0.470  -0.476 -0.360  -0.334 -0.290  -0.193 -0.219  -0.061 -0.134  0.051 -0.022  0.163 0.090  0.275 0.202  0.429 0.214  0.479 0.321  0.531 0.458  0.643 0.570  0.672 0.717  0.755 0.792  0.865 0.841  0.865 0.999  0.865 1.157  0.865 1.316  0.761 1.370  0.603 1.370  0.455 1.346  0.343 1.234  0.231 1.122  0.119 1.010  0.007 0.898  -0.103 0.784  -0.174 0.642  -0.245 0.500  -0.292 0.353  -0.292 0.195  -0.292 0.036  -0.393 -0.080  -0.485 -0.201  -0.485 -0.359  -0.553 -0.501  -0.624 -0.643  -0.677 -0.789  -0.677 -0.947  -0.677 -1.105  -0.550 -1.136  -0.485 -1.229  -0.426 -1.329  -0.267 -1.329  -0.109 -1.329  0.050 -1.329  0.196 -1.278  0.338 -1.207  0.479 -1.136
3#app#app13#app1350/s  0.366 1.655  0.366 1.553  0.316 1.502  0.215 1.502  0.143 1.431  0.071 1.359  -0.001 1.287  -0.073 1.216  -0.144 1.144  -0.216 1.072  -0.272 0.989  -0.317 0.898  -0.363 0.808  -0.414 0.721  -0.486 0.650  -0.550 0.575  -0.550 0.473  -0.550 0.372  -0.550 0.270  -0.550 0.169  -0.550 0.068  -0.544 -0.031  -0.472 -0.103  -0.400 -0.175  -0.300 -0.178  -0.199 -0.178  -0.097 -0.178  0.004 -0.178  0.092 -0.209  0.164 -0.281  0.245 -0.331  0.347 -0.331  0.448 -0.331  0.519 -0.361  0.519 -0.462  0.519 -0.564  0.519 -0.665  0.519 -0.767  0.519 -0.868  0.499 -0.961  0.427 -1.033  0.351 -1.094  0.250 -1.094  0.214 -1.159  0.204 -1.257  0.132 -1.328  0.060 -1.399  -0.042 -1.399  -0.143 -1.399  -0.245 -1.399
3#app#app13#app1350/o  -0.227 0.519  -0.393 0.519  -0.559 0.519  -0.592 0.386  -0.592 0.220  -0.663 0.083  -0.775 -0.037  -0.775 -0.203  -0.775 -0.369  -0.775 -0.535  -0.775 -0.701  -0.775 -0.867  -0.775 -1.034  -0.701 -1.126  -0.592 -1.183  -0.551 -1.308  -0.385 -1.308  -0.221 -1.303  -0.104 -1.185  0.038 -1.126  0.185 -1.080  0.302 -0.962  0.420 -0.845  0.537 -0.727  0.655 -0.610  0.687 -0.457  0.760 -0.321  0.870 -0.201  0.870 -0.035  0.870 0.132  0.870 0.298  0.870 0.464  0.870 0.630  0.870 0.796  0.792 0.884  0.687 0.946  0.655 1.099  0.538 1.216  0.386 1.250  0.219 1.250  0.139 1.164  0.070 1.067  -0.044 1.015  -0.069 0.859  -0.187 0.742  -0.276 0.604  -0.350 0.455  -0.409 0.303  -0.409 0.137  -0.409 -0.029
3#app#app13#app1350/o  -0.190 0.631  -0.328 0.631  -0.465 0.631  -0.536 0.564  -0.567 0.458  -0.704 0.458  -0.708 0.325  -0.708 0.188  -0.708 0.051  -0.708 -0.087  -0.708 -0.224  -0.708 -0.361  -0.708 -0.498  -0.708 -0.636  -0.698 -0.771  -0.637 -0.893  -0.575 -1.016  -0.501 -1.130  -0.404 -1.227  -0.284 -1.268  -0.147 -1.268  -0.010 -1.268  0.128 -1.268  0.233 -1.191  0.330 -1.094  0.427 -0.997  0.500 -0.890  0.500 -0.753  0.500 -0.615  0.545 -0.489  0.606 -0.366  0.668 -0.243  0.673 -0.107  0.673 0.030  0.673 0.168  0.673 0.305  0.673 0.442  0.673 0.579  0.673 0.717  0.637 0.839  0.540 0.936  0.500 1.057  0.468 1.181  0.371 1.278  0.252 1.322  0.115 1.322  -0.018 1.317  -0.018 1.179  -0.093 1.073  -0.190 0.976
3#app#app13#app1350/n  -1.156 0.246  -1.156 0.121  -1.156 -0.004  -1.156 -0.129  -1.156 -0.254  -1.156 -0.379  -1.156 -0.504  -1.156 -0.629  -1.156 -0.754  -1.091 -0.814  -0.966 -0.814  -0.841 -0.814  -0.732 -0.798  -0.732 -0.673  -0.678 -0.602  -0.553 -0.602  -0.455 -0.536  -0.366 -0.448  -0.308 -0.347  -0.308 -0.222  -0.308 -0.097  -0.308 0.028  -0.224 0.118  -0.136 0.207  -0.047 0.295  0.041 0.384  0.130 0.472  0.218 0.560  0.306 0.649  0.395 0.737  0.483 0.826  0.572 0.914  0.660 1.002  0.748 1.091  0.752 0.974  0.775 0.859  0.864 0.770  0.952 0.682  0.964 0.562  0.964 0.437  0.964 0.311  0.964 0.186  0.964 0.061  0.964 -0.064  0.964 -0.189  0.964 -0.314  0.964 -0.439  0.964 -0.564  0.964 -0.689  0.964 -0.814
3#app#app13#app1350/t  -0.021 1.738  -0.021 1.579  -0.021 1.419  -0.021 1.259  -0.021 1.100  0.088 0.986  0.193 0.869  0.193 0.710  0.193 0.550  0.193 0.391  0.193 0.231  0.193 0.071  0.143 -0.076  0.072 -0.219  0.001 -0.362  -0.021 -0.516  -0.021 -0.676  -0.022 -0.835  -0.093 -0.978  -0.164 -1.121  -0.235 -1.264  -0.235 -1.423  -0.235 -1.583  -0.185 -1.692  -0.025 -1.692  -0.049 -1.539  -0.077 -1.382  -0.106 -1.225  -0.135 -1.067  -0.163 -0.910  -0.192 -0.753  -0.220 -0.596  -0.249 -0.439  -0.277 -0.282  -0.306 -0.125  -0.334 0.032  -0.363 0.189  -0.392 0.346  -0.420 0.503  -0.449 0.660  -0.297 0.666  -0.137 0.666  0.010 0.697  0.123 0.810  0.253 0.881  0.412 0.881  0.572 0.881  0.732 0.881  0.891 0.881  1.051 0.881
3#app#app13#app1350/o  -0.119 0.880  -0.119 0.707  -0.257 0.671  -0.431 0.671  -0.537 0.604  -0.569 0.462  -0.743 0.462  -0.746 0.292  -0.746 0.118  -0.816 -0.026  -0.939 -0.149  -0.954 -0.316  -0.954 -0.490  -0.954 -0.663  -0.934 -0.832  -0.856 -0.987  -0.779 -1.143  -0.646 -1.209  -0.472 -1.209  -0.299 -1.209  -0.125 -1.209  0.049 -1.209  0.183 -1.115  0.309 -1.000  0.483 -1.000  0.508 -0.851  0.588 -0.711  0.711 -0.588  0.833 -0.465  0.926 -0.330  0.926 -0.156  0.926 0.017  0.926 0.191  0.926 0.365  0.926 0.538  0.926 0.712  0.920 0.880  0.747 0.880  0.717 1.024  0.608 1.089  0.435 1.089  0.272 1.063  0.150 0.940  0.090 0.791  0.036 0.671  -0.119 0.653  -0.119 0.479  -0.230 0.351  -0.328 0.218  -0.328 0.045
3#app#app13#app1350/o  -0.392 0.746  -0.392 0.598  -0.466 0.525  -0.612 0.524  -0.612 0.377  -0.612 0.230  -0.614 0.083  -0.718 -0.022  -0.822 -0.126  -0.833 -0.269  -0.833 -0.416  -0.833 -0.564  -0.740 -0.672  -0.635 -0.776  -0.531 -0.881  -0.427 -0.985  -0.392 -1.118  -0.368 -1.241  -0.220 -1.241  -0.073 -1.241  0.075 -1.241  0.222 -1.241  0.341 -1.171  0.445 -1.067  0.549 -0.962  0.653 -0.858  0.712 -0.735  0.712 -0.588  0.712 -0.440  0.712 -0.293  0.712 -0.145  0.712 0.002  0.712 0.149  0.712 0.297  0.712 0.444  0.712 0.592  0.712 0.739  0.712 0.886  0.664 1.014  0.560 1.118  0.441 1.187  0.294 1.187  0.147 1.187  -0.001 1.187  -0.148 1.187  -0.227 1.076  -0.293 0.944  -0.359 0.812  -0.392 0.673  -0.392 0.525
3#app#app13#app1350/k  -0.481 1.858  -0.481 1.635  -0.481 1.412  -0.481 1.189  -0.481 0.966  -0.481 0.743  -0.481 0.520  -0.481 0.297  -0.481 0.075  -0.602 -0.098  -0.664 -0.295  -0.664 -0.518  -0.664 -0.741  -0.664 -0.964  -0.664 -1.187  -0.664 -1.410  -0.575 -1.277  -0.470 -1.080  -0.365 -0.884  -0.261 -0.687  -0.156 -0.490  -0.051 -0.294  0.054 -0.097  0.159 0.100  0.264 0.297  0.369 0.493  0.474 0.690  0.579 0.887  0.684 1.083  0.788 1.280  0.803 1.116  0.769 0.907  0.612 0.749  0.454 0.592  0.253 0.560  0.215 0.352  0.057 0.195  -0.100 0.037  -0.128 -0.174  -0.286 -0.332  -0.297 -0.550  -0.235 -0.710  -0.042 -0.782  0.135 -0.894  0.358 -0.894  0.581 -0.894  0.804 -0.893  0.961 -0.735  1.154 -0.626  1.353 -0.527
3#app#app13#app1350/e  -0.868 -0.184  -0.868 -0.352  -0.710 -0.363  -0.542 -0.363  -0.374 -0.363  -0.206 -0.363  -0.038 -0.363  0.099 -0.287  0.222 -0.174  0.372 -0.099  0.523 -0.024  0.558 0.122  0.558 0.290  0.635 0.427  0.736 0.553  0.736 0.721  0.736 0.889  0.736 1.057  0.736 1.225  0.629 1.348  0.491 1.420  0.323 1.420  0.168 1.386  0.050 1.267  -0.069 1.149  -0.188 1.030  -0.307 0.911  -0.392 0.768  -0.467 0.617  -0.560 0.480  -0.679 0.361  -0.689 0.198  -0.689 0.030  -0.689 -0.139  -0.689 -0.307  -0.689 -0.475  -0.689 -0.643  -0.689 -0.811  -0.632 -0.955  -0.513 -1.074  -0.346 -1.075  -0.178 -1.075  -0.010 -1.075  0.158 -1.075  0.326 -1.075  0.494 -1.075  0.662 -1.075  0.803 -1.009  0.925 -0.897  1.093 -0.897
