1b#apa#apa09#app0960/A  -0.250 0.502  -0.320 0.294  -0.389 0.087  -0.414 -0.128  -0.414 -0.346  -0.414 -0.565  -0.478 -0.768  -0.575 -0.964  -0.577 -0.751  -0.537 -0.540  -0.455 -0.337  -0.374 -0.134  -0.293 0.069  -0.225 0.276  -0.172 0.488  -0.119 0.700  -0.043 0.903  0.070 1.090  0.182 1.277  0.295 1.465  0.411 1.648  0.607 1.746  0.729 1.725  0.729 1.506  0.729 1.288  0.729 1.069  0.711 0.852  0.684 0.635  0.657 0.418  0.630 0.201  0.603 -0.016  0.576 -0.233  0.565 -0.451  0.556 -0.668  0.487 -0.876  0.418 -1.083  0.327 -1.281  0.222 -1.441  0.056 -1.299  -0.110 -1.157  -0.276 -1.014  -0.442 -0.872  -0.608 -0.730  -0.774 -0.587  -0.903 -0.428  -0.799 -0.314  -0.580 -0.314  -0.361 -0.314  -0.143 -0.314  0.076 -0.314
1b#apa#apa09#app0960/Q  0.068 0.226  -0.002 0.437  -0.073 0.647  -0.221 0.750  -0.396 0.636  -0.532 0.462  -0.656 0.277  -0.779 0.092  -0.884 -0.104  -0.980 -0.303  -0.909 -0.514  -0.839 -0.725  -0.708 -0.889  -0.523 -1.013  -0.338 -1.136  -0.127 -1.173  0.093 -1.161  0.292 -1.061  0.491 -0.962  0.689 -0.862  0.828 -0.703  0.927 -0.504  1.027 -0.305  1.117 -0.104  1.117 0.119  1.117 0.341  1.117 0.563  1.117 0.786  1.048 0.971  0.863 1.094  0.678 1.218  0.486 1.328  0.287 1.428  0.120 1.327  0.002 1.142  -0.098 0.943  -0.162 0.731  -0.223 0.517  -0.285 0.303  -0.346 0.090  -0.407 -0.124  -0.485 -0.270  -0.647 -0.124  -0.743 -0.124  -0.596 -0.229  -0.526 -0.440  -0.455 -0.650  -0.298 -0.808  -0.140 -0.965  -0.107 -1.173
1b#apa#apa09#app0960/U  -0.637 0.874  -0.719 0.792  -0.800 0.711  -0.880 0.628  -0.880 0.513  -0.880 0.398  -0.880 0.283  -0.880 0.168  -0.880 0.052  -0.880 -0.063  -0.880 -0.178  -0.880 -0.293  -0.832 -0.389  -0.751 -0.470  -0.669 -0.552  -0.588 -0.633  -0.506 -0.715  -0.425 -0.796  -0.394 -0.899  -0.394 -1.014  -0.335 -1.069  -0.219 -1.069  -0.104 -1.069  0.011 -1.069  0.111 -1.040  0.175 -0.945  0.239 -0.849  0.303 -0.753  0.366 -0.657  0.430 -0.561  0.494 -0.465  0.558 -0.369  0.603 -0.264  0.639 -0.155  0.676 -0.045  0.712 0.064  0.749 0.173  0.785 0.282  0.820 0.392  0.820 0.507  0.820 0.622  0.820 0.738  0.820 0.853  0.820 0.968  0.820 1.083  0.747 1.153  0.644 1.205  0.540 1.256  0.437 1.308  0.334 1.359
1b#apa#apa09#app0960/I  0.233 0.850  0.233 0.929  0.233 1.007  0.233 1.086  0.200 1.150  0.144 1.206  0.089 1.261  0.033 1.317  -0.022 1.373  -0.034 1.322  -0.034 1.243  -0.034 1.165  -0.034 1.086  -0.034 1.008  -0.034 0.929  -0.034 0.851  -0.034 0.772  -0.034 0.694  -0.034 0.615  -0.034 0.537  -0.034 0.458  -0.034 0.380  -0.034 0.301  -0.034 0.223  -0.034 0.144  -0.034 0.066  -0.034 -0.013  -0.034 -0.091  -0.034 -0.170  -0.034 -0.248  -0.034 -0.327  -0.034 -0.405  -0.034 -0.484  -0.034 -0.562  -0.034 -0.641  -0.034 -0.719  -0.034 -0.798  -0.034 -0.876  -0.034 -0.955  -0.034 -1.033  -0.034 -1.112  -0.034 -1.190  -0.034 -1.269  -0.034 -1.347  -0.034 -1.426  -0.034 -1.504  -0.034 -1.583  -0.034 -1.661  -0.034 -1.740  -0.034 -1.818
1b#apa#apa09#app0960/C  0.659 0.861  0.762 0.861  0.864 0.861  0.877 0.898  0.804 0.971  0.732 1.043  0.659 1.116  0.557 1.116  0.454 1.116  0.352 1.116  0.249 1.116  0.147 1.113  0.075 1.041  0.002 0.968  -0.070 0.896  -0.142 0.823  -0.215 0.751  -0.287 0.678  -0.360 0.606  -0.432 0.533  -0.505 0.461  -0.577 0.389  -0.614 0.301  -0.614 0.199  -0.614 0.096  -0.614 -0.006  -0.614 -0.109  -0.614 -0.211  -0.614 -0.314  -0.614 -0.416  -0.614 -0.519  -0.614 -0.621  -0.574 -0.707  -0.502 -0.780  -0.429 -0.852  -0.357 -0.925  -0.284 -0.997  -0.212 -1.070  -0.139 -1.142  -0.051 -1.177  0.051 -1.177  0.154 -1.177  0.256 -1.177  0.359 -1.177  0.430 -1.126  0.476 -1.034  0.522 -0.942  0.568 -0.851  0.613 -0.759  0.659 -0.667
1b#apa#apa09#app0960/K  -0.954 0.018  -1.078 0.143  -1.172 0.194  -1.172 0.018  -1.172 -0.158  -1.172 -0.334  -1.172 -0.509  -1.172 -0.685  -1.168 -0.859  -1.043 -0.983  -0.919 -1.038  -0.795 -0.914  -0.694 -0.772  -0.616 -0.615  -0.537 -0.458  -0.424 -0.325  -0.300 -0.201  -0.176 -0.076  -0.052 0.048  0.073 0.172  0.197 0.296  0.321 0.421  0.445 0.545  0.570 0.669  0.694 0.794  0.818 0.918  0.943 1.042  1.067 1.166  1.191 1.291  1.141 1.241  1.017 1.116  0.913 0.974  0.811 0.831  0.709 0.688  0.607 0.545  0.505 0.402  0.403 0.259  0.301 0.116  0.198 -0.027  0.096 -0.170  -0.006 -0.313  -0.081 -0.371  -0.078 -0.203  0.046 -0.327  0.170 -0.451  0.295 -0.576  0.419 -0.700  0.543 -0.824  0.668 -0.948  0.792 -1.073
1b#apa#apa09#app0960/B  -0.445 0.924  -0.445 0.681  -0.445 0.439  -0.445 0.197  -0.445 -0.045  -0.445 -0.288  -0.445 -0.530  -0.445 -0.772  -0.387 -0.991  -0.328 -0.957  -0.378 -0.720  -0.429 -0.483  -0.480 -0.246  -0.531 -0.009  -0.582 0.228  -0.632 0.465  -0.683 0.702  -0.731 0.939  -0.650 1.148  -0.436 1.240  -0.198 1.287  0.039 1.335  0.280 1.352  0.522 1.352  0.754 1.286  0.983 1.209  1.060 0.979  1.108 0.753  0.974 0.552  0.838 0.351  0.637 0.217  0.435 0.082  0.220 -0.029  0.003 -0.138  -0.213 -0.246  -0.430 -0.354  -0.219 -0.362  0.023 -0.362  0.265 -0.362  0.500 -0.420  0.735 -0.478  0.841 -0.639  0.841 -0.881  0.664 -1.004  0.439 -1.094  0.214 -1.184  -0.021 -1.219  -0.261 -1.244  -0.496 -1.303  -0.731 -1.362
1b#apa#apa09#app0960/R  -0.417 0.440  -0.417 0.505  -0.417 0.300  -0.417 0.095  -0.417 -0.110  -0.417 -0.316  -0.417 -0.521  -0.417 -0.726  -0.417 -0.931  -0.417 -1.136  -0.417 -1.342  -0.417 -1.547  -0.417 -1.420  -0.417 -1.215  -0.417 -1.010  -0.417 -0.805  -0.417 -0.599  -0.417 -0.394  -0.417 -0.189  -0.417 0.016  -0.417 0.221  -0.417 0.427  -0.417 0.632  -0.417 0.837  -0.417 1.042  -0.299 1.175  -0.112 1.258  0.089 1.298  0.290 1.338  0.491 1.378  0.696 1.386  0.871 1.314  1.016 1.169  1.028 0.992  0.963 0.798  0.854 0.630  0.697 0.499  0.533 0.376  0.369 0.253  0.203 0.133  0.032 0.019  -0.139 -0.095  -0.146 -0.296  -0.054 -0.463  0.091 -0.608  0.236 -0.753  0.414 -0.853  0.593 -0.953  0.764 -1.067  0.934 -1.181
1b#apa#apa09#app0960/O  -0.164 0.523  -0.308 0.523  -0.451 0.523  -0.588 0.513  -0.652 0.384  -0.716 0.256  -0.781 0.128  -0.829 -0.007  -0.875 -0.143  -0.920 -0.279  -0.965 -0.415  -0.983 -0.544  -0.882 -0.646  -0.777 -0.742  -0.649 -0.806  -0.520 -0.871  -0.392 -0.935  -0.251 -0.944  -0.108 -0.944  0.036 -0.944  0.179 -0.944  0.323 -0.944  0.466 -0.944  0.609 -0.944  0.730 -0.888  0.831 -0.787  0.932 -0.685  1.034 -0.584  1.093 -0.465  1.093 -0.322  1.093 -0.178  1.093 -0.035  1.090 0.107  0.988 0.208  0.887 0.310  0.785 0.411  0.684 0.513  0.583 0.614  0.481 0.715  0.380 0.817  0.279 0.918  0.145 0.942  0.002 0.942  -0.142 0.942  -0.285 0.942  -0.429 0.942  -0.572 0.942  -0.715 0.942  -0.859 0.942  -1.002 0.942
1b#apa#apa09#app0960/W  -1.213 0.473  -1.213 0.586  -1.213 0.700  -1.213 0.746  -1.213 0.633  -1.213 0.520  -1.192 0.410  -1.157 0.303  -1.121 0.195  -1.085 0.088  -1.049 -0.020  -1.013 -0.127  -0.977 -0.235  -0.942 -0.342  -0.904 -0.446  -0.790 -0.446  -0.685 -0.412  -0.584 -0.362  -0.483 -0.311  -0.395 -0.241  -0.315 -0.161  -0.235 -0.081  -0.155 -0.001  -0.075 0.079  0.005 0.159  0.116 0.167  0.194 0.110  0.245 0.009  0.295 -0.092  0.319 -0.200  0.319 -0.313  0.319 -0.426  0.403 -0.488  0.504 -0.539  0.605 -0.589  0.707 -0.559  0.808 -0.509  0.909 -0.458  0.994 -0.385  1.074 -0.305  1.116 -0.201  1.152 -0.094  1.188 0.014  1.224 0.121  1.255 0.230  1.282 0.340  1.310 0.450  1.337 0.560  1.365 0.670  1.392 0.780
1b#apa#apa09#app0960/N  -0.521 0.279  -0.541 0.382  -0.613 0.166  -0.685 -0.050  -0.685 -0.277  -0.756 -0.483  -0.883 -0.672  -1.009 -0.862  -1.012 -1.088  -1.012 -1.070  -1.012 -0.843  -1.012 -0.615  -1.012 -0.388  -1.012 -0.160  -1.012 0.067  -1.012 0.295  -0.968 0.509  -0.841 0.698  -0.715 0.888  -0.607 0.779  -0.497 0.582  -0.339 0.418  -0.203 0.236  -0.066 0.054  0.070 -0.128  0.188 -0.321  0.290 -0.525  0.392 -0.728  0.461 -0.939  0.558 -0.932  0.666 -0.739  0.738 -0.523  0.810 -0.308  0.882 -0.092  0.954 0.124  1.026 0.340  1.098 0.556  1.170 0.772  1.242 0.988  1.199 1.176  1.066 1.164  0.965 0.960  0.863 0.757  0.761 0.553  0.659 0.350  0.558 0.146  0.456 -0.057  0.354 -0.261  0.297 -0.475  0.297 -0.702
1b#apa#apa09#app0960/F  0.175 -0.028  -0.030 0.075  -0.236 0.178  -0.236 -0.052  -0.236 -0.282  -0.236 -0.512  -0.236 -0.742  -0.236 -0.973  -0.236 -1.203  -0.236 -1.433  -0.373 -1.606  -0.442 -1.544  -0.442 -1.314  -0.442 -1.084  -0.442 -0.854  -0.442 -0.624  -0.442 -0.394  -0.442 -0.164  -0.442 0.067  -0.442 0.297  -0.442 0.527  -0.442 0.757  -0.307 0.931  -0.120 1.060  0.086 1.163  0.299 1.249  0.517 1.321  0.735 1.394  0.962 1.414  1.136 1.277  1.337 1.208  1.295 1.103  1.124 0.949  0.953 0.795  0.782 0.641  0.611 0.487  0.440 0.333  0.269 0.180  0.098 0.026  -0.073 -0.128  -0.244 -0.282  -0.415 -0.436  -0.586 -0.590  -0.752 -0.543  -0.769 -0.440  -0.539 -0.440  -0.309 -0.440  -0.079 -0.440  0.151 -0.440  0.381 -0.440
