1c#app#app12#app1279/f  -0.305 0.206  -0.305 0.005  -0.305 -0.195  -0.305 -0.396  -0.339 -0.590  -0.392 -0.782  -0.419 -0.976  -0.479 -1.163  -0.482 -1.362  -0.565 -1.543  -0.565 -1.664  -0.565 -1.463  -0.562 -1.264  -0.479 -1.083  -0.479 -0.883  -0.410 -0.698  -0.320 -0.519  -0.305 -0.322  -0.244 -0.132  -0.218 0.064  -0.153 0.249  -0.064 0.429  0.026 0.608  0.116 0.787  0.129 0.984  0.218 1.163  0.302 1.329  0.379 1.497  0.539 1.594  0.736 1.590  0.767 1.420  0.880 1.334  0.994 1.247  0.929 1.072  0.808 0.912  0.686 0.753  0.565 0.594  0.443 0.434  0.322 0.275  0.200 0.115  0.079 -0.044  -0.042 -0.203  -0.164 -0.363  -0.285 -0.522  -0.392 -0.638  -0.305 -0.524  -0.163 -0.433  0.004 -0.353  0.189 -0.315  0.302 -0.228
1c#app#app12#app1279/e  -1.369 -0.679  -1.211 -0.679  -1.052 -0.679  -0.894 -0.679  -0.778 -0.576  -0.653 -0.483  -0.511 -0.413  -0.366 -0.354  -0.208 -0.354  -0.055 -0.340  0.057 -0.228  0.188 -0.144  0.330 -0.073  0.461 0.013  0.573 0.125  0.685 0.237  0.777 0.363  0.848 0.505  0.934 0.621  1.069 0.645  1.083 0.797  1.195 0.909  1.231 1.053  1.129 1.108  0.970 1.108  0.812 1.108  0.654 1.108  0.520 1.048  0.404 0.946  0.249 0.939  0.137 0.827  0.025 0.715  -0.080 0.598  -0.151 0.456  -0.222 0.315  -0.329 0.199  -0.441 0.087  -0.552 -0.025  -0.557 -0.182  -0.661 -0.297  -0.719 -0.431  -0.719 -0.589  -0.719 -0.748  -0.673 -0.887  -0.562 -0.999  -0.405 -1.004  -0.290 -1.108  -0.178 -1.220  -0.065 -1.329  0.094 -1.329
1c#app#app12#app1279/w  -1.298 0.831  -1.298 0.700  -1.298 0.570  -1.298 0.439  -1.298 0.309  -1.298 0.178  -1.298 0.048  -1.298 -0.082  -1.276 -0.204  -1.184 -0.296  -1.066 -0.326  -0.936 -0.326  -0.805 -0.326  -0.688 -0.294  -0.596 -0.202  -0.503 -0.109  -0.411 -0.017  -0.319 0.075  -0.286 0.192  -0.216 0.252  -0.102 0.292  -0.010 0.384  0.003 0.509  0.072 0.611  0.148 0.662  0.148 0.532  0.148 0.401  0.148 0.271  0.148 0.140  0.148 0.010  0.148 -0.121  0.148 -0.251  0.187 -0.365  0.279 -0.458  0.292 -0.583  0.390 -0.615  0.520 -0.615  0.651 -0.615  0.781 -0.615  0.900 -0.586  0.992 -0.494  1.084 -0.402  1.170 -0.305  1.229 -0.188  1.287 -0.072  1.369 0.028  1.461 0.120  1.554 0.212  1.646 0.305  1.738 0.397
1c#app#app12#app1279/q  0.025 0.489  0.136 0.691  0.136 0.940  0.116 1.180  -0.095 1.272  -0.311 1.239  -0.464 1.119  -0.640 0.943  -0.795 0.752  -0.870 0.521  -0.982 0.318  -0.833 0.153  -0.584 0.153  -0.394 0.294  -0.185 0.391  -0.087 0.599  0.088 0.776  0.185 0.984  0.361 1.161  0.472 1.383  0.455 1.142  0.332 0.936  0.272 0.695  0.248 0.449  0.169 0.219  0.058 -0.004  -0.053 -0.227  -0.087 -0.467  -0.176 -0.695  -0.199 -0.939  -0.298 -1.164  -0.311 -1.410  -0.421 -1.633  -0.402 -1.861  -0.199 -1.815  -0.087 -1.678  0.006 -1.451  0.067 -1.216  0.178 -0.994  0.248 -0.761  0.360 -0.559  0.360 -0.310  0.472 -0.108  0.401 0.112  0.281 0.041  0.248 -0.175  0.360 -0.377  0.580 -0.406  0.829 -0.406  1.031 -0.294
1c#app#app12#app1279/u  -0.595 0.993  -0.595 0.883  -0.595 0.774  -0.619 0.689  -0.729 0.689  -0.838 0.689  -0.899 0.640  -0.899 0.530  -0.899 0.421  -0.899 0.311  -0.899 0.202  -0.899 0.092  -0.899 -0.018  -0.899 -0.127  -0.899 -0.237  -0.899 -0.346  -0.899 -0.456  -0.871 -0.554  -0.794 -0.632  -0.717 -0.709  -0.639 -0.786  -0.548 -0.831  -0.438 -0.831  -0.329 -0.831  -0.219 -0.831  -0.110 -0.831  -0.000 -0.831  0.081 -0.763  0.159 -0.686  0.236 -0.608  0.314 -0.531  0.391 -0.453  0.469 -0.376  0.546 -0.299  0.623 -0.221  0.701 -0.144  0.778 -0.066  0.856 0.011  0.925 0.092  0.925 0.202  0.925 0.311  0.961 0.385  1.071 0.385  1.180 0.385  1.230 0.445  1.230 0.555  1.230 0.664  1.230 0.774  1.230 0.883  1.230 0.993
1c#app#app12#app1279/i  -0.304 -0.155  -0.304 -0.250  -0.304 -0.344  -0.304 -0.438  -0.304 -0.533  -0.304 -0.627  -0.304 -0.722  -0.304 -0.816  -0.304 -0.911  -0.304 -1.005  -0.304 -1.100  -0.304 -1.194  -0.304 -1.289  -0.304 -1.383  -0.283 -1.305  -0.260 -1.213  -0.237 -1.121  -0.214 -1.030  -0.191 -0.938  -0.168 -0.846  -0.145 -0.755  -0.122 -0.663  -0.099 -0.572  -0.077 -0.480  -0.054 -0.388  -0.031 -0.297  -0.008 -0.205  0.015 -0.113  0.038 -0.022  0.061 0.070  0.084 0.162  0.107 0.253  0.130 0.345  0.153 0.437  0.176 0.528  0.198 0.620  0.221 0.712  0.244 0.803  0.267 0.895  0.290 0.986  0.313 1.078  0.336 1.170  0.359 1.261  0.382 1.353  0.405 1.445  0.428 1.536  0.450 1.628  0.473 1.720  0.496 1.811  0.519 1.903
1c#app#app12#app1279/p  -0.269 0.431  -0.269 0.266  -0.269 0.101  -0.269 -0.064  -0.269 -0.229  -0.269 -0.395  -0.269 -0.560  -0.269 -0.725  -0.269 -0.890  -0.269 -1.055  -0.285 -1.213  -0.377 -1.340  -0.377 -1.506  -0.377 -1.671  -0.377 -1.644  -0.377 -1.478  -0.377 -1.313  -0.377 -1.148  -0.377 -0.983  -0.377 -0.818  -0.377 -0.653  -0.377 -0.488  -0.377 -0.322  -0.377 -0.157  -0.377 0.008  -0.377 0.173  -0.377 0.338  -0.377 0.503  -0.363 0.663  -0.255 0.785  -0.181 0.933  -0.076 1.058  0.073 1.098  0.200 1.191  0.338 1.255  0.485 1.300  0.650 1.300  0.815 1.300  0.925 1.181  0.925 1.016  0.925 0.851  0.925 0.686  0.817 0.629  0.763 0.486  0.708 0.344  0.606 0.221  0.444 0.214  0.383 0.110  0.222 0.106  0.057 0.106
1c#app#app12#app1279/s  -0.009 0.981  -0.009 1.076  -0.033 1.160  -0.100 1.227  -0.164 1.294  -0.164 1.389  -0.202 1.445  -0.296 1.445  -0.318 1.373  -0.318 1.278  -0.318 1.184  -0.318 1.090  -0.318 0.995  -0.318 0.901  -0.318 0.807  -0.318 0.713  -0.280 0.634  -0.214 0.568  -0.164 0.494  -0.164 0.400  -0.123 0.322  -0.056 0.256  -0.009 0.181  -0.009 0.087  0.035 0.010  0.101 -0.056  0.168 -0.123  0.235 -0.190  0.300 -0.257  0.300 -0.351  0.336 -0.409  0.430 -0.409  0.454 -0.479  0.454 -0.574  0.454 -0.668  0.454 -0.762  0.454 -0.857  0.399 -0.928  0.332 -0.995  0.266 -1.061  0.199 -1.128  0.127 -1.182  0.033 -1.182  -0.009 -1.234  -0.009 -1.328  -0.096 -1.336  -0.164 -1.362  -0.164 -1.457  -0.224 -1.491  -0.318 -1.491
1c#app#app12#app1279/g  0.209 0.979  0.278 1.071  0.302 1.208  0.189 1.257  0.028 1.257  -0.041 1.164  -0.161 1.124  -0.265 1.060  -0.379 0.946  -0.493 0.832  -0.546 0.701  -0.625 0.618  -0.625 0.457  -0.591 0.330  -0.522 0.237  -0.361 0.237  -0.216 0.275  -0.077 0.330  -0.008 0.422  0.115 0.513  0.237 0.608  0.305 0.703  0.419 0.817  0.551 0.886  0.580 0.754  0.580 0.592  0.580 0.431  0.580 0.270  0.580 0.109  0.577 -0.052  0.538 -0.208  0.499 -0.365  0.487 -0.525  0.448 -0.676  0.365 -0.813  0.302 -0.948  0.280 -1.104  0.208 -1.248  0.094 -1.362  -0.020 -1.476  -0.134 -1.590  -0.284 -1.617  -0.417 -1.547  -0.465 -1.405  -0.532 -1.272  -0.532 -1.111  -0.532 -0.950  -0.532 -0.788  -0.532 -0.627  -0.439 -0.504
1c#app#app12#app1279/a  0.271 0.123  0.271 0.298  0.383 0.427  0.463 0.568  0.463 0.743  0.441 0.909  0.318 1.033  0.271 1.188  0.179 1.270  0.004 1.270  -0.171 1.270  -0.333 1.240  -0.456 1.116  -0.493 0.957  -0.541 0.793  -0.619 0.637  -0.704 0.486  -0.828 0.362  -0.875 0.207  -0.940 0.059  -1.063 -0.064  -1.067 -0.238  -1.067 -0.412  -1.067 -0.587  -1.067 -0.762  -0.993 -0.906  -0.867 -1.023  -0.692 -1.023  -0.517 -1.023  -0.387 -0.917  -0.247 -0.832  -0.083 -0.805  0.040 -0.681  0.164 -0.558  0.287 -0.434  0.411 -0.311  0.534 -0.187  0.654 -0.062  0.654 0.113  0.818 0.123  0.845 0.271  0.845 0.183  0.845 0.009  0.845 -0.166  0.845 -0.341  0.845 -0.516  0.845 -0.690  0.845 -0.865  0.845 -1.040  0.845 -1.214
1c#app#app12#app1279/l  0.080 1.714  0.080 1.642  0.080 1.571  0.080 1.500  0.080 1.428  0.080 1.357  0.080 1.286  0.080 1.215  0.080 1.143  0.080 1.072  0.080 1.001  0.080 0.929  0.080 0.858  0.080 0.787  0.080 0.716  0.080 0.644  0.080 0.573  0.080 0.502  0.080 0.430  0.080 0.359  0.080 0.288  0.080 0.216  0.080 0.145  0.080 0.074  0.080 0.003  0.080 -0.069  0.080 -0.140  0.060 -0.203  0.010 -0.254  -0.041 -0.304  -0.091 -0.354  -0.110 -0.418  -0.110 -0.489  -0.110 -0.560  -0.110 -0.632  -0.110 -0.703  -0.110 -0.774  -0.110 -0.846  -0.110 -0.917  -0.110 -0.988  -0.110 -1.059  -0.110 -1.131  -0.110 -1.202  -0.110 -1.273  -0.110 -1.345  -0.110 -1.416  -0.110 -1.487  -0.110 -1.558  -0.110 -1.630  -0.110 -1.701
