2#apb#apb35#app3585/A  0.246 -0.366  0.305 -0.163  0.366 0.041  0.448 0.236  0.499 0.439  0.516 0.650  0.568 0.856  0.610 1.063  0.610 1.275  0.561 1.481  0.450 1.635  0.274 1.547  0.111 1.412  -0.053 1.277  -0.190 1.119  -0.293 0.933  -0.409 0.756  -0.528 0.581  -0.618 0.388  -0.706 0.196  -0.787 -0.001  -0.867 -0.197  -0.918 -0.402  -0.953 -0.611  -1.002 -0.817  -1.032 -1.022  -0.966 -1.223  -0.825 -1.351  -0.635 -1.259  -0.465 -1.133  -0.318 -0.982  -0.189 -0.813  -0.070 -0.638  0.044 -0.459  0.148 -0.274  0.252 -0.089  0.338 0.105  0.431 0.295  0.530 0.483  0.537 0.513  0.442 0.323  0.386 0.119  0.336 -0.087  0.285 -0.293  0.257 -0.503  0.246 -0.714  0.268 -0.923  0.386 -1.081  0.579 -1.160  0.792 -1.160
2#apb#apb35#app3585/g  0.310 0.840  0.326 1.024  0.350 1.206  0.261 1.346  0.083 1.359  -0.069 1.263  -0.199 1.133  -0.300 0.979  -0.362 0.806  -0.369 0.624  -0.269 0.479  -0.102 0.527  0.031 0.650  0.154 0.786  0.266 0.932  0.370 1.083  0.345 0.903  0.321 0.720  0.306 0.537  0.276 0.356  0.238 0.176  0.209 -0.006  0.180 -0.188  0.148 -0.369  0.112 -0.550  0.067 -0.728  0.025 -0.907  -0.016 -1.087  -0.076 -1.260  -0.149 -1.429  -0.244 -1.587  -0.352 -1.735  -0.512 -1.806  -0.611 -1.666  -0.617 -1.483  -0.603 -1.300  -0.552 -1.123  -0.497 -0.947  -0.432 -0.775  -0.366 -0.603  -0.282 -0.439  -0.199 -0.275  -0.105 -0.117  0.004 0.031  0.119 0.173  0.250 0.304  0.392 0.419  0.544 0.522  0.707 0.607  0.888 0.597
2#apb#apb35#app3585/o  0.009 0.817  -0.088 0.694  -0.197 0.529  -0.339 0.386  -0.450 0.219  -0.559 0.049  -0.658 -0.126  -0.742 -0.308  -0.802 -0.500  -0.864 -0.692  -0.927 -0.883  -0.978 -1.076  -0.933 -1.272  -0.862 -1.454  -0.674 -1.487  -0.487 -1.417  -0.312 -1.318  -0.163 -1.185  -0.029 -1.035  0.103 -0.883  0.229 -0.727  0.330 -0.553  0.431 -0.379  0.512 -0.194  0.592 -0.010  0.662 0.179  0.720 0.372  0.777 0.565  0.834 0.758  0.849 0.956  0.830 1.155  0.740 1.335  0.575 1.443  0.380 1.416  0.200 1.326  0.047 1.196  -0.096 1.055  -0.208 0.889  -0.295 0.708  -0.354 0.516  -0.385 0.317  -0.358 0.122  -0.281 -0.057  -0.120 -0.178  0.069 -0.245  0.262 -0.287  0.461 -0.259  0.659 -0.225  0.849 -0.159  1.039 -0.092
2#apb#apb35#app3585/u  -1.706 -0.579  -1.535 -0.585  -1.371 -0.525  -1.231 -0.420  -1.079 -0.332  -0.959 -0.209  -0.849 -0.074  -0.719 0.044  -0.631 0.193  -0.557 0.351  -0.494 0.515  -0.446 0.683  -0.415 0.824  -0.530 0.739  -0.612 0.585  -0.707 0.439  -0.771 0.277  -0.805 0.105  -0.831 -0.068  -0.849 -0.242  -0.802 -0.411  -0.733 -0.571  -0.598 -0.681  -0.430 -0.701  -0.266 -0.645  -0.108 -0.570  0.043 -0.481  0.192 -0.389  0.338 -0.292  0.457 -0.168  0.554 -0.022  0.652 0.123  0.767 0.255  0.882 0.386  0.979 0.532  1.074 0.679  1.159 0.832  1.185 0.900  1.095 0.752  1.012 0.598  0.922 0.448  0.850 0.289  0.796 0.123  0.765 -0.050  0.760 -0.223  0.803 -0.388  0.928 -0.491  1.099 -0.526  1.274 -0.518  1.449 -0.510
2#apb#apb35#app3585/r  -1.603 -1.125  -1.503 -1.029  -1.399 -0.937  -1.303 -0.838  -1.214 -0.732  -1.125 -0.626  -1.030 -0.525  -0.935 -0.424  -0.841 -0.323  -0.749 -0.219  -0.660 -0.113  -0.570 -0.008  -0.480 0.098  -0.400 0.210  -0.323 0.325  -0.246 0.440  -0.169 0.556  -0.095 0.672  -0.024 0.792  0.046 0.911  0.115 1.031  0.182 1.152  0.176 1.231  0.127 1.103  0.091 0.969  0.106 0.832  0.156 0.705  0.232 0.591  0.346 0.517  0.476 0.470  0.611 0.446  0.746 0.476  0.878 0.517  0.986 0.507  0.927 0.383  0.865 0.259  0.788 0.145  0.701 0.037  0.621 -0.076  0.545 -0.191  0.481 -0.313  0.429 -0.442  0.379 -0.571  0.343 -0.704  0.329 -0.839  0.356 -0.974  0.460 -1.054  0.585 -1.104  0.724 -1.104  0.862 -1.104
2#apb#apb35#app3585/a  0.052 -0.396  0.102 -0.197  0.235 -0.037  0.324 0.149  0.459 0.309  0.521 0.511  0.583 0.715  0.640 0.919  0.616 1.128  0.549 1.324  0.364 1.408  0.160 1.352  -0.026 1.249  -0.218 1.159  -0.387 1.039  -0.530 0.882  -0.652 0.709  -0.767 0.530  -0.887 0.355  -1.008 0.180  -1.093 -0.014  -1.175 -0.210  -1.251 -0.408  -1.271 -0.613  -1.206 -0.811  -1.056 -0.950  -0.855 -0.976  -0.655 -0.918  -0.469 -0.817  -0.287 -0.708  -0.136 -0.562  -0.003 -0.396  0.129 -0.231  0.246 -0.054  0.349 0.131  0.437 0.324  0.541 0.510  0.525 0.477  0.371 0.335  0.329 0.127  0.261 -0.074  0.225 -0.280  0.239 -0.491  0.292 -0.694  0.410 -0.871  0.584 -0.988  0.782 -1.048  0.993 -1.059  1.203 -1.024  1.412 -0.990
2#apb#apb35#app3585/H  -0.227 0.981  -0.306 0.756  -0.399 0.488  -0.522 0.233  -0.649 -0.020  -0.775 -0.273  -0.898 -0.529  -1.013 -0.787  -1.116 -1.051  -1.079 -1.178  -0.890 -0.967  -0.700 -0.756  -0.511 -0.546  -0.322 -0.335  -0.133 -0.124  0.057 0.086  0.246 0.297  0.435 0.508  0.624 0.718  0.814 0.929  1.003 1.140  1.026 1.095  0.938 0.827  0.809 0.576  0.705 0.313  0.602 0.050  0.490 -0.210  0.387 -0.474  0.323 -0.749  0.249 -0.937  0.020 -0.770  -0.209 -0.604  -0.438 -0.438  -0.667 -0.271  -0.896 -0.105  -1.125 0.062  -1.354 0.228  -1.236 0.058  -0.953 0.070  -0.670 0.060  -0.389 0.031  -0.109 0.051  0.169 0.104  0.448 0.152  0.727 0.200  1.004 0.258  1.284 0.301  1.566 0.322  1.819 0.252  1.840 -0.020
2#apb#apb35#app3585/i  -1.670 -0.855  -1.553 -0.794  -1.427 -0.732  -1.322 -0.627  -1.200 -0.545  -1.075 -0.466  -0.969 -0.363  -0.869 -0.254  -0.766 -0.148  -0.647 -0.060  -0.528 0.027  -0.412 0.118  -0.318 0.233  -0.225 0.348  -0.132 0.463  -0.032 0.573  0.068 0.681  0.169 0.790  0.266 0.901  0.362 1.014  0.457 1.127  0.562 1.232  0.597 1.268  0.526 1.139  0.449 1.014  0.357 0.899  0.269 0.779  0.192 0.653  0.114 0.527  0.046 0.396  -0.020 0.263  -0.086 0.131  -0.152 -0.002  -0.218 -0.134  -0.245 -0.278  -0.237 -0.422  -0.182 -0.559  -0.086 -0.663  0.039 -0.742  0.174 -0.771  0.320 -0.746  0.466 -0.720  0.611 -0.695  0.757 -0.671  0.903 -0.646  1.049 -0.622  1.192 -0.582  1.333 -0.538  1.474 -0.493  1.615 -0.448
2#apb#apb35#app3585/l  -1.112 -1.256  -1.009 -1.326  -0.882 -1.271  -0.772 -1.175  -0.660 -1.081  -0.548 -0.987  -0.435 -0.894  -0.323 -0.800  -0.231 -0.687  -0.139 -0.573  -0.055 -0.454  0.020 -0.328  0.095 -0.203  0.171 -0.078  0.265 0.034  0.359 0.146  0.452 0.258  0.512 0.391  0.572 0.525  0.627 0.660  0.676 0.798  0.727 0.934  0.784 1.069  0.824 1.208  0.834 1.353  0.770 1.478  0.627 1.465  0.529 1.357  0.427 1.253  0.319 1.154  0.221 1.047  0.134 0.929  0.050 0.809  -0.023 0.683  -0.096 0.557  -0.164 0.427  -0.227 0.295  -0.289 0.163  -0.345 0.028  -0.398 -0.108  -0.452 -0.244  -0.463 -0.388  -0.463 -0.534  -0.423 -0.673  -0.370 -0.809  -0.287 -0.921  -0.164 -1.000  -0.032 -1.054  0.112 -1.076  0.257 -1.098
2#apb#apb35#app3585/l  -1.224 -1.244  -1.078 -1.255  -0.953 -1.163  -0.828 -1.070  -0.735 -0.946  -0.627 -0.837  -0.495 -0.754  -0.371 -0.663  -0.264 -0.550  -0.157 -0.436  -0.067 -0.310  0.016 -0.179  0.100 -0.048  0.184 0.083  0.268 0.214  0.351 0.345  0.435 0.476  0.519 0.607  0.603 0.738  0.687 0.869  0.770 1.000  0.813 1.143  0.813 1.299  0.792 1.451  0.665 1.499  0.525 1.432  0.402 1.337  0.285 1.234  0.185 1.118  0.107 0.983  0.026 0.851  -0.058 0.720  -0.133 0.584  -0.206 0.446  -0.270 0.305  -0.329 0.161  -0.382 0.015  -0.431 -0.133  -0.454 -0.285  -0.454 -0.440  -0.437 -0.595  -0.406 -0.743  -0.290 -0.846  -0.153 -0.919  -0.009 -0.966  0.145 -0.945  0.299 -0.924  0.453 -0.905  0.607 -0.886  0.762 -0.868
2#apb#apb35#app3585/s  -1.530 -0.800  -1.398 -0.673  -1.254 -0.560  -1.112 -0.442  -0.982 -0.312  -0.870 -0.166  -0.753 -0.024  -0.623 0.107  -0.493 0.237  -0.366 0.371  -0.240 0.506  -0.121 0.646  -0.004 0.789  0.123 0.922  0.254 1.052  0.384 1.180  0.403 1.078  0.385 0.896  0.328 0.721  0.269 0.546  0.217 0.369  0.142 0.201  0.073 0.030  0.009 -0.142  -0.072 -0.307  -0.206 -0.432  -0.329 -0.563  -0.508 -0.603  -0.680 -0.587  -0.843 -0.514  -0.959 -0.371  -0.999 -0.307  -0.847 -0.411  -0.678 -0.462  -0.494 -0.469  -0.312 -0.440  -0.130 -0.411  0.051 -0.377  0.232 -0.341  0.413 -0.305  0.593 -0.267  0.774 -0.228  0.954 -0.190  1.126 -0.125  1.294 -0.049  1.462 0.027  1.616 0.124  1.758 0.242  1.900 0.359  2.042 0.477
