2#apa#apa00#app0041/I  -0.095 1.088  -0.095 0.843  -0.095 0.598  -0.095 0.353  -0.095 0.108  -0.095 -0.137  -0.095 -0.382  -0.095 -0.626  -0.095 -0.871  -0.003 -1.078  0.075 -1.290  0.053 -1.266  -0.012 -1.030  -0.077 -0.794  -0.143 -0.558  -0.208 -0.322  -0.273 -0.086  -0.338 0.151  -0.403 0.387  -0.468 0.623  -0.533 0.859  -0.598 1.095  -0.647 1.210  -0.525 1.088  -0.318 1.180  -0.107 1.261  0.120 1.304  0.340 1.364  0.548 1.455  0.792 1.456  0.734 1.263  0.631 1.041  0.527 0.819  0.424 0.597  0.320 0.375  0.217 0.153  0.113 -0.068  0.010 -0.290  -0.094 -0.512  -0.198 -0.734  -0.301 -0.956  -0.405 -1.178  -0.555 -1.289  -0.388 -1.212  -0.165 -1.120  0.080 -1.120  0.313 -1.045  0.535 -0.942  0.776 -0.921  1.008 -0.844
2#apa#apa00#app0041/f  0.564 1.324  0.470 1.437  0.391 1.510  0.332 1.603  0.179 1.603  0.048 1.553  0.004 1.419  -0.089 1.360  -0.089 1.208  -0.089 1.055  -0.089 0.903  -0.089 0.751  -0.089 0.598  -0.089 0.446  -0.045 0.304  0.004 0.163  0.004 0.011  0.004 -0.141  0.004 -0.294  0.004 -0.446  0.004 -0.598  0.056 -0.738  0.098 -0.881  0.098 -1.033  0.098 -1.186  0.098 -1.338  0.098 -1.490  0.098 -1.643  0.087 -1.712  0.048 -1.564  0.010 -1.417  -0.028 -1.270  -0.067 -1.122  -0.105 -0.975  -0.144 -0.827  -0.182 -0.680  -0.221 -0.533  -0.259 -0.385  -0.298 -0.238  -0.336 -0.090  -0.375 0.057  -0.413 0.204  -0.451 0.352  -0.350 0.391  -0.198 0.391  -0.046 0.391  0.107 0.391  0.259 0.391  0.411 0.391  0.564 0.391
2#apa#apa00#app0041/M  -0.726 1.079  -0.726 0.834  -0.726 0.590  -0.726 0.346  -0.694 0.106  -0.635 -0.131  -0.632 -0.375  -0.563 -0.590  -0.537 -0.824  -0.537 -1.068  -0.521 -1.308  -0.443 -1.534  -0.537 -1.432  -0.537 -1.188  -0.537 -0.944  -0.537 -0.700  -0.537 -0.455  -0.537 -0.211  -0.537 0.033  -0.537 0.277  -0.537 0.521  -0.537 0.765  -0.537 1.009  -0.443 0.998  -0.443 0.754  -0.349 0.604  -0.349 0.360  -0.255 0.138  -0.161 -0.067  -0.067 -0.272  0.063 -0.463  0.216 -0.456  0.369 -0.275  0.404 -0.046  0.448 0.180  0.498 0.404  0.498 0.648  0.541 0.882  0.593 1.114  0.751 1.108  0.885 0.975  0.969 0.766  1.063 0.560  1.063 0.316  1.092 0.079  1.157 -0.150  1.157 -0.394  1.173 -0.632  1.252 -0.843  1.252 -1.087
2#apa#apa00#app0041/y  -0.815 1.066  -0.784 1.202  -0.665 1.275  -0.606 1.185  -0.606 1.036  -0.606 0.887  -0.606 0.738  -0.606 0.590  -0.606 0.441  -0.606 0.292  -0.606 0.143  -0.512 0.033  -0.407 -0.072  -0.367 -0.185  -0.218 -0.185  -0.085 -0.169  -0.024 -0.081  0.020 0.024  0.124 0.129  0.124 0.278  0.124 0.427  0.219 0.536  0.228 0.681  0.228 0.830  0.228 0.979  0.228 1.128  0.228 1.065  0.261 0.930  0.332 0.811  0.332 0.662  0.332 0.513  0.332 0.364  0.332 0.215  0.332 0.067  0.332 -0.082  0.332 -0.231  0.332 -0.380  0.375 -0.522  0.422 -0.663  0.437 -0.809  0.437 -0.958  0.437 -1.107  0.437 -1.255  0.437 -1.404  0.355 -1.519  0.323 -1.655  0.214 -1.750  0.082 -1.791  -0.040 -1.854  -0.189 -1.854
2#apa#apa00#app0041/N  -0.413 1.271  -0.413 1.041  -0.505 0.849  -0.505 0.619  -0.505 0.389  -0.505 0.159  -0.505 -0.071  -0.505 -0.301  -0.505 -0.531  -0.505 -0.761  -0.505 -0.991  -0.516 -1.217  -0.596 -1.180  -0.596 -0.950  -0.596 -0.720  -0.596 -0.489  -0.596 -0.259  -0.596 -0.029  -0.596 0.201  -0.596 0.431  -0.596 0.661  -0.596 0.891  -0.596 1.121  -0.517 1.271  -0.287 1.271  -0.230 1.098  -0.138 0.960  -0.079 0.754  -0.046 0.538  0.046 0.346  0.111 0.131  0.137 -0.093  0.229 -0.301  0.321 -0.493  0.412 -0.685  0.467 -0.893  0.504 -1.108  0.596 -1.300  0.723 -1.353  0.779 -1.147  0.779 -0.916  0.779 -0.686  0.868 -0.477  0.871 -0.248  0.898 -0.022  0.963 0.197  0.986 0.424  1.054 0.643  1.073 0.870  1.146 1.088
2#apa#apa00#app0041/a  -0.743 1.079  -0.594 1.086  -0.581 1.228  -0.431 1.242  -0.321 1.352  -0.176 1.377  -0.020 1.377  0.135 1.377  0.291 1.377  0.447 1.377  0.450 1.225  0.450 1.069  0.450 0.914  0.433 0.765  0.323 0.655  0.301 0.509  0.209 0.391  0.152 0.259  0.152 0.104  0.090 -0.026  0.003 -0.146  -0.036 -0.262  -0.147 -0.308  -0.199 -0.411  -0.337 -0.453  -0.448 -0.560  -0.594 -0.570  -0.610 -0.709  -0.743 -0.732  -0.743 -0.888  -0.717 -1.033  -0.607 -1.143  -0.497 -1.253  -0.364 -1.306  -0.208 -1.306  -0.053 -1.306  0.103 -1.306  0.227 -1.230  0.337 -1.120  0.447 -1.010  0.450 -0.855  0.450 -0.700  0.450 -0.544  0.450 -0.389  0.450 -0.233  0.450 -0.078  0.450 0.078  0.415 0.219  0.305 0.329  0.301 0.483
2#apa#apa00#app0041/m  -1.005 1.031  -1.005 0.815  -1.005 0.598  -1.005 0.381  -1.005 0.164  -1.005 -0.052  -1.005 -0.269  -1.005 -0.486  -1.005 -0.703  -1.005 -0.919  -0.892 -1.089  -0.833 -1.205  -0.738 -1.028  -0.738 -0.811  -0.738 -0.594  -0.738 -0.377  -0.634 -0.203  -0.481 -0.050  -0.470 0.162  -0.364 0.335  -0.292 0.496  -0.203 0.623  0.007 0.630  0.065 0.471  0.065 0.254  0.065 0.038  0.065 -0.179  0.065 -0.396  0.104 -0.574  0.199 -0.453  0.199 -0.236  0.307 -0.064  0.333 0.142  0.425 0.321  0.483 0.513  0.600 0.681  0.695 0.859  0.762 1.031  0.979 1.031  1.062 0.898  1.135 0.754  1.135 0.538  1.135 0.321  1.047 0.141  1.002 -0.057  1.002 -0.274  1.002 -0.491  1.002 -0.707  1.098 -0.901  1.135 -1.109
2#apa#apa00#app0041/e  -0.575 -0.250  -0.422 -0.250  -0.415 -0.105  -0.277 -0.090  -0.162 0.003  -0.037 0.070  0.115 0.070  0.256 0.100  0.364 0.208  0.472 0.317  0.580 0.425  0.688 0.533  0.834 0.550  0.865 0.671  0.865 0.824  0.865 0.977  0.766 1.030  0.705 1.122  0.620 1.190  0.467 1.190  0.322 1.158  0.185 1.090  0.052 1.017  -0.056 0.909  -0.193 0.870  -0.255 0.779  -0.339 0.710  -0.415 0.634  -0.464 0.501  -0.572 0.393  -0.680 0.285  -0.735 0.155  -0.735 0.002  -0.735 -0.151  -0.735 -0.304  -0.735 -0.456  -0.735 -0.609  -0.713 -0.753  -0.605 -0.861  -0.497 -0.969  -0.389 -1.077  -0.281 -1.185  -0.138 -1.211  -0.018 -1.288  0.101 -1.371  0.254 -1.371  0.407 -1.371  0.559 -1.371  0.712 -1.371  0.865 -1.371
2#apa#apa00#app0041/=  -1.359 -0.743  -1.359 -0.900  -1.227 -0.925  -1.071 -0.925  -0.914 -0.925  -0.757 -0.925  -0.610 -0.902  -0.499 -0.791  -0.362 -0.743  -0.206 -0.743  -0.049 -0.743  0.108 -0.743  0.265 -0.743  0.414 -0.697  0.562 -0.647  0.711 -0.598  0.862 -0.562  1.019 -0.562  1.175 -0.562  1.053 -0.486  0.918 -0.407  0.782 -0.328  0.647 -0.249  0.512 -0.170  0.376 -0.091  0.241 -0.013  0.106 0.066  -0.030 0.145  -0.165 0.224  -0.300 0.303  -0.436 0.382  -0.571 0.461  -0.707 0.540  -0.842 0.619  -0.977 0.698  -0.861 0.709  -0.704 0.709  -0.548 0.709  -0.391 0.709  -0.245 0.734  -0.134 0.845  0.004 0.891  0.161 0.891  0.317 0.891  0.474 0.891  0.631 0.891  0.787 0.891  0.944 0.891  1.072 0.961  1.182 1.072
2#apa#apa00#app0041/\"  -0.360 1.255  -0.360 1.069  -0.360 0.883  -0.360 0.696  -0.360 0.510  -0.360 0.324  -0.360 0.138  -0.380 -0.028  -0.566 -0.028  -0.681 -0.100  -0.681 -0.286  -0.681 -0.473  -0.681 -0.659  -0.681 -0.845  -0.681 -1.031  -0.681 -1.217  -0.589 -1.312  -0.403 -1.312  -0.360 -1.455  -0.357 -1.624  -0.304 -1.446  -0.250 -1.267  -0.197 -1.089  -0.143 -0.910  -0.090 -0.732  -0.036 -0.554  0.017 -0.375  0.071 -0.197  0.124 -0.019  0.178 0.160  0.231 0.338  0.285 0.516  0.338 0.695  0.392 0.873  0.445 1.051  0.499 1.230  0.552 1.408  0.602 1.565  0.602 1.378  0.602 1.192  0.602 1.006  0.602 0.820  0.602 0.633  0.602 0.447  0.602 0.261  0.602 0.075  0.602 -0.111  0.602 -0.298  0.602 -0.484  0.602 -0.670
2#apa#apa00#app0041/Y  -0.701 1.098  -0.583 0.980  -0.490 0.851  -0.490 0.684  -0.439 0.568  -0.384 0.456  -0.384 0.289  -0.368 0.128  -0.278 -0.002  -0.278 -0.169  -0.172 -0.292  -0.098 -0.386  -0.066 -0.463  0.024 -0.386  0.040 -0.235  0.040 -0.067  0.040 0.100  0.127 0.231  0.146 0.390  0.213 0.529  0.332 0.648  0.358 0.804  0.358 0.971  0.464 1.032  0.464 1.199  0.570 1.260  0.566 1.405  0.514 1.246  0.461 1.088  0.408 0.929  0.355 0.770  0.302 0.612  0.249 0.453  0.196 0.295  0.144 0.136  0.091 -0.022  0.038 -0.181  -0.015 -0.339  -0.066 -0.498  -0.066 -0.666  -0.082 -0.826  -0.172 -0.956  -0.172 -1.123  -0.172 -1.290  -0.172 -1.457  -0.172 -1.624  -0.172 -1.792  -0.172 -1.959  -0.172 -2.126  -0.172 -2.293
2#apa#apa00#app0041/o  0.049 0.983  0.189 0.983  0.206 1.105  0.101 1.140  -0.013 1.078  -0.114 0.983  -0.254 0.983  -0.356 0.892  -0.443 0.785  -0.505 0.660  -0.568 0.534  -0.693 0.511  -0.737 0.415  -0.793 0.298  -0.892 0.199  -0.894 0.060  -0.894 -0.080  -0.894 -0.219  -0.894 -0.359  -0.894 -0.499  -0.894 -0.639  -0.864 -0.760  -0.739 -0.823  -0.614 -0.886  -0.508 -0.974  -0.404 -1.060  -0.264 -1.060  -0.124 -1.060  0.016 -1.060  0.156 -1.060  0.296 -1.060  0.414 -1.009  0.513 -0.910  0.650 -0.903  0.678 -0.790  0.745 -0.678  0.835 -0.576  0.835 -0.436  0.835 -0.296  0.835 -0.156  0.835 -0.017  0.797 0.115  0.735 0.240  0.678 0.366  0.678 0.506  0.678 0.646  0.678 0.785  0.678 0.925  0.619 1.041  0.520 1.140
2#apa#apa00#app0041/u  -1.259 0.950  -1.074 0.999  -0.928 1.145  -0.755 1.222  -0.549 1.222  -0.343 1.222  -0.138 1.222  -0.034 1.121  -0.155 0.965  -0.218 0.814  -0.306 0.696  -0.390 0.511  -0.442 0.317  -0.554 0.158  -0.632 -0.029  -0.697 -0.224  -0.714 -0.427  -0.714 -0.632  -0.714 -0.838  -0.714 -1.044  -0.603 -1.203  -0.458 -1.349  -0.272 -1.330  -0.109 -1.228  -0.034 -1.098  0.102 -1.028  0.197 -0.862  0.246 -0.676  0.391 -0.531  0.511 -0.375  0.558 -0.180  0.647 0.004  0.647 0.210  0.750 0.373  0.783 0.565  0.783 0.770  0.893 0.814  0.783 0.719  0.647 0.649  0.549 0.542  0.511 0.374  0.410 0.270  0.375 0.099  0.375 -0.107  0.375 -0.313  0.375 -0.518  0.375 -0.724  0.375 -0.929  0.502 -1.083  0.647 -1.228
