1d#tos#f2#f2059065/\"  -0.860 1.188  -0.893 1.072  -0.975 1.007  -0.975 0.858  -0.975 0.710  -0.975 0.562  -0.950 0.418  -0.903 0.277  -0.851 0.140  -0.746 0.035  -0.745 -0.113  -0.745 -0.261  -0.745 -0.409  -0.745 -0.558  -0.745 -0.706  -0.745 -0.854  -0.745 -1.002  -0.727 -1.096  -0.640 -0.976  -0.553 -0.856  -0.467 -0.736  -0.380 -0.615  -0.293 -0.495  -0.206 -0.375  -0.119 -0.255  -0.032 -0.135  0.054 -0.014  0.141 0.106  0.228 0.226  0.315 0.346  0.402 0.466  0.488 0.586  0.575 0.707  0.662 0.827  0.749 0.947  0.871 0.936  0.871 0.788  0.871 0.640  0.871 0.492  0.871 0.343  0.871 0.195  0.871 0.047  0.871 -0.102  0.888 -0.247  0.935 -0.388  0.982 -0.528  0.987 -0.676  1.036 -0.774  1.102 -0.857  1.218 -0.890
1d#tos#f2#f2059065/#  -1.160 0.475  -1.152 0.475  -0.721 0.475  -0.291 0.475  0.139 0.468  0.565 0.422  0.981 0.348  1.374 0.211  1.165 0.176  0.737 0.129  0.308 0.083  -0.120 0.036  -0.548 -0.011  -0.977 -0.058  -1.405 -0.104  -1.449 -0.371  -1.018 -0.371  -0.607 -0.477  -0.186 -0.499  0.210 -0.582  0.641 -0.582  1.055 -0.573  0.823 -0.210  0.591 0.153  0.359 0.516  0.127 0.879  -0.105 1.242  -0.493 1.321  -0.631 0.998  -0.631 0.567  -0.631 0.136  -0.631 -0.295  -0.578 -0.719  -0.526 -1.141  -0.526 -1.572  -0.363 -1.205  -0.194 -0.808  -0.025 -0.412  0.144 -0.015  0.313 0.381  0.482 0.777  0.650 1.174  0.580 1.259  0.532 0.839  0.532 0.408  0.532 -0.022  0.532 -0.453  0.532 -0.884  0.532 -1.315  0.532 -1.746
1d#tos#f2#f2059065/$  0.504 0.539  0.504 0.501  0.337 0.647  0.174 0.796  -0.081 0.796  -0.335 0.796  -0.536 0.649  -0.632 0.460  -0.595 0.215  -0.428 0.042  -0.207 -0.049  -0.019 -0.211  0.203 -0.325  0.408 -0.453  0.584 -0.636  0.793 -0.776  0.806 -1.005  0.672 -1.191  0.424 -1.219  0.170 -1.219  -0.065 -1.142  -0.316 -1.110  -0.465 -0.941  -0.498 -0.715  -0.441 -0.467  -0.383 -0.219  -0.325 0.029  -0.267 0.277  -0.210 0.525  -0.152 0.772  -0.094 1.020  -0.037 1.268  0.021 1.516  0.079 1.764  0.042 1.726  -0.103 1.565  -0.119 1.326  -0.112 1.072  -0.079 0.820  -0.047 0.568  -0.014 0.315  0.018 0.063  0.051 -0.189  0.083 -0.442  0.116 -0.694  0.148 -0.947  0.157 -1.197  0.101 -1.411  0.064 -1.629  0.101 -1.879
1d#tos#f2#f2059065/%  -0.280 0.375  -0.443 0.299  -0.629 0.398  -0.770 0.572  -0.770 0.811  -0.671 0.964  -0.463 1.068  -0.228 1.091  -0.054 0.974  -0.054 0.736  -0.205 0.596  -0.291 0.412  -0.416 0.299  -0.385 0.384  -0.189 0.519  0.007 0.655  0.203 0.790  0.399 0.926  0.594 1.061  0.790 1.197  0.944 1.297  0.738 1.204  0.600 1.067  0.535 0.860  0.341 0.732  0.214 0.539  0.182 0.303  0.113 0.077  -0.041 -0.101  -0.150 -0.308  -0.250 -0.522  -0.371 -0.726  -0.458 -0.946  -0.600 -1.137  -0.693 -1.351  -0.770 -1.542  -0.558 -1.449  -0.342 -1.350  -0.125 -1.251  0.091 -1.151  0.308 -1.052  0.524 -0.952  0.587 -1.019  0.398 -1.023  0.285 -0.867  0.323 -0.666  0.386 -0.492  0.583 -0.560  0.586 -0.797  0.473 -0.944
1d#tos#f2#f2059065/&  0.539 0.207  0.499 0.001  0.486 -0.207  0.459 -0.414  0.379 -0.591  0.316 -0.776  0.158 -0.913  -0.007 -1.032  -0.206 -1.090  -0.406 -1.152  -0.616 -1.152  -0.826 -1.152  -0.860 -0.975  -0.799 -0.802  -0.752 -0.625  -0.567 -0.540  -0.419 -0.391  -0.251 -0.268  -0.100 -0.151  0.022 0.007  0.181 0.090  0.322 0.205  0.435 0.382  0.499 0.542  0.499 0.752  0.447 0.950  0.351 1.086  0.264 1.236  0.125 1.380  0.020 1.547  -0.169 1.603  -0.362 1.645  -0.489 1.551  -0.540 1.372  -0.540 1.162  -0.540 0.951  -0.540 0.741  -0.420 0.595  -0.383 0.397  -0.240 0.247  -0.153 0.071  -0.075 -0.123  0.019 -0.311  0.185 -0.438  0.311 -0.599  0.422 -0.756  0.581 -0.893  0.752 -1.014  0.892 -1.160  1.099 -1.192
1d#tos#f2#f2059065/*  0.273 1.567  0.158 1.379  0.158 1.076  0.158 0.772  0.158 0.469  0.158 0.166  0.158 -0.138  0.158 -0.441  0.154 -0.744  0.101 -1.040  0.101 -1.343  0.101 -1.647  0.154 -1.861  0.069 -1.569  -0.015 -1.278  -0.099 -0.987  -0.183 -0.695  -0.267 -0.404  -0.351 -0.112  -0.435 0.179  -0.519 0.470  -0.603 0.762  -0.687 1.053  -0.927 1.056  -1.201 0.936  -1.061 0.771  -0.796 0.627  -0.560 0.439  -0.317 0.258  -0.075 0.078  0.079 -0.155  0.383 -0.155  0.552 -0.351  0.789 -0.442  0.978 -0.556  1.019 -0.294  1.019 0.010  1.019 0.313  1.019 0.616  1.019 0.919  0.739 0.879  0.504 0.768  0.355 0.517  0.153 0.357  -0.030 0.121  -0.269 -0.065  -0.484 -0.280  -0.698 -0.494  -0.949 -0.663  -1.162 -0.843
1d#tos#f2#f2059065/  -1.092 0.183  -1.145 0.129  -1.211 0.092  -1.279 0.058  -1.347 0.025  -1.399 -0.019  -1.399 -0.031  -1.353 -0.002  -1.277 -0.002  -1.201 -0.002  -1.128 0.011  -1.061 0.045  -0.988 0.060  -0.912 0.060  -0.837 0.060  -0.761 0.060  -0.685 0.060  -0.609 0.060  -0.534 0.060  -0.460 0.051  -0.392 0.017  -0.322 -0.010  -0.248 -0.028  -0.175 -0.047  -0.101 -0.063  -0.025 -0.063  0.051 -0.063  0.127 -0.063  0.202 -0.063  0.278 -0.063  0.354 -0.063  0.430 -0.063  0.506 -0.063  0.581 -0.063  0.657 -0.063  0.733 -0.063  0.809 -0.063  0.884 -0.063  0.960 -0.063  1.036 -0.063  1.112 -0.063  1.187 -0.061  1.259 -0.037  1.331 -0.013  1.405 -0.002  1.481 -0.002  1.554 0.004  1.608 0.058  1.662 0.111  1.733 0.121
1d#tos#f2#f2059065/.  0.055 1.757  0.055 1.683  0.055 1.609  0.055 1.535  0.055 1.461  0.055 1.387  0.055 1.313  0.055 1.239  0.055 1.165  0.055 1.091  0.055 1.017  0.055 0.943  0.055 0.869  0.055 0.795  0.055 0.721  0.055 0.647  0.055 0.573  0.055 0.499  0.055 0.425  0.055 0.351  0.055 0.277  0.055 0.203  0.055 0.129  0.055 0.055  0.055 -0.018  0.055 -0.092  0.055 -0.166  0.055 -0.240  0.055 -0.314  0.055 -0.388  0.055 -0.462  0.055 -0.536  0.055 -0.610  0.055 -0.684  0.055 -0.758  0.055 -0.832  0.055 -0.906  0.055 -0.980  0.055 -1.054  0.055 -1.128  0.055 -1.202  0.043 -1.264  -0.031 -1.264  -0.105 -1.264  -0.179 -1.264  -0.253 -1.264  -0.327 -1.264  -0.401 -1.264  -0.475 -1.264  -0.549 -1.264
1d#tos#f2#f2059065/:  -0.021 1.589  -0.086 1.556  -0.152 1.523  -0.157 1.451  -0.190 1.386  -0.222 1.320  -0.156 1.314  -0.156 1.240  -0.144 1.172  -0.091 1.120  -0.078 1.048  -0.066 0.975  -0.055 0.903  -0.044 0.830  -0.033 0.757  -0.022 0.684  -0.010 0.612  0.001 0.539  0.012 0.466  0.023 0.393  0.034 0.320  0.046 0.248  0.057 0.175  0.068 0.102  0.079 0.029  0.090 -0.043  0.102 -0.116  0.113 -0.189  0.124 -0.262  0.135 -0.334  0.146 -0.407  0.157 -0.480  0.169 -0.553  0.180 -0.625  0.182 -0.699  0.182 -0.772  0.131 -0.825  0.084 -0.882  0.040 -0.941  -0.004 -1.000  -0.048 -1.058  -0.088 -1.119  -0.088 -1.192  -0.088 -1.266  -0.088 -1.340  -0.088 -1.413  -0.061 -1.476  -0.009 -1.528  0.043 -1.580  0.047 -1.652
1d#tos#f2#f2059065/=  -0.874 1.251  -0.916 1.108  -0.985 0.971  -0.974 0.956  -0.821 0.956  -0.692 0.897  -0.544 0.866  -0.396 0.838  -0.243 0.838  -0.090 0.838  0.063 0.838  0.207 0.799  0.344 0.730  0.495 0.720  0.648 0.720  0.801 0.720  0.954 0.720  1.013 0.626  0.906 0.529  0.780 0.442  0.654 0.355  0.528 0.269  0.402 0.182  0.276 0.095  0.149 0.009  0.023 -0.078  -0.103 -0.165  -0.229 -0.251  -0.355 -0.338  -0.481 -0.425  -0.607 -0.512  -0.733 -0.598  -0.860 -0.685  -0.979 -0.777  -0.979 -0.813  -0.825 -0.813  -0.672 -0.813  -0.519 -0.813  -0.366 -0.813  -0.213 -0.813  -0.060 -0.813  0.093 -0.813  0.243 -0.832  0.389 -0.872  0.542 -0.872  0.695 -0.872  0.848 -0.872  1.002 -0.872  1.155 -0.872  1.308 -0.872
1d#tos#f2#f2059065/>  -0.747 1.347  -0.859 1.347  -0.925 1.281  -0.955 1.174  -0.879 1.128  -0.779 1.077  -0.678 1.027  -0.580 0.973  -0.501 0.893  -0.418 0.819  -0.318 0.767  -0.225 0.705  -0.122 0.672  -0.038 0.620  0.025 0.527  0.132 0.517  0.243 0.503  0.352 0.476  0.394 0.397  0.418 0.301  0.525 0.266  0.627 0.219  0.727 0.169  0.813 0.098  0.901 0.030  1.006 -0.002  0.968 -0.054  0.959 -0.158  0.847 -0.158  0.734 -0.158  0.646 -0.217  0.552 -0.261  0.463 -0.308  0.396 -0.398  0.319 -0.469  0.216 -0.492  0.136 -0.571  0.108 -0.680  0.075 -0.784  -0.026 -0.835  -0.126 -0.885  -0.227 -0.935  -0.278 -1.035  -0.356 -1.115  -0.457 -1.143  -0.488 -1.225  -0.578 -1.247  -0.591 -1.346  -0.687 -1.399  -0.747 -1.455
