3#apb#apb38#app3800/4  -0.668 1.056  -0.732 0.929  -0.764 0.759  -0.809 0.591  -0.868 0.428  -0.936 0.268  -1.013 0.113  -1.066 -0.052  -1.112 -0.219  -1.204 -0.366  -1.236 -0.535  -1.238 -0.707  -1.159 -0.804  -0.993 -0.766  -0.835 -0.700  -0.682 -0.617  -0.533 -0.527  -0.376 -0.456  -0.211 -0.401  -0.040 -0.372  0.127 -0.326  0.300 -0.323  0.462 -0.373  0.513 -0.249  0.552 -0.080  0.590 0.090  0.628 0.259  0.667 0.429  0.705 0.598  0.744 0.767  0.782 0.937  0.821 1.106  0.859 1.276  0.807 1.234  0.730 1.079  0.655 0.922  0.601 0.759  0.568 0.588  0.539 0.417  0.534 0.245  0.546 0.071  0.542 -0.102  0.530 -0.275  0.504 -0.447  0.472 -0.618  0.438 -0.788  0.400 -0.957  0.345 -1.122  0.287 -1.286  0.228 -1.450
3#apb#apb38#app3800/8  -0.014 1.426  -0.150 1.303  -0.287 1.181  -0.425 1.062  -0.586 0.976  -0.728 0.863  -0.853 0.730  -0.963 0.585  -1.021 0.415  -0.923 0.286  -0.741 0.274  -0.559 0.293  -0.376 0.293  -0.194 0.282  -0.012 0.264  0.169 0.239  0.337 0.167  0.504 0.099  0.618 -0.043  0.685 -0.212  0.754 -0.375  0.736 -0.553  0.687 -0.729  0.643 -0.906  0.566 -1.066  0.443 -1.201  0.308 -1.322  0.143 -1.396  -0.028 -1.458  -0.204 -1.495  -0.375 -1.442  -0.482 -1.332  -0.492 -1.150  -0.457 -0.973  -0.403 -0.798  -0.345 -0.624  -0.212 -0.500  -0.090 -0.366  0.015 -0.216  0.133 -0.076  0.254 0.061  0.371 0.202  0.477 0.351  0.576 0.503  0.615 0.680  0.570 0.851  0.495 1.016  0.419 1.178  0.287 1.300  0.112 1.350
3#apb#apb38#app3800/1  0.076 1.456  0.005 1.457  -0.026 1.521  -0.034 1.529  -0.045 1.459  -0.057 1.389  -0.063 1.319  -0.063 1.248  -0.063 1.177  -0.063 1.106  -0.063 1.035  -0.063 0.964  -0.063 0.893  -0.063 0.822  -0.060 0.751  -0.054 0.680  -0.049 0.610  -0.043 0.539  -0.038 0.468  -0.032 0.398  -0.027 0.327  -0.020 0.256  -0.012 0.186  -0.005 0.115  0.002 0.045  0.006 -0.026  0.006 -0.097  0.006 -0.168  0.006 -0.239  0.006 -0.310  0.006 -0.381  0.006 -0.452  0.006 -0.523  0.006 -0.594  0.006 -0.665  0.006 -0.736  0.006 -0.806  0.020 -0.875  0.043 -0.942  0.065 -1.010  0.080 -1.079  0.089 -1.149  0.098 -1.219  0.107 -1.290  0.102 -1.360  0.088 -1.429  0.073 -1.499  0.051 -1.566  0.029 -1.633  0.006 -1.701
3#apb#apb38#app3800/0  0.256 0.977  0.128 0.967  0.003 0.931  -0.118 0.883  -0.234 0.829  -0.321 0.732  -0.407 0.635  -0.494 0.538  -0.581 0.441  -0.655 0.335  -0.722 0.224  -0.800 0.121  -0.886 0.024  -0.965 -0.079  -1.035 -0.189  -1.097 -0.301  -1.123 -0.429  -1.124 -0.554  -1.083 -0.678  -1.002 -0.774  -0.901 -0.855  -0.778 -0.897  -0.655 -0.938  -0.526 -0.944  -0.396 -0.944  -0.268 -0.934  -0.148 -0.884  -0.028 -0.835  0.093 -0.785  0.206 -0.722  0.319 -0.658  0.432 -0.595  0.545 -0.530  0.657 -0.464  0.762 -0.389  0.848 -0.292  0.934 -0.195  1.020 -0.097  1.097 0.006  1.145 0.123  1.117 0.250  1.074 0.372  1.016 0.488  0.937 0.588  0.839 0.674  0.753 0.770  0.673 0.873  0.590 0.973  0.505 1.071  0.394 1.138
3#apb#apb38#app3800/P  -0.284 0.081  -0.305 0.149  -0.345 -0.009  -0.373 -0.169  -0.373 -0.333  -0.394 -0.495  -0.417 -0.656  -0.397 -0.819  -0.377 -0.981  -0.354 -1.143  -0.331 -1.304  -0.293 -1.463  -0.230 -1.591  -0.217 -1.575  -0.217 -1.412  -0.217 -1.248  -0.250 -1.089  -0.292 -0.931  -0.325 -0.771  -0.353 -0.610  -0.380 -0.449  -0.403 -0.287  -0.434 -0.127  -0.478 0.031  -0.521 0.188  -0.529 0.351  -0.529 0.514  -0.529 0.677  -0.493 0.833  -0.435 0.986  -0.331 1.104  -0.187 1.173  -0.024 1.173  0.140 1.173  0.301 1.155  0.459 1.116  0.621 1.092  0.776 1.049  0.925 0.981  1.063 0.897  1.173 0.776  1.151 0.644  1.063 0.507  0.981 0.366  0.847 0.272  0.712 0.180  0.576 0.089  0.429 0.019  0.277 -0.040  0.118 -0.075
3#apb#apb38#app3800/a  0.138 0.954  -0.020 0.946  -0.168 0.886  -0.311 0.817  -0.451 0.739  -0.590 0.662  -0.701 0.552  -0.793 0.422  -0.885 0.292  -0.974 0.159  -1.061 0.026  -1.126 -0.120  -1.190 -0.266  -1.236 -0.415  -1.216 -0.573  -1.196 -0.731  -1.120 -0.870  -1.021 -0.982  -0.864 -1.008  -0.706 -1.015  -0.547 -1.001  -0.388 -0.986  -0.243 -0.943  -0.130 -0.830  -0.017 -0.717  0.096 -0.605  0.195 -0.481  0.286 -0.350  0.378 -0.219  0.466 -0.087  0.525 0.061  0.584 0.209  0.643 0.358  0.678 0.513  0.713 0.669  0.701 0.815  0.606 0.942  0.457 0.922  0.413 0.794  0.436 0.637  0.468 0.482  0.556 0.349  0.645 0.217  0.758 0.104  0.871 -0.009  0.993 -0.110  1.123 -0.203  1.255 -0.291  1.409 -0.335  1.562 -0.379
3#apb#apb38#app3800/r  -0.152 -0.648  -0.096 -0.717  -0.041 -0.787  0.015 -0.857  0.072 -0.925  0.129 -0.994  0.186 -1.062  0.243 -1.131  0.287 -1.208  0.326 -1.288  0.392 -1.327  0.405 -1.296  0.369 -1.216  0.341 -1.131  0.313 -1.047  0.285 -0.962  0.256 -0.877  0.228 -0.793  0.200 -0.708  0.172 -0.624  0.144 -0.539  0.114 -0.455  0.077 -0.374  0.040 -0.293  0.004 -0.211  -0.033 -0.130  -0.070 -0.049  -0.107 0.032  -0.129 0.119  -0.150 0.205  -0.172 0.292  -0.193 0.378  -0.215 0.465  -0.237 0.551  -0.255 0.638  -0.273 0.726  -0.290 0.813  -0.308 0.901  -0.325 0.988  -0.333 1.076  -0.333 1.166  -0.319 1.252  -0.290 1.337  -0.262 1.421  -0.216 1.487  -0.130 1.508  -0.044 1.531  0.041 1.560  0.126 1.588  0.210 1.616
3#apb#apb38#app3800/k  -0.716 1.346  -0.733 1.186  -0.782 1.015  -0.817 0.841  -0.846 0.665  -0.873 0.488  -0.879 0.310  -0.879 0.132  -0.879 -0.046  -0.879 -0.224  -0.879 -0.403  -0.879 -0.581  -0.879 -0.759  -0.852 -0.935  -0.807 -1.107  -0.711 -1.250  -0.608 -1.132  -0.513 -0.981  -0.419 -0.829  -0.324 -0.678  -0.281 -0.512  -0.204 -0.357  -0.080 -0.231  0.047 -0.107  0.152 0.037  0.261 0.178  0.387 0.304  0.514 0.429  0.647 0.548  0.786 0.658  0.946 0.737  1.077 0.857  1.169 1.005  1.230 1.013  1.099 0.891  0.968 0.770  0.837 0.649  0.706 0.528  0.576 0.407  0.445 0.285  0.314 0.164  0.183 0.043  0.153 -0.122  0.209 -0.288  0.266 -0.457  0.339 -0.618  0.426 -0.774  0.525 -0.922  0.646 -1.046  0.805 -1.126
3#apb#apb38#app3800/C  0.938 0.993  0.945 1.068  0.872 1.116  0.791 1.155  0.712 1.176  0.625 1.151  0.538 1.129  0.449 1.119  0.359 1.109  0.278 1.080  0.208 1.023  0.138 0.966  0.068 0.909  -0.001 0.852  -0.065 0.788  -0.128 0.724  -0.192 0.661  -0.256 0.597  -0.317 0.531  -0.376 0.463  -0.436 0.396  -0.494 0.327  -0.514 0.240  -0.534 0.152  -0.554 0.064  -0.575 -0.024  -0.606 -0.108  -0.638 -0.192  -0.651 -0.278  -0.633 -0.366  -0.615 -0.455  -0.591 -0.541  -0.547 -0.619  -0.503 -0.698  -0.457 -0.774  -0.389 -0.834  -0.321 -0.893  -0.253 -0.952  -0.170 -0.985  -0.085 -1.013  0.001 -1.042  0.088 -1.065  0.175 -1.089  0.262 -1.113  0.350 -1.125  0.440 -1.125  0.530 -1.125  0.620 -1.125  0.710 -1.125  0.800 -1.125
3#apb#apb38#app3800/t  -0.309 0.423  -0.166 0.480  -0.023 0.425  0.047 0.290  0.089 0.141  0.101 -0.011  0.101 -0.166  0.101 -0.320  0.101 -0.475  0.101 -0.629  0.101 -0.784  0.123 -0.936  0.156 -1.086  0.193 -1.236  0.248 -1.379  0.333 -1.507  0.389 -1.572  0.366 -1.449  0.283 -1.318  0.201 -1.187  0.119 -1.057  0.036 -0.926  -0.046 -0.796  -0.129 -0.665  -0.211 -0.535  -0.294 -0.404  -0.376 -0.273  -0.459 -0.143  -0.541 -0.012  -0.624 0.118  -0.706 0.249  -0.789 0.379  -0.871 0.510  -0.954 0.641  -0.927 0.770  -0.778 0.796  -0.624 0.804  -0.470 0.807  -0.320 0.845  -0.170 0.882  -0.017 0.899  0.137 0.909  0.291 0.920  0.439 0.962  0.587 1.007  0.735 1.048  0.887 1.078  1.035 1.120  1.176 1.181  1.330 1.184
3#apb#apb38#app3800/.  1.800 0.564  1.695 0.564  1.590 0.564  1.485 0.564  1.443 0.501  1.443 0.396  1.443 0.292  1.422 0.207  1.317 0.207  1.213 0.207  1.108 0.207  1.003 0.207  0.898 0.207  0.793 0.207  0.690 0.194  0.591 0.161  0.491 0.128  0.392 0.095  0.292 0.062  0.193 0.028  0.093 -0.005  -0.006 -0.038  -0.106 -0.071  -0.205 -0.104  -0.305 -0.137  -0.388 -0.197  -0.462 -0.271  -0.536 -0.345  -0.611 -0.419  -0.685 -0.493  -0.698 -0.420  -0.698 -0.315  -0.698 -0.210  -0.729 -0.181  -0.803 -0.255  -0.877 -0.329  -0.952 -0.403  -1.026 -0.478  -1.054 -0.442  -1.054 -0.337  -1.054 -0.232  -1.054 -0.127  -1.054 -0.022  -1.054 0.083  -1.054 0.187  -0.994 0.147  -0.920 0.073  -0.846 -0.001  -0.772 -0.075  -0.698 -0.149
