2#apa#apa14#app1416/a  0.133 1.389  -0.033 1.389  -0.184 1.355  -0.301 1.238  -0.418 1.121  -0.534 1.004  -0.608 0.861  -0.660 0.704  -0.712 0.547  -0.765 0.390  -0.817 0.233  -0.869 0.076  -0.921 -0.080  -0.974 -0.237  -0.996 -0.399  -0.996 -0.564  -0.993 -0.729  -0.876 -0.845  -0.734 -0.807  -0.587 -0.733  -0.467 -0.620  -0.350 -0.504  -0.242 -0.379  -0.143 -0.247  -0.043 -0.115  0.056 0.018  0.149 0.153  0.223 0.301  0.297 0.449  0.371 0.597  0.415 0.752  0.415 0.917  0.415 0.850  0.415 0.685  0.415 0.519  0.415 0.354  0.415 0.189  0.415 0.023  0.415 -0.142  0.443 -0.304  0.476 -0.466  0.508 -0.629  0.540 -0.791  0.617 -0.929  0.744 -1.032  0.892 -1.106  1.047 -1.149  1.212 -1.149  1.378 -1.149  1.402 -1.008
2#apa#apa14#app1416/b  -0.151 1.803  -0.151 1.913  -0.151 1.838  -0.151 1.728  -0.151 1.618  -0.151 1.508  -0.151 1.397  -0.151 1.287  -0.151 1.177  -0.151 1.066  -0.151 0.956  -0.151 0.846  -0.151 0.736  -0.151 0.625  -0.151 0.515  -0.151 0.405  -0.151 0.295  -0.151 0.184  -0.151 0.074  -0.151 -0.036  -0.151 -0.147  -0.151 -0.257  -0.151 -0.367  -0.151 -0.477  -0.151 -0.588  -0.151 -0.698  -0.151 -0.808  -0.151 -0.919  -0.151 -1.029  -0.151 -1.139  -0.151 -1.249  -0.151 -1.360  -0.082 -1.401  0.013 -1.364  0.091 -1.286  0.127 -1.184  0.154 -1.077  0.181 -0.970  0.207 -0.863  0.235 -0.757  0.284 -0.658  0.333 -0.559  0.377 -0.458  0.411 -0.354  0.446 -0.249  0.481 -0.144  0.452 -0.044  0.403 0.054  0.361 0.155  0.361 0.265
2#apa#apa14#app1416/c  -0.000 1.357  -0.125 1.357  -0.211 1.319  -0.211 1.194  -0.176 1.078  -0.120 0.966  -0.065 0.855  -0.009 0.744  0.105 0.726  0.210 0.707  0.210 0.583  0.210 0.574  0.210 0.699  0.210 0.823  0.199 0.937  0.075 0.937  -0.050 0.937  -0.174 0.937  -0.211 0.848  -0.212 0.724  -0.267 0.613  -0.323 0.501  -0.379 0.390  -0.434 0.279  -0.490 0.167  -0.546 0.056  -0.602 -0.055  -0.631 -0.173  -0.631 -0.297  -0.631 -0.422  -0.623 -0.543  -0.535 -0.631  -0.447 -0.719  -0.382 -0.824  -0.326 -0.935  -0.271 -1.046  -0.215 -1.158  -0.096 -1.166  0.029 -1.166  0.153 -1.166  0.278 -1.166  0.402 -1.166  0.527 -1.166  0.645 -1.152  0.733 -1.064  0.821 -0.976  0.927 -0.913  1.039 -0.857  1.150 -0.801  1.261 -0.746
2#apa#apa14#app1416/d  0.398 1.855  0.265 1.855  0.227 1.759  0.227 1.625  0.237 1.494  0.297 1.375  0.357 1.255  0.398 1.132  0.398 0.998  0.398 0.865  0.398 0.731  0.398 0.598  0.398 0.464  0.398 0.331  0.398 0.198  0.398 0.064  0.398 -0.069  0.398 -0.203  0.398 -0.336  0.398 -0.470  0.398 -0.603  0.398 -0.673  0.398 -0.539  0.398 -0.406  0.398 -0.272  0.398 -0.139  0.386 -0.010  0.292 0.084  0.185 0.149  0.053 0.145  -0.041 0.051  -0.144 -0.022  -0.278 -0.022  -0.411 -0.022  -0.545 -0.022  -0.649 -0.069  -0.709 -0.188  -0.768 -0.308  -0.796 -0.435  -0.796 -0.568  -0.796 -0.701  -0.796 -0.835  -0.796 -0.968  -0.750 -1.077  -0.639 -1.151  -0.528 -1.225  -0.417 -1.299  -0.306 -1.373  -0.208 -1.463  -0.114 -1.558
2#apa#apa14#app1416/e  -0.892 0.496  -0.892 0.666  -0.892 0.579  -0.805 0.496  -0.637 0.482  -0.477 0.428  -0.316 0.374  -0.155 0.321  0.003 0.260  0.155 0.184  0.307 0.108  0.441 0.139  0.561 0.259  0.706 0.345  0.858 0.420  1.009 0.497  0.889 0.617  0.798 0.749  0.798 0.918  0.628 0.918  0.459 0.918  0.289 0.918  0.119 0.918  -0.050 0.918  -0.220 0.918  -0.317 0.801  -0.393 0.649  -0.469 0.497  -0.588 0.377  -0.708 0.257  -0.828 0.137  -0.892 -0.006  -0.892 -0.176  -0.892 -0.346  -0.799 -0.487  -0.705 -0.629  -0.611 -0.770  -0.517 -0.911  -0.385 -0.982  -0.215 -0.982  -0.046 -0.983  0.106 -1.059  0.258 -1.134  0.413 -1.193  0.583 -1.193  0.753 -1.193  0.922 -1.193  1.092 -1.193  1.220 -1.152  1.220 -0.982
2#apa#apa14#app1416/f  0.348 1.296  0.237 1.406  0.155 1.537  0.085 1.676  -0.039 1.727  -0.195 1.727  -0.283 1.617  -0.353 1.477  -0.372 1.325  -0.372 1.169  -0.372 1.013  -0.369 0.858  -0.311 0.713  -0.253 0.568  -0.195 0.423  -0.137 0.278  -0.081 0.132  -0.043 -0.019  -0.005 -0.170  0.033 -0.322  0.079 -0.470  0.149 -0.609  0.215 -0.751  0.264 -0.899  0.313 -1.047  0.381 -1.184  0.491 -1.294  0.479 -1.147  0.328 -1.109  0.177 -1.071  0.025 -1.034  -0.126 -0.996  -0.278 -0.958  -0.429 -0.920  -0.581 -0.882  -0.659 -0.788  -0.659 -0.632  -0.659 -0.476  -0.548 -0.431  -0.405 -0.376  -0.265 -0.306  -0.126 -0.236  0.014 -0.166  0.164 -0.143  0.320 -0.143  0.476 -0.143  0.633 -0.143  0.772 -0.074  0.912 -0.005  1.067 0.001
2#apa#apa14#app1416/g  0.446 1.007  0.387 1.125  0.328 1.243  0.214 1.272  0.082 1.272  -0.033 1.217  -0.142 1.144  -0.252 1.071  -0.359 0.995  -0.452 0.902  -0.546 0.809  -0.639 0.716  -0.732 0.623  -0.744 0.496  -0.744 0.364  -0.744 0.233  -0.664 0.134  -0.553 0.082  -0.422 0.082  -0.296 0.108  -0.178 0.167  -0.065 0.232  0.028 0.325  0.121 0.418  0.182 0.525  0.182 0.657  0.182 0.698  0.182 0.566  0.182 0.434  0.182 0.302  0.182 0.171  0.182 0.039  0.182 -0.093  0.190 -0.224  0.216 -0.353  0.242 -0.482  0.267 -0.611  0.293 -0.740  0.322 -0.869  0.364 -0.994  0.406 -1.119  0.446 -1.244  0.446 -1.375  0.446 -1.507  0.444 -1.637  0.312 -1.637  0.180 -1.637  0.048 -1.637  -0.083 -1.637  -0.215 -1.637
2#apa#apa14#app1416/h  -0.740 1.913  -0.683 1.799  -0.626 1.685  -0.596 1.562  -0.571 1.437  -0.546 1.312  -0.521 1.187  -0.496 1.062  -0.495 0.935  -0.494 0.808  -0.463 0.684  -0.432 0.561  -0.401 0.437  -0.373 0.314  -0.373 0.186  -0.373 0.059  -0.373 -0.068  -0.373 -0.196  -0.373 -0.323  -0.373 -0.451  -0.373 -0.578  -0.373 -0.609  -0.373 -0.482  -0.373 -0.354  -0.373 -0.227  -0.325 -0.120  -0.235 -0.030  -0.144 0.061  -0.054 0.151  0.053 0.200  0.173 0.171  0.287 0.114  0.401 0.058  0.515 0.001  0.607 -0.070  0.616 -0.196  0.656 -0.317  0.697 -0.438  0.729 -0.560  0.729 -0.687  0.729 -0.814  0.729 -0.942  0.729 -1.069  0.694 -1.182  0.607 -1.273  0.607 -1.382  0.613 -1.257  0.670 -1.143  0.727 -1.029  0.729 -0.902
2#apa#apa14#app1416/i  -0.445 0.429  -0.445 0.560  -0.445 0.521  -0.445 0.389  -0.445 0.258  -0.445 0.126  -0.445 -0.005  -0.445 -0.136  -0.445 -0.268  -0.445 -0.399  -0.445 -0.531  -0.445 -0.662  -0.445 -0.794  -0.445 -0.925  -0.399 -1.037  -0.306 -1.130  -0.191 -1.169  -0.059 -1.169  0.072 -1.169  0.191 -1.117  0.309 -1.058  0.427 -0.999  0.556 -0.991  0.668 -0.943  0.761 -0.850  0.854 -0.757  0.947 -0.664  0.922 -0.561  0.847 -0.453  0.773 -0.344  0.698 -0.236  0.623 -0.128  0.548 -0.020  0.473 0.088  0.398 0.196  0.324 0.304  0.249 0.412  0.174 0.520  0.099 0.628  0.024 0.736  -0.051 0.844  -0.125 0.953  -0.200 1.061  -0.275 1.169  -0.350 1.277  -0.425 1.385  -0.499 1.493  -0.574 1.601  -0.623 1.717  -0.623 1.849
2#apa#apa14#app1416/j  0.168 0.789  0.068 0.890  -0.056 0.933  -0.085 0.863  -0.021 0.736  0.024 0.605  0.036 0.465  0.081 0.330  0.126 0.195  0.171 0.060  0.216 -0.074  0.261 -0.209  0.306 -0.344  0.312 -0.485  0.312 -0.627  0.312 -0.769  0.312 -0.911  0.312 -1.053  0.312 -1.195  0.235 -1.305  0.121 -1.372  0.024 -1.418  -0.019 -1.516  -0.161 -1.516  -0.260 -1.477  -0.247 -1.335  -0.233 -1.194  -0.220 -1.053  -0.206 -0.911  -0.193 -0.770  -0.179 -0.628  -0.166 -0.487  -0.152 -0.345  -0.139 -0.204  -0.125 -0.063  -0.112 0.079  -0.099 0.220  -0.085 0.362  -0.072 0.503  -0.058 0.645  -0.045 0.786  -0.031 0.927  -0.018 1.069  -0.004 1.210  0.009 1.352  0.023 1.493  -0.064 1.598  -0.165 1.699  -0.264 1.796  -0.264 1.654
2#apa#apa14#app1416/k  -0.601 1.545  -0.750 1.694  -0.769 1.530  -0.751 1.322  -0.684 1.122  -0.618 0.922  -0.601 0.714  -0.596 0.504  -0.561 0.296  -0.526 0.088  -0.492 -0.120  -0.457 -0.328  -0.388 -0.518  -0.265 -0.678  -0.265 -0.889  -0.265 -1.100  -0.149 -1.262  -0.071 -1.181  -0.032 -0.974  0.006 -0.766  0.045 -0.559  0.084 -0.352  0.123 -0.145  0.162 0.062  0.201 0.270  0.240 0.477  0.278 0.684  0.317 0.891  0.356 1.098  0.395 1.306  0.408 1.239  0.405 1.029  0.338 0.829  0.271 0.629  0.190 0.435  0.095 0.247  -0.040 0.088  -0.189 -0.061  -0.265 -0.241  -0.265 -0.452  -0.076 -0.474  0.135 -0.474  0.287 -0.568  0.382 -0.757  0.552 -0.858  0.752 -0.925  0.913 -1.019  0.913 -1.230  0.913 -1.441  0.913 -1.651
