2#apb#apb35#app3562/4  -1.014 0.644  -0.966 0.581  -0.978 0.399  -1.031 0.220  -1.090 0.043  -1.150 -0.133  -1.215 -0.307  -1.282 -0.481  -1.181 -0.544  -1.002 -0.494  -0.818 -0.467  -0.632 -0.456  -0.448 -0.431  -0.263 -0.411  -0.077 -0.403  0.109 -0.399  0.295 -0.399  0.481 -0.410  0.665 -0.436  0.851 -0.442  1.008 -0.421  0.948 -0.244  0.888 -0.068  0.828 0.108  0.768 0.284  0.708 0.460  0.648 0.637  0.588 0.813  0.528 0.989  0.468 1.165  0.408 1.342  0.348 1.518  0.315 1.446  0.297 1.261  0.283 1.075  0.270 0.889  0.258 0.704  0.246 0.518  0.225 0.333  0.200 0.148  0.175 -0.036  0.154 -0.221  0.134 -0.406  0.114 -0.591  0.078 -0.774  0.043 -0.957  0.006 -1.139  -0.032 -1.321  -0.073 -1.503  -0.085 -1.685
2#apb#apb35#app3562/8  0.464 1.353  0.324 1.415  0.174 1.434  0.022 1.425  -0.107 1.358  -0.215 1.252  -0.288 1.118  -0.349 0.978  -0.389 0.831  -0.406 0.680  -0.404 0.528  -0.356 0.383  -0.317 0.235  -0.262 0.095  -0.173 -0.029  -0.073 -0.144  0.021 -0.264  0.098 -0.395  0.172 -0.529  0.226 -0.670  0.252 -0.820  0.249 -0.970  0.194 -1.109  0.086 -1.217  -0.032 -1.313  -0.162 -1.394  -0.306 -1.442  -0.458 -1.434  -0.594 -1.367  -0.678 -1.251  -0.640 -1.113  -0.568 -0.978  -0.504 -0.839  -0.425 -0.710  -0.333 -0.588  -0.237 -0.470  -0.125 -0.366  -0.013 -0.262  0.095 -0.154  0.203 -0.046  0.297 0.074  0.390 0.195  0.476 0.321  0.557 0.450  0.623 0.587  0.674 0.731  0.703 0.879  0.712 1.032  0.708 1.184  0.698 1.336
2#apb#apb35#app3562/1  0.312 1.461  0.312 1.531  0.344 1.524  0.369 1.467  0.352 1.399  0.335 1.331  0.318 1.263  0.301 1.195  0.284 1.127  0.268 1.059  0.253 0.991  0.238 0.922  0.223 0.854  0.207 0.785  0.192 0.717  0.177 0.649  0.162 0.580  0.146 0.512  0.131 0.443  0.115 0.375  0.099 0.307  0.083 0.239  0.068 0.170  0.052 0.102  0.036 0.034  0.020 -0.035  0.005 -0.103  -0.011 -0.171  -0.027 -0.240  -0.045 -0.307  -0.065 -0.374  -0.085 -0.441  -0.106 -0.508  -0.126 -0.576  -0.147 -0.643  -0.167 -0.710  -0.188 -0.777  -0.208 -0.844  -0.228 -0.911  -0.249 -0.978  -0.271 -1.044  -0.294 -1.111  -0.317 -1.177  -0.340 -1.243  -0.363 -1.309  -0.387 -1.375  -0.410 -1.441  -0.433 -1.508  -0.456 -1.574  -0.479 -1.640
2#apb#apb35#app3562/0  -0.062 1.187  -0.145 1.095  -0.207 0.988  -0.268 0.879  -0.321 0.767  -0.374 0.654  -0.426 0.541  -0.477 0.427  -0.528 0.314  -0.577 0.200  -0.625 0.085  -0.673 -0.030  -0.721 -0.145  -0.755 -0.264  -0.786 -0.385  -0.816 -0.506  -0.821 -0.629  -0.821 -0.754  -0.802 -0.875  -0.757 -0.991  -0.693 -1.094  -0.596 -1.165  -0.473 -1.181  -0.350 -1.191  -0.238 -1.138  -0.125 -1.085  -0.019 -1.022  0.080 -0.946  0.179 -0.871  0.271 -0.788  0.353 -0.694  0.435 -0.601  0.503 -0.498  0.547 -0.382  0.591 -0.266  0.634 -0.149  0.669 -0.030  0.705 0.090  0.740 0.209  0.769 0.329  0.774 0.454  0.778 0.578  0.782 0.702  0.780 0.826  0.756 0.948  0.732 1.070  0.707 1.192  0.644 1.294  0.556 1.382  0.468 1.470
2#apb#apb35#app3562/P  -0.249 0.478  -0.252 0.345  -0.271 0.186  -0.295 0.028  -0.321 -0.130  -0.349 -0.288  -0.382 -0.444  -0.416 -0.601  -0.432 -0.760  -0.443 -0.920  -0.463 -1.078  -0.502 -1.233  -0.539 -1.389  -0.602 -1.533  -0.674 -1.517  -0.693 -1.361  -0.680 -1.202  -0.643 -1.046  -0.606 -0.891  -0.569 -0.735  -0.532 -0.579  -0.490 -0.425  -0.442 -0.272  -0.395 -0.119  -0.346 0.034  -0.288 0.183  -0.230 0.332  -0.172 0.481  -0.101 0.624  -0.017 0.760  0.068 0.896  0.162 1.025  0.263 1.149  0.376 1.259  0.513 1.342  0.670 1.362  0.822 1.324  0.922 1.206  0.988 1.063  1.021 0.906  1.006 0.749  0.976 0.592  0.909 0.446  0.840 0.302  0.768 0.159  0.678 0.029  0.568 -0.088  0.433 -0.167  0.282 -0.221  0.128 -0.262
2#apb#apb35#app3562/a  0.594 0.675  0.594 0.852  0.603 1.028  0.571 1.188  0.448 1.308  0.273 1.324  0.100 1.294  -0.061 1.224  -0.201 1.116  -0.298 0.970  -0.385 0.817  -0.492 0.677  -0.602 0.538  -0.684 0.382  -0.759 0.222  -0.829 0.060  -0.893 -0.104  -0.958 -0.269  -0.996 -0.440  -1.016 -0.616  -1.025 -0.792  -1.017 -0.967  -0.956 -1.133  -0.841 -1.261  -0.680 -1.287  -0.512 -1.236  -0.348 -1.171  -0.208 -1.063  -0.090 -0.933  0.018 -0.793  0.120 -0.649  0.220 -0.504  0.311 -0.353  0.390 -0.195  0.469 -0.037  0.552 0.119  0.635 0.276  0.709 0.436  0.765 0.603  0.822 0.685  0.736 0.560  0.667 0.398  0.609 0.231  0.566 0.059  0.525 -0.112  0.490 -0.286  0.468 -0.460  0.468 -0.637  0.514 -0.799  0.615 -0.944
2#apb#apb35#app3562/r  -1.419 -1.351  -1.374 -1.219  -1.291 -1.106  -1.209 -0.992  -1.121 -0.883  -1.033 -0.775  -0.945 -0.666  -0.865 -0.552  -0.787 -0.435  -0.709 -0.319  -0.632 -0.202  -0.552 -0.087  -0.469 0.025  -0.386 0.138  -0.303 0.251  -0.220 0.363  -0.145 0.481  -0.070 0.600  0.004 0.719  0.078 0.837  0.146 0.960  0.208 1.085  0.271 1.210  0.328 1.337  0.307 1.304  0.272 1.169  0.238 1.033  0.219 0.895  0.199 0.756  0.220 0.619  0.267 0.491  0.358 0.385  0.475 0.309  0.614 0.307  0.752 0.328  0.889 0.307  0.936 0.231  0.879 0.104  0.780 0.010  0.679 -0.084  0.597 -0.198  0.521 -0.315  0.458 -0.440  0.395 -0.565  0.369 -0.702  0.346 -0.840  0.312 -0.976  0.364 -1.097  0.468 -1.187  0.584 -1.265
2#apb#apb35#app3562/k  -0.141 1.458  -0.160 1.274  -0.196 1.056  -0.241 0.840  -0.293 0.626  -0.345 0.411  -0.399 0.197  -0.452 -0.018  -0.515 -0.229  -0.580 -0.440  -0.642 -0.652  -0.703 -0.864  -0.754 -1.079  -0.782 -1.298  -0.704 -1.307  -0.585 -1.121  -0.466 -0.935  -0.347 -0.749  -0.228 -0.563  -0.109 -0.377  0.010 -0.191  0.129 -0.005  0.248 0.181  0.367 0.367  0.486 0.553  0.605 0.739  0.724 0.925  0.843 1.111  0.962 1.297  1.074 1.449  0.911 1.301  0.746 1.154  0.595 0.993  0.439 0.836  0.279 0.685  0.125 0.527  -0.022 0.362  -0.176 0.204  -0.337 0.053  -0.449 -0.134  -0.524 -0.339  -0.533 -0.556  -0.435 -0.749  -0.272 -0.895  -0.067 -0.977  0.148 -1.026  0.365 -1.061  0.586 -1.061  0.800 -1.018  1.012 -0.954
2#apb#apb35#app3562/C  0.729 0.475  0.697 0.363  0.642 0.261  0.611 0.153  0.604 0.038  0.563 -0.039  0.595 0.072  0.647 0.176  0.687 0.284  0.710 0.398  0.753 0.505  0.799 0.611  0.829 0.723  0.844 0.837  0.831 0.952  0.762 1.044  0.656 1.074  0.542 1.070  0.428 1.046  0.325 1.002  0.238 0.925  0.150 0.849  0.064 0.771  -0.018 0.689  -0.100 0.607  -0.182 0.525  -0.260 0.439  -0.338 0.353  -0.415 0.267  -0.493 0.181  -0.553 0.082  -0.611 -0.019  -0.669 -0.119  -0.727 -0.220  -0.772 -0.326  -0.806 -0.437  -0.840 -0.548  -0.872 -0.659  -0.865 -0.775  -0.859 -0.891  -0.831 -1.000  -0.774 -1.101  -0.717 -1.203  -0.621 -1.257  -0.512 -1.297  -0.403 -1.338  -0.289 -1.359  -0.175 -1.377  -0.060 -1.394  0.055 -1.412
2#apb#apb35#app3562/t  1.067 1.492  0.979 1.354  0.897 1.214  0.831 1.064  0.764 0.915  0.703 0.763  0.645 0.610  0.586 0.457  0.521 0.308  0.450 0.160  0.379 0.013  0.310 -0.135  0.243 -0.284  0.177 -0.434  0.116 -0.586  0.060 -0.739  0.003 -0.893  -0.081 -1.032  -0.165 -1.172  -0.226 -1.324  -0.244 -1.433  -0.306 -1.286  -0.389 -1.144  -0.471 -1.003  -0.553 -0.862  -0.635 -0.720  -0.717 -0.579  -0.799 -0.437  -0.881 -0.296  -0.963 -0.154  -1.045 -0.013  -1.127 0.129  -1.209 0.270  -1.233 0.374  -1.073 0.338  -0.911 0.351  -0.749 0.370  -0.586 0.382  -0.423 0.389  -0.259 0.397  -0.096 0.395  0.067 0.388  0.231 0.382  0.394 0.369  0.556 0.350  0.717 0.326  0.871 0.270  1.030 0.236  1.192 0.233  1.351 0.225
2#apb#apb35#app3562/.  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
