1b#tos#f2#f2024065/A  0.491 1.661  0.443 1.866  0.301 1.654  0.226 1.421  0.140 1.165  0.034 0.908  -0.025 0.635  -0.102 0.367  -0.217 0.112  -0.289 -0.155  -0.391 -0.413  -0.479 -0.675  -0.515 -0.943  -0.640 -1.187  -0.673 -1.461  -0.716 -1.569  -0.620 -1.306  -0.524 -1.044  -0.428 -0.781  -0.332 -0.518  -0.236 -0.255  -0.140 0.007  -0.044 0.270  0.052 0.533  0.148 0.795  0.243 1.058  0.270 1.333  0.182 1.480  0.216 1.206  0.243 0.929  0.321 0.668  0.403 0.416  0.403 0.136  0.403 -0.143  0.403 -0.423  0.436 -0.700  0.504 -0.965  0.608 -1.203  0.623 -1.468  0.478 -1.229  0.333 -0.989  0.188 -0.750  0.043 -0.511  -0.102 -0.272  -0.247 -0.033  -0.472 0.030  -0.646 0.118  -0.377 0.074  -0.097 0.074  0.182 0.074
1b#tos#f2#f2024065/B  0.081 1.341  -0.055 1.471  -0.100 1.261  -0.100 0.994  -0.100 0.727  -0.124 0.465  -0.191 0.211  -0.191 -0.056  -0.215 -0.321  -0.237 -0.586  -0.237 -0.853  -0.237 -1.119  -0.237 -1.386  -0.237 -1.653  -0.230 -1.578  -0.218 -1.312  -0.207 -1.045  -0.196 -0.778  -0.185 -0.511  -0.174 -0.245  -0.163 0.022  -0.152 0.289  -0.146 0.555  -0.146 0.822  -0.328 0.977  -0.328 1.244  -0.294 1.477  -0.072 1.522  0.193 1.512  0.431 1.393  0.536 1.187  0.536 0.920  0.490 0.664  0.360 0.457  0.159 0.282  -0.030 0.093  -0.249 -0.023  -0.471 -0.068  -0.281 -0.068  -0.014 -0.068  0.253 -0.068  0.426 -0.250  0.627 -0.316  0.717 -0.492  0.673 -0.748  0.561 -0.964  0.348 -1.119  0.157 -1.305  -0.077 -1.431  -0.328 -1.522
1b#tos#f2#f2024065/C  0.800 0.950  0.703 0.950  0.622 0.967  0.553 0.995  0.478 1.050  0.439 1.128  0.342 1.128  0.245 1.128  0.147 1.128  0.052 1.117  -0.041 1.086  -0.111 1.019  -0.180 0.950  -0.267 0.907  -0.274 0.814  -0.362 0.770  -0.448 0.726  -0.502 0.645  -0.545 0.559  -0.569 0.465  -0.596 0.371  -0.627 0.279  -0.658 0.186  -0.671 0.091  -0.671 -0.006  -0.671 -0.104  -0.671 -0.201  -0.670 -0.299  -0.627 -0.386  -0.583 -0.473  -0.541 -0.548  -0.460 -0.602  -0.389 -0.669  -0.320 -0.738  -0.230 -0.772  -0.144 -0.816  -0.066 -0.874  0.015 -0.922  0.112 -0.922  0.197 -0.966  0.280 -1.011  0.378 -1.011  0.475 -1.011  0.573 -1.011  0.670 -1.011  0.767 -1.011  0.865 -1.011  0.962 -1.011  1.060 -1.011  1.157 -1.011
1b#tos#f2#f2024065/D  -0.021 1.089  -0.021 1.309  -0.109 1.230  -0.133 1.012  -0.153 0.795  -0.197 0.583  -0.287 0.383  -0.372 0.183  -0.372 -0.037  -0.377 -0.256  -0.413 -0.473  -0.456 -0.689  -0.465 -0.908  -0.504 -1.123  -0.504 -1.343  -0.500 -1.523  -0.455 -1.308  -0.411 -1.092  -0.367 -0.877  -0.323 -0.662  -0.279 -0.446  -0.234 -0.231  -0.190 -0.016  -0.153 0.200  -0.306 0.317  -0.372 0.492  -0.372 0.712  -0.328 0.913  -0.258 1.089  -0.049 1.133  0.171 1.133  0.391 1.133  0.611 1.133  0.803 1.037  0.997 0.949  1.119 0.770  1.119 0.550  1.119 0.330  1.119 0.110  1.034 -0.090  0.878 -0.243  0.705 -0.378  0.534 -0.515  0.333 -0.603  0.154 -0.727  -0.030 -0.845  -0.230 -0.935  -0.443 -0.986  -0.595 -1.128  -0.811 -1.148
1b#tos#f2#f2024065/G  0.698 1.182  0.531 1.284  0.404 1.430  0.243 1.555  0.030 1.555  -0.178 1.510  -0.314 1.355  -0.477 1.219  -0.603 1.048  -0.683 0.850  -0.775 0.658  -0.812 0.455  -0.886 0.264  -0.886 0.051  -0.886 -0.162  -0.886 -0.376  -0.857 -0.584  -0.707 -0.724  -0.570 -0.877  -0.374 -0.938  -0.171 -1.001  0.041 -1.008  0.255 -1.008  0.419 -0.934  0.471 -0.805  0.397 -0.605  0.323 -0.405  0.249 -0.205  0.175 -0.005  0.101 0.195  -0.010 0.343  -0.223 0.343  -0.311 0.343  -0.098 0.343  0.115 0.343  0.329 0.343  0.542 0.343  0.735 0.346  0.558 0.358  0.372 0.332  0.372 0.118  0.372 -0.095  0.372 -0.308  0.372 -0.521  0.372 -0.735  0.372 -0.948  0.372 -1.161  0.372 -1.374  0.372 -1.587  0.372 -1.801
1b#tos#f2#f2024065/H  -0.213 0.996  -0.319 1.125  -0.526 1.135  -0.689 1.237  -0.733 1.106  -0.733 0.896  -0.733 0.686  -0.733 0.475  -0.733 0.265  -0.733 0.055  -0.733 -0.155  -0.733 -0.365  -0.663 -0.562  -0.646 -0.769  -0.608 -0.975  -0.595 -1.183  -0.501 -1.371  -0.463 -1.281  -0.448 -1.071  -0.434 -0.861  -0.420 -0.651  -0.405 -0.442  -0.391 -0.232  -0.423 -0.026  -0.612 0.001  -0.602 0.145  -0.396 0.174  -0.186 0.174  0.024 0.174  0.234 0.174  0.445 0.174  0.655 0.174  0.754 0.333  0.827 0.530  0.899 0.728  0.972 0.925  0.907 1.041  0.738 1.047  0.738 0.837  0.738 0.627  0.738 0.416  0.738 0.206  0.738 -0.004  0.738 -0.214  0.738 -0.425  0.738 -0.635  0.738 -0.845  0.738 -1.055  0.782 -1.260  0.782 -1.470
1b#tos#f2#f2024065/I  -0.056 0.878  -0.165 0.914  -0.282 0.928  -0.344 1.033  -0.344 1.157  -0.336 1.202  -0.212 1.202  -0.130 1.133  -0.012 1.101  0.101 1.061  0.214 1.022  0.330 0.990  0.449 0.961  0.541 0.955  0.423 0.994  0.306 1.033  0.185 1.058  0.088 1.031  0.018 0.950  0.016 0.827  0.016 0.703  0.016 0.579  0.016 0.455  0.016 0.331  0.016 0.207  0.016 0.083  0.016 -0.042  0.016 -0.166  0.016 -0.290  0.016 -0.414  0.016 -0.538  0.016 -0.662  0.016 -0.786  0.016 -0.910  0.016 -1.034  0.016 -1.159  0.016 -1.282  -0.095 -1.227  -0.216 -1.210  -0.340 -1.210  -0.428 -1.174  -0.476 -1.108  -0.359 -1.138  -0.239 -1.155  -0.120 -1.174  0.005 -1.174  0.124 -1.192  0.236 -1.246  0.360 -1.246  0.484 -1.246
1b#tos#f2#f2024065/L  -0.289 1.477  -0.346 1.512  -0.414 1.474  -0.455 1.392  -0.464 1.302  -0.476 1.211  -0.487 1.120  -0.499 1.029  -0.546 0.951  -0.570 0.866  -0.570 0.774  -0.570 0.683  -0.570 0.591  -0.570 0.499  -0.570 0.407  -0.570 0.315  -0.570 0.223  -0.570 0.131  -0.570 0.040  -0.570 -0.052  -0.556 -0.142  -0.535 -0.230  -0.530 -0.321  -0.500 -0.406  -0.500 -0.497  -0.500 -0.589  -0.438 -0.655  -0.364 -0.699  -0.280 -0.734  -0.188 -0.734  -0.096 -0.734  -0.005 -0.734  0.087 -0.734  0.179 -0.734  0.267 -0.712  0.357 -0.699  0.444 -0.672  0.529 -0.638  0.618 -0.616  0.708 -0.598  0.796 -0.571  0.880 -0.536  0.960 -0.490  1.039 -0.443  1.123 -0.418  1.212 -0.397  1.299 -0.368  1.361 -0.321  1.409 -0.278  1.466 -0.243
1b#tos#f2#f2024065/O  0.030 0.502  0.103 0.616  0.103 0.759  0.028 0.828  -0.115 0.828  -0.258 0.828  -0.394 0.796  -0.513 0.719  -0.641 0.655  -0.743 0.568  -0.780 0.430  -0.832 0.311  -0.925 0.226  -0.960 0.087  -1.018 -0.039  -1.018 -0.182  -1.018 -0.326  -1.018 -0.469  -0.984 -0.603  -0.911 -0.726  -0.810 -0.827  -0.685 -0.887  -0.580 -0.964  -0.440 -0.998  -0.299 -1.017  -0.156 -1.017  -0.013 -1.017  0.131 -1.017  0.274 -1.017  0.412 -1.002  0.527 -0.916  0.653 -0.857  0.725 -0.734  0.819 -0.626  0.862 -0.501  0.867 -0.359  0.935 -0.236  0.935 -0.093  0.935 0.050  0.935 0.194  0.918 0.334  0.873 0.470  0.853 0.611  0.804 0.742  0.699 0.837  0.599 0.934  0.481 1.003  0.345 1.045  0.201 1.045  0.067 1.009
1b#tos#f2#f2024065/S  0.700 0.428  0.764 0.440  0.824 0.529  0.838 0.650  0.866 0.764  0.866 0.890  0.791 0.977  0.686 1.047  0.578 1.112  0.457 1.135  0.331 1.135  0.205 1.135  0.078 1.135  -0.048 1.135  -0.149 1.075  -0.266 1.051  -0.350 0.973  -0.381 0.856  -0.381 0.730  -0.381 0.604  -0.381 0.477  -0.326 0.374  -0.237 0.284  -0.142 0.202  -0.034 0.137  0.035 0.050  0.056 -0.072  0.149 -0.148  0.210 -0.256  0.291 -0.344  0.353 -0.445  0.367 -0.569  0.409 -0.678  0.396 -0.801  0.351 -0.912  0.246 -0.982  0.134 -1.039  0.014 -1.068  -0.077 -1.125  -0.187 -1.151  -0.313 -1.151  -0.440 -1.151  -0.566 -1.151  -0.692 -1.151  -0.800 -1.106  -0.870 -1.004  -0.963 -0.931  -1.002 -0.821  -1.004 -0.696  -1.004 -0.569
1b#tos#f2#f2024065/U  -0.265 1.211  -0.387 1.211  -0.509 1.211  -0.618 1.182  -0.672 1.082  -0.710 0.966  -0.710 0.845  -0.710 0.723  -0.710 0.601  -0.710 0.480  -0.710 0.358  -0.710 0.236  -0.679 0.121  -0.634 0.008  -0.629 -0.113  -0.629 -0.235  -0.603 -0.353  -0.565 -0.468  -0.519 -0.581  -0.468 -0.691  -0.468 -0.813  -0.410 -0.911  -0.337 -1.008  -0.254 -1.094  -0.156 -1.167  -0.045 -1.206  0.074 -1.217  0.196 -1.217  0.298 -1.158  0.385 -1.079  0.409 -0.960  0.436 -0.841  0.466 -0.723  0.504 -0.608  0.543 -0.492  0.609 -0.390  0.625 -0.273  0.625 -0.152  0.625 -0.030  0.651 0.088  0.684 0.205  0.716 0.322  0.746 0.440  0.746 0.562  0.746 0.684  0.746 0.805  0.746 0.927  0.746 1.049  0.746 1.170  0.746 1.292
