2#apb#apb07#app0707/G  0.516 0.741  0.636 0.908  0.653 1.091  0.467 1.176  0.266 1.214  0.062 1.210  -0.138 1.172  -0.333 1.108  -0.518 1.020  -0.698 0.921  -0.852 0.790  -0.983 0.632  -1.110 0.472  -1.201 0.288  -1.293 0.104  -1.288 -0.099  -1.275 -0.304  -1.167 -0.474  -1.044 -0.638  -0.865 -0.736  -0.681 -0.827  -0.483 -0.870  -0.279 -0.897  -0.074 -0.898  0.131 -0.893  0.334 -0.873  0.530 -0.814  0.714 -0.732  0.859 -0.587  0.913 -0.389  0.865 -0.190  0.728 -0.041  0.545 0.051  0.341 0.046  0.146 -0.019  -0.047 -0.086  -0.236 -0.168  -0.424 -0.250  -0.587 -0.303  -0.391 -0.245  -0.189 -0.208  0.015 -0.180  0.219 -0.160  0.424 -0.160  0.629 -0.160  0.835 -0.160  1.040 -0.166  1.245 -0.174  1.450 -0.174  1.590 -0.068
2#apb#apb07#app0707/i  0.221 1.594  0.149 1.594  0.115 1.540  0.089 1.473  0.064 1.405  0.039 1.338  0.014 1.271  -0.014 1.205  -0.043 1.140  -0.072 1.074  -0.102 1.008  -0.131 0.943  -0.160 0.877  -0.168 0.807  -0.173 0.735  -0.177 0.663  -0.182 0.592  -0.186 0.520  -0.191 0.448  -0.195 0.377  -0.200 0.305  -0.204 0.234  -0.204 0.162  -0.193 0.091  -0.183 0.020  -0.172 -0.051  -0.162 -0.122  -0.151 -0.193  -0.140 -0.264  -0.130 -0.334  -0.119 -0.405  -0.108 -0.476  -0.098 -0.547  -0.087 -0.618  -0.070 -0.687  -0.034 -0.749  0.003 -0.811  0.039 -0.872  0.076 -0.934  0.112 -0.996  0.149 -1.058  0.185 -1.120  0.222 -1.181  0.258 -1.243  0.295 -1.305  0.331 -1.367  0.368 -1.428  0.404 -1.490  0.441 -1.552  0.477 -1.614
2#apb#apb07#app0707/l  0.264 1.123  0.210 1.177  0.155 1.232  0.101 1.286  0.046 1.341  -0.030 1.342  -0.107 1.342  -0.169 1.298  -0.219 1.244  -0.242 1.170  -0.264 1.096  -0.286 1.022  -0.308 0.949  -0.330 0.875  -0.329 0.798  -0.325 0.722  -0.320 0.645  -0.315 0.568  -0.310 0.491  -0.305 0.414  -0.301 0.337  -0.296 0.260  -0.285 0.184  -0.269 0.109  -0.253 0.034  -0.237 -0.042  -0.221 -0.117  -0.205 -0.193  -0.189 -0.268  -0.173 -0.343  -0.157 -0.419  -0.118 -0.484  -0.075 -0.548  -0.032 -0.612  0.011 -0.676  0.055 -0.739  0.098 -0.803  0.141 -0.867  0.184 -0.931  0.227 -0.995  0.272 -1.057  0.327 -1.111  0.381 -1.166  0.436 -1.220  0.490 -1.275  0.545 -1.329  0.599 -1.384  0.654 -1.438  0.708 -1.493  0.762 -1.547
2#apb#apb07#app0707/b  -1.243 1.373  -1.241 1.282  -1.183 1.147  -1.118 1.014  -1.047 0.886  -0.976 0.756  -0.906 0.627  -0.835 0.498  -0.761 0.370  -0.688 0.243  -0.620 0.112  -0.556 -0.021  -0.492 -0.153  -0.450 -0.293  -0.422 -0.438  -0.415 -0.584  -0.438 -0.725  -0.528 -0.760  -0.583 -0.634  -0.583 -0.487  -0.543 -0.348  -0.484 -0.213  -0.425 -0.078  -0.355 0.052  -0.278 0.177  -0.201 0.303  -0.107 0.412  0.013 0.497  0.137 0.569  0.284 0.558  0.431 0.547  0.566 0.492  0.700 0.430  0.828 0.361  0.924 0.250  1.021 0.138  1.110 0.022  1.195 -0.098  1.281 -0.219  1.294 -0.365  1.302 -0.511  1.233 -0.641  1.140 -0.744  1.004 -0.801  0.867 -0.853  0.720 -0.858  0.572 -0.863  0.428 -0.846  0.285 -0.811  0.142 -0.775
2#apb#apb07#app0707/e  -1.502 -0.648  -1.349 -0.648  -1.196 -0.646  -1.045 -0.627  -0.893 -0.610  -0.741 -0.624  -0.588 -0.637  -0.436 -0.645  -0.284 -0.631  -0.132 -0.616  0.010 -0.569  0.143 -0.493  0.275 -0.416  0.386 -0.313  0.491 -0.202  0.595 -0.090  0.622 0.060  0.648 0.211  0.672 0.361  0.645 0.512  0.619 0.663  0.593 0.813  0.570 0.965  0.547 1.116  0.524 1.267  0.437 1.388  0.330 1.494  0.185 1.542  0.073 1.447  -0.025 1.334  -0.062 1.185  -0.099 1.037  -0.136 0.889  -0.140 0.736  -0.145 0.583  -0.150 0.430  -0.155 0.278  -0.142 0.125  -0.129 -0.027  -0.117 -0.180  -0.104 -0.332  -0.077 -0.481  -0.031 -0.627  0.014 -0.773  0.060 -0.919  0.111 -1.063  0.179 -1.200  0.248 -1.337  0.316 -1.473  0.384 -1.610
2#apb#apb07#app0707/r  1.142 1.450  1.014 1.514  0.882 1.548  0.741 1.529  0.600 1.507  0.463 1.468  0.327 1.428  0.210 1.347  0.093 1.265  0.008 1.155  -0.064 1.031  -0.130 0.905  -0.186 0.775  -0.228 0.639  -0.261 0.501  -0.278 0.359  -0.296 0.218  -0.308 0.076  -0.321 -0.066  -0.333 -0.208  -0.337 -0.350  -0.337 -0.493  -0.337 -0.635  -0.346 -0.777  -0.356 -0.919  -0.285 -0.897  -0.233 -0.765  -0.186 -0.631  -0.140 -0.496  -0.100 -0.359  -0.060 -0.222  -0.020 -0.085  0.001 0.055  0.009 0.197  0.017 0.312  0.017 0.169  0.011 0.027  -0.005 -0.114  -0.021 -0.256  -0.038 -0.397  -0.046 -0.539  -0.046 -0.682  -0.046 -0.824  -0.046 -0.967  -0.045 -1.109  -0.036 -1.251  -0.028 -1.394  -0.020 -1.536  -0.012 -1.678  -0.004 -1.820
2#apb#apb07#app0707/t  -0.346 1.533  -0.347 1.383  -0.383 1.238  -0.409 1.090  -0.427 0.941  -0.445 0.793  -0.465 0.644  -0.485 0.495  -0.491 0.346  -0.491 0.196  -0.491 0.046  -0.488 -0.104  -0.470 -0.253  -0.451 -0.402  -0.432 -0.550  -0.406 -0.698  -0.375 -0.844  -0.343 -0.991  -0.312 -1.138  -0.293 -1.286  -0.277 -1.435  -0.253 -1.583  -0.208 -1.634  -0.151 -1.495  -0.094 -1.357  -0.038 -1.218  0.019 -1.079  0.076 -0.940  0.133 -0.801  0.190 -0.663  0.246 -0.524  0.303 -0.385  0.360 -0.246  0.417 -0.108  0.474 0.031  0.531 0.170  0.587 0.309  0.644 0.447  0.701 0.586  0.758 0.725  0.815 0.864  0.944 0.846  0.796 0.869  0.646 0.876  0.497 0.882  0.347 0.885  0.197 0.885  0.047 0.885  -0.103 0.885  -0.253 0.885
2#apb#apb07#app0707/H  -1.113 1.524  -1.140 1.307  -1.138 1.065  -1.114 0.824  -1.100 0.582  -1.069 0.343  -0.996 0.112  -0.919 -0.118  -0.829 -0.343  -0.740 -0.568  -0.643 -0.790  -0.549 -1.014  -0.488 -1.248  -0.493 -1.482  -0.416 -1.259  -0.333 -1.032  -0.249 -0.804  -0.166 -0.577  -0.082 -0.349  0.001 -0.122  0.084 0.106  0.168 0.334  0.251 0.561  0.335 0.789  0.418 1.016  0.502 1.244  0.447 1.026  0.438 0.784  0.408 0.543  0.411 0.301  0.424 0.059  0.479 -0.176  0.538 -0.411  0.627 -0.637  0.715 -0.862  0.791 -1.074  0.848 -0.839  0.904 -0.603  0.961 -0.368  1.017 -0.132  1.074 0.104  1.130 0.339  0.920 0.232  0.681 0.197  0.439 0.209  0.198 0.227  -0.045 0.233  -0.287 0.239  -0.529 0.249  -0.771 0.260
2#apb#apb07#app0707/u  -0.796 1.262  -0.864 1.286  -0.896 1.138  -0.902 0.984  -0.918 0.831  -0.942 0.679  -0.967 0.527  -0.978 0.374  -0.978 0.220  -0.978 0.067  -0.961 -0.085  -0.919 -0.233  -0.876 -0.381  -0.834 -0.529  -0.768 -0.667  -0.701 -0.806  -0.631 -0.942  -0.509 -1.035  -0.362 -1.057  -0.222 -1.018  -0.099 -0.925  0.004 -0.816  0.069 -0.677  0.135 -0.537  0.193 -0.395  0.239 -0.248  0.284 -0.101  0.330 0.045  0.370 0.194  0.406 0.343  0.443 0.493  0.479 0.642  0.489 0.796  0.499 0.949  0.504 1.081  0.504 0.927  0.504 0.773  0.524 0.621  0.553 0.470  0.583 0.319  0.613 0.168  0.650 0.019  0.712 -0.122  0.774 -0.262  0.847 -0.397  0.921 -0.533  0.992 -0.669  1.067 -0.803  1.158 -0.927  1.256 -1.045
2#apb#apb07#app0707/n  -1.338 1.026  -1.194 1.009  -1.068 0.927  -0.971 0.803  -0.888 0.669  -0.813 0.531  -0.753 0.386  -0.693 0.240  -0.638 0.092  -0.587 -0.057  -0.535 -0.206  -0.484 -0.355  -0.434 -0.504  -0.384 -0.654  -0.337 -0.803  -0.327 -0.961  -0.318 -1.118  -0.358 -1.268  -0.388 -1.114  -0.405 -0.958  -0.394 -0.801  -0.384 -0.644  -0.356 -0.490  -0.309 -0.339  -0.263 -0.189  -0.216 -0.038  -0.169 0.112  -0.121 0.262  -0.073 0.412  -0.026 0.562  0.032 0.709  0.098 0.852  0.164 0.995  0.295 1.065  0.433 1.035  0.563 0.945  0.640 0.813  0.702 0.668  0.763 0.523  0.808 0.372  0.852 0.221  0.897 0.070  0.947 -0.080  1.000 -0.228  1.054 -0.376  1.108 -0.524  1.160 -0.673  1.210 -0.822  1.259 -0.971  1.239 -1.128
2#apb#apb07#app0707/t  -0.759 1.525  -0.798 1.421  -0.786 1.276  -0.763 1.131  -0.732 0.987  -0.697 0.845  -0.655 0.704  -0.614 0.563  -0.572 0.422  -0.530 0.281  -0.488 0.141  -0.445 -0.000  -0.392 -0.137  -0.335 -0.272  -0.279 -0.408  -0.222 -0.543  -0.167 -0.679  -0.113 -0.816  -0.058 -0.953  -0.004 -1.089  0.042 -1.228  0.071 -1.372  0.100 -1.516  0.060 -1.653  0.096 -1.510  0.132 -1.368  0.168 -1.225  0.204 -1.083  0.240 -0.940  0.276 -0.798  0.312 -0.656  0.348 -0.513  0.383 -0.371  0.419 -0.228  0.455 -0.086  0.491 0.056  0.527 0.199  0.563 0.341  0.599 0.484  0.635 0.626  0.671 0.769  0.707 0.911  0.736 0.900  0.608 0.850  0.461 0.846  0.314 0.842  0.168 0.838  0.021 0.834  -0.126 0.830  -0.273 0.826
