2#apa#apa14#app1472/@  0.092 0.210  0.092 0.361  0.035 0.181  0.006 -0.005  0.006 -0.198  0.006 -0.391  0.028 -0.562  0.150 -0.446  0.270 -0.298  0.386 -0.147  0.493 0.010  0.521 -0.114  0.521 -0.307  0.615 -0.367  0.676 -0.184  0.755 -0.009  0.779 0.178  0.779 0.371  0.779 0.564  0.779 0.757  0.779 0.950  0.707 1.126  0.620 1.299  0.444 1.326  0.251 1.326  0.058 1.326  -0.106 1.241  -0.261 1.125  -0.415 1.010  -0.569 0.894  -0.713 0.767  -0.829 0.613  -0.939 0.456  -0.960 0.265  -0.981 0.073  -1.003 -0.119  -1.023 -0.311  -1.023 -0.504  -1.023 -0.697  -0.930 -0.858  -0.814 -1.013  -0.654 -1.095  -0.464 -1.127  -0.274 -1.159  -0.081 -1.162  0.111 -1.158  0.298 -1.111  0.486 -1.067  0.675 -1.029  0.864 -0.991
2#apa#apa14#app1472/1  -0.006 0.943  -0.040 1.012  -0.075 1.082  -0.110 1.152  -0.145 1.222  -0.180 1.292  -0.215 1.362  -0.234 1.362  -0.234 1.284  -0.234 1.206  -0.203 1.141  -0.148 1.085  -0.093 1.030  -0.038 0.975  -0.006 0.910  -0.006 0.832  -0.006 0.754  -0.006 0.676  -0.006 0.598  -0.006 0.520  -0.006 0.442  -0.006 0.364  -0.006 0.286  -0.006 0.208  -0.006 0.130  -0.006 0.052  -0.006 -0.027  -0.006 -0.105  -0.006 -0.183  -0.006 -0.261  -0.006 -0.339  -0.006 -0.417  -0.006 -0.495  -0.006 -0.573  -0.006 -0.651  0.013 -0.727  0.032 -0.803  0.051 -0.878  0.070 -0.954  0.089 -1.030  0.107 -1.106  0.126 -1.181  0.145 -1.257  0.164 -1.333  0.183 -1.409  0.202 -1.484  0.221 -1.560  0.223 -1.638  0.223 -1.716  0.223 -1.794
2#apa#apa14#app1472/2  -0.646 0.447  -0.646 0.555  -0.646 0.662  -0.626 0.765  -0.578 0.861  -0.530 0.958  -0.455 1.023  -0.353 1.057  -0.251 1.091  -0.149 1.125  -0.057 1.175  0.019 1.251  0.112 1.286  0.212 1.267  0.288 1.191  0.333 1.102  0.333 0.994  0.333 0.887  0.333 0.779  0.333 0.672  0.323 0.567  0.274 0.471  0.226 0.374  0.178 0.278  0.130 0.182  0.082 0.086  0.053 -0.015  0.047 -0.120  -0.012 -0.210  -0.072 -0.299  -0.132 -0.389  -0.191 -0.478  -0.240 -0.573  -0.274 -0.675  -0.308 -0.777  -0.342 -0.879  -0.366 -0.983  -0.366 -1.090  -0.270 -1.138  -0.173 -1.186  -0.076 -1.230  0.031 -1.230  0.139 -1.230  0.246 -1.230  0.354 -1.230  0.462 -1.230  0.569 -1.230  0.677 -1.230  0.784 -1.230  0.892 -1.230
2#apa#apa14#app1472/:  -0.107 0.689  -0.144 0.764  -0.181 0.838  -0.219 0.913  -0.256 0.987  -0.293 1.062  -0.331 1.136  -0.335 1.219  -0.335 1.302  -0.335 1.358  -0.335 1.275  -0.335 1.192  -0.335 1.108  -0.335 1.025  -0.335 0.942  -0.335 0.858  -0.335 0.775  -0.335 0.691  -0.298 0.617  -0.261 0.542  -0.224 0.467  -0.187 0.393  -0.149 0.318  -0.112 0.244  -0.075 0.169  -0.037 0.095  -0.000 0.020  0.037 -0.054  0.074 -0.129  0.112 -0.204  0.149 -0.278  0.186 -0.353  0.224 -0.427  0.261 -0.502  0.298 -0.576  0.335 -0.651  0.348 -0.731  0.348 -0.815  0.348 -0.898  0.348 -0.981  0.348 -1.065  0.348 -1.148  0.348 -1.232  0.348 -1.315  0.348 -1.398  0.348 -1.482  0.348 -1.565  0.348 -1.648  0.348 -1.732  0.348 -1.815
2#apa#apa14#app1472/3  -0.907 0.818  -0.907 0.947  -0.781 0.949  -0.652 0.949  -0.529 0.987  -0.407 1.028  -0.285 1.069  -0.158 1.080  -0.056 1.016  0.045 0.949  0.120 0.927  0.029 0.836  -0.035 0.725  -0.093 0.610  -0.184 0.534  -0.307 0.494  -0.429 0.453  -0.514 0.385  -0.550 0.293  -0.610 0.293  -0.491 0.316  -0.400 0.407  -0.278 0.425  -0.150 0.425  -0.021 0.425  0.108 0.425  0.227 0.382  0.342 0.325  0.446 0.252  0.537 0.161  0.628 0.070  0.700 -0.035  0.757 -0.150  0.788 -0.268  0.757 -0.393  0.726 -0.518  0.695 -0.643  0.661 -0.767  0.603 -0.882  0.546 -0.997  0.461 -1.092  0.370 -1.183  0.279 -1.274  0.188 -1.365  0.085 -1.440  -0.030 -1.497  -0.147 -1.551  -0.269 -1.592  -0.391 -1.633  -0.514 -1.673
2#apa#apa14#app1472/4  -1.003 0.532  -1.003 0.347  -1.003 0.162  -1.003 -0.023  -1.003 -0.208  -1.003 -0.393  -1.003 -0.577  -0.927 -0.686  -0.742 -0.686  -0.557 -0.686  -0.376 -0.660  -0.196 -0.615  -0.017 -0.570  0.163 -0.525  0.346 -0.512  0.531 -0.512  0.716 -0.512  0.901 -0.512  1.085 -0.511  1.216 -0.381  1.192 -0.233  1.092 -0.077  0.993 0.079  0.894 0.235  0.795 0.391  0.695 0.547  0.596 0.703  0.497 0.859  0.397 1.015  0.298 1.171  0.199 1.327  0.100 1.483  -0.012 1.523  -0.133 1.388  -0.133 1.203  -0.133 1.018  -0.133 0.833  -0.133 0.649  -0.133 0.464  -0.133 0.279  -0.133 0.094  -0.133 -0.091  -0.133 -0.276  -0.133 -0.461  -0.155 -0.644  -0.186 -0.826  -0.216 -1.009  -0.247 -1.191  -0.277 -1.374  -0.307 -1.556
2#apa#apa14#app1472/:  -0.230 1.291  -0.230 1.366  -0.230 1.441  -0.230 1.516  -0.230 1.509  -0.230 1.433  -0.230 1.358  -0.229 1.283  -0.214 1.210  -0.199 1.136  -0.184 1.062  -0.170 0.989  -0.155 0.915  -0.140 0.841  -0.125 0.768  -0.111 0.694  -0.096 0.620  -0.081 0.547  -0.066 0.473  -0.052 0.399  -0.037 0.326  -0.022 0.252  -0.008 0.178  0.007 0.105  0.022 0.031  0.037 -0.043  0.051 -0.116  0.066 -0.190  0.081 -0.264  0.096 -0.337  0.110 -0.411  0.125 -0.485  0.140 -0.558  0.155 -0.632  0.169 -0.706  0.184 -0.779  0.199 -0.853  0.213 -0.927  0.228 -1.000  0.243 -1.074  0.258 -1.148  0.272 -1.221  0.287 -1.295  0.221 -1.302  0.146 -1.302  0.071 -1.302  0.029 -1.336  0.029 -1.411  0.029 -1.486  0.029 -1.562
2#apa#apa14#app1472/5  -0.018 0.763  -0.204 0.752  -0.214 0.557  -0.302 0.381  -0.390 0.205  -0.530 0.065  -0.575 -0.113  -0.719 -0.166  -0.651 -0.056  -0.486 0.020  -0.288 0.020  -0.124 0.099  0.029 0.206  0.226 0.206  0.354 0.137  0.426 -0.016  0.602 -0.104  0.725 -0.225  0.725 -0.422  0.689 -0.611  0.601 -0.787  0.512 -0.963  0.424 -1.140  0.319 -1.298  0.142 -1.386  -0.036 -1.466  -0.233 -1.466  -0.430 -1.466  -0.568 -1.415  -0.540 -1.220  -0.512 -1.025  -0.484 -0.830  -0.456 -0.635  -0.429 -0.439  -0.401 -0.244  -0.373 -0.049  -0.345 0.146  -0.317 0.341  -0.289 0.536  -0.261 0.731  -0.233 0.926  -0.206 1.121  -0.020 1.135  0.120 1.273  0.297 1.321  0.494 1.321  0.691 1.321  0.889 1.321  1.086 1.321  1.283 1.321
2#apa#apa14#app1472/6  0.097 1.860  -0.048 1.860  -0.133 1.765  -0.197 1.636  -0.262 1.507  -0.309 1.371  -0.354 1.234  -0.400 1.097  -0.446 0.961  -0.481 0.821  -0.516 0.681  -0.551 0.541  -0.586 0.401  -0.621 0.262  -0.630 0.119  -0.630 -0.026  -0.630 -0.170  -0.630 -0.314  -0.630 -0.458  -0.630 -0.602  -0.602 -0.740  -0.538 -0.869  -0.473 -0.998  -0.360 -1.047  -0.216 -1.047  -0.072 -1.047  0.073 -1.047  0.211 -1.009  0.347 -0.964  0.484 -0.918  0.621 -0.873  0.728 -0.779  0.828 -0.676  0.892 -0.547  0.957 -0.418  1.005 -0.285  1.005 -0.141  0.905 -0.038  0.803 0.064  0.701 0.166  0.581 0.225  0.440 0.215  0.311 0.150  0.182 0.086  0.075 -0.001  0.010 -0.130  -0.054 -0.259  -0.085 -0.396  -0.085 -0.540  -0.085 -0.684
2#apa#apa14#app1472/_  -1.493 -0.493  -1.493 -0.418  -1.493 -0.343  -1.493 -0.268  -1.477 -0.210  -1.402 -0.210  -1.328 -0.210  -1.253 -0.210  -1.179 -0.202  -1.106 -0.184  -1.034 -0.166  -0.961 -0.148  -0.889 -0.129  -0.816 -0.111  -0.744 -0.093  -0.671 -0.075  -0.599 -0.057  -0.526 -0.039  -0.454 -0.021  -0.381 -0.003  -0.309 0.016  -0.236 0.034  -0.164 0.052  -0.091 0.070  -0.017 0.073  0.058 0.073  0.133 0.073  0.207 0.073  0.282 0.073  0.357 0.073  0.432 0.073  0.506 0.073  0.581 0.073  0.656 0.073  0.731 0.073  0.795 0.099  0.848 0.151  0.900 0.204  0.953 0.257  1.006 0.310  1.059 0.349  1.112 0.296  1.165 0.243  1.217 0.190  1.270 0.137  1.323 0.084  1.393 0.073  1.468 0.073  1.543 0.073  1.617 0.073
2#apa#apa14#app1472/J  0.072 1.509  0.017 1.564  -0.037 1.616  -0.037 1.539  -0.037 1.461  -0.031 1.385  -0.007 1.311  0.018 1.238  0.042 1.164  0.067 1.090  0.084 1.015  0.099 0.939  0.114 0.863  0.130 0.787  0.145 0.711  0.160 0.635  0.175 0.559  0.180 0.482  0.180 0.404  0.180 0.327  0.201 0.253  0.226 0.179  0.251 0.106  0.275 0.032  0.289 -0.043  0.289 -0.121  0.289 -0.198  0.289 -0.276  0.289 -0.353  0.289 -0.431  0.289 -0.508  0.264 -0.576  0.209 -0.630  0.154 -0.685  0.100 -0.740  0.055 -0.802  0.020 -0.871  -0.015 -0.941  -0.062 -0.997  -0.131 -1.032  -0.201 -1.067  -0.270 -1.101  -0.339 -1.136  -0.409 -1.171  -0.478 -1.205  -0.547 -1.240  -0.617 -1.275  -0.686 -1.309  -0.741 -1.257  -0.796 -1.202
