2#apb#apb17#app1792/A  -0.059 1.125  -0.163 1.049  -0.220 0.805  -0.311 0.570  -0.413 0.339  -0.539 0.124  -0.703 -0.068  -0.828 -0.284  -0.929 -0.515  -1.075 -0.721  -1.195 -0.942  -1.230 -0.988  -1.107 -0.767  -0.963 -0.562  -0.803 -0.367  -0.666 -0.155  -0.527 0.055  -0.373 0.256  -0.220 0.456  -0.059 0.651  0.101 0.846  0.297 1.004  0.495 1.160  0.693 1.318  0.944 1.320  1.125 1.187  1.151 0.938  1.132 0.688  1.088 0.439  0.971 0.217  0.850 -0.004  0.742 -0.233  0.629 -0.458  0.506 -0.678  0.404 -0.908  0.321 -1.146  0.233 -1.378  0.191 -1.232  0.024 -1.043  -0.143 -0.854  -0.310 -0.665  -0.477 -0.476  -0.643 -0.286  -0.446 -0.134  -0.200 -0.078  0.047 -0.023  0.293 0.032  0.540 0.081  0.788 0.129  1.036 0.176
2#apb#apb17#app1792/B  -0.407 0.717  -0.339 0.559  -0.386 0.314  -0.458 0.075  -0.570 -0.150  -0.682 -0.374  -0.789 -0.601  -0.865 -0.839  -0.926 -0.878  -0.873 -0.632  -0.820 -0.387  -0.767 -0.142  -0.713 0.103  -0.660 0.349  -0.607 0.594  -0.554 0.839  -0.386 1.010  -0.160 1.106  0.085 1.161  0.331 1.210  0.577 1.255  0.828 1.239  1.069 1.177  1.137 0.971  0.975 0.781  0.774 0.631  0.573 0.480  0.369 0.334  0.165 0.188  -0.050 0.060  -0.272 -0.057  -0.493 -0.176  -0.563 -0.204  -0.328 -0.117  -0.096 -0.019  0.144 0.050  0.390 0.099  0.638 0.086  0.881 0.032  1.050 -0.127  1.079 -0.367  0.985 -0.588  0.808 -0.765  0.622 -0.933  0.421 -1.083  0.218 -1.230  -0.004 -1.347  -0.230 -1.456  -0.466 -1.530  -0.654 -1.418
2#apb#apb17#app1792/C  0.833 0.848  0.810 0.713  0.773 0.581  0.734 0.450  0.684 0.322  0.633 0.195  0.592 0.064  0.553 -0.068  0.506 -0.184  0.543 -0.067  0.604 0.055  0.665 0.178  0.727 0.301  0.763 0.433  0.799 0.565  0.835 0.698  0.889 0.824  0.852 0.932  0.723 0.952  0.589 0.936  0.463 0.881  0.338 0.826  0.212 0.771  0.086 0.717  -0.035 0.653  -0.153 0.584  -0.272 0.514  -0.390 0.444  -0.508 0.374  -0.610 0.284  -0.707 0.187  -0.804 0.090  -0.901 -0.007  -0.970 -0.124  -1.031 -0.247  -1.093 -0.369  -1.113 -0.503  -1.124 -0.640  -1.090 -0.766  -1.020 -0.884  -0.928 -0.977  -0.800 -1.026  -0.672 -1.075  -0.541 -1.115  -0.409 -1.152  -0.277 -1.189  -0.144 -1.221  -0.008 -1.237  0.129 -1.253  0.265 -1.269
2#apb#apb17#app1792/D  -0.129 0.955  -0.219 0.810  -0.291 0.640  -0.360 0.469  -0.417 0.295  -0.440 0.112  -0.463 -0.071  -0.545 -0.236  -0.627 -0.401  -0.700 -0.570  -0.771 -0.740  -0.854 -0.905  -0.869 -0.966  -0.851 -0.782  -0.832 -0.599  -0.814 -0.416  -0.796 -0.232  -0.777 -0.049  -0.759 0.135  -0.741 0.318  -0.722 0.502  -0.704 0.685  -0.604 0.800  -0.426 0.848  -0.242 0.852  -0.058 0.852  0.125 0.831  0.307 0.804  0.490 0.778  0.672 0.750  0.854 0.721  1.033 0.682  1.198 0.600  1.363 0.517  1.445 0.352  1.473 0.181  1.431 0.001  1.324 -0.133  1.171 -0.236  1.017 -0.337  0.856 -0.428  0.696 -0.518  0.535 -0.609  0.371 -0.692  0.200 -0.762  0.030 -0.831  -0.141 -0.901  -0.314 -0.964  -0.482 -1.039  -0.643 -1.076
2#apb#apb17#app1792/E  -0.328 0.938  -0.226 1.099  -0.188 1.025  -0.251 0.844  -0.315 0.664  -0.390 0.489  -0.469 0.314  -0.549 0.141  -0.653 -0.020  -0.756 -0.180  -0.841 -0.351  -0.908 -0.530  -0.956 -0.713  -0.973 -0.903  -0.931 -1.090  -0.783 -1.198  -0.604 -1.264  -0.420 -1.308  -0.229 -1.308  -0.050 -1.245  0.110 -1.144  0.251 -1.016  0.338 -0.888  0.167 -0.803  -0.004 -0.717  -0.175 -0.632  -0.346 -0.546  -0.478 -0.455  -0.307 -0.379  -0.124 -0.323  0.057 -0.261  0.237 -0.197  0.418 -0.135  0.595 -0.065  0.756 0.038  0.908 0.154  0.913 0.269  0.754 0.374  0.594 0.480  0.434 0.585  0.275 0.690  0.115 0.795  0.026 0.925  0.200 0.989  0.385 1.039  0.570 1.085  0.756 1.131  0.941 1.177  1.131 1.201  1.321 1.225
2#apb#apb17#app1792/F  -0.302 0.524  -0.321 0.668  -0.401 0.461  -0.471 0.250  -0.525 0.034  -0.576 -0.182  -0.612 -0.402  -0.649 -0.620  -0.720 -0.831  -0.792 -1.041  -0.868 -1.250  -0.973 -1.445  -0.942 -1.401  -0.889 -1.187  -0.847 -0.968  -0.805 -0.750  -0.763 -0.531  -0.722 -0.313  -0.680 -0.095  -0.638 0.124  -0.596 0.342  -0.493 0.533  -0.297 0.635  -0.081 0.689  0.136 0.736  0.354 0.780  0.572 0.826  0.788 0.877  1.005 0.924  1.224 0.965  1.439 0.959  1.625 0.854  1.515 0.727  1.322 0.617  1.128 0.508  0.935 0.398  0.741 0.289  0.548 0.179  0.354 0.069  0.161 -0.040  -0.033 -0.150  -0.226 -0.259  -0.419 -0.369  -0.393 -0.424  -0.175 -0.391  0.043 -0.358  0.254 -0.288  0.466 -0.224  0.688 -0.224  0.911 -0.224
2#apb#apb17#app1792/G  0.809 1.346  0.638 1.372  0.477 1.293  0.317 1.207  0.153 1.131  -0.014 1.058  -0.174 0.976  -0.312 0.858  -0.450 0.741  -0.588 0.623  -0.722 0.502  -0.851 0.373  -0.979 0.245  -1.095 0.106  -1.202 -0.039  -1.235 -0.217  -1.224 -0.391  -1.154 -0.558  -1.041 -0.691  -0.890 -0.791  -0.728 -0.866  -0.551 -0.905  -0.374 -0.944  -0.194 -0.945  -0.013 -0.932  0.165 -0.900  0.341 -0.859  0.504 -0.781  0.600 -0.643  0.624 -0.465  0.489 -0.381  0.317 -0.323  0.145 -0.266  -0.027 -0.209  -0.199 -0.151  -0.371 -0.094  -0.468 -0.113  -0.363 -0.032  -0.183 -0.046  -0.004 -0.040  0.174 -0.006  0.353 0.025  0.534 0.034  0.715 0.043  0.896 0.057  1.074 0.092  1.252 0.128  1.432 0.116  1.613 0.106  1.787 0.156
2#apb#apb17#app1792/H  -0.150 1.065  -0.034 1.307  0.028 1.267  -0.014 0.992  -0.093 0.727  -0.189 0.466  -0.307 0.214  -0.426 -0.038  -0.545 -0.289  -0.679 -0.532  -0.817 -0.773  -0.927 -1.029  -1.077 -1.197  -0.903 -0.980  -0.729 -0.763  -0.556 -0.545  -0.382 -0.328  -0.208 -0.111  -0.034 0.106  0.139 0.323  0.313 0.541  0.487 0.758  0.661 0.975  0.835 1.192  1.019 1.388  1.062 1.133  1.090 0.857  1.087 0.579  1.030 0.307  0.962 0.038  0.874 -0.226  0.782 -0.489  0.680 -0.747  0.556 -0.996  0.393 -1.220  0.149 -1.248  -0.076 -1.089  -0.296 -0.919  -0.517 -0.749  -0.737 -0.580  -0.958 -0.410  -1.163 -0.236  -0.987 -0.063  -0.720 0.013  -0.453 0.091  -0.186 0.169  0.090 0.205  0.366 0.240  0.641 0.280  0.916 0.321
2#apb#apb17#app1792/I  0.182 0.961  0.242 0.852  0.242 0.674  0.192 0.504  0.133 0.336  0.080 0.166  0.020 -0.001  -0.060 -0.160  -0.148 -0.315  -0.235 -0.470  -0.315 -0.629  -0.458 -0.721  -0.622 -0.788  -0.787 -0.855  -0.952 -0.923  -1.117 -0.990  -1.282 -1.057  -1.202 -0.975  -1.034 -0.920  -0.861 -0.877  -0.685 -0.856  -0.507 -0.840  -0.331 -0.817  -0.157 -0.780  0.018 -0.744  0.194 -0.718  0.371 -0.698  0.548 -0.683  0.726 -0.669  0.891 -0.614  0.874 -0.475  0.759 -0.339  0.645 -0.202  0.531 -0.065  0.416 0.071  0.302 0.208  0.188 0.344  0.073 0.481  -0.041 0.617  -0.156 0.754  -0.270 0.890  -0.252 1.048  -0.127 1.171  0.042 1.222  0.220 1.237  0.391 1.285  0.564 1.323  0.742 1.334  0.919 1.346  1.097 1.358
2#apb#apb17#app1792/J  0.535 0.341  0.535 0.487  0.600 0.614  0.644 0.616  0.644 0.471  0.644 0.325  0.637 0.180  0.619 0.035  0.601 -0.109  0.547 -0.244  0.491 -0.378  0.429 -0.510  0.346 -0.629  0.257 -0.743  0.159 -0.852  0.049 -0.944  -0.079 -1.013  -0.209 -1.078  -0.346 -1.128  -0.482 -1.131  -0.619 -1.081  -0.757 -1.034  -0.884 -0.970  -0.978 -0.860  -1.066 -0.744  -1.126 -0.697  -1.085 -0.557  -1.043 -0.418  -1.002 -0.278  -0.960 -0.139  -0.919 0.001  -0.877 0.140  -0.836 0.280  -0.780 0.414  -0.662 0.479  -0.522 0.519  -0.384 0.565  -0.248 0.617  -0.112 0.667  0.031 0.697  0.173 0.726  0.316 0.756  0.459 0.780  0.604 0.796  0.749 0.811  0.893 0.829  1.037 0.850  1.182 0.861  1.327 0.858  1.467 0.818
2#apb#apb17#app1792/K  -0.208 1.505  -0.208 1.400  -0.234 1.180  -0.280 0.963  -0.320 0.744  -0.357 0.525  -0.411 0.311  -0.510 0.112  -0.610 -0.086  -0.698 -0.290  -0.786 -0.495  -0.919 -0.672  -1.050 -0.852  -1.161 -1.044  -1.069 -0.950  -0.901 -0.805  -0.732 -0.660  -0.563 -0.516  -0.395 -0.371  -0.226 -0.226  -0.057 -0.081  0.111 0.064  0.280 0.209  0.449 0.354  0.617 0.498  0.786 0.643  0.955 0.788  1.124 0.933  1.273 1.054  1.161 0.862  0.969 0.750  0.775 0.643  0.569 0.559  0.364 0.474  0.154 0.400  -0.057 0.330  -0.268 0.260  -0.479 0.192  -0.616 0.107  -0.514 -0.085  -0.388 -0.268  -0.224 -0.418  -0.060 -0.568  0.119 -0.699  0.299 -0.831  0.487 -0.948  0.682 -1.054  0.859 -1.189  1.042 -1.314  1.222 -1.442
