1c#apa#apa20#app2063/w  -0.929 1.036  -0.929 1.161  -0.929 1.005  -0.962 0.862  -1.070 0.750  -1.070 0.593  -1.070 0.437  -1.070 0.280  -1.070 0.124  -1.070 -0.033  -1.070 -0.189  -1.070 -0.346  -1.070 -0.503  -0.929 -0.518  -0.907 -0.653  -0.751 -0.653  -0.594 -0.653  -0.438 -0.653  -0.366 -0.569  -0.265 -0.513  -0.225 -0.396  -0.132 -0.279  -0.084 -0.142  -0.010 -0.016  0.057 0.113  0.057 0.270  0.057 0.426  0.057 0.363  0.057 0.207  0.057 0.050  0.068 -0.102  0.179 -0.212  0.198 -0.361  0.203 -0.513  0.359 -0.513  0.516 -0.513  0.672 -0.513  0.829 -0.513  0.986 -0.513  1.042 -0.413  1.124 -0.290  1.256 -0.231  1.324 -0.142  1.324 0.014  1.324 0.171  1.324 0.327  1.324 0.484  1.305 0.633  1.194 0.743  1.183 0.895
1c#apa#apa20#app2063/a  -0.839 0.713  -0.839 0.912  -0.661 0.932  -0.620 1.091  -0.482 1.151  -0.283 1.151  -0.085 1.151  0.114 1.151  0.255 1.094  0.293 0.932  0.474 0.915  0.474 0.716  0.474 0.518  0.599 0.370  0.629 0.276  0.474 0.320  0.450 0.494  0.255 0.499  0.255 0.697  0.073 0.713  -0.126 0.713  -0.283 0.613  -0.433 0.494  -0.620 0.483  -0.620 0.284  -0.755 0.141  -0.839 -0.023  -0.839 -0.221  -0.839 -0.420  -0.839 -0.619  -0.839 -0.818  -0.642 -0.819  -0.620 -0.996  -0.509 -1.149  -0.355 -1.257  -0.156 -1.257  0.042 -1.257  0.241 -1.257  0.255 -1.073  0.420 -1.038  0.576 -0.936  0.693 -0.786  0.693 -0.587  0.693 -0.388  0.693 -0.190  0.693 -0.334  0.693 -0.532  0.786 -0.693  0.912 -0.839  0.912 -1.038
1c#apa#apa20#app2063/n  -1.021 0.188  -1.173 0.188  -1.096 0.188  -1.021 0.112  -1.021 -0.040  -1.021 -0.191  -0.914 -0.298  -0.832 -0.416  -0.832 -0.567  -0.832 -0.718  -0.753 -0.837  -0.646 -0.944  -0.495 -0.947  -0.454 -0.836  -0.454 -0.685  -0.454 -0.534  -0.454 -0.382  -0.454 -0.231  -0.454 -0.079  -0.454 0.072  -0.454 0.223  -0.454 0.375  -0.454 0.526  -0.454 0.678  -0.454 0.829  -0.417 0.944  -0.266 0.944  -0.115 0.944  0.037 0.944  0.188 0.944  0.302 0.906  0.302 0.755  0.453 0.755  0.491 0.641  0.567 0.566  0.680 0.528  0.681 0.376  0.788 0.269  0.869 0.152  0.869 0.000  1.019 -0.001  1.058 -0.113  1.058 -0.265  1.058 -0.416  1.058 -0.568  1.209 -0.568  1.247 -0.681  1.247 -0.833  1.285 -0.947  1.436 -0.947
1c#apa#apa20#app2063/t  -0.234 1.543  -0.234 1.699  -0.234 1.855  -0.234 1.833  -0.116 1.796  -0.108 1.647  -0.108 1.491  -0.108 1.335  -0.108 1.179  -0.098 1.027  0.013 0.917  0.018 0.763  0.018 0.607  0.018 0.451  0.018 0.295  0.081 0.154  0.145 0.013  0.145 -0.143  0.145 -0.299  0.145 -0.455  0.145 -0.611  0.170 -0.757  0.271 -0.871  0.271 -1.027  0.322 -1.162  0.397 -1.287  0.397 -1.443  0.507 -1.490  0.435 -1.383  0.335 -1.263  0.235 -1.143  0.135 -1.023  0.035 -0.903  -0.065 -0.783  -0.165 -0.663  -0.265 -0.544  -0.364 -0.424  -0.464 -0.304  -0.564 -0.184  -0.664 -0.064  -0.702 0.027  -0.546 0.027  -0.390 0.027  -0.234 0.027  -0.087 0.005  0.026 -0.100  0.182 -0.100  0.338 -0.100  0.494 -0.100  0.650 -0.100
1c#apa#apa20#app2063/e  -1.050 0.237  -0.867 0.237  -0.684 0.237  -0.501 0.237  -0.318 0.237  -0.134 0.237  0.049 0.237  0.055 0.060  0.139 -0.039  0.322 -0.039  0.505 -0.039  0.688 -0.039  0.872 -0.039  1.055 -0.039  1.238 -0.039  1.421 -0.039  1.436 0.129  1.384 0.290  1.254 0.420  1.110 0.514  0.927 0.514  0.785 0.613  0.655 0.743  0.492 0.790  0.308 0.790  0.125 0.790  -0.058 0.790  -0.241 0.790  -0.424 0.790  -0.608 0.790  -0.774 0.773  -0.774 0.590  -0.850 0.438  -0.979 0.309  -1.050 0.155  -1.050 -0.028  -1.050 -0.211  -0.971 -0.315  -0.788 -0.315  -0.774 -0.485  -0.720 -0.646  -0.591 -0.775  -0.461 -0.905  -0.332 -1.034  -0.194 -1.144  -0.011 -1.144  0.138 -1.227  0.268 -1.357  0.424 -1.421  0.608 -1.421
1c#apa#apa20#app2063/d  -0.056 1.647  -0.056 1.809  0.030 1.885  0.063 1.757  0.100 1.611  0.182 1.484  0.182 1.322  0.182 1.161  0.220 1.015  0.301 0.887  0.301 0.726  0.301 0.564  0.301 0.403  0.301 0.241  0.301 0.080  0.347 -0.063  0.420 -0.194  0.420 -0.355  0.420 -0.468  0.353 -0.373  0.301 -0.264  0.301 -0.103  0.225 -0.017  0.182 0.101  0.068 0.216  -0.091 0.221  -0.252 0.221  -0.413 0.220  -0.528 0.106  -0.676 0.076  -0.800 -0.017  -0.888 -0.090  -0.888 -0.252  -0.888 -0.413  -0.888 -0.575  -0.882 -0.730  -0.734 -0.764  -0.620 -0.879  -0.496 -0.968  -0.343 -1.003  -0.198 -1.075  -0.040 -1.087  0.122 -1.087  0.283 -1.087  0.445 -1.087  0.606 -1.087  0.658 -0.977  0.624 -0.849  0.539 -0.925  0.658 -0.968
1c#apa#apa20#app2063/p  -0.200 0.525  -0.227 0.371  -0.325 0.247  -0.325 0.082  -0.325 -0.083  -0.325 -0.248  -0.325 -0.413  -0.393 -0.550  -0.451 -0.690  -0.451 -0.855  -0.451 -1.020  -0.451 -1.185  -0.451 -1.350  -0.344 -1.470  -0.325 -1.627  -0.289 -1.705  -0.200 -1.577  -0.200 -1.412  -0.200 -1.247  -0.200 -1.082  -0.200 -0.917  -0.151 -0.764  -0.078 -0.616  -0.074 -0.452  -0.074 -0.287  -0.074 -0.122  -0.074 0.042  -0.074 0.207  -0.074 0.372  -0.074 0.537  -0.074 0.702  -0.074 0.867  -0.016 1.018  0.052 1.167  0.052 1.332  0.052 1.497  0.182 1.532  0.335 1.501  0.443 1.379  0.517 1.231  0.611 1.098  0.682 0.963  0.682 0.798  0.682 0.633  0.682 0.468  0.682 0.303  0.673 0.147  0.508 0.147  0.430 0.234  0.304 0.273
1c#apa#apa20#app2063/i  0.025 -0.103  0.025 -0.212  0.025 -0.322  -0.056 -0.350  -0.166 -0.350  -0.222 -0.404  -0.222 -0.513  -0.222 -0.623  -0.222 -0.733  -0.222 -0.843  -0.222 -0.953  -0.222 -1.062  -0.222 -1.172  -0.222 -1.282  -0.272 -1.342  -0.382 -1.342  -0.463 -1.321  -0.425 -1.218  -0.388 -1.115  -0.350 -1.012  -0.313 -0.909  -0.275 -0.806  -0.238 -0.702  -0.200 -0.599  -0.163 -0.496  -0.125 -0.393  -0.088 -0.290  -0.050 -0.187  -0.013 -0.083  0.025 0.020  0.062 0.123  0.100 0.226  0.137 0.329  0.175 0.432  0.212 0.536  0.250 0.639  0.288 0.742  0.325 0.845  0.363 0.948  0.400 1.052  0.438 1.155  0.475 1.258  0.513 1.361  0.436 1.384  0.327 1.384  0.273 1.441  0.273 1.551  0.273 1.661  0.273 1.770  0.273 1.880
1c#apa#apa20#app2063/n  -1.109 0.315  -1.109 0.164  -1.013 0.110  -0.905 0.067  -0.905 -0.083  -0.905 -0.234  -0.905 -0.384  -0.905 -0.535  -0.905 -0.686  -0.777 -0.708  -0.700 -0.782  -0.700 -0.933  -0.700 -1.083  -0.583 -1.117  -0.495 -1.055  -0.489 -0.907  -0.383 -0.800  -0.291 -0.688  -0.291 -0.537  -0.291 -0.386  -0.291 -0.236  -0.291 -0.085  -0.291 0.065  -0.216 0.185  -0.110 0.291  -0.086 0.432  -0.086 0.583  -0.086 0.734  -0.086 0.884  0.020 0.928  0.118 0.981  0.118 1.131  0.267 1.133  0.418 1.133  0.527 1.092  0.527 0.941  0.625 0.831  0.731 0.725  0.838 0.618  0.937 0.509  0.937 0.358  0.937 0.207  0.974 0.072  1.081 -0.034  1.141 -0.160  1.141 -0.310  1.141 -0.461  1.141 -0.612  1.141 -0.762  1.141 -0.913
1c#apa#apa20#app2063/k  -0.257 2.150  -0.093 2.150  -0.088 1.991  -0.088 1.827  -0.088 1.663  -0.189 1.541  -0.257 1.405  -0.257 1.241  -0.257 1.077  -0.257 0.913  -0.257 0.749  -0.257 0.585  -0.283 0.431  -0.399 0.315  -0.426 0.163  -0.426 -0.002  -0.426 -0.166  -0.426 -0.330  -0.426 -0.494  -0.426 -0.658  -0.426 -0.822  -0.426 -0.986  -0.360 -1.017  -0.229 -0.918  -0.097 -0.820  0.034 -0.722  0.165 -0.623  0.297 -0.525  0.428 -0.426  0.559 -0.328  0.690 -0.229  0.822 -0.131  0.897 -0.051  0.733 -0.051  0.569 -0.051  0.405 -0.051  0.241 -0.051  0.078 -0.054  -0.038 -0.170  -0.181 -0.220  -0.257 -0.309  -0.198 -0.448  -0.088 -0.567  -0.086 -0.730  0.030 -0.846  0.146 -0.962  0.267 -1.067  0.431 -1.067  0.589 -1.072  0.589 -1.236
1c#apa#apa20#app2063/y  -0.350 1.553  -0.350 1.704  -0.350 1.519  -0.350 1.335  -0.350 1.150  -0.290 0.990  -0.183 0.850  -0.183 0.665  -0.183 0.480  -0.183 0.296  -0.183 0.111  -0.099 -0.039  -0.015 -0.189  -0.015 -0.374  -0.015 -0.559  -0.015 -0.743  0.079 -0.889  0.183 -0.888  0.251 -0.716  0.320 -0.544  0.389 -0.373  0.457 -0.201  0.526 -0.030  0.595 0.142  0.663 0.313  0.732 0.485  0.800 0.656  0.824 0.837  0.824 1.021  0.824 0.894  0.819 0.715  0.656 0.693  0.639 0.512  0.556 0.347  0.465 0.188  0.334 0.057  0.203 -0.073  0.073 -0.204  -0.058 -0.335  -0.183 -0.468  -0.205 -0.638  -0.371 -0.721  -0.518 -0.815  -0.544 -0.989  -0.675 -1.119  -0.855 -1.131  -0.985 -1.262  -1.155 -1.298  -1.189 -1.449  -1.357 -1.466
1c#apa#apa20#app2063/o  0.469 1.006  0.581 0.893  0.694 0.781  0.703 0.917  0.633 1.006  0.474 1.006  0.314 1.006  0.155 1.006  -0.004 1.006  -0.163 1.006  -0.236 0.919  -0.244 0.763  -0.356 0.651  -0.469 0.538  -0.627 0.536  -0.705 0.455  -0.709 0.297  -0.822 0.185  -0.934 0.072  -0.940 -0.085  -0.940 -0.244  -0.940 -0.403  -0.940 -0.562  -0.940 -0.722  -0.930 -0.872  -0.771 -0.872  -0.705 -0.965  -0.687 -1.106  -0.528 -1.106  -0.369 -1.106  -0.210 -1.106  -0.051 -1.106  0.109 -1.106  0.234 -1.072  0.234 -0.913  0.352 -0.872  0.469 -0.829  0.469 -0.670  0.595 -0.637  0.703 -0.586  0.703 -0.427  0.703 -0.268  0.703 -0.109  0.703 0.051  0.703 0.210  0.703 0.369  0.703 0.528  0.703 0.687  0.703 0.847  0.703 1.006
1c#apa#apa20#app2063/u  -0.633 0.688  -0.500 0.688  -0.400 0.722  -0.400 0.855  -0.400 0.989  -0.400 1.123  -0.400 1.256  -0.402 1.386  -0.496 1.291  -0.591 1.197  -0.633 1.081  -0.633 0.947  -0.633 0.814  -0.633 0.680  -0.633 0.546  -0.633 0.413  -0.633 0.279  -0.633 0.145  -0.633 0.012  -0.633 -0.122  -0.626 -0.252  -0.532 -0.347  -0.437 -0.441  -0.400 -0.560  -0.400 -0.693  -0.285 -0.712  -0.167 -0.727  -0.167 -0.861  -0.117 -0.945  0.016 -0.945  0.067 -1.029  0.067 -1.162  0.184 -1.178  0.313 -1.166  0.407 -1.071  0.501 -0.977  0.596 -0.882  0.690 -0.788  0.766 -0.686  0.766 -0.552  0.809 -0.436  0.904 -0.341  0.998 -0.247  1.000 -0.114  1.000 0.020  1.000 0.153  1.000 0.287  1.000 0.421  1.000 0.554  1.000 0.688
1c#apa#apa20#app2063/s  0.732 0.286  0.732 0.421  0.732 0.556  0.697 0.657  0.562 0.657  0.547 0.776  0.547 0.911  0.527 1.027  0.392 1.027  0.257 1.027  0.122 1.027  -0.013 1.027  -0.147 1.027  -0.282 1.027  -0.417 1.027  -0.552 1.027  -0.687 1.027  -0.801 0.975  -0.896 0.880  -0.934 0.760  -0.934 0.625  -0.934 0.490  -0.852 0.390  -0.757 0.294  -0.661 0.199  -0.566 0.103  -0.470 0.008  -0.375 -0.088  -0.280 -0.183  -0.184 -0.279  -0.089 -0.374  0.007 -0.469  0.102 -0.565  0.206 -0.639  0.341 -0.639  0.361 -0.754  0.407 -0.870  0.503 -0.965  0.619 -1.009  0.732 -1.032  0.732 -1.167  0.624 -1.194  0.489 -1.194  0.354 -1.194  0.219 -1.194  0.084 -1.194  -0.038 -1.165  -0.134 -1.069  -0.244 -1.009  -0.379 -1.009
