3#apb#apb18#app1830/P  -0.416 -1.792  -0.375 -1.697  -0.368 -1.594  -0.368 -1.490  -0.417 -1.400  -0.472 -1.312  -0.525 -1.222  -0.575 -1.130  -0.619 -1.036  -0.654 -0.939  -0.665 -0.835  -0.673 -0.732  -0.652 -0.630  -0.632 -0.527  -0.611 -0.425  -0.584 -0.325  -0.552 -0.226  -0.520 -0.126  -0.488 -0.027  -0.440 0.066  -0.392 0.158  -0.345 0.251  -0.295 0.342  -0.241 0.431  -0.187 0.521  -0.133 0.610  -0.071 0.693  -0.003 0.772  0.066 0.851  0.141 0.920  0.236 0.962  0.332 1.004  0.431 1.035  0.531 1.059  0.634 1.043  0.735 1.017  0.830 0.981  0.896 0.899  0.905 0.803  0.886 0.701  0.845 0.606  0.795 0.515  0.746 0.423  0.679 0.343  0.610 0.265  0.541 0.187  0.471 0.109  0.396 0.038  0.320 -0.034  0.245 -0.106
3#apb#apb18#app1830/r  -0.018 -1.508  -0.018 -1.511  -0.048 -1.432  -0.080 -1.353  -0.115 -1.275  -0.164 -1.206  -0.213 -1.136  -0.262 -1.067  -0.311 -0.997  -0.360 -0.928  -0.405 -0.855  -0.448 -0.782  -0.491 -0.708  -0.534 -0.635  -0.577 -0.561  -0.606 -0.482  -0.629 -0.400  -0.652 -0.318  -0.674 -0.236  -0.697 -0.153  -0.682 -0.071  -0.661 0.012  -0.641 0.094  -0.597 0.166  -0.544 0.232  -0.490 0.298  -0.436 0.364  -0.383 0.430  -0.320 0.485  -0.241 0.517  -0.163 0.550  -0.084 0.583  -0.006 0.616  0.073 0.648  0.152 0.681  0.234 0.703  0.317 0.718  0.401 0.733  0.485 0.748  0.569 0.764  0.652 0.779  0.736 0.793  0.820 0.807  0.905 0.821  0.989 0.835  1.073 0.847  1.158 0.847  1.243 0.847  1.328 0.847  1.413 0.847
3#apb#apb18#app1830/e  -0.808 -0.503  -0.645 -0.462  -0.482 -0.422  -0.319 -0.381  -0.162 -0.326  -0.016 -0.245  0.131 -0.164  0.276 -0.079  0.415 0.014  0.534 0.131  0.607 0.272  0.607 0.440  0.567 0.601  0.510 0.759  0.461 0.919  0.417 1.081  0.370 1.242  0.308 1.397  0.222 1.540  0.065 1.532  -0.048 1.409  -0.154 1.280  -0.237 1.134  -0.321 0.988  -0.397 0.839  -0.472 0.689  -0.542 0.537  -0.586 0.375  -0.630 0.213  -0.674 0.052  -0.714 -0.111  -0.753 -0.275  -0.792 -0.438  -0.808 -0.604  -0.808 -0.771  -0.747 -0.922  -0.637 -1.031  -0.471 -1.058  -0.306 -1.084  -0.142 -1.076  0.017 -1.026  0.177 -0.975  0.337 -0.924  0.492 -0.859  0.647 -0.794  0.802 -0.730  0.955 -0.663  1.104 -0.585  1.252 -0.507  1.401 -0.429
3#apb#apb18#app1830/s  0.658 0.557  0.609 0.629  0.559 0.701  0.509 0.773  0.459 0.845  0.414 0.919  0.373 0.996  0.331 1.073  0.290 1.150  0.250 1.228  0.211 1.306  0.196 1.285  0.217 1.200  0.238 1.115  0.244 1.028  0.244 0.941  0.244 0.853  0.244 0.766  0.244 0.679  0.244 0.591  0.237 0.504  0.226 0.417  0.214 0.331  0.203 0.244  0.192 0.157  0.180 0.071  0.166 -0.015  0.132 -0.096  0.099 -0.177  0.065 -0.257  0.031 -0.338  -0.002 -0.419  -0.036 -0.499  -0.069 -0.580  -0.113 -0.656  -0.158 -0.731  -0.203 -0.806  -0.248 -0.881  -0.293 -0.956  -0.338 -1.030  -0.391 -1.099  -0.455 -1.158  -0.520 -1.217  -0.585 -1.276  -0.653 -1.329  -0.733 -1.364  -0.813 -1.400  -0.892 -1.398  -0.970 -1.359  -1.048 -1.320
3#apb#apb18#app1830/i  0.386 1.653  0.372 1.585  0.358 1.517  0.344 1.449  0.330 1.382  0.316 1.314  0.302 1.246  0.287 1.178  0.273 1.110  0.259 1.042  0.245 0.974  0.231 0.906  0.217 0.839  0.203 0.771  0.188 0.703  0.174 0.635  0.160 0.567  0.146 0.499  0.132 0.431  0.118 0.364  0.101 0.296  0.082 0.230  0.064 0.163  0.045 0.096  0.027 0.029  0.008 -0.038  -0.010 -0.104  -0.029 -0.171  -0.047 -0.238  -0.066 -0.305  -0.085 -0.372  -0.103 -0.438  -0.122 -0.505  -0.140 -0.572  -0.159 -0.639  -0.177 -0.706  -0.196 -0.772  -0.214 -0.839  -0.233 -0.906  -0.252 -0.973  -0.270 -1.040  -0.289 -1.106  -0.307 -1.173  -0.326 -1.240  -0.344 -1.307  -0.363 -1.373  -0.381 -1.440  -0.400 -1.507  -0.418 -1.574  -0.437 -1.641
3#apb#apb18#app1830/d  0.490 1.666  0.604 1.739  0.720 1.691  0.750 1.566  0.757 1.431  0.762 1.295  0.744 1.161  0.726 1.026  0.708 0.892  0.690 0.757  0.655 0.626  0.620 0.495  0.585 0.364  0.540 0.237  0.479 0.116  0.418 -0.005  0.358 -0.127  0.291 -0.245  0.222 -0.362  0.151 -0.477  0.068 -0.584  -0.040 -0.617  -0.083 -0.488  -0.086 -0.354  -0.078 -0.219  -0.067 -0.084  -0.054 0.051  -0.041 0.186  -0.037 0.322  -0.047 0.450  -0.157 0.406  -0.258 0.315  -0.335 0.205  -0.401 0.087  -0.467 -0.032  -0.533 -0.150  -0.587 -0.274  -0.630 -0.403  -0.673 -0.531  -0.716 -0.660  -0.765 -0.786  -0.816 -0.912  -0.853 -1.040  -0.842 -1.175  -0.768 -1.273  -0.652 -1.334  -0.516 -1.323  -0.390 -1.286  -0.278 -1.211  -0.165 -1.135
3#apb#apb18#app1830/e  0.204 -0.252  0.337 -0.222  0.469 -0.191  0.602 -0.161  0.713 -0.084  0.793 -0.027  0.750 0.102  0.683 0.220  0.610 0.334  0.536 0.449  0.465 0.565  0.393 0.681  0.322 0.797  0.249 0.912  0.171 1.023  0.093 1.135  0.029 1.253  -0.014 1.382  -0.068 1.505  -0.182 1.470  -0.233 1.344  -0.283 1.217  -0.311 1.085  -0.325 0.950  -0.339 0.814  -0.354 0.679  -0.371 0.544  -0.402 0.412  -0.433 0.279  -0.465 0.147  -0.493 0.014  -0.500 -0.122  -0.507 -0.258  -0.514 -0.394  -0.521 -0.530  -0.523 -0.666  -0.523 -0.802  -0.523 -0.938  -0.492 -1.066  -0.424 -1.184  -0.352 -1.300  -0.277 -1.413  -0.145 -1.422  -0.009 -1.422  0.106 -1.369  0.208 -1.278  0.310 -1.188  0.412 -1.097  0.513 -1.007  0.615 -0.916
3#apb#apb18#app1830/n  -0.476 0.786  -0.505 0.632  -0.534 0.478  -0.563 0.324  -0.599 0.172  -0.635 0.019  -0.670 -0.133  -0.734 -0.275  -0.804 -0.415  -0.874 -0.555  -0.944 -0.695  -1.014 -0.835  -1.084 -0.975  -1.154 -1.115  -1.064 -1.067  -0.953 -0.957  -0.843 -0.846  -0.732 -0.735  -0.626 -0.621  -0.534 -0.495  -0.441 -0.368  -0.349 -0.242  -0.257 -0.115  -0.164 0.011  -0.071 0.137  0.024 0.261  0.119 0.386  0.214 0.510  0.308 0.635  0.390 0.767  0.457 0.909  0.524 1.050  0.591 1.192  0.706 1.282  0.811 1.219  0.846 1.072  0.846 0.916  0.846 0.759  0.846 0.603  0.841 0.446  0.831 0.290  0.820 0.134  0.810 -0.022  0.799 -0.178  0.789 -0.335  0.806 -0.490  0.823 -0.646  0.841 -0.801  0.858 -0.957  0.875 -1.112
3#apb#apb18#app1830/t  1.368 -0.943  1.239 -0.852  1.107 -0.770  0.948 -0.770  0.790 -0.770  0.633 -0.782  0.477 -0.808  0.321 -0.834  0.164 -0.857  0.008 -0.880  -0.149 -0.904  -0.305 -0.930  -0.382 -0.867  -0.373 -0.709  -0.365 -0.551  -0.356 -0.393  -0.347 -0.235  -0.339 -0.077  -0.330 0.081  -0.322 0.239  -0.313 0.397  -0.304 0.555  -0.296 0.713  -0.287 0.871  -0.279 1.029  -0.270 1.187  -0.261 1.345  -0.253 1.503  -0.244 1.661  -0.234 1.732  -0.221 1.574  -0.208 1.416  -0.195 1.259  -0.182 1.101  -0.168 0.943  -0.149 0.786  -0.126 0.630  -0.102 0.473  -0.079 0.317  -0.056 0.160  -0.032 0.004  -0.009 -0.153  0.012 -0.309  0.026 -0.467  0.040 -0.625  0.053 -0.782  0.067 -0.940  0.081 -1.097  0.094 -1.255  0.108 -1.413
3#apb#apb18#app1830/A  -0.661 -0.928  -0.718 -1.090  -0.787 -1.247  -0.831 -1.352  -0.803 -1.183  -0.746 -1.021  -0.696 -0.857  -0.652 -0.691  -0.634 -0.522  -0.634 -0.350  -0.645 -0.179  -0.661 -0.008  -0.627 0.154  -0.538 0.301  -0.430 0.434  -0.322 0.568  -0.222 0.708  -0.123 0.848  -0.025 0.989  0.073 1.130  0.170 1.271  0.256 1.420  0.372 1.537  0.521 1.511  0.614 1.367  0.661 1.202  0.707 1.036  0.732 0.867  0.746 0.696  0.760 0.525  0.767 0.354  0.772 0.182  0.777 0.010  0.772 -0.161  0.766 -0.333  0.749 -0.503  0.723 -0.673  0.687 -0.841  0.589 -0.909  0.464 -0.794  0.352 -0.663  0.272 -0.512  0.182 -0.367  0.070 -0.236  -0.077 -0.150  -0.240 -0.159  -0.405 -0.203  -0.549 -0.297  -0.693 -0.391  -0.834 -0.489
3#apb#apb18#app1830/s  1.237 0.597  1.213 0.683  1.131 0.738  1.043 0.780  0.950 0.814  0.857 0.848  0.760 0.864  0.662 0.875  0.563 0.887  0.465 0.898  0.367 0.901  0.268 0.901  0.169 0.901  0.070 0.901  -0.029 0.901  -0.128 0.901  -0.223 0.887  -0.311 0.842  -0.386 0.779  -0.375 0.694  -0.335 0.604  -0.289 0.516  -0.236 0.433  -0.183 0.349  -0.130 0.266  -0.076 0.183  -0.023 0.100  0.030 0.017  0.069 -0.072  0.082 -0.170  0.095 -0.268  0.109 -0.366  0.087 -0.461  0.056 -0.554  0.025 -0.648  -0.007 -0.742  -0.062 -0.824  -0.117 -0.906  -0.171 -0.989  -0.226 -1.071  -0.302 -1.131  -0.386 -1.184  -0.469 -1.238  -0.562 -1.261  -0.661 -1.269  -0.759 -1.276  -0.847 -1.246  -0.926 -1.187  -1.005 -1.128  -1.084 -1.068
