2#app#app06#app0680/a  0.199 1.309  0.097 1.214  -0.067 1.138  -0.181 0.989  -0.278 0.833  -0.417 0.694  -0.489 0.527  -0.627 0.388  -0.655 0.204  -0.750 0.047  -0.776 -0.139  -0.844 -0.307  -0.849 -0.502  -0.937 -0.678  -0.940 -0.873  -1.034 -1.030  -1.034 -1.227  -0.902 -1.346  -0.718 -1.315  -0.552 -1.243  -0.465 -1.083  -0.308 -0.983  -0.181 -0.847  -0.158 -0.660  -0.034 -0.509  0.075 -0.346  0.206 -0.200  0.293 -0.040  0.329 0.148  0.388 0.330  0.388 0.526  0.388 0.722  0.388 0.919  0.388 1.115  0.293 1.216  0.293 1.206  0.293 1.009  0.293 0.813  0.293 0.617  0.293 0.421  0.293 0.224  0.328 0.042  0.400 -0.124  0.538 -0.263  0.679 -0.398  0.844 -0.474  1.032 -0.493  1.229 -0.493  1.425 -0.493  1.526 -0.587
2#app#app06#app0680/q  0.082 1.167  -0.072 1.105  -0.209 0.953  -0.310 0.775  -0.411 0.596  -0.503 0.411  -0.565 0.219  -0.611 0.032  -0.469 0.036  -0.338 0.187  -0.212 0.348  -0.076 0.501  -0.010 0.688  0.101 0.854  0.141 1.053  0.212 1.242  0.256 1.433  0.267 1.532  0.255 1.328  0.209 1.131  0.174 0.930  0.140 0.727  0.129 0.521  0.082 0.320  0.056 0.118  0.001 -0.081  -0.017 -0.285  -0.056 -0.485  -0.092 -0.687  -0.125 -0.889  -0.191 -1.085  -0.241 -1.283  -0.313 -1.473  -0.334 -1.675  -0.380 -1.862  -0.334 -1.837  -0.262 -1.648  -0.131 -1.506  -0.050 -1.316  0.042 -1.132  0.133 -0.946  0.208 -0.754  0.300 -0.570  0.340 -0.370  0.406 -0.178  0.444 0.024  0.498 0.219  0.559 0.411  0.637 0.591  0.637 0.612
2#app#app06#app0680/u  -0.532 0.975  -0.532 0.794  -0.650 0.731  -0.650 0.550  -0.657 0.371  -0.738 0.209  -0.768 0.035  -0.886 -0.097  -0.919 -0.270  -1.000 -0.432  -1.004 -0.612  -1.004 -0.793  -1.004 -0.974  -1.004 -1.155  -0.937 -1.268  -0.759 -1.259  -0.624 -1.150  -0.532 -1.060  -0.424 -0.924  -0.297 -0.796  -0.196 -0.645  -0.096 -0.495  0.057 -0.441  0.138 -0.281  0.244 -0.137  0.294 0.023  0.333 0.188  0.461 0.316  0.530 0.468  0.550 0.641  0.648 0.781  0.648 0.962  0.648 1.143  0.648 1.324  0.648 1.389  0.562 1.243  0.530 1.076  0.530 0.895  0.429 0.756  0.412 0.582  0.412 0.401  0.412 0.220  0.412 0.039  0.530 -0.093  0.578 -0.254  0.706 -0.382  0.766 -0.538  0.913 -0.589  1.057 -0.678  1.120 -0.796
2#app#app06#app0680/i  -0.185 0.290  -0.185 0.319  -0.263 0.269  -0.263 0.141  -0.342 0.092  -0.347 -0.035  -0.404 -0.150  -0.427 -0.273  -0.484 -0.387  -0.510 -0.507  -0.577 -0.607  -0.577 -0.735  -0.577 -0.863  -0.559 -0.984  -0.499 -1.087  -0.410 -1.132  -0.311 -1.201  -0.183 -1.201  -0.055 -1.201  0.073 -1.201  0.201 -1.201  0.329 -1.201  0.441 -1.187  0.426 -1.060  0.411 -0.933  0.395 -0.805  0.380 -0.678  0.364 -0.551  0.349 -0.424  0.333 -0.297  0.318 -0.170  0.303 -0.043  0.287 0.084  0.272 0.211  0.256 0.339  0.241 0.466  0.226 0.593  0.210 0.720  0.195 0.847  0.179 0.974  0.164 1.101  0.149 1.228  0.133 1.355  0.129 1.483  0.129 1.611  0.051 1.661  -0.028 1.694  0.030 1.624  0.080 1.545  0.129 1.467
2#app#app06#app0680/c  0.898 0.904  0.992 0.904  0.996 0.995  0.996 1.089  0.914 1.101  0.819 1.101  0.725 1.101  0.631 1.101  0.536 1.101  0.504 1.038  0.452 0.976  0.368 0.934  0.283 0.892  0.199 0.850  0.114 0.808  0.111 0.715  0.050 0.646  -0.017 0.580  -0.084 0.513  -0.168 0.470  -0.252 0.428  -0.325 0.370  -0.386 0.299  -0.416 0.210  -0.446 0.120  -0.476 0.031  -0.537 -0.039  -0.604 -0.106  -0.671 -0.173  -0.676 -0.265  -0.676 -0.359  -0.676 -0.454  -0.676 -0.548  -0.676 -0.642  -0.629 -0.717  -0.578 -0.790  -0.565 -0.879  -0.498 -0.946  -0.432 -1.013  -0.358 -1.063  -0.264 -1.063  -0.174 -1.074  -0.107 -1.141  -0.021 -1.162  0.073 -1.162  0.167 -1.162  0.262 -1.162  0.356 -1.162  0.438 -1.130  0.504 -1.063
2#app#app06#app0680/k  -0.128 1.646  -0.128 1.443  -0.182 1.249  -0.263 1.063  -0.354 0.882  -0.421 0.690  -0.442 0.491  -0.523 0.307  -0.599 0.122  -0.635 -0.073  -0.677 -0.266  -0.746 -0.452  -0.813 -0.644  -0.834 -0.844  -0.834 -1.047  -0.912 -1.171  -0.805 -1.069  -0.667 -0.922  -0.564 -0.750  -0.420 -0.606  -0.280 -0.460  -0.179 -0.286  -0.035 -0.143  0.108 0.001  0.230 0.164  0.354 0.324  0.497 0.468  0.641 0.612  0.740 0.786  0.915 0.886  1.048 1.034  1.155 1.176  1.105 1.059  0.973 0.905  0.841 0.751  0.709 0.597  0.577 0.443  0.444 0.289  0.312 0.135  0.180 -0.020  0.048 -0.174  -0.084 -0.328  -0.207 -0.485  -0.207 -0.688  -0.128 -0.859  -0.020 -0.971  0.089 -1.140  0.236 -1.255  0.388 -1.379  0.499 -1.490
2#app#app06#app0680/b  0.262 1.994  0.242 2.121  0.135 2.045  0.135 1.898  0.135 1.752  0.108 1.608  0.080 1.464  0.072 1.318  0.072 1.172  0.066 1.026  0.020 0.888  0.008 0.743  0.008 0.596  0.008 0.450  0.008 0.304  0.008 0.157  0.008 0.011  -0.037 -0.125  -0.055 -0.267  -0.055 -0.414  -0.055 -0.560  -0.055 -0.707  -0.055 -0.853  -0.028 -0.885  -0.132 -0.782  -0.235 -0.678  -0.339 -0.575  -0.442 -0.471  -0.499 -0.348  -0.483 -0.208  -0.356 -0.161  -0.236 -0.098  -0.089 -0.098  0.057 -0.098  0.202 -0.102  0.324 -0.161  0.452 -0.228  0.513 -0.349  0.515 -0.495  0.515 -0.641  0.452 -0.724  0.354 -0.830  0.237 -0.917  0.118 -1.002  -0.004 -1.061  -0.129 -1.112  -0.267 -1.134  -0.396 -1.175  -0.543 -1.175  -0.626 -1.112
2#app#app06#app0680/r  -0.383 -1.197  -0.383 -1.298  -0.383 -1.399  -0.468 -1.414  -0.492 -1.337  -0.541 -1.256  -0.601 -1.180  -0.601 -1.079  -0.601 -0.978  -0.601 -0.877  -0.601 -0.776  -0.601 -0.674  -0.601 -0.573  -0.651 -0.493  -0.709 -0.416  -0.709 -0.315  -0.709 -0.214  -0.709 -0.113  -0.709 -0.012  -0.647 0.063  -0.601 0.145  -0.573 0.218  -0.492 0.238  -0.492 0.339  -0.488 0.436  -0.387 0.436  -0.314 0.505  -0.230 0.545  -0.129 0.545  -0.036 0.565  0.035 0.637  0.129 0.654  0.230 0.654  0.270 0.715  0.324 0.763  0.425 0.763  0.526 0.763  0.618 0.741  0.689 0.670  0.784 0.654  0.814 0.583  0.877 0.545  0.978 0.545  1.032 0.498  1.071 0.436  1.172 0.436  1.273 0.436  1.359 0.420  1.366 0.327  1.467 0.327
2#app#app06#app0680/o  0.066 0.456  -0.083 0.456  -0.233 0.456  -0.276 0.350  -0.390 0.314  -0.453 0.228  -0.602 0.228  -0.637 0.114  -0.787 0.114  -0.846 0.024  -0.935 -0.089  -0.960 -0.228  -0.960 -0.377  -0.960 -0.526  -0.885 -0.645  -0.846 -0.778  -0.835 -0.923  -0.728 -1.025  -0.579 -1.025  -0.504 -1.100  -0.394 -1.139  -0.245 -1.139  -0.162 -1.073  -0.060 -1.025  0.089 -1.025  0.221 -0.984  0.327 -0.878  0.432 -0.773  0.538 -0.667  0.636 -0.558  0.669 -0.423  0.765 -0.311  0.832 -0.177  0.863 -0.035  0.863 0.114  0.863 0.263  0.863 0.413  0.863 0.562  0.863 0.711  0.819 0.842  0.713 0.948  0.636 1.065  0.561 1.139  0.522 1.250  0.376 1.253  0.227 1.253  0.078 1.253  -0.031 1.156  -0.137 1.050  -0.162 0.912
2#app#app06#app0680/w  -0.487 1.095  -0.523 0.937  -0.645 0.816  -0.752 0.683  -0.830 0.529  -0.907 0.375  -0.968 0.217  -1.030 0.070  -1.089 -0.078  -1.089 -0.250  -1.089 -0.423  -1.089 -0.595  -1.089 -0.768  -1.089 -0.940  -0.929 -0.952  -0.783 -0.888  -0.634 -0.832  -0.504 -0.729  -0.382 -0.607  -0.345 -0.450  -0.232 -0.322  -0.155 -0.168  -0.125 -0.003  -0.013 0.123  0.024 0.280  0.116 0.415  0.116 0.398  0.116 0.225  0.116 0.053  0.116 -0.119  0.116 -0.292  0.196 -0.431  0.236 -0.587  0.356 -0.639  0.456 -0.712  0.619 -0.690  0.751 -0.591  0.898 -0.531  0.997 -0.393  1.075 -0.239  1.079 -0.067  1.079 0.105  1.079 0.278  1.079 0.450  1.079 0.622  1.079 0.795  1.079 0.967  1.005 1.122  0.958 1.283  0.958 1.456
2#app#app06#app0680/n  -0.308 0.239  -0.308 0.065  -0.308 -0.109  -0.308 -0.282  -0.315 -0.453  -0.438 -0.576  -0.536 -0.709  -0.603 -0.855  -0.650 -1.009  -0.764 -1.136  -0.830 -1.243  -0.878 -1.345  -0.878 -1.172  -0.878 -0.998  -0.823 -0.847  -0.724 -0.707  -0.650 -0.551  -0.650 -0.377  -0.593 -0.217  -0.503 -0.070  -0.395 0.064  -0.318 0.219  -0.240 0.374  -0.162 0.530  -0.084 0.685  0.035 0.810  0.113 0.966  0.233 1.079  0.376 1.164  0.428 1.316  0.567 1.417  0.722 1.493  0.832 1.429  0.745 1.292  0.718 1.129  0.693 0.960  0.638 0.795  0.574 0.634  0.496 0.478  0.469 0.311  0.392 0.155  0.376 -0.015  0.376 -0.188  0.376 -0.362  0.376 -0.536  0.402 -0.699  0.539 -0.787  0.713 -0.787  0.887 -0.787  1.061 -0.787
