1b#tos#t3#t3026064/A  -1.081 -0.897  -1.175 -1.005  -1.175 -0.900  -1.087 -0.728  -1.029 -0.535  -0.949 -0.350  -0.881 -0.160  -0.798 0.022  -0.682 0.187  -0.589 0.363  -0.489 0.537  -0.401 0.715  -0.261 0.855  -0.153 1.026  -0.052 1.195  0.115 1.303  0.234 1.449  0.428 1.480  0.528 1.357  0.577 1.182  0.640 0.999  0.694 0.810  0.734 0.614  0.796 0.431  0.796 0.229  0.921 0.089  0.921 -0.113  0.921 -0.314  0.921 -0.516  0.921 -0.718  0.873 -0.890  0.846 -1.080  0.666 -1.116  0.482 -1.064  0.326 -0.936  0.170 -0.808  0.014 -0.680  -0.142 -0.552  -0.298 -0.423  -0.454 -0.295  -0.610 -0.167  -0.787 -0.148  -0.740 -0.178  -0.543 -0.146  -0.344 -0.119  -0.153 -0.056  0.047 -0.025  0.246 -0.006  0.445 0.010  0.609 0.073
1b#tos#t3#t3026064/B  -0.421 1.447  -0.413 1.497  -0.379 1.248  -0.379 0.989  -0.379 0.730  -0.379 0.471  -0.379 0.212  -0.421 -0.042  -0.434 -0.299  -0.490 -0.552  -0.523 -0.807  -0.547 -1.063  -0.574 -1.311  -0.631 -1.358  -0.597 -1.101  -0.559 -0.845  -0.520 -0.589  -0.481 -0.333  -0.443 -0.077  -0.404 0.179  -0.366 0.436  -0.327 0.692  -0.253 0.922  -0.033 1.027  0.202 1.106  0.459 1.111  0.718 1.111  0.759 0.946  0.662 0.733  0.423 0.673  0.211 0.524  0.023 0.377  -0.127 0.240  0.007 0.396  0.266 0.396  0.525 0.396  0.774 0.354  0.938 0.249  1.052 0.038  1.091 -0.196  1.049 -0.446  0.896 -0.632  0.707 -0.804  0.516 -0.977  0.278 -1.054  0.159 -1.242  -0.075 -1.326  -0.334 -1.326  -0.463 -1.172  -0.379 -0.948
1b#tos#t3#t3026064/C  0.709 -0.009  0.669 0.058  0.669 0.165  0.682 0.270  0.709 0.372  0.709 0.479  0.709 0.586  0.709 0.693  0.709 0.800  0.709 0.907  0.701 1.012  0.669 1.112  0.567 1.117  0.460 1.117  0.353 1.117  0.247 1.105  0.142 1.084  0.067 1.018  0.003 0.933  -0.076 0.861  -0.165 0.802  -0.254 0.743  -0.296 0.658  -0.296 0.551  -0.331 0.454  -0.386 0.362  -0.443 0.272  -0.501 0.182  -0.538 0.082  -0.576 -0.019  -0.613 -0.119  -0.617 -0.225  -0.617 -0.332  -0.617 -0.439  -0.617 -0.546  -0.617 -0.653  -0.617 -0.760  -0.617 -0.867  -0.565 -0.954  -0.495 -1.036  -0.425 -1.117  -0.362 -1.202  -0.302 -1.289  -0.214 -1.335  -0.107 -1.335  -0.000 -1.335  0.107 -1.335  0.214 -1.335  0.321 -1.335  0.428 -1.335
1b#tos#t3#t3026064/D  -0.490 1.317  -0.458 1.191  -0.419 0.998  -0.389 0.804  -0.389 0.606  -0.389 0.409  -0.389 0.211  -0.389 0.014  -0.389 -0.183  -0.403 -0.379  -0.423 -0.574  -0.423 -0.772  -0.456 -0.964  -0.487 -1.038  -0.466 -0.841  -0.445 -0.645  -0.423 -0.449  -0.402 -0.253  -0.380 -0.056  -0.359 0.140  -0.338 0.336  -0.316 0.532  -0.295 0.729  -0.332 0.882  -0.267 1.009  -0.095 1.103  0.100 1.117  0.297 1.117  0.495 1.117  0.679 1.074  0.844 0.988  0.987 0.859  1.020 0.672  1.083 0.486  1.083 0.289  1.083 0.091  1.024 -0.081  0.949 -0.256  0.845 -0.414  0.707 -0.544  0.572 -0.675  0.432 -0.806  0.266 -0.907  0.146 -1.025  0.020 -1.124  -0.162 -1.202  -0.340 -1.260  -0.538 -1.260  -0.724 -1.223  -0.858 -1.159
1b#tos#t3#t3026064/F  -0.555 0.897  -0.554 0.767  -0.384 0.801  -0.210 0.832  -0.038 0.863  0.124 0.933  0.300 0.955  0.478 0.962  0.627 1.054  0.792 1.111  0.968 1.126  0.958 1.158  0.784 1.124  0.613 1.079  0.441 1.034  0.269 0.987  0.098 0.960  0.066 0.815  0.000 0.664  -0.016 0.497  -0.065 0.349  -0.130 0.191  -0.130 0.014  -0.177 -0.156  -0.224 -0.327  -0.266 -0.500  -0.314 -0.669  -0.383 -0.830  -0.393 -1.006  -0.439 -1.175  -0.522 -1.318  -0.585 -1.481  -0.631 -1.651  -0.624 -1.608  -0.577 -1.437  -0.530 -1.266  -0.483 -1.094  -0.437 -0.923  -0.390 -0.751  -0.343 -0.580  -0.296 -0.409  -0.261 -0.321  -0.139 -0.376  0.031 -0.344  0.188 -0.267  0.356 -0.214  0.533 -0.213  0.675 -0.126  0.848 -0.115  0.947 -0.017
1b#tos#t3#t3026064/G  0.520 0.968  0.520 1.208  0.435 1.404  0.198 1.418  -0.023 1.355  -0.228 1.231  -0.427 1.120  -0.495 0.890  -0.643 0.705  -0.791 0.519  -0.911 0.311  -0.989 0.086  -1.039 -0.149  -1.055 -0.386  -1.055 -0.627  -0.988 -0.845  -0.837 -1.014  -0.598 -1.019  -0.358 -1.019  -0.172 -0.919  0.013 -0.804  0.132 -0.595  0.338 -0.488  0.304 -0.321  0.130 -0.155  -0.045 0.010  -0.219 0.176  -0.392 0.244  -0.595 0.153  -0.404 0.223  -0.169 0.256  0.034 0.293  0.260 0.351  0.459 0.484  0.695 0.518  0.932 0.546  1.106 0.597  0.877 0.668  0.712 0.593  0.666 0.396  0.576 0.200  0.520 -0.032  0.490 -0.269  0.459 -0.503  0.407 -0.731  0.397 -0.969  0.332 -1.197  0.332 -1.438  0.332 -1.678  0.257 -1.768
1b#tos#t3#t3026064/I  -0.977 0.837  -0.991 0.747  -0.857 0.747  -0.726 0.762  -0.599 0.804  -0.502 0.866  -0.368 0.866  -0.238 0.895  -0.126 0.968  -0.007 1.015  0.121 1.050  0.238 1.112  0.350 1.183  0.312 1.207  0.181 1.181  0.063 1.149  0.063 1.016  -0.026 0.971  -0.026 0.837  -0.026 0.703  -0.026 0.569  -0.026 0.435  -0.026 0.302  -0.035 0.169  -0.056 0.037  -0.056 -0.097  -0.129 -0.192  -0.145 -0.317  -0.145 -0.451  -0.145 -0.584  -0.150 -0.717  -0.175 -0.845  -0.268 -0.885  -0.402 -0.885  -0.499 -0.945  -0.489 -1.064  -0.355 -1.064  -0.221 -1.064  -0.087 -1.064  0.047 -1.064  0.172 -1.020  0.298 -0.975  0.427 -0.945  0.561 -0.945  0.695 -0.945  0.825 -0.933  0.940 -0.864  1.072 -0.856  1.205 -0.856  1.339 -0.856
1b#tos#t3#t3026064/J  -0.820 0.805  -0.914 0.770  -1.011 0.692  -1.000 0.634  -0.876 0.634  -0.751 0.634  -0.627 0.634  -0.503 0.634  -0.379 0.641  -0.257 0.661  -0.141 0.704  -0.019 0.729  0.103 0.752  0.223 0.776  0.347 0.776  0.460 0.804  0.572 0.833  0.688 0.876  0.767 0.919  0.647 0.888  0.528 0.852  0.409 0.815  0.295 0.768  0.233 0.689  0.233 0.565  0.261 0.449  0.347 0.369  0.347 0.244  0.374 0.125  0.404 0.004  0.404 -0.120  0.404 -0.244  0.424 -0.365  0.432 -0.488  0.432 -0.613  0.404 -0.733  0.404 -0.858  0.375 -0.975  0.282 -1.048  0.204 -1.116  0.130 -1.176  0.036 -1.253  -0.075 -1.308  -0.192 -1.330  -0.315 -1.339  -0.437 -1.359  -0.561 -1.359  -0.686 -1.359  -0.810 -1.359  -0.792 -1.273
1b#tos#t3#t3026064/K  -0.794 1.577  -0.797 1.609  -0.762 1.412  -0.698 1.222  -0.698 1.017  -0.698 0.812  -0.666 0.611  -0.664 0.406  -0.623 0.205  -0.588 0.003  -0.568 -0.200  -0.568 -0.405  -0.568 -0.610  -0.568 -0.814  -0.536 -1.006  -0.536 -1.211  -0.449 -1.073  -0.351 -0.893  -0.254 -0.713  -0.156 -0.533  -0.058 -0.353  0.040 -0.173  0.137 0.007  0.235 0.187  0.333 0.367  0.431 0.547  0.528 0.727  0.626 0.907  0.625 1.025  0.470 0.931  0.334 0.790  0.188 0.658  0.030 0.575  -0.091 0.458  -0.232 0.349  -0.373 0.223  -0.375 0.084  -0.239 -0.030  -0.110 -0.142  0.056 -0.250  0.219 -0.348  0.374 -0.466  0.534 -0.560  0.695 -0.684  0.859 -0.784  1.042 -0.876  1.144 -1.025  1.293 -1.122  1.391 -1.266  1.434 -1.169
1b#tos#t3#t3026064/M  -0.638 0.897  -0.745 0.798  -0.745 0.612  -0.745 0.427  -0.745 0.241  -0.745 0.055  -0.745 -0.131  -0.745 -0.316  -0.745 -0.502  -0.745 -0.688  -0.691 -0.857  -0.691 -1.043  -0.664 -1.168  -0.670 -0.983  -0.675 -0.797  -0.681 -0.611  -0.687 -0.426  -0.692 -0.240  -0.698 -0.055  -0.703 0.131  -0.709 0.317  -0.715 0.502  -0.775 0.630  -0.682 0.541  -0.541 0.473  -0.429 0.337  -0.287 0.257  -0.110 0.225  0.067 0.198  0.248 0.176  0.388 0.251  0.537 0.315  0.607 0.464  0.670 0.629  0.771 0.757  0.857 0.906  0.937 1.023  0.937 0.837  0.937 0.651  0.951 0.469  0.964 0.286  0.964 0.100  0.991 -0.079  1.007 -0.263  1.037 -0.444  1.071 -0.624  1.071 -0.810  1.098 -0.991  1.151 -1.160  1.178 -1.319
1b#tos#t3#t3026064/P  -0.395 1.215  -0.433 1.035  -0.395 0.848  -0.395 0.652  -0.395 0.455  -0.384 0.261  -0.317 0.077  -0.317 -0.119  -0.317 -0.315  -0.317 -0.512  -0.317 -0.708  -0.317 -0.904  -0.286 -1.098  -0.279 -1.294  -0.279 -1.490  -0.279 -1.686  -0.317 -1.839  -0.356 -1.681  -0.344 -1.485  -0.332 -1.289  -0.321 -1.093  -0.309 -0.897  -0.297 -0.701  -0.285 -0.505  -0.274 -0.309  -0.262 -0.113  -0.250 0.083  -0.239 0.279  -0.227 0.475  -0.215 0.671  -0.204 0.867  -0.051 0.929  0.113 1.022  0.303 1.061  0.499 1.061  0.696 1.061  0.892 1.061  1.088 1.061  1.190 0.938  1.153 0.746  1.046 0.601  0.960 0.433  0.805 0.345  0.645 0.248  0.473 0.174  0.294 0.124  0.111 0.093  -0.086 0.093  -0.237 0.016  -0.240 0.055
