1c#apa#apa13#app1306/q  0.433 0.754  0.494 0.856  0.494 1.019  0.408 1.145  0.321 1.242  0.219 1.303  0.056 1.303  -0.107 1.303  -0.244 1.242  -0.375 1.165  -0.490 1.050  -0.582 0.918  -0.677 0.789  -0.750 0.644  -0.822 0.498  -0.846 0.341  -0.846 0.178  -0.755 0.054  -0.630 -0.038  -0.468 -0.038  -0.317 0.014  -0.181 0.101  -0.056 0.205  0.085 0.284  0.200 0.399  0.311 0.516  0.352 0.632  0.225 0.546  0.189 0.398  0.098 0.268  0.068 0.112  0.068 -0.050  0.068 -0.213  0.068 -0.376  0.068 -0.538  0.068 -0.701  0.068 -0.864  0.068 -1.026  0.068 -1.189  0.128 -1.337  0.128 -1.500  0.128 -1.662  0.149 -1.683  0.189 -1.561  0.262 -1.416  0.335 -1.270  0.428 -1.140  0.543 -1.025  0.623 -0.884  0.738 -0.769
1c#apa#apa13#app1306/u  -1.300 0.657  -1.300 0.797  -1.300 0.936  -1.225 0.895  -1.196 0.767  -1.196 0.627  -1.196 0.488  -1.151 0.359  -1.092 0.233  -1.073 0.098  -1.010 -0.027  -0.987 -0.161  -0.974 -0.295  -0.875 -0.394  -0.777 -0.493  -0.715 -0.618  -0.630 -0.721  -0.505 -0.783  -0.370 -0.803  -0.230 -0.803  -0.109 -0.759  -0.010 -0.660  0.088 -0.561  0.194 -0.473  0.319 -0.410  0.428 -0.326  0.472 -0.204  0.478 -0.067  0.577 0.032  0.639 0.157  0.681 0.286  0.681 0.426  0.681 0.566  0.681 0.705  0.622 0.820  0.577 0.789  0.577 0.650  0.577 0.510  0.577 0.370  0.577 0.231  0.577 0.091  0.633 -0.025  0.681 -0.145  0.757 -0.253  0.885 -0.282  1.010 -0.342  1.127 -0.415  1.236 -0.490  1.376 -0.490  1.515 -0.490
1c#apa#apa13#app1306/i  0.026 0.120  0.026 0.015  0.026 -0.091  0.026 -0.197  0.026 -0.302  0.026 -0.408  0.026 -0.513  0.026 -0.619  0.026 -0.724  0.072 -0.811  0.147 -0.886  0.153 -0.988  0.153 -1.094  0.153 -1.200  0.153 -1.305  0.165 -1.398  0.271 -1.398  0.262 -1.303  0.243 -1.199  0.223 -1.095  0.204 -0.992  0.185 -0.888  0.166 -0.784  0.147 -0.680  0.127 -0.576  0.108 -0.473  0.089 -0.369  0.070 -0.265  0.050 -0.161  0.031 -0.058  0.012 0.046  -0.007 0.150  -0.026 0.254  -0.046 0.358  -0.065 0.461  -0.084 0.565  -0.103 0.669  -0.122 0.773  -0.142 0.876  -0.161 0.980  -0.180 1.084  -0.199 1.188  -0.219 1.292  -0.238 1.395  -0.257 1.499  -0.276 1.603  -0.295 1.707  -0.315 1.810  -0.334 1.914  -0.353 2.018
1c#apa#apa13#app1306/c  0.354 1.024  0.354 0.894  0.354 0.764  0.354 0.634  0.338 0.510  0.246 0.418  0.229 0.295  0.229 0.389  0.229 0.519  0.229 0.649  0.229 0.779  0.222 0.906  0.131 0.998  0.039 1.090  -0.067 1.148  -0.197 1.148  -0.310 1.106  -0.402 1.015  -0.494 0.923  -0.517 0.802  -0.563 0.683  -0.621 0.567  -0.701 0.466  -0.766 0.363  -0.766 0.233  -0.766 0.103  -0.766 -0.027  -0.766 -0.157  -0.766 -0.287  -0.766 -0.417  -0.766 -0.547  -0.707 -0.653  -0.615 -0.744  -0.523 -0.836  -0.431 -0.928  -0.317 -0.967  -0.187 -0.967  -0.057 -0.967  0.073 -0.967  0.203 -0.967  0.333 -0.967  0.463 -0.967  0.593 -0.967  0.723 -0.967  0.840 -0.911  0.956 -0.852  1.084 -0.842  1.214 -0.842  1.344 -0.842  1.474 -0.842
1c#apa#apa13#app1306/k  -0.718 2.025  -0.718 1.844  -0.718 1.662  -0.718 1.481  -0.718 1.299  -0.718 1.118  -0.718 0.936  -0.718 0.755  -0.718 0.573  -0.652 0.407  -0.612 0.235  -0.612 0.054  -0.516 -0.088  -0.453 -0.257  -0.391 -0.426  -0.293 -0.567  -0.281 -0.736  -0.131 -0.669  -0.015 -0.529  0.102 -0.390  0.218 -0.250  0.334 -0.111  0.450 0.029  0.567 0.168  0.683 0.308  0.799 0.447  0.812 0.538  0.631 0.538  0.449 0.538  0.344 0.462  0.206 0.400  0.077 0.272  -0.051 0.143  -0.187 0.081  -0.264 -0.069  -0.317 -0.229  -0.399 -0.376  -0.399 -0.558  -0.322 -0.707  -0.269 -0.867  -0.121 -0.949  0.060 -0.949  0.242 -0.949  0.423 -0.949  0.605 -0.949  0.786 -0.949  0.968 -0.949  1.149 -0.949  1.331 -0.949  1.512 -0.949
1c#apa#apa13#app1306/z  -1.155 0.743  -1.208 0.820  -1.204 0.897  -1.074 0.897  -0.944 0.897  -0.815 0.897  -0.694 0.935  -0.573 0.974  -0.443 0.974  -0.313 0.974  -0.184 0.974  -0.054 0.974  0.076 0.974  0.206 0.974  0.336 0.974  0.442 0.918  0.541 0.874  0.594 0.766  0.618 0.647  0.567 0.538  0.530 0.423  0.464 0.321  0.401 0.217  0.309 0.125  0.201 0.053  0.093 -0.019  0.028 -0.129  -0.048 -0.232  -0.140 -0.324  -0.203 -0.436  -0.279 -0.540  -0.370 -0.631  -0.461 -0.723  -0.461 -0.853  -0.461 -0.983  -0.456 -1.108  -0.327 -1.108  -0.208 -1.058  -0.085 -1.031  0.032 -1.000  0.143 -0.954  0.261 -0.925  0.367 -0.857  0.490 -0.816  0.618 -0.799  0.747 -0.799  0.877 -0.799  1.003 -0.803  1.060 -0.877  1.158 -0.954
1c#apa#apa13#app1306/e  -0.978 0.050  -0.809 0.050  -0.640 0.050  -0.472 0.050  -0.303 0.050  -0.142 0.092  0.018 0.146  0.186 0.151  0.350 0.162  0.481 0.253  0.546 0.359  0.675 0.455  0.744 0.554  0.846 0.681  0.846 0.849  0.744 0.976  0.663 1.063  0.494 1.063  0.326 1.063  0.157 1.063  -0.007 1.042  -0.157 0.967  -0.308 0.891  -0.459 0.816  -0.595 0.724  -0.689 0.584  -0.781 0.443  -0.856 0.292  -0.932 0.142  -0.978 -0.016  -0.978 -0.185  -0.978 -0.353  -0.931 -0.503  -0.876 -0.648  -0.826 -0.786  -0.675 -0.861  -0.548 -0.963  -0.380 -0.963  -0.211 -0.963  -0.043 -0.963  0.126 -0.963  0.294 -0.963  0.450 -0.907  0.604 -0.841  0.764 -0.787  0.928 -0.760  1.097 -0.760  1.253 -0.708  1.404 -0.633  1.555 -0.558
1c#apa#apa13#app1306/p  -0.186 0.715  -0.262 0.601  -0.262 0.411  -0.262 0.221  -0.186 0.062  -0.186 -0.128  -0.186 -0.319  -0.115 -0.492  -0.109 -0.681  -0.109 -0.872  -0.033 -1.044  -0.033 -1.234  -0.030 -1.424  0.043 -1.597  0.043 -1.787  0.021 -1.775  -0.019 -1.589  -0.059 -1.403  -0.099 -1.217  -0.140 -1.031  -0.180 -0.845  -0.220 -0.659  -0.260 -0.473  -0.300 -0.287  -0.341 -0.101  -0.381 0.085  -0.421 0.271  -0.461 0.457  -0.502 0.643  -0.542 0.829  -0.566 1.017  -0.412 1.099  -0.277 1.233  -0.098 1.260  0.065 1.325  0.256 1.325  0.445 1.318  0.625 1.258  0.797 1.176  0.852 1.002  0.881 0.818  0.881 0.628  0.846 0.452  0.712 0.318  0.577 0.183  0.405 0.106  0.229 0.047  0.043 0.030  -0.148 0.030  -0.338 0.030
1c#apa#apa13#app1306/h  -1.271 1.471  -1.188 1.388  -1.170 1.279  -1.167 1.164  -1.115 1.060  -1.070 0.954  -1.053 0.843  -0.988 0.746  -0.924 0.649  -0.861 0.551  -0.809 0.447  -0.757 0.342  -0.705 0.238  -0.644 0.140  -0.564 0.056  -0.512 -0.048  -0.459 -0.152  -0.407 -0.256  -0.349 -0.355  -0.266 -0.438  -0.255 -0.550  -0.173 -0.632  -0.166 -0.745  -0.144 -0.840  -0.038 -0.813  0.035 -0.727  0.048 -0.614  0.100 -0.510  0.162 -0.412  0.244 -0.330  0.326 -0.248  0.369 -0.141  0.406 -0.030  0.449 0.076  0.532 0.159  0.614 0.241  0.720 0.265  0.837 0.265  0.853 0.165  0.940 0.135  0.940 0.019  0.940 -0.098  0.940 -0.214  0.981 -0.321  1.034 -0.425  1.040 -0.540  1.048 -0.655  1.100 -0.759  1.159 -0.858  1.241 -0.941
1c#apa#apa13#app1306/y  1.188 1.074  1.138 0.940  1.083 0.822  0.979 0.741  0.896 0.614  0.851 0.478  0.783 0.367  0.664 0.279  0.595 0.142  0.527 0.004  0.475 -0.141  0.424 -0.286  0.355 -0.423  0.251 -0.535  0.163 -0.657  0.114 -0.802  0.053 -0.943  -0.016 -1.081  -0.091 -1.214  -0.184 -1.334  -0.260 -1.466  -0.369 -1.575  -0.412 -1.519  -0.416 -1.366  -0.421 -1.212  -0.425 -1.058  -0.430 -0.904  -0.434 -0.751  -0.438 -0.597  -0.443 -0.443  -0.447 -0.289  -0.452 -0.136  -0.456 0.018  -0.460 0.172  -0.465 0.326  -0.469 0.479  -0.474 0.633  -0.478 0.787  -0.482 0.941  -0.487 1.094  -0.491 1.248  -0.440 1.272  -0.383 1.158  -0.316 1.065  -0.220 0.947  -0.144 0.822  -0.014 0.763  0.064 0.632  0.154 0.510  0.263 0.401
1c#apa#apa13#app1306/r  -0.364 0.559  -0.364 0.418  -0.364 0.276  -0.364 0.135  -0.364 -0.007  -0.364 -0.148  -0.309 -0.277  -0.246 -0.404  -0.183 -0.530  -0.183 -0.672  -0.183 -0.813  -0.183 -0.955  -0.161 -1.075  -0.020 -1.075  -0.001 -1.198  -0.001 -1.339  0.042 -1.438  0.181 -1.436  0.181 -1.294  0.107 -1.183  0.007 -1.083  -0.001 -0.945  -0.065 -0.830  -0.165 -0.729  -0.183 -0.595  -0.217 -0.462  -0.280 -0.335  -0.344 -0.208  -0.432 -0.100  -0.532 0.000  -0.546 0.136  -0.546 0.278  -0.546 0.419  -0.545 0.560  -0.445 0.661  -0.345 0.761  -0.245 0.861  -0.129 0.923  0.013 0.923  0.154 0.923  0.262 1.004  0.362 1.104  0.504 1.104  0.645 1.104  0.787 1.104  0.929 1.104  1.070 1.104  1.199 1.159  1.325 1.223  1.452 1.286
