1c#tos#f2#f2044065/a  -1.043 0.824  -1.002 0.712  -0.961 0.803  -0.830 0.910  -0.675 1.011  -0.530 1.069  -0.338 1.128  -0.137 1.151  0.067 1.151  0.267 1.145  0.373 0.974  0.396 0.783  0.427 0.611  0.427 0.408  0.427 0.204  0.423 0.003  0.346 -0.169  0.346 -0.373  0.346 -0.576  0.346 -0.780  0.450 -0.926  0.590 -1.054  0.776 -1.095  0.980 -1.095  1.183 -1.095  1.193 -0.967  1.089 -0.791  0.986 -0.616  0.883 -0.441  0.780 -0.265  0.677 -0.090  0.574 0.086  0.470 0.261  0.309 0.334  0.105 0.334  -0.058 0.375  -0.254 0.416  -0.458 0.416  -0.634 0.389  -0.749 0.252  -0.829 0.122  -0.961 0.021  -1.002 -0.173  -1.002 -0.376  -0.977 -0.574  -0.873 -0.746  -0.757 -0.893  -0.592 -0.932  -0.389 -0.932  -0.185 -0.932
1c#tos#f2#f2044065/b  -0.101 1.947  -0.284 1.947  -0.311 1.790  -0.311 1.607  -0.311 1.424  -0.311 1.241  -0.311 1.058  -0.311 0.875  -0.311 0.692  -0.311 0.509  -0.311 0.326  -0.311 0.143  -0.311 -0.040  -0.311 -0.223  -0.311 -0.406  -0.311 -0.589  -0.279 -0.769  -0.228 -0.945  -0.227 -1.127  -0.311 -1.086  -0.311 -0.903  -0.430 -0.784  -0.437 -0.605  -0.437 -0.422  -0.437 -0.239  -0.437 -0.056  -0.479 0.086  -0.460 0.264  -0.336 0.386  -0.220 0.521  -0.037 0.521  0.137 0.563  0.320 0.563  0.485 0.521  0.660 0.508  0.747 0.349  0.908 0.296  0.944 0.116  0.947 -0.066  0.940 -0.248  0.905 -0.423  0.852 -0.593  0.725 -0.717  0.591 -0.841  0.486 -0.988  0.357 -1.118  0.191 -1.158  0.045 -1.262  -0.129 -1.319  -0.311 -1.324
1c#tos#f2#f2044065/c  0.954 0.561  0.852 0.561  0.817 0.643  0.797 0.743  0.740 0.802  0.713 0.899  0.648 0.966  0.557 1.002  0.456 1.002  0.354 1.002  0.262 1.042  0.160 1.042  0.058 1.042  -0.043 1.042  -0.143 1.035  -0.229 0.982  -0.289 0.905  -0.301 0.806  -0.338 0.712  -0.410 0.640  -0.482 0.569  -0.547 0.491  -0.600 0.404  -0.650 0.316  -0.650 0.215  -0.650 0.113  -0.650 0.011  -0.650 -0.090  -0.650 -0.192  -0.650 -0.294  -0.625 -0.385  -0.568 -0.469  -0.516 -0.556  -0.448 -0.628  -0.369 -0.688  -0.369 -0.789  -0.321 -0.853  -0.222 -0.878  -0.160 -0.955  -0.091 -1.027  -0.006 -1.083  0.085 -1.128  0.178 -1.162  0.280 -1.162  0.365 -1.202  0.467 -1.202  0.568 -1.202  0.670 -1.202  0.772 -1.202  0.873 -1.202
1c#tos#f2#f2044065/f  0.600 0.888  0.690 0.955  0.701 1.100  0.645 1.240  0.602 1.373  0.459 1.437  0.334 1.523  0.178 1.524  0.021 1.524  -0.135 1.524  -0.170 1.403  -0.170 1.247  -0.170 1.090  -0.170 0.934  -0.170 0.778  -0.170 0.621  -0.159 0.466  -0.136 0.312  -0.127 0.156  -0.105 0.002  -0.103 -0.155  -0.103 -0.311  -0.060 -0.455  -0.002 -0.596  0.017 -0.750  0.031 -0.905  0.049 -1.059  0.065 -1.213  0.101 -1.364  0.132 -1.515  0.089 -1.518  0.008 -1.384  -0.073 -1.251  -0.154 -1.117  -0.235 -0.983  -0.316 -0.849  -0.397 -0.716  -0.478 -0.582  -0.559 -0.448  -0.641 -0.317  -0.680 -0.317  -0.524 -0.317  -0.369 -0.315  -0.229 -0.256  -0.073 -0.250  0.083 -0.250  0.240 -0.250  0.389 -0.221  0.544 -0.216  0.701 -0.216
1c#tos#f2#f2044065/g  0.354 0.848  0.262 0.961  0.190 1.122  0.109 1.264  0.015 1.369  -0.170 1.373  -0.358 1.373  -0.478 1.280  -0.597 1.169  -0.603 0.982  -0.603 0.795  -0.542 0.632  -0.480 0.506  -0.402 0.353  -0.229 0.291  -0.047 0.297  0.078 0.361  0.129 0.542  0.262 0.648  0.293 0.830  0.293 1.018  0.293 0.922  0.231 0.760  0.231 0.572  0.200 0.391  0.200 0.204  0.171 0.021  0.169 -0.167  0.169 -0.355  0.169 -0.542  0.169 -0.730  0.169 -0.918  0.169 -1.106  0.169 -1.293  0.111 -1.466  0.062 -1.639  -0.099 -1.717  -0.249 -1.655  -0.366 -1.553  -0.418 -1.387  -0.418 -1.199  -0.379 -1.020  -0.268 -0.883  -0.138 -0.757  -0.010 -0.622  0.107 -0.478  0.263 -0.418  0.426 -0.357  0.606 -0.327  0.787 -0.296
1c#tos#f2#f2044065/i  -0.122 0.690  -0.122 0.568  -0.122 0.445  -0.114 0.324  -0.090 0.203  -0.069 0.083  -0.069 -0.039  -0.069 -0.162  -0.069 -0.284  -0.069 -0.407  -0.069 -0.529  -0.069 -0.652  -0.065 -0.774  -0.027 -0.890  -0.015 -1.011  -0.000 -1.131  0.039 -1.247  0.039 -1.369  0.039 -1.492  0.082 -1.572  0.090 -1.460  0.086 -1.338  0.082 -1.215  0.078 -1.093  0.074 -0.971  0.071 -0.848  0.067 -0.726  0.063 -0.603  0.059 -0.481  0.056 -0.358  0.052 -0.236  0.048 -0.114  0.044 0.009  0.041 0.131  0.037 0.254  0.033 0.376  0.029 0.499  0.025 0.621  0.022 0.743  0.018 0.866  0.014 0.988  0.010 1.111  0.007 1.233  0.003 1.356  -0.001 1.478  -0.005 1.600  -0.008 1.723  -0.012 1.845  -0.054 1.929  -0.069 1.929
1c#tos#f2#f2044065/m  -0.779 0.927  -0.893 0.911  -0.893 0.704  -0.893 0.497  -0.893 0.290  -0.893 0.083  -0.927 -0.121  -0.932 -0.328  -0.932 -0.535  -0.932 -0.742  -0.932 -0.949  -0.970 -0.832  -0.970 -0.624  -0.932 -0.423  -0.903 -0.220  -0.818 -0.032  -0.817 0.175  -0.691 0.331  -0.586 0.509  -0.488 0.682  -0.334 0.774  -0.150 0.719  -0.047 0.569  -0.013 0.367  0.044 0.171  0.063 -0.032  0.063 -0.239  0.063 -0.446  -0.013 -0.606  -0.038 -0.743  0.005 -0.549  0.105 -0.370  0.195 -0.187  0.272 0.003  0.402 0.140  0.450 0.319  0.602 0.458  0.718 0.583  0.843 0.686  1.047 0.698  1.209 0.625  1.262 0.436  1.326 0.241  1.354 0.039  1.364 -0.167  1.364 -0.374  1.313 -0.565  1.250 -0.756  1.220 -0.958  1.135 -1.139
1c#tos#f2#f2044065/o  0.115 0.941  0.004 0.972  -0.133 0.977  -0.218 1.034  -0.359 1.034  -0.474 1.007  -0.545 0.893  -0.644 0.797  -0.715 0.677  -0.760 0.543  -0.797 0.406  -0.815 0.267  -0.815 0.125  -0.815 -0.017  -0.815 -0.158  -0.815 -0.300  -0.805 -0.439  -0.726 -0.557  -0.691 -0.688  -0.634 -0.817  -0.571 -0.943  -0.465 -1.036  -0.343 -1.107  -0.205 -1.141  -0.066 -1.167  0.076 -1.167  0.218 -1.167  0.360 -1.167  0.492 -1.116  0.598 -1.025  0.652 -0.895  0.705 -0.764  0.812 -0.676  0.893 -0.562  0.921 -0.423  0.921 -0.281  0.921 -0.139  0.912 0.002  0.887 0.141  0.814 0.262  0.719 0.368  0.642 0.486  0.566 0.605  0.508 0.734  0.402 0.800  0.273 0.845  0.161 0.926  0.026 0.971  -0.115 0.972  -0.257 0.972
1c#tos#f2#f2044065/q  0.634 0.649  0.508 0.759  0.462 0.910  0.318 0.996  0.230 1.143  0.074 1.178  -0.097 1.183  -0.270 1.183  -0.414 1.111  -0.565 1.047  -0.672 0.912  -0.715 0.748  -0.762 0.586  -0.778 0.417  -0.778 0.244  -0.778 0.071  -0.778 -0.102  -0.778 -0.274  -0.638 -0.355  -0.504 -0.418  -0.331 -0.418  -0.158 -0.418  -0.018 -0.335  0.098 -0.238  0.155 -0.093  0.248 0.044  0.303 0.204  0.347 0.370  0.383 0.536  0.383 0.709  0.351 0.851  0.351 0.840  0.320 0.680  0.320 0.507  0.320 0.334  0.320 0.161  0.309 -0.011  0.280 -0.181  0.257 -0.352  0.247 -0.523  0.205 -0.691  0.195 -0.862  0.195 -1.035  0.195 -1.208  0.181 -1.380  0.163 -1.551  0.163 -1.724  0.163 -1.897  0.163 -2.070  0.195 -2.238
1c#tos#f2#f2044065/s  0.896 0.613  0.872 0.713  0.747 0.713  0.702 0.815  0.640 0.899  0.593 0.990  0.494 1.016  0.459 1.105  0.349 1.144  0.231 1.181  0.107 1.183  -0.018 1.183  -0.136 1.155  -0.249 1.104  -0.353 1.043  -0.452 0.972  -0.539 0.896  -0.582 0.802  -0.582 0.678  -0.582 0.553  -0.548 0.437  -0.531 0.318  -0.456 0.219  -0.356 0.147  -0.286 0.048  -0.194 -0.035  -0.082 -0.090  0.007 -0.177  0.119 -0.225  0.208 -0.312  0.323 -0.352  0.431 -0.406  0.459 -0.524  0.526 -0.628  0.526 -0.753  0.515 -0.870  0.425 -0.950  0.364 -1.047  0.253 -1.104  0.141 -1.133  0.028 -1.161  -0.080 -1.200  -0.197 -1.234  -0.321 -1.234  -0.446 -1.234  -0.570 -1.234  -0.648 -1.168  -0.712 -1.070  -0.750 -0.956  -0.750 -0.831
1c#tos#f2#f2044065/u  -1.043 1.099  -1.060 0.945  -1.082 0.791  -1.082 0.632  -1.082 0.473  -1.082 0.314  -1.082 0.156  -1.082 -0.003  -1.082 -0.162  -1.082 -0.321  -1.023 -0.462  -1.003 -0.615  -0.901 -0.719  -0.865 -0.850  -0.712 -0.876  -0.556 -0.889  -0.399 -0.878  -0.244 -0.850  -0.109 -0.791  -0.010 -0.667  0.081 -0.537  0.185 -0.418  0.270 -0.294  0.323 -0.148  0.396 -0.007  0.469 0.121  0.469 0.280  0.469 0.439  0.469 0.598  0.469 0.757  0.462 0.914  0.391 1.056  0.350 1.205  0.350 1.130  0.389 0.980  0.429 0.831  0.429 0.672  0.438 0.515  0.509 0.377  0.509 0.218  0.578 0.080  0.588 -0.075  0.659 -0.205  0.747 -0.327  0.800 -0.464  0.906 -0.579  0.963 -0.725  1.014 -0.857  1.167 -0.897  1.304 -0.969
