2#app#app37#app3752/L  -0.317 1.819  -0.317 1.732  -0.317 1.645  -0.317 1.557  -0.317 1.470  -0.317 1.383  -0.317 1.295  -0.317 1.208  -0.317 1.121  -0.317 1.033  -0.317 0.946  -0.317 0.859  -0.262 0.794  -0.219 0.724  -0.219 0.637  -0.219 0.550  -0.219 0.462  -0.219 0.375  -0.219 0.288  -0.219 0.200  -0.219 0.113  -0.219 0.026  -0.219 -0.062  -0.219 -0.149  -0.219 -0.236  -0.219 -0.323  -0.219 -0.411  -0.219 -0.498  -0.219 -0.585  -0.219 -0.673  -0.219 -0.760  -0.187 -0.834  -0.126 -0.896  -0.122 -0.982  -0.049 -0.996  0.038 -0.996  0.125 -0.996  0.213 -0.996  0.300 -0.996  0.380 -0.979  0.442 -0.917  0.522 -0.899  0.609 -0.899  0.654 -0.857  0.686 -0.802  0.767 -0.786  0.829 -0.724  0.908 -0.705  0.981 -0.670  1.043 -0.608
2#app#app37#app3752/o  -0.210 1.022  -0.314 0.918  -0.417 0.814  -0.477 0.693  -0.552 0.621  -0.610 0.533  -0.610 0.386  -0.610 0.240  -0.701 0.131  -0.744 0.002  -0.744 -0.145  -0.744 -0.291  -0.744 -0.438  -0.744 -0.584  -0.732 -0.726  -0.628 -0.830  -0.489 -0.847  -0.476 -0.982  -0.372 -1.085  -0.269 -1.189  -0.147 -1.248  -0.000 -1.248  0.146 -1.248  0.293 -1.248  0.406 -1.166  0.458 -1.041  0.519 -0.920  0.622 -0.816  0.726 -0.712  0.830 -0.609  0.858 -0.474  0.858 -0.327  0.858 -0.181  0.858 -0.034  0.840 0.105  0.737 0.209  0.725 0.350  0.624 0.455  0.520 0.559  0.458 0.679  0.458 0.826  0.398 0.948  0.282 1.022  0.191 1.077  0.122 1.155  -0.024 1.155  -0.171 1.155  -0.317 1.155  -0.464 1.155  -0.477 1.022
2#app#app37#app3752/a  0.257 1.036  0.118 1.179  0.053 1.316  -0.147 1.316  -0.348 1.316  -0.517 1.239  -0.581 1.065  -0.658 0.882  -0.720 0.696  -0.807 0.531  -0.860 0.352  -0.860 0.152  -0.860 -0.049  -0.860 -0.250  -0.860 -0.451  -0.860 -0.651  -0.809 -0.831  -0.644 -0.919  -0.444 -0.919  -0.243 -0.919  -0.077 -0.835  -0.022 -0.657  0.108 -0.510  0.118 -0.313  0.118 -0.112  0.118 0.089  0.182 0.263  0.257 0.432  0.257 0.633  0.257 0.834  0.257 1.035  0.257 1.116  0.203 0.928  0.118 0.748  0.118 0.547  0.118 0.346  0.118 0.146  0.118 -0.055  0.118 -0.256  0.161 -0.447  0.251 -0.626  0.257 -0.825  0.364 -0.919  0.516 -1.038  0.658 -1.180  0.851 -1.198  1.052 -1.198  1.113 -1.059  1.314 -1.059  1.375 -0.919
2#app#app37#app3752/n  -0.584 1.378  -0.584 1.207  -0.584 1.036  -0.584 0.864  -0.584 0.693  -0.584 0.522  -0.625 0.367  -0.746 0.246  -0.746 0.075  -0.746 -0.097  -0.746 -0.268  -0.746 -0.439  -0.746 -0.611  -0.746 -0.782  -0.746 -0.954  -0.669 -1.048  -0.584 -0.962  -0.584 -0.791  -0.510 -0.650  -0.422 -0.515  -0.422 -0.344  -0.422 -0.172  -0.422 -0.001  -0.361 0.145  -0.240 0.266  -0.119 0.387  -0.099 0.550  0.009 0.677  0.130 0.798  0.225 0.930  0.272 1.055  0.443 1.055  0.614 1.055  0.710 0.979  0.710 0.808  0.710 0.637  0.710 0.465  0.710 0.294  0.710 0.122  0.710 -0.049  0.710 -0.220  0.710 -0.392  0.710 -0.563  0.710 -0.734  0.710 -0.906  0.739 -1.048  0.872 -1.087  0.906 -1.244  1.027 -1.365  1.195 -1.372
2#app#app37#app3752/%  -0.415 0.918  -0.605 1.108  -0.752 1.000  -0.833 0.765  -0.833 0.497  -0.833 0.228  -0.649 0.082  -0.496 0.211  -0.415 0.446  -0.520 0.610  -0.639 0.829  -0.829 1.019  -0.779 1.231  -0.554 1.336  -0.286 1.336  -0.017 1.336  0.239 1.308  0.420 1.114  0.388 0.854  0.316 0.602  0.198 0.383  0.107 0.152  -0.020 -0.068  -0.163 -0.292  -0.206 -0.542  -0.364 -0.754  -0.415 -1.010  -0.492 -1.247  -0.445 -1.280  -0.284 -1.066  -0.123 -0.851  0.038 -0.636  0.199 -0.422  0.360 -0.207  0.316 -0.190  0.316 -0.458  0.211 -0.683  0.211 -0.951  0.211 -1.220  0.424 -1.275  0.692 -1.275  0.894 -1.115  1.047 -0.910  1.126 -0.674  1.135 -0.423  1.019 -0.203  0.829 -0.013  0.639 0.177  0.420 0.142  0.211 0.082
2#app#app37#app3752/'  0.155 1.708  0.155 1.636  0.155 1.563  0.155 1.491  0.155 1.419  0.155 1.346  0.155 1.274  0.155 1.202  0.155 1.129  0.155 1.057  0.155 0.985  0.155 0.912  0.155 0.840  0.155 0.768  0.155 0.695  0.155 0.623  0.155 0.551  0.155 0.478  0.155 0.406  0.155 0.334  0.155 0.261  0.155 0.189  0.128 0.128  0.077 0.077  0.026 0.026  -0.026 -0.026  -0.077 -0.077  -0.128 -0.128  -0.155 -0.189  -0.155 -0.261  -0.155 -0.334  -0.155 -0.406  -0.155 -0.478  -0.155 -0.551  -0.155 -0.623  -0.155 -0.695  -0.155 -0.768  -0.155 -0.840  -0.155 -0.912  -0.155 -0.985  -0.155 -1.057  -0.155 -1.129  -0.155 -1.202  -0.155 -1.274  -0.155 -1.346  -0.155 -1.419  -0.155 -1.491  -0.155 -1.563  -0.155 -1.636  -0.155 -1.708
2#app#app37#app3752/s  0.245 1.307  0.156 1.396  0.052 1.446  -0.074 1.446  -0.172 1.418  -0.186 1.307  -0.310 1.306  -0.310 1.181  -0.390 1.088  -0.449 0.987  -0.470 0.870  -0.558 0.781  -0.588 0.668  -0.539 0.563  -0.450 0.474  -0.325 0.474  -0.199 0.474  -0.084 0.430  0.028 0.374  0.133 0.308  0.222 0.219  0.311 0.130  0.406 0.057  0.529 0.051  0.617 -0.038  0.706 -0.126  0.795 -0.215  0.884 -0.304  0.940 -0.406  0.940 -0.532  0.920 -0.638  0.796 -0.642  0.708 -0.731  0.601 -0.777  0.481 -0.798  0.368 -0.854  0.256 -0.910  0.165 -0.996  0.064 -1.054  -0.062 -1.054  -0.187 -1.054  -0.313 -1.054  -0.438 -1.054  -0.564 -1.054  -0.660 -0.983  -0.748 -0.894  -0.837 -0.806  -0.866 -0.692  -0.816 -0.588  -0.727 -0.499
2#app#app37#app3752/a  0.525 1.086  0.384 1.155  0.245 1.227  0.093 1.368  -0.117 1.368  -0.327 1.368  -0.516 1.314  -0.603 1.140  -0.610 0.931  -0.704 0.743  -0.744 0.542  -0.744 0.332  -0.744 0.122  -0.765 -0.084  -0.859 -0.272  -0.885 -0.476  -0.829 -0.663  -0.744 -0.838  -0.631 -1.002  -0.573 -1.170  -0.392 -1.241  -0.211 -1.311  -0.053 -1.184  0.096 -1.036  0.129 -0.834  0.223 -0.646  0.243 -0.440  0.243 -0.230  0.259 -0.026  0.384 0.132  0.384 0.342  0.384 0.553  0.313 0.734  0.243 0.915  0.371 1.072  0.248 0.950  0.243 0.742  0.243 0.532  0.243 0.321  0.243 0.111  0.243 -0.099  0.243 -0.310  0.281 -0.504  0.384 -0.672  0.479 -0.843  0.525 -1.034  0.599 -1.170  0.807 -1.168  0.807 -0.958  0.948 -0.888
2#app#app37#app3752/r  -0.288 -0.385  -0.288 -0.484  -0.288 -0.582  -0.288 -0.681  -0.288 -0.780  -0.288 -0.878  -0.288 -0.977  -0.220 -1.048  -0.150 -1.117  -0.140 -1.212  -0.140 -1.310  -0.140 -1.409  -0.140 -1.343  -0.140 -1.244  -0.140 -1.145  -0.140 -1.047  -0.140 -0.948  -0.140 -0.849  -0.140 -0.750  -0.140 -0.652  -0.140 -0.553  -0.196 -0.478  -0.265 -0.408  -0.288 -0.318  -0.288 -0.220  -0.288 -0.121  -0.259 -0.029  -0.215 0.059  -0.171 0.147  -0.140 0.239  -0.140 0.337  -0.140 0.436  -0.140 0.535  -0.140 0.633  -0.085 0.710  -0.016 0.779  0.038 0.861  0.082 0.949  0.126 1.038  0.177 1.121  0.247 1.191  0.321 1.250  0.420 1.250  0.519 1.250  0.613 1.260  0.683 1.329  0.753 1.398  0.852 1.398  0.951 1.398  1.049 1.398
2#app#app37#app3752/e  -0.545 -0.268  -0.405 -0.242  -0.353 -0.128  -0.210 -0.073  -0.092 0.045  0.025 0.162  0.143 0.280  0.156 0.440  0.189 0.574  0.296 0.632  0.296 0.798  0.374 0.932  0.437 1.072  0.437 1.239  0.437 1.405  0.281 1.415  0.115 1.415  -0.032 1.368  -0.149 1.250  -0.266 1.133  -0.384 1.015  -0.405 0.858  -0.478 0.709  -0.545 0.559  -0.545 0.393  -0.592 0.246  -0.686 0.119  -0.686 -0.048  -0.686 -0.214  -0.686 -0.380  -0.686 -0.546  -0.686 -0.712  -0.651 -0.864  -0.545 -0.986  -0.515 -1.140  -0.394 -1.250  -0.228 -1.250  -0.062 -1.250  0.104 -1.250  0.237 -1.169  0.378 -1.110  0.513 -1.034  0.652 -0.969  0.717 -0.868  0.807 -0.739  0.925 -0.622  0.998 -0.486  0.998 -0.320  0.998 -0.154  0.998 0.013
2#app#app37#app3752/d  0.217 0.611  0.054 0.719  -0.154 0.719  -0.320 0.617  -0.467 0.470  -0.614 0.323  -0.672 0.136  -0.768 -0.048  -0.869 -0.214  -0.869 -0.422  -0.869 -0.630  -0.934 -0.822  -0.900 -0.988  -0.830 -1.167  -0.683 -1.314  -0.596 -1.453  -0.388 -1.453  -0.223 -1.350  -0.088 -1.195  0.005 -1.009  0.098 -0.823  0.227 -0.664  0.292 -0.467  0.398 -0.294  0.434 -0.101  0.434 0.107  0.434 0.315  0.434 0.523  0.434 0.730  0.484 0.927  0.543 1.121  0.434 1.284  0.349 1.456  0.326 1.654  0.217 1.640  0.217 1.432  0.217 1.224  0.217 1.016  0.217 0.808  0.217 0.600  0.217 0.392  0.217 0.184  0.306 -0.002  0.326 -0.206  0.326 -0.414  0.326 -0.622  0.326 -0.829  0.434 -0.929  0.434 -0.901  0.434 -0.693
