1c#app#app25#app2579/f  1.437 1.081  1.437 1.240  1.297 1.259  1.137 1.259  1.080 1.156  0.997 1.081  0.857 1.035  0.744 0.923  0.594 0.902  0.546 0.791  0.454 0.724  0.368 0.651  0.313 0.546  0.165 0.521  0.052 0.409  0.012 0.266  -0.071 0.190  -0.166 0.126  -0.166 -0.033  -0.166 -0.192  -0.166 -0.351  -0.166 -0.510  -0.166 -0.670  -0.166 -0.829  -0.089 -0.956  -0.005 -1.056  -0.164 -1.056  -0.323 -1.056  -0.344 -1.194  -0.463 -1.234  -0.622 -1.234  -0.700 -1.153  -0.762 -1.056  -0.878 -1.013  -0.878 -0.854  -0.877 -0.695  -0.839 -0.541  -0.800 -0.387  -0.761 -0.232  -0.723 -0.078  -0.700 0.079  -0.653 0.190  -0.494 0.190  -0.335 0.190  -0.176 0.190  -0.016 0.190  0.143 0.190  0.269 0.269  0.387 0.368  0.546 0.368
1c#app#app25#app2579/y  0.048 1.374  -0.149 1.374  -0.173 1.200  -0.322 1.152  -0.394 1.027  -0.466 0.859  -0.605 0.720  -0.615 0.526  -0.775 0.489  -0.836 0.353  -0.836 0.156  -0.836 -0.042  -0.771 -0.174  -0.615 -0.215  -0.597 -0.395  -0.400 -0.395  -0.203 -0.395  -0.005 -0.395  0.150 -0.294  0.298 -0.174  0.491 -0.170  0.491 0.028  0.616 0.173  0.756 0.312  0.895 0.452  1.077 0.489  1.154 0.610  1.154 0.807  1.154 0.858  1.104 0.710  0.915 0.692  0.775 0.553  0.636 0.413  0.496 0.274  0.491 0.079  0.491 -0.118  0.349 -0.174  0.269 -0.292  0.203 -0.462  0.063 -0.601  -0.128 -0.616  -0.173 -0.768  -0.301 -0.837  -0.394 -0.942  -0.475 -1.058  -0.615 -1.115  -0.638 -1.303  -0.778 -1.442  -0.917 -1.582  -1.057 -1.721
1c#app#app25#app2579/a  0.807 0.440  0.807 0.666  0.807 0.892  0.682 0.993  0.456 0.993  0.230 0.993  0.004 0.993  -0.222 0.993  -0.298 0.843  -0.398 0.716  -0.610 0.682  -0.769 0.522  -0.962 0.440  -1.128 0.380  -1.128 0.154  -1.128 -0.072  -1.313 -0.113  -1.404 -0.248  -1.404 -0.474  -1.370 -0.665  -1.144 -0.665  -1.128 -0.875  -0.968 -0.942  -0.742 -0.942  -0.516 -0.942  -0.293 -0.936  -0.133 -0.776  0.047 -0.665  0.254 -0.646  0.254 -0.420  0.449 -0.389  0.531 -0.245  0.531 -0.019  0.574 0.164  0.800 0.164  0.807 0.383  0.927 0.560  1.081 0.714  0.921 0.554  0.761 0.394  0.601 0.234  0.531 0.037  0.455 -0.113  0.254 -0.138  0.254 -0.365  0.254 -0.591  0.405 -0.665  0.631 -0.665  0.857 -0.665  1.083 -0.665
1c#app#app25#app2579/m  -0.217 1.057  -0.406 0.868  -0.542 0.658  -0.668 0.444  -0.867 0.355  -0.978 0.134  -1.052 -0.102  -1.240 -0.291  -1.460 -0.405  -1.517 -0.614  -1.517 -0.578  -1.517 -0.311  -1.377 -0.103  -1.141 -0.029  -0.920 0.082  -0.831 0.281  -0.617 0.407  -0.359 0.386  -0.151 0.245  0.108 0.236  0.108 -0.030  0.053 -0.242  -0.055 -0.401  -0.217 -0.505  -0.380 -0.610  -0.526 -0.730  -0.542 -0.479  -0.349 -0.405  -0.122 -0.310  0.066 -0.121  0.303 -0.047  0.432 0.166  0.612 0.263  0.819 0.407  1.082 0.404  1.082 0.137  1.082 -0.130  0.928 -0.242  0.757 -0.338  0.557 -0.405  0.432 -0.263  0.516 -0.080  0.783 -0.080  0.920 0.050  1.133 0.133  1.353 0.245  1.457 0.407  1.724 0.407  1.689 0.159  1.569 -0.080
1c#app#app25#app2579/e  -0.576 -0.049  -0.405 -0.049  -0.234 -0.049  -0.063 -0.049  0.108 -0.049  0.274 -0.036  0.395 0.085  0.553 0.118  0.724 0.118  0.856 0.212  0.977 0.333  1.096 0.455  1.101 0.624  1.222 0.745  1.264 0.899  1.148 0.954  0.977 0.954  0.806 0.954  0.634 0.954  0.463 0.954  0.292 0.954  0.162 0.856  0.019 0.787  -0.074 0.709  -0.156 0.620  -0.302 0.559  -0.429 0.452  -0.576 0.428  -0.596 0.265  -0.717 0.144  -0.838 0.023  -0.959 -0.098  -1.078 -0.220  -1.085 -0.384  -1.245 -0.395  -1.245 -0.566  -1.232 -0.732  -1.111 -0.853  -0.954 -0.886  -0.783 -0.886  -0.611 -0.886  -0.440 -0.886  -0.269 -0.886  -0.098 -0.886  0.073 -0.886  0.245 -0.886  0.416 -0.886  0.587 -0.886  0.758 -0.886  0.929 -0.886
1c#app#app25#app2579/o  0.437 0.175  0.437 0.349  0.437 0.522  0.342 0.600  0.169 0.600  -0.004 0.600  -0.177 0.600  -0.306 0.493  -0.436 0.388  -0.609 0.388  -0.624 0.230  -0.743 0.175  -0.893 0.119  -1.015 -0.003  -1.137 -0.126  -1.260 -0.248  -1.261 -0.421  -1.261 -0.594  -1.195 -0.740  -1.072 -0.862  -0.909 -0.886  -0.765 -0.957  -0.643 -1.079  -0.478 -1.098  -0.304 -1.098  -0.131 -1.098  0.042 -1.098  0.215 -1.098  0.340 -0.983  0.463 -0.860  0.585 -0.738  0.649 -0.591  0.680 -0.431  0.802 -0.308  0.861 -0.160  0.861 0.013  0.861 0.187  0.861 0.360  0.964 0.490  1.061 0.613  0.938 0.735  0.861 0.876  0.836 1.024  0.663 1.024  0.490 1.024  0.352 0.939  0.230 0.817  0.059 0.812  -0.077 0.722  -0.200 0.600
1c#app#app25#app2579/u  0.014 1.286  0.014 1.500  0.014 1.364  -0.123 1.286  -0.239 1.188  -0.298 1.033  -0.493 1.012  -0.493 0.798  -0.631 0.641  -0.746 0.474  -0.759 0.273  -0.973 0.273  -0.999 0.084  -0.999 -0.130  -1.110 -0.233  -1.252 -0.306  -1.252 -0.520  -1.252 -0.734  -1.043 -0.740  -0.829 -0.740  -0.653 -0.833  -0.501 -0.984  -0.291 -0.993  -0.239 -0.830  -0.115 -0.740  0.074 -0.679  0.226 -0.528  0.267 -0.330  0.384 -0.233  0.520 -0.155  0.548 0.048  0.700 0.199  0.851 0.351  1.003 0.503  1.027 0.707  1.027 0.637  0.954 0.453  0.802 0.302  0.600 0.273  0.520 0.138  0.424 0.020  0.267 -0.038  0.267 -0.252  0.267 -0.466  0.267 -0.681  0.422 -0.740  0.637 -0.740  0.851 -0.740  1.066 -0.740  1.280 -0.740
1c#app#app25#app2579/r  0.541 1.415  0.541 1.254  0.470 1.164  0.309 1.164  0.291 1.021  0.237 0.914  0.076 0.914  0.040 0.789  0.040 0.627  0.040 0.466  -0.036 0.336  -0.150 0.222  -0.264 0.108  -0.378 -0.005  -0.462 -0.132  -0.462 -0.293  -0.542 -0.421  -0.656 -0.535  -0.713 -0.673  -0.713 -0.834  -0.865 -0.842  -1.008 -0.887  -1.122 -1.001  -1.184 -1.093  -1.023 -1.093  -0.861 -1.093  -0.713 -1.081  -0.713 -0.919  -0.653 -0.783  -0.539 -0.669  -0.462 -0.540  -0.462 -0.379  -0.339 -0.341  -0.211 -0.307  -0.211 -0.146  -0.106 -0.090  0.051 -0.079  0.165 0.035  0.279 0.149  0.435 0.161  0.596 0.161  0.757 0.161  0.792 0.287  0.829 0.412  0.990 0.412  1.151 0.412  1.312 0.412  1.473 0.412  1.634 0.412  1.796 0.412
1c#app#app25#app2579/r  0.991 1.503  0.873 1.385  0.756 1.267  0.638 1.150  0.521 1.032  0.403 0.914  0.371 0.761  0.371 0.595  0.227 0.573  0.062 0.572  0.062 0.405  0.037 0.263  -0.129 0.263  -0.282 0.230  -0.399 0.112  -0.517 -0.005  -0.558 -0.155  -0.558 -0.321  -0.651 -0.449  -0.768 -0.567  -0.868 -0.692  -0.868 -0.858  -0.902 -1.010  -1.020 -1.128  -1.138 -1.246  -1.100 -1.208  -0.982 -1.090  -0.868 -0.972  -0.868 -0.805  -0.848 -0.647  -0.731 -0.529  -0.613 -0.412  -0.496 -0.294  -0.378 -0.176  -0.260 -0.059  -0.099 -0.046  0.062 -0.041  0.062 0.126  0.090 0.263  0.257 0.263  0.423 0.263  0.590 0.263  0.756 0.263  0.922 0.263  0.991 0.166  0.991 -0.001  1.112 -0.046  1.278 -0.046  1.444 -0.046  1.611 -0.046
1c#app#app25#app2579/i  0.129 0.672  0.129 0.528  0.083 0.402  -0.020 0.300  -0.122 0.198  -0.224 0.096  -0.318 -0.009  -0.318 -0.154  -0.394 -0.222  -0.539 -0.222  -0.542 -0.364  -0.586 -0.490  -0.688 -0.592  -0.765 -0.704  -0.765 -0.849  -0.765 -0.993  -0.744 -1.116  -0.600 -1.116  -0.542 -1.030  -0.534 -0.893  -0.390 -0.893  -0.246 -0.893  -0.101 -0.893  0.043 -0.893  0.070 -0.893  -0.075 -0.893  -0.219 -0.893  -0.298 -0.852  -0.234 -0.723  -0.169 -0.594  -0.104 -0.465  -0.040 -0.336  0.025 -0.206  0.089 -0.077  0.154 0.052  0.219 0.181  0.283 0.310  0.348 0.439  0.412 0.569  0.477 0.698  0.542 0.827  0.606 0.956  0.671 1.085  0.735 1.215  0.800 1.344  0.864 1.473  0.929 1.602  0.994 1.731  0.944 1.790  0.799 1.790
1c#app#app25#app2579/e  -0.155 0.134  -0.155 0.307  -0.155 0.197  -0.045 0.134  0.128 0.134  0.301 0.134  0.473 0.134  0.646 0.134  0.819 0.134  0.865 0.261  0.960 0.338  1.069 0.402  1.069 0.575  1.069 0.748  1.069 0.921  0.927 0.951  0.754 0.951  0.581 0.951  0.408 0.951  0.241 0.938  0.118 0.816  -0.026 0.746  -0.198 0.746  -0.368 0.738  -0.490 0.616  -0.612 0.494  -0.734 0.371  -0.893 0.338  -0.972 0.244  -1.035 0.134  -1.176 0.102  -1.176 -0.071  -1.176 -0.243  -1.033 -0.274  -0.972 -0.385  -0.972 -0.558  -0.937 -0.716  -0.815 -0.838  -0.662 -0.886  -0.489 -0.886  -0.317 -0.886  -0.147 -0.894  -0.025 -1.016  0.117 -1.090  0.290 -1.090  0.463 -1.090  0.635 -1.090  0.765 -0.986  0.897 -0.886  1.069 -0.886
