3#apa#apa03#app0360/f  1.302 0.967  1.302 1.098  1.244 1.170  1.200 1.257  1.085 1.272  0.955 1.272  0.825 1.272  0.724 1.201  0.606 1.170  0.510 1.089  0.489 0.967  0.397 0.875  0.305 0.783  0.184 0.762  0.126 0.646  0.084 0.525  0.038 0.414  -0.018 0.307  -0.037 0.179  -0.069 0.053  -0.100 -0.074  -0.119 -0.202  -0.119 -0.332  -0.119 -0.462  -0.119 -0.592  -0.166 -0.703  -0.221 -0.811  -0.221 -0.941  -0.221 -1.071  -0.221 -1.202  -0.221 -1.332  -0.275 -1.289  -0.350 -1.182  -0.425 -1.076  -0.499 -0.969  -0.574 -0.862  -0.649 -0.756  -0.723 -0.649  -0.798 -0.542  -0.873 -0.436  -0.903 -0.352  -0.789 -0.312  -0.684 -0.251  -0.554 -0.251  -0.525 -0.149  -0.395 -0.149  -0.265 -0.149  -0.160 -0.088  -0.047 -0.048  0.084 -0.048
3#apa#apa03#app0360/o  -0.446 0.920  -0.446 0.774  -0.446 0.627  -0.510 0.545  -0.633 0.521  -0.633 0.374  -0.725 0.266  -0.821 0.159  -0.821 0.012  -0.938 -0.018  -1.009 -0.094  -1.009 -0.241  -1.009 -0.387  -1.009 -0.534  -1.009 -0.681  -0.950 -0.769  -0.821 -0.787  -0.821 -0.934  -0.697 -0.957  -0.551 -0.957  -0.404 -0.957  -0.257 -0.957  -0.110 -0.957  0.036 -0.957  0.164 -0.911  0.268 -0.807  0.389 -0.727  0.520 -0.662  0.651 -0.596  0.761 -0.501  0.865 -0.397  0.969 -0.293  1.056 -0.183  1.056 -0.036  1.056 0.111  1.056 0.258  1.056 0.404  1.056 0.551  1.056 0.698  0.977 0.812  0.873 0.916  0.729 0.920  0.582 0.920  0.435 0.920  0.305 0.903  0.305 0.757  0.182 0.733  0.036 0.733  -0.111 0.733  -0.258 0.733
3#apa#apa03#app0360/x  -0.811 0.813  -0.630 0.813  -0.610 0.651  -0.468 0.611  -0.322 0.525  -0.193 0.396  -0.064 0.268  -0.005 0.110  0.050 -0.049  0.179 -0.177  0.307 -0.306  0.436 -0.434  0.564 -0.563  0.600 -0.730  0.712 -0.800  0.867 -0.865  0.995 -0.994  0.986 -0.832  0.968 -0.651  0.950 -0.470  0.932 -0.289  0.914 -0.108  0.896 0.073  0.878 0.254  0.859 0.435  0.841 0.616  0.823 0.797  0.805 0.978  0.801 0.870  0.677 0.813  0.495 0.813  0.398 0.728  0.333 0.611  0.164 0.579  0.036 0.451  -0.093 0.322  -0.221 0.193  -0.350 0.065  -0.508 0.007  -0.666 -0.050  -0.795 -0.178  -0.970 -0.195  -1.013 -0.333  -1.132 -0.397  -1.215 -0.496  -1.294 -0.598  -1.416 -0.658  -1.456 -0.800  -1.618 -0.820  -1.618 -1.001
3#apa#apa03#app0360/y  -0.578 1.116  -0.594 0.981  -0.735 0.958  -0.842 0.852  -0.847 0.703  -0.847 0.552  -0.817 0.414  -0.711 0.307  -0.604 0.201  -0.465 0.174  -0.314 0.174  -0.163 0.174  -0.040 0.201  0.004 0.309  0.095 0.368  0.148 0.497  0.255 0.603  0.362 0.710  0.364 0.859  0.393 0.981  0.498 1.026  0.498 1.177  0.443 1.195  0.364 1.077  0.364 0.927  0.364 0.776  0.364 0.625  0.364 0.475  0.364 0.324  0.460 0.213  0.498 0.078  0.498 -0.072  0.498 -0.223  0.498 -0.374  0.498 -0.524  0.498 -0.675  0.498 -0.826  0.498 -0.977  0.407 -1.036  0.364 -1.143  0.364 -1.294  0.224 -1.305  0.074 -1.305  -0.077 -1.305  -0.228 -1.305  -0.378 -1.305  -0.529 -1.305  -0.680 -1.305  -0.830 -1.305  -0.847 -1.440
3#apa#apa03#app0360/z  -0.726 0.999  -0.598 0.999  -0.470 0.999  -0.346 1.010  -0.255 1.100  -0.136 1.123  -0.008 1.123  0.120 1.123  0.249 1.123  0.377 1.123  0.505 1.123  0.633 1.123  0.753 1.114  0.753 0.986  0.740 0.863  0.650 0.772  0.559 0.682  0.507 0.575  0.465 0.464  0.374 0.373  0.283 0.283  0.165 0.259  0.066 0.188  -0.025 0.098  -0.118 0.013  -0.233 -0.000  -0.246 -0.123  -0.337 -0.214  -0.427 -0.305  -0.534 -0.357  -0.645 -0.399  -0.726 -0.493  -0.726 -0.622  -0.726 -0.750  -0.726 -0.878  -0.726 -1.007  -0.689 -1.097  -0.561 -1.097  -0.432 -1.097  -0.304 -1.097  -0.176 -1.097  -0.066 -1.053  0.030 -0.974  0.158 -0.974  0.286 -0.974  0.415 -0.974  0.543 -0.974  0.671 -0.974  0.786 -1.006  0.877 -1.097
3#apa#apa03#app0360/u  -0.609 1.128  -0.609 1.030  -0.609 0.932  -0.663 0.857  -0.732 0.787  -0.802 0.718  -0.827 0.631  -0.827 0.533  -0.827 0.435  -0.827 0.337  -0.846 0.258  -0.944 0.258  -1.042 0.258  -1.044 0.163  -1.044 0.065  -0.992 -0.012  -0.923 -0.081  -0.853 -0.150  -0.827 -0.237  -0.827 -0.335  -0.788 -0.394  -0.690 -0.394  -0.592 -0.394  -0.494 -0.394  -0.396 -0.394  -0.298 -0.394  -0.201 -0.394  -0.103 -0.394  -0.005 -0.394  0.093 -0.394  0.191 -0.394  0.289 -0.394  0.387 -0.394  0.485 -0.394  0.583 -0.394  0.681 -0.394  0.770 -0.357  0.858 -0.313  0.945 -0.270  1.033 -0.226  1.120 -0.182  1.217 -0.177  1.315 -0.177  1.348 -0.112  1.348 -0.014  1.391 0.041  1.489 0.041  1.566 0.062  1.566 0.160  1.566 0.258
3#apa#apa03#app0360/l  0.298 1.677  0.298 1.604  0.298 1.531  0.298 1.458  0.298 1.385  0.298 1.312  0.298 1.239  0.273 1.171  0.241 1.106  0.208 1.041  0.176 0.976  0.145 0.910  0.145 0.837  0.145 0.764  0.145 0.691  0.145 0.618  0.099 0.564  0.047 0.513  -0.004 0.461  -0.007 0.389  -0.007 0.316  -0.051 0.262  -0.103 0.210  -0.155 0.158  -0.159 0.087  -0.159 0.014  -0.159 -0.059  -0.159 -0.132  -0.159 -0.205  -0.159 -0.278  -0.159 -0.351  -0.159 -0.423  -0.159 -0.496  -0.159 -0.569  -0.159 -0.642  -0.159 -0.715  -0.159 -0.788  -0.159 -0.861  -0.159 -0.934  -0.159 -1.007  -0.159 -1.080  -0.159 -1.153  -0.159 -1.226  -0.159 -1.299  -0.157 -1.371  -0.106 -1.423  -0.054 -1.475  -0.007 -1.528  -0.007 -1.601  -0.007 -1.674
3#apa#apa03#app0360/u  -0.238 0.976  -0.360 0.976  -0.412 0.905  -0.412 0.783  -0.412 0.660  -0.475 0.564  -0.562 0.478  -0.585 0.366  -0.585 0.243  -0.585 0.121  -0.662 0.030  -0.748 -0.056  -0.759 -0.174  -0.759 -0.296  -0.759 -0.418  -0.759 -0.540  -0.759 -0.663  -0.759 -0.785  -0.759 -0.907  -0.759 -1.029  -0.717 -1.109  -0.595 -1.109  -0.472 -1.109  -0.350 -1.109  -0.231 -1.102  -0.144 -1.016  -0.058 -0.929  0.028 -0.843  0.115 -0.757  0.201 -0.670  0.288 -0.584  0.374 -0.497  0.457 -0.409  0.457 -0.287  0.511 -0.187  0.597 -0.101  0.654 0.004  0.693 0.120  0.732 0.236  0.770 0.352  0.805 0.469  0.805 0.591  0.805 0.713  0.805 0.835  0.805 0.958  0.878 1.049  0.965 1.136  0.978 1.252  0.978 1.375  0.978 1.497
3#apa#apa03#app0360/s  1.245 0.962  1.109 0.962  1.004 1.036  0.906 1.128  0.770 1.128  0.634 1.128  0.498 1.128  0.362 1.128  0.231 1.114  0.135 1.018  0.022 0.962  -0.111 0.950  -0.233 0.889  -0.355 0.828  -0.465 0.751  -0.561 0.655  -0.588 0.530  -0.655 0.462  -0.754 0.425  -0.754 0.288  -0.754 0.152  -0.642 0.128  -0.515 0.092  -0.393 0.031  -0.271 -0.030  -0.137 -0.038  -0.026 -0.100  0.070 -0.196  0.202 -0.205  0.311 -0.270  0.407 -0.367  0.541 -0.371  0.649 -0.441  0.745 -0.538  0.745 -0.673  0.640 -0.705  0.512 -0.738  0.390 -0.799  0.269 -0.860  0.135 -0.871  -0.001 -0.871  -0.122 -0.906  -0.219 -1.002  -0.340 -1.038  -0.476 -1.038  -0.605 -1.055  -0.701 -1.151  -0.815 -1.205  -0.951 -1.205  -1.088 -1.205
3#apa#apa03#app0360/q  0.721 0.575  0.595 0.704  0.537 0.827  0.357 0.827  0.302 0.952  0.121 0.952  -0.033 0.926  -0.114 0.827  -0.291 0.820  -0.423 0.701  -0.603 0.701  -0.661 0.579  -0.824 0.539  -0.951 0.411  -1.038 0.267  -1.038 0.086  -1.009 -0.082  -0.869 -0.179  -0.699 -0.134  -0.537 -0.054  -0.362 -0.029  -0.201 0.052  -0.028 0.078  0.103 0.198  0.264 0.245  0.392 0.372  0.540 0.450  0.595 0.575  0.721 0.630  0.798 0.779  0.733 0.827  0.721 0.659  0.652 0.507  0.595 0.350  0.526 0.186  0.431 0.034  0.344 -0.110  0.344 -0.290  0.226 -0.422  0.218 -0.599  0.148 -0.751  0.092 -0.908  0.071 -1.080  -0.048 -1.214  -0.129 -1.375  -0.159 -1.548  -0.178 -1.724  -0.259 -1.886  -0.284 -2.060  -0.410 -2.189
3#apa#apa03#app0360/u  -0.328 0.939  -0.328 0.814  -0.389 0.750  -0.515 0.750  -0.640 0.750  -0.706 0.691  -0.706 0.565  -0.792 0.475  -0.880 0.387  -0.895 0.267  -0.913 0.146  -0.969 0.034  -1.025 -0.078  -1.081 -0.190  -1.084 -0.315  -1.045 -0.424  -0.957 -0.513  -0.895 -0.613  -0.895 -0.738  -0.795 -0.763  -0.670 -0.763  -0.544 -0.763  -0.419 -0.763  -0.293 -0.763  -0.168 -0.763  -0.043 -0.763  0.083 -0.763  0.208 -0.763  0.240 -0.670  0.270 -0.574  0.395 -0.574  0.521 -0.574  0.638 -0.555  0.727 -0.466  0.808 -0.374  0.808 -0.249  0.808 -0.123  0.816 -0.007  0.942 -0.007  0.997 0.064  0.997 0.189  0.997 0.314  0.997 0.440  0.997 0.565  0.997 0.691  0.997 0.816  0.997 0.941  0.997 1.067  0.933 1.129  0.808 1.129
