1a#apb#apb06#app0601/0  -0.402 0.253  -0.403 0.391  -0.337 0.521  -0.267 0.649  -0.264 0.770  -0.366 0.714  -0.456 0.598  -0.544 0.481  -0.620 0.356  -0.697 0.231  -0.763 0.101  -0.821 -0.033  -0.878 -0.168  -0.917 -0.309  -0.955 -0.451  -0.983 -0.593  -0.983 -0.740  -0.961 -0.883  -0.897 -1.007  -0.775 -1.088  -0.643 -1.130  -0.497 -1.120  -0.351 -1.109  -0.211 -1.065  -0.072 -1.022  0.066 -0.974  0.192 -0.899  0.318 -0.824  0.441 -0.746  0.549 -0.647  0.657 -0.548  0.756 -0.441  0.832 -0.317  0.909 -0.192  0.948 -0.054  0.969 0.091  0.987 0.236  0.996 0.382  1.005 0.528  0.989 0.671  0.942 0.810  0.882 0.941  0.787 1.052  0.656 1.085  0.509 1.085  0.369 1.044  0.234 0.993  0.124 0.896  0.019 0.794  -0.074 0.682
1a#apb#apb06#app0601/1  0.550 1.114  0.566 1.185  0.582 1.255  0.597 1.326  0.601 1.364  0.563 1.303  0.511 1.252  0.460 1.201  0.424 1.142  0.405 1.072  0.385 1.002  0.366 0.932  0.347 0.862  0.328 0.792  0.309 0.723  0.290 0.653  0.271 0.583  0.250 0.514  0.221 0.448  0.191 0.382  0.161 0.316  0.132 0.250  0.102 0.184  0.072 0.118  0.043 0.052  0.013 -0.014  -0.018 -0.080  -0.051 -0.144  -0.085 -0.208  -0.119 -0.272  -0.153 -0.336  -0.186 -0.400  -0.220 -0.464  -0.254 -0.528  -0.287 -0.592  -0.316 -0.658  -0.339 -0.727  -0.362 -0.796  -0.384 -0.864  -0.407 -0.933  -0.430 -1.001  -0.453 -1.070  -0.476 -1.139  -0.506 -1.204  -0.538 -1.269  -0.571 -1.334  -0.603 -1.399  -0.634 -1.464  -0.661 -1.531  -0.688 -1.598
1a#apb#apb06#app0601/2  0.726 1.242  0.666 1.277  0.543 1.164  0.456 1.021  0.367 0.879  0.268 0.744  0.161 0.618  0.038 0.505  -0.006 0.542  0.068 0.691  0.162 0.829  0.263 0.962  0.380 1.080  0.509 1.186  0.665 1.220  0.780 1.125  0.812 0.961  0.758 0.804  0.703 0.646  0.632 0.495  0.552 0.348  0.472 0.201  0.383 0.060  0.281 -0.072  0.179 -0.205  0.077 -0.337  -0.040 -0.457  -0.161 -0.572  -0.282 -0.687  -0.411 -0.792  -0.556 -0.876  -0.701 -0.959  -0.848 -1.039  -0.997 -1.114  -1.159 -1.136  -1.238 -1.048  -1.210 -0.893  -1.086 -0.781  -0.955 -0.677  -0.818 -0.582  -0.671 -0.506  -0.510 -0.459  -0.349 -0.416  -0.182 -0.416  -0.023 -0.449  0.120 -0.533  0.221 -0.666  0.295 -0.815  0.311 -0.979  0.355 -1.136
1a#apb#apb06#app0601/3  -0.529 1.276  -0.479 1.376  -0.402 1.447  -0.286 1.447  -0.171 1.447  -0.064 1.425  0.023 1.350  0.095 1.264  0.138 1.157  0.178 1.049  0.178 0.934  0.178 0.819  0.153 0.709  0.105 0.604  0.057 0.499  -0.016 0.410  -0.094 0.327  -0.184 0.255  -0.236 0.202  -0.134 0.254  -0.025 0.290  0.084 0.324  0.195 0.291  0.305 0.258  0.403 0.199  0.499 0.135  0.565 0.048  0.604 -0.061  0.640 -0.169  0.625 -0.283  0.610 -0.398  0.595 -0.512  0.545 -0.615  0.490 -0.716  0.429 -0.812  0.344 -0.890  0.258 -0.967  0.172 -1.043  0.066 -1.088  -0.040 -1.134  -0.146 -1.179  -0.254 -1.217  -0.364 -1.253  -0.472 -1.276  -0.572 -1.218  -0.669 -1.157  -0.763 -1.090  -0.843 -1.009  -0.895 -0.912  -0.895 -0.797
1a#apb#apb06#app0601/4  -0.209 0.763  -0.170 0.890  -0.337 0.816  -0.471 0.682  -0.605 0.548  -0.721 0.399  -0.835 0.247  -0.950 0.098  -1.079 -0.041  -1.207 -0.181  -1.327 -0.327  -1.446 -0.474  -1.335 -0.546  -1.149 -0.509  -0.963 -0.475  -0.774 -0.475  -0.584 -0.475  -0.395 -0.464  -0.206 -0.451  -0.018 -0.435  0.171 -0.424  0.359 -0.434  0.540 -0.475  0.666 -0.391  0.717 -0.209  0.768 -0.026  0.819 0.156  0.870 0.338  0.921 0.521  0.972 0.703  1.023 0.886  1.074 1.068  1.125 1.251  1.014 1.175  0.919 1.012  0.824 0.847  0.733 0.681  0.642 0.515  0.550 0.350  0.456 0.185  0.362 0.021  0.268 -0.144  0.179 -0.311  0.091 -0.479  0.002 -0.646  -0.082 -0.816  -0.167 -0.985  -0.252 -1.154  -0.337 -1.324  -0.441 -1.482
1a#apb#apb06#app0601/5  0.333 0.743  0.253 0.858  0.107 0.767  -0.031 0.669  -0.146 0.539  -0.271 0.423  -0.239 0.320  -0.066 0.320  0.107 0.320  0.279 0.311  0.443 0.276  0.572 0.162  0.671 0.020  0.726 -0.138  0.749 -0.310  0.729 -0.479  0.693 -0.648  0.612 -0.801  0.522 -0.947  0.394 -1.063  0.246 -1.143  0.080 -1.192  -0.088 -1.220  -0.261 -1.209  -0.431 -1.185  -0.598 -1.140  -0.759 -1.079  -0.914 -1.002  -1.046 -0.893  -1.163 -0.767  -1.214 -0.618  -1.081 -0.523  -0.967 -0.393  -0.853 -0.263  -0.739 -0.133  -0.625 -0.003  -0.511 0.127  -0.397 0.257  -0.283 0.387  -0.169 0.517  -0.055 0.647  0.014 0.802  0.113 0.943  0.249 1.050  0.408 1.110  0.579 1.123  0.752 1.129  0.924 1.143  1.092 1.108  1.263 1.081
1a#apb#apb06#app0601/6  0.259 1.626  0.283 1.788  0.180 1.678  0.086 1.542  -0.004 1.402  -0.090 1.261  -0.177 1.119  -0.263 0.977  -0.344 0.832  -0.423 0.686  -0.502 0.540  -0.581 0.394  -0.649 0.243  -0.716 0.091  -0.782 -0.061  -0.840 -0.216  -0.872 -0.379  -0.900 -0.542  -0.854 -0.701  -0.808 -0.861  -0.664 -0.941  -0.514 -1.005  -0.348 -1.005  -0.182 -1.005  -0.022 -0.967  0.136 -0.917  0.294 -0.867  0.442 -0.791  0.589 -0.714  0.736 -0.637  0.866 -0.535  0.994 -0.428  1.085 -0.294  1.155 -0.144  1.166 0.015  1.137 0.178  0.990 0.253  0.840 0.321  0.676 0.295  0.512 0.269  0.354 0.226  0.209 0.146  0.064 0.066  -0.080 -0.017  -0.189 -0.142  -0.298 -0.267  -0.406 -0.393  -0.461 -0.550  -0.516 -0.706  -0.571 -0.863
1a#apb#apb06#app0601/7  -0.417 0.855  -0.469 0.772  -0.562 0.725  -0.626 0.645  -0.681 0.557  -0.731 0.465  -0.761 0.466  -0.687 0.540  -0.610 0.611  -0.531 0.679  -0.449 0.742  -0.362 0.800  -0.274 0.857  -0.175 0.890  -0.076 0.923  0.024 0.953  0.126 0.976  0.227 0.986  0.326 0.952  0.429 0.933  0.522 0.893  0.579 0.814  0.596 0.711  0.613 0.608  0.607 0.504  0.592 0.401  0.578 0.297  0.563 0.194  0.546 0.091  0.505 -0.005  0.463 -0.101  0.422 -0.196  0.380 -0.292  0.338 -0.388  0.294 -0.482  0.247 -0.576  0.200 -0.669  0.154 -0.763  0.107 -0.856  0.060 -0.949  0.009 -1.041  -0.042 -1.132  -0.092 -1.223  -0.143 -1.315  -0.191 -1.407  -0.238 -1.501  -0.285 -1.594  -0.332 -1.688  -0.378 -1.781  -0.394 -1.882
1a#apb#apb06#app0601/8  0.750 0.661  0.834 0.786  0.897 0.922  0.935 1.066  0.900 1.205  0.759 1.258  0.609 1.261  0.458 1.261  0.308 1.261  0.157 1.261  0.016 1.212  -0.122 1.153  -0.242 1.064  -0.343 0.956  -0.411 0.821  -0.422 0.675  -0.412 0.524  -0.390 0.376  -0.358 0.229  -0.325 0.081  -0.280 -0.062  -0.234 -0.206  -0.191 -0.350  -0.152 -0.496  -0.114 -0.642  -0.073 -0.787  -0.031 -0.931  0.006 -1.077  0.006 -1.227  -0.015 -1.375  -0.097 -1.490  -0.234 -1.515  -0.374 -1.469  -0.495 -1.378  -0.550 -1.241  -0.594 -1.097  -0.574 -0.948  -0.554 -0.799  -0.482 -0.667  -0.406 -0.537  -0.325 -0.411  -0.226 -0.297  -0.128 -0.183  -0.018 -0.082  0.104 0.008  0.225 0.097  0.355 0.172  0.486 0.247  0.618 0.320  0.750 0.392
1a#apb#apb06#app0601/9  0.688 0.635  0.717 0.808  0.719 0.982  0.673 1.145  0.534 1.219  0.359 1.207  0.193 1.157  0.032 1.088  -0.129 1.018  -0.269 0.911  -0.408 0.805  -0.548 0.698  -0.654 0.559  -0.760 0.418  -0.863 0.276  -0.945 0.121  -1.026 -0.035  -1.059 -0.202  -1.003 -0.355  -0.864 -0.445  -0.689 -0.456  -0.519 -0.431  -0.358 -0.362  -0.197 -0.293  -0.048 -0.199  0.097 -0.100  0.242 -0.002  0.375 0.113  0.503 0.233  0.630 0.354  0.754 0.478  0.878 0.602  0.906 0.621  0.792 0.487  0.689 0.345  0.598 0.195  0.508 0.044  0.418 -0.107  0.338 -0.263  0.257 -0.419  0.177 -0.575  0.096 -0.731  0.018 -0.888  -0.061 -1.045  -0.139 -1.202  -0.216 -1.360  -0.291 -1.519  -0.361 -1.680  -0.417 -1.846  -0.368 -2.006
1a#apb#apb06#app0601/1  0.490 0.947  0.519 1.016  0.549 1.085  0.578 1.153  0.601 1.223  0.601 1.297  0.638 1.279  0.609 1.210  0.580 1.141  0.551 1.073  0.523 1.004  0.494 0.935  0.465 0.866  0.433 0.799  0.398 0.733  0.363 0.667  0.329 0.601  0.294 0.535  0.259 0.470  0.224 0.404  0.189 0.338  0.154 0.272  0.119 0.206  0.082 0.142  0.045 0.077  0.007 0.012  -0.030 -0.052  -0.067 -0.117  -0.105 -0.181  -0.142 -0.246  -0.180 -0.310  -0.217 -0.375  -0.254 -0.439  -0.291 -0.504  -0.325 -0.571  -0.358 -0.637  -0.391 -0.704  -0.425 -0.771  -0.458 -0.837  -0.491 -0.904  -0.525 -0.971  -0.556 -1.038  -0.584 -1.108  -0.611 -1.177  -0.639 -1.246  -0.667 -1.315  -0.695 -1.384  -0.695 -1.459  -0.695 -1.533  -0.695 -1.608
