2#apa#apa04#app0448/p  -0.151 0.627  -0.087 0.500  -0.024 0.370  -0.024 0.178  -0.024 -0.014  -0.024 -0.206  -0.028 -0.397  -0.151 -0.538  -0.151 -0.730  -0.151 -0.922  -0.212 -1.090  -0.279 -1.254  -0.279 -1.446  -0.378 -1.539  -0.406 -1.703  -0.406 -1.693  -0.406 -1.501  -0.406 -1.309  -0.406 -1.116  -0.406 -0.924  -0.406 -0.732  -0.406 -0.540  -0.406 -0.348  -0.329 -0.187  -0.279 -0.016  -0.279 0.176  -0.279 0.368  -0.279 0.561  -0.279 0.753  -0.234 0.927  -0.151 1.085  -0.139 1.264  -0.024 1.341  -0.010 1.519  0.182 1.519  0.370 1.508  0.506 1.372  0.613 1.224  0.687 1.063  0.741 0.893  0.741 0.700  0.741 0.508  0.741 0.316  0.741 0.124  0.682 -0.010  0.613 -0.133  0.425 -0.137  0.233 -0.137  0.041 -0.137  -0.151 -0.137
2#apa#apa04#app0448/r  -0.345 -0.022  -0.345 -0.139  -0.345 -0.256  -0.345 -0.373  -0.345 -0.490  -0.345 -0.607  -0.345 -0.725  -0.321 -0.818  -0.204 -0.818  -0.145 -0.877  -0.145 -0.994  -0.051 -1.017  0.054 -1.029  0.054 -1.147  0.054 -1.264  0.054 -1.381  0.054 -1.333  0.054 -1.216  -0.029 -1.134  -0.112 -1.051  -0.145 -0.947  -0.145 -0.830  -0.145 -0.713  -0.145 -0.596  -0.145 -0.478  -0.145 -0.361  -0.145 -0.244  -0.145 -0.127  -0.145 -0.010  -0.145 0.107  -0.145 0.225  -0.145 0.342  -0.145 0.459  -0.145 0.576  -0.145 0.693  -0.120 0.800  -0.037 0.883  0.045 0.966  0.054 1.080  0.054 1.197  0.054 1.314  0.112 1.373  0.229 1.373  0.347 1.373  0.464 1.373  0.581 1.373  0.698 1.373  0.815 1.373  0.933 1.373  1.050 1.373
2#apa#apa04#app0448/e  -0.440 0.327  -0.305 0.327  -0.170 0.327  -0.036 0.327  0.099 0.327  0.234 0.327  0.369 0.327  0.504 0.327  0.638 0.327  0.773 0.327  0.891 0.368  0.986 0.463  1.065 0.566  1.065 0.700  1.065 0.835  1.065 0.970  0.932 0.972  0.798 0.972  0.663 0.972  0.528 0.972  0.401 0.953  0.306 0.858  0.210 0.763  0.078 0.757  -0.010 0.710  -0.010 0.575  -0.082 0.470  -0.177 0.375  -0.273 0.280  -0.368 0.184  -0.463 0.089  -0.558 -0.006  -0.654 -0.102  -0.715 -0.222  -0.775 -0.342  -0.835 -0.463  -0.870 -0.590  -0.870 -0.724  -0.870 -0.859  -0.839 -0.963  -0.704 -0.963  -0.655 -1.049  -0.651 -1.182  -0.556 -1.277  -0.461 -1.372  -0.334 -1.393  -0.199 -1.393  -0.065 -1.393  0.070 -1.393  0.205 -1.393
2#apa#apa04#app0448/s  0.808 1.285  0.679 1.285  0.549 1.285  0.420 1.285  0.291 1.285  0.161 1.285  0.032 1.285  -0.098 1.285  -0.206 1.235  -0.298 1.143  -0.389 1.052  -0.481 0.960  -0.541 0.856  -0.541 0.726  -0.619 0.629  -0.710 0.538  -0.734 0.418  -0.734 0.288  -0.734 0.159  -0.664 0.059  -0.572 -0.033  -0.456 -0.064  -0.326 -0.064  -0.197 -0.064  -0.067 -0.064  0.062 -0.064  0.191 -0.064  0.230 -0.155  0.258 -0.257  0.387 -0.257  0.516 -0.257  0.646 -0.257  0.775 -0.257  0.808 -0.353  0.785 -0.473  0.693 -0.564  0.602 -0.656  0.510 -0.747  0.419 -0.839  0.327 -0.930  0.236 -1.022  0.109 -1.028  0.037 -1.085  0.037 -1.215  -0.087 -1.220  -0.216 -1.220  -0.345 -1.220  -0.475 -1.220  -0.541 -1.284  -0.541 -1.413
2#apa#apa04#app0448/s  0.234 1.450  0.130 1.450  0.026 1.450  -0.078 1.450  -0.181 1.450  -0.285 1.449  -0.358 1.376  -0.432 1.303  -0.456 1.209  -0.456 1.105  -0.456 1.002  -0.456 0.898  -0.456 0.794  -0.456 0.690  -0.455 0.587  -0.382 0.514  -0.308 0.440  -0.284 0.347  -0.283 0.243  -0.179 0.243  -0.111 0.208  -0.111 0.104  -0.041 0.071  0.063 0.070  0.136 -0.004  0.209 -0.077  0.303 -0.101  0.406 -0.102  0.406 -0.206  0.442 -0.274  0.546 -0.274  0.578 -0.345  0.578 -0.448  0.578 -0.552  0.552 -0.645  0.479 -0.718  0.406 -0.792  0.406 -0.896  0.370 -0.964  0.266 -0.964  0.234 -1.035  0.231 -1.136  0.127 -1.136  0.035 -1.163  -0.039 -1.236  -0.113 -1.308  -0.216 -1.308  -0.309 -1.334  -0.383 -1.407  -0.456 -1.481
2#apa#apa04#app0448/e  -0.800 0.117  -0.650 0.117  -0.500 0.117  -0.350 0.117  -0.200 0.117  -0.051 0.117  0.099 0.117  0.249 0.117  0.365 0.199  0.471 0.305  0.609 0.333  0.758 0.333  0.908 0.333  1.021 0.422  1.127 0.528  1.149 0.669  1.149 0.818  1.149 0.968  1.014 0.983  0.864 0.983  0.714 0.983  0.564 0.983  0.439 0.923  0.334 0.817  0.205 0.766  0.066 0.755  0.066 0.605  -0.028 0.550  -0.170 0.530  -0.276 0.424  -0.382 0.318  -0.487 0.212  -0.593 0.106  -0.699 0.001  -0.800 -0.108  -0.800 -0.257  -0.800 -0.407  -0.800 -0.557  -0.800 -0.707  -0.800 -0.857  -0.800 -1.006  -0.800 -1.156  -0.676 -1.182  -0.543 -1.222  -0.437 -1.328  -0.316 -1.399  -0.166 -1.399  -0.017 -1.399  0.133 -1.399  0.283 -1.399
2#apa#apa04#app0448/d  0.010 -0.636  0.010 -0.468  -0.075 -0.336  -0.226 -0.334  -0.358 -0.421  -0.526 -0.421  -0.676 -0.463  -0.809 -0.562  -0.957 -0.638  -0.985 -0.800  -1.061 -0.950  -1.065 -1.117  -0.954 -1.174  -0.786 -1.174  -0.618 -1.174  -0.450 -1.174  -0.296 -1.112  -0.146 -1.037  0.004 -0.962  0.124 -0.845  0.243 -0.726  0.362 -0.607  0.440 -0.472  0.523 -0.338  0.548 -0.180  0.548 -0.012  0.548 0.156  0.548 0.324  0.548 0.492  0.497 0.648  0.440 0.802  0.440 0.970  0.440 1.138  0.440 1.306  0.440 1.474  0.426 1.636  0.333 1.693  0.264 1.553  0.225 1.401  0.225 1.233  0.225 1.065  0.190 0.906  0.118 0.755  0.118 0.587  0.118 0.419  0.118 0.251  0.118 0.083  0.118 -0.085  0.118 -0.253  0.118 -0.421
2#apa#apa04#app0448/t  0.620 1.515  0.466 1.463  0.394 1.289  0.249 1.144  0.160 0.977  0.160 0.772  0.032 0.621  -0.113 0.476  -0.149 0.287  -0.294 0.142  -0.299 -0.060  -0.299 -0.265  -0.299 -0.469  -0.299 -0.674  -0.299 -0.878  -0.151 -0.935  -0.099 -1.088  0.105 -1.088  0.266 -1.193  0.451 -1.241  0.655 -1.241  0.860 -1.241  0.811 -1.164  0.640 -1.051  0.470 -0.937  0.300 -0.824  0.130 -0.710  -0.040 -0.597  -0.210 -0.483  -0.380 -0.370  -0.551 -0.257  -0.721 -0.143  -0.891 -0.030  -1.061 0.084  -1.231 0.197  -1.333 0.290  -1.129 0.290  -0.924 0.290  -0.720 0.290  -0.525 0.330  -0.342 0.422  -0.143 0.443  0.056 0.468  0.239 0.559  0.435 0.596  0.621 0.673  0.808 0.749  1.003 0.788  1.186 0.879  1.385 0.902
2#apa#apa04#app0448/h  0.197 2.075  0.107 1.985  0.075 1.872  0.075 1.745  0.011 1.646  -0.046 1.542  -0.046 1.416  -0.071 1.295  -0.128 1.182  -0.167 1.065  -0.167 0.938  -0.167 0.812  -0.167 0.685  -0.182 0.561  -0.212 0.438  -0.243 0.315  -0.274 0.192  -0.289 0.068  -0.289 -0.059  -0.289 -0.185  -0.289 -0.312  -0.289 -0.438  -0.289 -0.565  -0.289 -0.692  -0.289 -0.818  -0.289 -0.945  -0.289 -1.071  -0.289 -1.198  -0.410 -1.203  -0.289 -1.197  -0.289 -1.071  -0.278 -0.949  -0.188 -0.859  -0.070 -0.839  -0.046 -0.736  0.002 -0.621  0.059 -0.508  0.138 -0.411  0.197 -0.309  0.231 -0.197  0.322 -0.110  0.449 -0.110  0.561 -0.124  0.561 -0.251  0.561 -0.378  0.561 -0.504  0.561 -0.631  0.589 -0.745  0.679 -0.835  0.682 -0.960
2#apa#apa04#app0448/e  -0.900 0.028  -0.736 0.028  -0.572 0.028  -0.408 0.028  -0.244 0.028  -0.080 0.028  0.083 0.028  0.247 0.028  0.377 0.110  0.493 0.226  0.656 0.228  0.693 0.354  0.785 0.427  0.948 0.427  1.092 0.447  1.092 0.611  1.092 0.775  0.978 0.825  0.892 0.904  0.849 1.024  0.685 1.024  0.521 1.024  0.358 1.024  0.194 1.024  0.049 0.977  -0.066 0.862  -0.182 0.746  -0.298 0.630  -0.460 0.626  -0.501 0.503  -0.563 0.365  -0.679 0.249  -0.700 0.094  -0.770 -0.041  -0.886 -0.157  -0.900 -0.315  -0.900 -0.479  -0.847 -0.621  -0.732 -0.737  -0.700 -0.888  -0.641 -1.027  -0.525 -1.143  -0.371 -1.166  -0.207 -1.166  -0.061 -1.209  0.055 -1.324  0.202 -1.365  0.366 -1.365  0.530 -1.365  0.693 -1.365
2#apa#apa04#app0448/e  -1.011 0.237  -1.011 0.059  -0.835 0.057  -0.657 0.057  -0.479 0.057  -0.302 0.057  -0.124 0.057  0.054 0.057  0.231 0.057  0.409 0.057  0.540 0.171  0.690 0.237  0.867 0.237  0.965 0.317  1.043 0.416  1.144 0.493  1.144 0.670  1.093 0.827  0.968 0.952  0.791 0.955  0.613 0.955  0.436 0.955  0.258 0.955  0.080 0.955  -0.097 0.955  -0.113 0.793  -0.273 0.775  -0.404 0.663  -0.530 0.538  -0.656 0.412  -0.781 0.287  -0.907 0.161  -1.011 0.026  -1.011 -0.151  -1.011 -0.329  -0.985 -0.482  -0.831 -0.505  -0.816 -0.676  -0.690 -0.802  -0.529 -0.841  -0.351 -0.841  -0.208 -0.925  -0.070 -1.020  0.108 -1.020  0.283 -1.033  0.452 -1.089  0.620 -1.145  0.789 -1.200  0.967 -1.200  1.144 -1.200
