3#app#app13#app1325/@  0.367 0.200  0.215 0.303  -0.040 0.303  -0.247 0.256  -0.447 0.200  -0.555 0.053  -0.657 -0.159  -0.657 -0.414  -0.555 -0.566  -0.353 -0.619  -0.247 -0.470  -0.106 -0.273  0.060 -0.087  0.162 0.125  0.162 0.380  0.162 0.176  0.162 -0.079  0.389 -0.107  0.520 0.046  0.572 0.280  0.675 0.492  0.675 0.747  0.675 1.002  0.675 1.256  0.533 1.430  0.381 1.532  0.126 1.532  -0.109 1.448  -0.327 1.350  -0.434 1.140  -0.542 0.930  -0.657 0.723  -0.721 0.483  -0.760 0.237  -0.760 -0.017  -0.760 -0.272  -0.760 -0.527  -0.760 -0.782  -0.682 -1.004  -0.574 -1.214  -0.394 -1.395  -0.157 -1.438  0.098 -1.438  0.327 -1.376  0.517 -1.210  0.710 -1.061  0.851 -0.853  0.975 -0.632  1.084 -0.422  1.187 -0.209
3#app#app13#app1325/1  -0.179 1.671  -0.179 1.600  -0.179 1.529  -0.179 1.457  -0.179 1.386  -0.179 1.315  -0.179 1.244  -0.179 1.172  -0.179 1.101  -0.179 1.030  -0.179 0.959  -0.138 0.904  -0.088 0.854  -0.038 0.804  0.013 0.753  0.063 0.703  0.063 0.632  0.063 0.560  0.063 0.489  0.063 0.418  0.063 0.347  0.063 0.276  0.063 0.204  0.063 0.133  0.063 0.062  0.063 -0.009  0.063 -0.081  0.063 -0.152  0.063 -0.223  0.063 -0.294  0.063 -0.366  0.063 -0.437  0.063 -0.508  0.063 -0.579  0.063 -0.650  0.063 -0.722  0.063 -0.793  0.063 -0.864  0.063 -0.935  0.063 -1.007  0.063 -1.078  0.063 -1.149  0.063 -1.220  0.063 -1.291  0.063 -1.363  0.063 -1.434  0.063 -1.505  0.063 -1.576  0.063 -1.648  0.063 -1.719
3#app#app13#app1325/2  -1.199 0.361  -1.199 0.514  -1.131 0.639  -1.023 0.747  -0.990 0.886  -0.939 0.989  -0.786 0.989  -0.781 1.136  -0.690 1.198  -0.537 1.198  -0.384 1.198  -0.231 1.198  -0.078 1.198  0.056 1.179  0.056 1.026  0.138 0.907  0.246 0.799  0.265 0.654  0.265 0.501  0.265 0.348  0.265 0.195  0.265 0.042  0.265 -0.111  0.265 -0.264  0.265 -0.417  0.265 -0.570  0.265 -0.722  0.265 -0.875  0.265 -1.028  0.265 -1.181  0.265 -1.334  0.265 -1.487  0.146 -1.521  0.056 -1.458  0.056 -1.305  0.056 -1.152  0.056 -0.999  0.056 -0.846  0.056 -0.693  0.056 -0.540  0.056 -0.387  0.087 -0.266  0.240 -0.266  0.265 -0.138  0.337 -0.057  0.490 -0.057  0.643 -0.057  0.796 -0.057  0.949 -0.057  1.101 -0.057
3#app#app13#app1325/:  -0.324 1.460  -0.252 1.460  -0.179 1.460  -0.106 1.460  -0.033 1.460  0.000 1.420  0.000 1.347  0.000 1.274  0.000 1.202  0.000 1.129  0.000 1.056  0.000 0.983  0.000 0.910  0.000 0.837  0.000 0.765  0.000 0.692  0.000 0.619  0.000 0.546  0.000 0.473  0.000 0.401  0.000 0.328  0.000 0.255  0.000 0.182  0.000 0.109  0.000 0.036  0.000 -0.036  0.000 -0.109  0.000 -0.182  0.000 -0.255  0.000 -0.328  0.000 -0.401  0.000 -0.473  0.000 -0.546  0.000 -0.619  0.000 -0.692  0.000 -0.765  0.000 -0.837  0.000 -0.910  0.000 -0.983  0.000 -1.056  0.000 -1.129  0.000 -1.202  0.000 -1.274  0.000 -1.347  0.000 -1.420  0.033 -1.460  0.106 -1.460  0.179 -1.460  0.252 -1.460  0.324 -1.460
3#app#app13#app1325/3  -0.970 1.292  -0.848 1.292  -0.727 1.292  -0.605 1.292  -0.483 1.292  -0.361 1.292  -0.240 1.292  -0.118 1.292  -0.000 1.282  0.086 1.196  0.172 1.110  0.182 0.992  0.182 0.871  0.182 0.749  0.182 0.627  0.163 0.524  0.041 0.524  -0.010 0.454  -0.010 0.332  -0.096 0.246  -0.182 0.160  -0.202 0.047  -0.226 -0.052  -0.347 -0.052  -0.469 -0.052  -0.583 -0.055  -0.497 -0.141  -0.411 -0.227  -0.296 -0.244  -0.174 -0.244  -0.052 -0.244  0.046 -0.300  0.132 -0.386  0.233 -0.435  0.355 -0.435  0.374 -0.539  0.406 -0.627  0.528 -0.627  0.565 -0.712  0.565 -0.833  0.565 -0.955  0.565 -1.077  0.565 -1.198  0.448 -1.203  0.374 -1.250  0.374 -1.372  0.304 -1.465  0.218 -1.551  0.111 -1.587  -0.010 -1.587
3#app#app13#app1325/4  -1.093 0.851  -1.093 0.680  -1.219 0.635  -1.309 0.554  -1.309 0.383  -1.309 0.212  -1.146 0.203  -1.093 0.085  -1.093 -0.086  -1.065 -0.229  -0.894 -0.229  -0.877 -0.383  -0.877 -0.554  -0.813 -0.660  -0.641 -0.660  -0.470 -0.660  -0.299 -0.660  -0.158 -0.589  -0.037 -0.468  0.084 -0.347  0.205 -0.226  0.326 -0.105  0.418 0.028  0.418 0.199  0.585 0.203  0.634 0.325  0.634 0.496  0.624 0.665  0.570 0.828  0.516 0.990  0.462 1.152  0.418 1.250  0.418 1.079  0.418 0.907  0.418 0.736  0.418 0.565  0.418 0.394  0.418 0.223  0.569 0.203  0.634 0.097  0.634 -0.074  0.634 -0.245  0.634 -0.416  0.634 -0.587  0.634 -0.758  0.672 -0.914  0.793 -1.035  0.850 -1.182  0.850 -1.353  0.850 -1.524
3#app#app13#app1325/:  -0.083 1.185  -0.156 1.112  -0.230 1.039  -0.303 0.965  -0.376 0.892  -0.411 0.835  -0.307 0.835  -0.204 0.835  -0.100 0.835  -0.083 0.921  -0.083 1.025  -0.083 1.128  -0.036 1.185  0.067 1.185  0.171 1.185  0.266 1.178  0.252 1.076  0.237 0.973  0.222 0.871  0.208 0.768  0.193 0.665  0.179 0.563  0.164 0.460  0.149 0.358  0.135 0.255  0.120 0.153  0.105 0.050  0.091 -0.052  0.076 -0.155  0.061 -0.258  0.047 -0.360  0.032 -0.463  0.017 -0.565  0.003 -0.668  -0.012 -0.770  -0.027 -0.873  -0.041 -0.975  -0.056 -1.078  -0.071 -1.181  -0.083 -1.283  -0.083 -1.387  -0.083 -1.491  -0.083 -1.594  -0.083 -1.539  -0.083 -1.435  -0.083 -1.332  -0.043 -1.268  0.060 -1.268  0.164 -1.268  0.267 -1.268
3#app#app13#app1325/5  0.178 1.624  0.100 1.546  0.022 1.468  -0.056 1.390  -0.134 1.312  -0.212 1.234  -0.290 1.156  -0.381 1.109  -0.491 1.109  -0.509 1.016  -0.531 0.915  -0.609 0.837  -0.680 0.756  -0.680 0.646  -0.680 0.536  -0.680 0.425  -0.680 0.315  -0.680 0.205  -0.680 0.094  -0.586 0.079  -0.509 0.046  -0.509 -0.065  -0.426 -0.093  -0.316 -0.093  -0.206 -0.093  -0.095 -0.093  0.015 -0.093  0.125 -0.093  0.236 -0.093  0.346 -0.093  0.425 -0.168  0.503 -0.246  0.606 -0.265  0.693 -0.287  0.693 -0.398  0.693 -0.508  0.693 -0.618  0.693 -0.729  0.693 -0.839  0.693 -0.949  0.693 -1.060  0.646 -1.123  0.536 -1.123  0.454 -1.191  0.376 -1.269  0.276 -1.295  0.166 -1.295  0.055 -1.295  0.006 -1.233  0.006 -1.123
3#app#app13#app1325/6  -0.438 1.851  -0.438 1.713  -0.438 1.575  -0.438 1.437  -0.438 1.299  -0.438 1.160  -0.438 1.022  -0.438 0.884  -0.438 0.746  -0.452 0.611  -0.513 0.488  -0.575 0.365  -0.637 0.241  -0.640 0.104  -0.640 -0.034  -0.640 -0.172  -0.640 -0.310  -0.586 -0.426  -0.488 -0.524  -0.438 -0.641  -0.438 -0.779  -0.438 -0.917  -0.361 -0.978  -0.236 -0.991  -0.236 -1.129  -0.149 -1.180  -0.011 -1.180  0.127 -1.180  0.265 -1.180  0.393 -1.157  0.491 -1.059  0.589 -0.961  0.686 -0.864  0.774 -0.762  0.774 -0.624  0.774 -0.486  0.774 -0.348  0.774 -0.210  0.774 -0.072  0.774 0.066  0.774 0.204  0.666 0.234  0.572 0.278  0.572 0.416  0.454 0.436  0.370 0.490  0.370 0.628  0.242 0.638  0.104 0.638  -0.034 0.638
3#app#app13#app1325/_  -1.085 0.067  -1.085 -0.017  -1.085 -0.101  -1.085 -0.185  -1.100 -0.254  -1.184 -0.254  -1.269 -0.254  -1.353 -0.254  -1.376 -0.254  -1.292 -0.254  -1.208 -0.254  -1.124 -0.254  -1.040 -0.254  -0.955 -0.254  -0.871 -0.254  -0.787 -0.254  -0.703 -0.254  -0.619 -0.254  -0.535 -0.254  -0.451 -0.254  -0.366 -0.254  -0.282 -0.254  -0.198 -0.254  -0.116 -0.249  -0.057 -0.190  0.003 -0.130  0.062 -0.071  0.122 -0.011  0.181 0.048  0.258 0.067  0.342 0.067  0.426 0.067  0.510 0.067  0.594 0.067  0.678 0.067  0.762 0.067  0.846 0.070  0.905 0.129  0.965 0.189  1.024 0.248  1.084 0.308  1.143 0.367  1.218 0.389  1.302 0.389  1.387 0.389  1.471 0.389  1.486 0.458  1.486 0.542  1.486 0.626  1.486 0.710
3#app#app13#app1325/J  -0.371 1.614  -0.271 1.614  -0.177 1.608  -0.177 1.508  -0.165 1.419  -0.065 1.419  0.018 1.402  0.018 1.302  0.034 1.209  0.105 1.138  0.176 1.067  0.212 0.982  0.212 0.882  0.212 0.782  0.212 0.682  0.212 0.582  0.212 0.482  0.259 0.401  0.330 0.331  0.401 0.260  0.406 0.162  0.406 0.062  0.406 -0.038  0.406 -0.138  0.406 -0.238  0.406 -0.338  0.406 -0.438  0.395 -0.534  0.324 -0.604  0.253 -0.675  0.212 -0.758  0.212 -0.858  0.212 -0.958  0.212 -1.058  0.159 -1.105  0.059 -1.105  -0.041 -1.105  -0.141 -1.105  -0.241 -1.105  -0.341 -1.105  -0.441 -1.105  -0.541 -1.105  -0.565 -1.029  -0.565 -0.929  -0.565 -0.829  -0.565 -0.729  -0.565 -0.629  -0.565 -0.528  -0.565 -0.428  -0.565 -0.328
