1d#ced#rish6239_s_2d/:  0.194 0.831  0.070 1.067  -0.174 1.102  -0.363 0.916  -0.247 0.715  0.023 0.715  0.265 0.827  0.442 1.029  0.371 1.242  0.118 1.257  -0.110 1.128  -0.304 0.946  -0.407 0.707  -0.194 0.702  0.039 0.785  0.233 0.967  0.231 1.141  -0.040 1.141  -0.288 1.052  -0.225 0.908  -0.006 1.063  0.056 1.125  0.106 0.860  0.155 0.594  0.205 0.328  0.255 0.062  0.304 -0.203  0.354 -0.469  0.404 -0.735  0.284 -0.820  0.048 -0.691  -0.203 -0.706  -0.389 -0.897  -0.446 -1.154  -0.328 -1.372  -0.066 -1.374  0.170 -1.245  0.310 -1.031  0.244 -0.788  -0.003 -0.761  -0.238 -0.880  -0.368 -1.110  -0.200 -1.259  0.057 -1.220  0.247 -1.045  0.087 -0.947  -0.164 -1.043  -0.404 -1.163  -0.185 -1.172  0.077 -1.126
1d#ced#rish6239_s_2d/=  -0.414 0.418  -0.623 0.456  -0.826 0.462  -1.036 0.478  -1.247 0.449  -1.294 0.398  -1.084 0.387  -0.871 0.396  -0.660 0.418  -0.447 0.418  -0.233 0.418  -0.020 0.429  0.192 0.449  0.406 0.449  0.617 0.467  0.829 0.479  1.043 0.479  1.257 0.479  1.471 0.479  1.680 0.450  1.485 0.437  1.287 0.356  1.089 0.276  0.891 0.195  0.693 0.115  0.495 0.034  0.297 -0.046  0.099 -0.127  -0.099 -0.207  -0.297 -0.287  -0.496 -0.368  -0.694 -0.448  -0.893 -0.523  -1.099 -0.492  -1.308 -0.461  -1.473 -0.481  -1.289 -0.554  -1.075 -0.554  -0.864 -0.535  -0.651 -0.523  -0.437 -0.523  -0.227 -0.492  -0.013 -0.492  0.201 -0.492  0.412 -0.461  0.625 -0.461  0.837 -0.441  1.047 -0.444  1.253 -0.430  1.467 -0.430
1d#ced#rish6239_s_2d/(  0.590 1.293  0.620 1.365  0.603 1.378  0.531 1.341  0.458 1.305  0.389 1.263  0.324 1.215  0.261 1.165  0.196 1.117  0.132 1.068  0.075 1.011  0.018 0.954  -0.040 0.896  -0.091 0.834  -0.139 0.769  -0.184 0.701  -0.240 0.644  -0.284 0.577  -0.321 0.505  -0.357 0.433  -0.385 0.357  -0.406 0.279  -0.417 0.199  -0.424 0.119  -0.440 0.040  -0.442 -0.041  -0.442 -0.122  -0.442 -0.202  -0.432 -0.282  -0.413 -0.361  -0.393 -0.439  -0.368 -0.516  -0.326 -0.584  -0.295 -0.659  -0.256 -0.729  -0.211 -0.796  -0.166 -0.863  -0.115 -0.925  -0.048 -0.970  0.017 -1.018  0.071 -1.077  0.128 -1.129  0.201 -1.161  0.270 -1.203  0.345 -1.233  0.423 -1.248  0.499 -1.267  0.571 -1.305  0.638 -1.349  0.719 -1.351
1d#ced#rish6239_s_2d/*  -0.227 0.299  -0.341 0.564  -0.090 0.262  0.190 -0.017  0.410 -0.338  0.666 -0.638  0.961 -0.897  1.263 -1.149  1.289 -0.803  1.289 -0.408  1.289 -0.014  1.289 0.381  1.289 0.776  1.067 0.765  0.770 0.516  0.463 0.276  0.139 0.058  -0.169 -0.185  -0.465 -0.445  -0.785 -0.676  -1.011 -0.992  -1.063 -1.104  -0.848 -0.773  -0.633 -0.441  -0.418 -0.110  -0.203 0.221  0.012 0.553  0.084 0.927  0.101 1.312  -0.017 1.689  0.026 1.353  -0.025 0.964  -0.025 0.569  -0.075 0.183  -0.093 -0.210  -0.126 -0.599  -0.126 -0.994  -0.119 -1.388  -0.178 -1.286  -0.337 -0.925  -0.495 -0.563  -0.654 -0.201  -0.813 0.160  -0.972 0.522  -1.338 0.602  -0.962 0.583  -0.576 0.499  -0.192 0.429  0.199 0.393  0.582 0.299
1d#ced#rish6239_s_2d/)  -0.428 1.191  -0.486 1.243  -0.559 1.272  -0.615 1.328  -0.561 1.339  -0.494 1.300  -0.435 1.247  -0.379 1.191  -0.322 1.136  -0.256 1.092  -0.200 1.036  -0.144 0.980  -0.095 0.919  -0.060 0.848  -0.013 0.785  0.030 0.718  0.065 0.648  0.113 0.584  0.157 0.519  0.198 0.451  0.235 0.381  0.269 0.310  0.299 0.236  0.328 0.163  0.358 0.089  0.378 0.013  0.395 -0.065  0.410 -0.142  0.410 -0.221  0.410 -0.301  0.410 -0.380  0.401 -0.457  0.369 -0.529  0.346 -0.605  0.320 -0.679  0.284 -0.750  0.249 -0.821  0.208 -0.888  0.169 -0.957  0.130 -1.025  0.074 -1.081  0.018 -1.137  -0.038 -1.193  -0.095 -1.248  -0.157 -1.297  -0.220 -1.346  -0.285 -1.391  -0.341 -1.447  -0.397 -1.503  -0.453 -1.559
1d#ced#rish6239_s_2d/  -0.055 0.084  -0.154 0.084  -0.254 0.084  -0.354 0.084  -0.454 0.084  -0.554 0.084  -0.653 0.084  -0.753 0.084  -0.853 0.084  -0.953 0.084  -1.053 0.084  -1.152 0.084  -1.252 0.084  -1.352 0.084  -1.452 0.084  -1.356 0.084  -1.258 0.068  -1.161 0.044  -1.062 0.041  -0.962 0.041  -0.862 0.041  -0.763 0.041  -0.663 0.041  -0.565 0.026  -0.468 0.002  -0.369 -0.003  -0.269 -0.003  -0.169 -0.003  -0.069 -0.003  0.031 -0.003  0.130 -0.005  0.229 -0.019  0.328 -0.033  0.427 -0.047  0.525 -0.067  0.622 -0.086  0.718 -0.066  0.814 -0.054  0.912 -0.074  1.010 -0.091  1.110 -0.091  1.209 -0.091  1.309 -0.091  1.409 -0.091  1.507 -0.101  1.602 -0.133  1.701 -0.134  1.801 -0.134  1.901 -0.134  2.001 -0.134
1d#ced#rish6239_s_2d/  0.503 1.184  0.486 1.249  0.500 1.320  0.506 1.391  0.519 1.398  0.499 1.330  0.479 1.261  0.458 1.193  0.432 1.127  0.417 1.057  0.394 0.988  0.367 0.922  0.339 0.856  0.310 0.790  0.285 0.723  0.268 0.653  0.247 0.584  0.222 0.517  0.197 0.450  0.171 0.382  0.146 0.315  0.120 0.248  0.095 0.181  0.068 0.114  0.041 0.048  0.015 -0.019  -0.012 -0.086  -0.039 -0.152  -0.068 -0.218  -0.098 -0.284  -0.127 -0.349  -0.156 -0.415  -0.187 -0.480  -0.219 -0.544  -0.248 -0.610  -0.270 -0.678  -0.295 -0.745  -0.327 -0.810  -0.358 -0.874  -0.383 -0.942  -0.409 -1.009  -0.438 -1.075  -0.462 -1.142  -0.481 -1.211  -0.511 -1.276  -0.542 -1.342  -0.569 -1.408  -0.600 -1.473  -0.621 -1.541  -0.664 -1.598
1d#ced#rish6239_s_2d/=  -1.094 0.044  -1.260 0.111  -1.410 0.222  -1.565 0.325  -1.645 0.442  -1.464 0.441  -1.278 0.432  -1.095 0.408  -0.910 0.399  -0.723 0.399  -0.537 0.399  -0.350 0.399  -0.166 0.382  0.019 0.367  0.204 0.384  0.390 0.399  0.576 0.399  0.762 0.399  0.949 0.399  1.133 0.419  1.253 0.390  1.075 0.335  0.896 0.280  0.718 0.224  0.540 0.169  0.362 0.114  0.184 0.059  0.006 0.004  -0.172 -0.052  -0.350 -0.107  -0.528 -0.162  -0.706 -0.217  -0.874 -0.294  -1.010 -0.413  -0.882 -0.474  -0.695 -0.474  -0.511 -0.485  -0.328 -0.506  -0.143 -0.494  0.039 -0.493  0.222 -0.482  0.408 -0.474  0.594 -0.474  0.781 -0.474  0.966 -0.466  1.150 -0.441  1.337 -0.441  1.523 -0.441  1.710 -0.441  1.896 -0.441
1d#ced#rish6239_s_2d/.  -0.975 -0.880  -0.739 -0.644  -0.504 -0.409  -0.231 -0.220  0.002 0.012  0.202 0.278  0.390 0.553  0.575 0.830  0.753 1.109  0.845 1.430  0.642 1.443  0.426 1.227  0.291 0.923  0.120 0.639  -0.051 0.353  -0.199 0.055  -0.348 -0.242  -0.483 -0.544  -0.483 -0.876  -0.417 -1.199  -0.209 -1.372  0.112 -1.321  0.409 -1.172  0.629 -0.934  0.832 -0.672  1.067 -0.437  1.234 -0.152  1.362 0.151  1.357 0.482  1.172 0.759  0.883 0.842  0.554 0.819  0.239 0.711  -0.058 0.562  -0.331 0.379  -0.566 0.143  -0.760 -0.127  -0.944 -0.404  -1.080 -0.687  -0.974 -1.003  -0.697 -0.818  -0.420 -0.633  -0.174 -0.417  0.010 -0.140  0.115 0.176  -0.099 0.382  -0.396 0.420  -0.712 0.315  -1.028 0.209  -1.344 0.104
1d#ced#rish6239_s_2d/%  -0.056 0.971  -0.036 1.165  -0.262 1.171  -0.448 1.040  -0.589 0.855  -0.670 0.638  -0.601 0.423  -0.407 0.314  -0.182 0.363  -0.017 0.519  0.065 0.736  0.054 0.969  -0.058 1.166  -0.276 1.186  -0.100 1.067  0.103 0.948  0.306 0.829  0.509 0.710  0.670 0.690  0.699 0.922  0.725 1.151  0.596 0.980  0.499 0.767  0.362 0.577  0.249 0.370  0.125 0.171  0.019 -0.038  -0.113 -0.232  -0.228 -0.437  -0.353 -0.636  -0.462 -0.844  -0.550 -1.060  -0.667 -1.264  -0.765 -1.477  -0.820 -1.646  -0.643 -1.492  -0.466 -1.337  -0.289 -1.182  -0.111 -1.028  0.066 -0.873  0.246 -0.722  0.429 -0.576  0.464 -0.422  0.270 -0.548  0.174 -0.760  0.203 -0.991  0.413 -1.052  0.596 -0.911  0.688 -0.697  0.636 -0.473
1d#ced#rish6239_s_2d/(  0.268 0.963  0.268 1.042  0.265 1.120  0.230 1.191  0.205 1.266  0.180 1.341  0.116 1.375  0.041 1.361  -0.007 1.298  -0.051 1.233  -0.078 1.158  -0.105 1.084  -0.134 1.011  -0.163 0.937  -0.181 0.860  -0.195 0.783  -0.209 0.705  -0.224 0.627  -0.236 0.549  -0.244 0.470  -0.244 0.391  -0.253 0.313  -0.263 0.235  -0.263 0.156  -0.263 0.077  -0.263 -0.002  -0.263 -0.082  -0.258 -0.160  -0.245 -0.238  -0.223 -0.314  -0.203 -0.391  -0.190 -0.469  -0.168 -0.545  -0.143 -0.620  -0.118 -0.695  -0.090 -0.769  -0.053 -0.838  -0.007 -0.902  0.034 -0.970  0.074 -1.038  0.118 -1.103  0.165 -1.167  0.213 -1.230  0.269 -1.285  0.333 -1.333  0.390 -1.387  0.454 -1.433  0.502 -1.496  0.570 -1.530  0.647 -1.550
