3#app#app11#app1160/v  -1.092 0.847  -1.068 0.742  -0.987 0.692  -0.913 0.637  -0.882 0.538  -0.777 0.513  -0.746 0.396  -0.672 0.297  -0.672 0.167  -0.597 0.112  -0.567 0.012  -0.553 -0.112  -0.462 -0.204  -0.462 -0.334  -0.412 -0.414  -0.357 -0.489  -0.286 -0.589  -0.216 -0.696  -0.157 -0.813  -0.147 -0.940  -0.121 -1.044  -0.042 -1.095  0.012 -1.202  0.063 -1.311  0.145 -1.359  0.168 -1.253  0.168 -1.123  0.168 -0.993  0.168 -0.863  0.168 -0.733  0.257 -0.640  0.274 -0.517  0.315 -0.394  0.356 -0.271  0.378 -0.144  0.378 -0.014  0.427 0.104  0.483 0.220  0.483 0.350  0.500 0.477  0.541 0.601  0.582 0.724  0.638 0.841  0.694 0.958  0.694 1.088  0.718 1.212  0.776 1.328  0.835 1.444  0.893 1.560  0.904 1.687
3#app#app11#app1160/e  -0.581 -0.832  -0.420 -0.832  -0.344 -0.746  -0.218 -0.706  -0.107 -0.591  -0.074 -0.443  0.052 -0.358  0.130 -0.274  0.219 -0.150  0.250 -0.003  0.398 0.029  0.485 0.155  0.543 0.292  0.603 0.428  0.656 0.577  0.722 0.723  0.763 0.867  0.840 0.996  0.840 1.158  0.827 1.313  0.709 1.418  0.547 1.418  0.415 1.349  0.366 1.207  0.231 1.182  0.087 1.139  0.011 1.009  -0.057 0.876  -0.171 0.762  -0.263 0.632  -0.336 0.488  -0.361 0.336  -0.475 0.222  -0.589 0.108  -0.699 -0.008  -0.721 -0.164  -0.793 -0.309  -0.818 -0.464  -0.818 -0.625  -0.818 -0.787  -0.736 -0.914  -0.621 -1.028  -0.507 -1.142  -0.365 -1.187  -0.203 -1.187  -0.042 -1.187  0.119 -1.187  0.281 -1.187  0.442 -1.187  0.603 -1.187
3#app#app11#app1160/x  -1.169 0.848  -1.044 0.789  -0.926 0.723  -0.919 0.546  -0.840 0.394  -0.710 0.264  -0.668 0.097  -0.540 -0.035  -0.458 -0.200  -0.350 -0.346  -0.220 -0.476  -0.090 -0.606  0.041 -0.737  0.171 -0.867  0.301 -0.997  0.431 -1.127  0.562 -1.258  0.692 -1.388  0.822 -1.518  0.802 -1.356  0.772 -1.174  0.741 -0.993  0.711 -0.811  0.681 -0.629  0.651 -0.448  0.620 -0.266  0.590 -0.084  0.560 0.097  0.529 0.279  0.499 0.461  0.469 0.642  0.439 0.824  0.408 1.006  0.378 1.188  0.348 1.369  0.330 1.395  0.196 1.339  0.080 1.203  0.024 1.042  -0.045 0.886  -0.148 0.745  -0.238 0.586  -0.321 0.421  -0.403 0.256  -0.466 0.084  -0.524 -0.091  -0.589 -0.263  -0.658 -0.434  -0.726 -0.605  -0.794 -0.776
3#app#app11#app1160/i  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#app#app11#app1160/n  -0.636 1.071  -0.636 0.918  -0.636 0.764  -0.636 0.610  -0.636 0.456  -0.636 0.302  -0.636 0.148  -0.636 -0.006  -0.636 -0.159  -0.636 -0.313  -0.689 -0.455  -0.758 -0.592  -0.766 -0.744  -0.766 -0.898  -0.766 -1.052  -0.684 -1.124  -0.636 -1.231  -0.636 -1.122  -0.636 -0.968  -0.585 -0.866  -0.507 -0.790  -0.507 -0.636  -0.382 -0.608  -0.378 -0.457  -0.378 -0.303  -0.347 -0.157  -0.278 -0.019  -0.249 0.128  -0.168 0.248  -0.120 0.382  -0.042 0.503  0.067 0.612  0.175 0.721  0.284 0.830  0.393 0.939  0.545 0.942  0.699 0.942  0.833 0.894  0.953 0.813  1.043 0.748  1.106 0.621  1.172 0.494  1.172 0.340  1.172 0.186  1.172 0.033  1.172 -0.121  1.172 -0.275  1.172 -0.429  1.172 -0.583  1.172 -0.737
3#app#app11#app1160/g  0.399 0.851  0.485 0.977  0.407 1.111  0.203 1.090  0.028 1.001  -0.123 0.851  -0.296 0.761  -0.388 0.586  -0.477 0.410  -0.601 0.241  -0.644 0.038  -0.644 -0.175  -0.484 -0.278  -0.296 -0.253  -0.164 -0.146  -0.036 -0.038  0.070 0.069  0.225 0.178  0.138 0.181  0.006 0.023  -0.123 -0.085  -0.259 -0.241  -0.383 -0.352  -0.474 -0.543  -0.600 -0.711  -0.663 -0.905  -0.731 -1.090  -0.731 -1.303  -0.629 -1.423  -0.446 -1.495  -0.234 -1.495  -0.021 -1.495  0.151 -1.395  0.312 -1.300  0.399 -1.174  0.404 -0.961  0.410 -0.749  0.417 -0.536  0.423 -0.323  0.429 -0.111  0.435 0.102  0.442 0.315  0.448 0.527  0.454 0.740  0.460 0.953  0.467 1.165  0.473 1.378  0.479 1.591  0.485 1.803  0.399 1.633
3#app#app11#app1160/d  0.528 1.641  0.443 1.579  0.528 1.517  0.443 1.454  0.443 1.308  0.443 1.161  0.443 1.014  0.443 0.867  0.443 0.721  0.443 0.574  0.443 0.427  0.443 0.281  0.443 0.134  0.443 -0.013  0.443 -0.159  0.443 -0.306  0.443 -0.453  0.528 -0.534  0.528 -0.388  0.528 -0.241  0.528 -0.094  0.528 0.053  0.528 0.199  0.490 0.331  0.443 0.458  0.385 0.546  0.238 0.546  0.092 0.546  -0.047 0.512  -0.171 0.437  -0.287 0.349  -0.414 0.278  -0.505 0.166  -0.568 0.034  -0.617 -0.093  -0.695 -0.215  -0.736 -0.352  -0.751 -0.495  -0.817 -0.626  -0.882 -0.757  -0.905 -0.899  -0.905 -1.045  -0.905 -1.192  -0.874 -1.308  -0.754 -1.374  -0.615 -1.392  -0.470 -1.385  -0.339 -1.320  -0.201 -1.270  -0.062 -1.223
3#app#app11#app1160/a  -0.650 1.222  -0.487 1.222  -0.345 1.173  -0.229 1.058  -0.105 0.964  0.039 0.919  0.167 0.836  0.307 0.779  0.422 0.664  0.508 0.537  0.584 0.450  0.637 0.339  0.739 0.219  0.765 0.067  0.796 -0.065  0.894 -0.131  0.994 -0.194  1.023 -0.060  1.023 0.103  1.023 0.266  0.947 0.397  0.805 0.450  0.678 0.537  0.533 0.578  0.370 0.578  0.207 0.578  0.067 0.523  -0.066 0.450  -0.229 0.450  -0.354 0.359  -0.470 0.244  -0.522 0.103  -0.609 -0.024  -0.724 -0.139  -0.840 -0.254  -0.908 -0.389  -0.908 -0.552  -1.003 -0.676  -1.036 -0.825  -1.021 -0.981  -0.908 -1.097  -0.871 -1.224  -0.708 -1.224  -0.545 -1.224  -0.382 -1.224  -0.219 -1.224  -0.056 -1.224  0.073 -1.143  0.216 -1.095  0.379 -1.095
3#app#app11#app1160/f  0.422 1.556  0.378 1.693  0.268 1.803  0.125 1.835  0.050 1.755  -0.044 1.638  -0.095 1.504  -0.137 1.365  -0.184 1.229  -0.230 1.093  -0.230 0.937  -0.230 0.781  -0.230 0.626  -0.187 0.488  -0.137 0.353  -0.137 0.198  -0.084 0.054  -0.044 -0.092  -0.028 -0.244  0.041 -0.383  0.050 -0.537  0.097 -0.681  0.143 -0.826  0.207 -0.962  0.293 -1.092  0.329 -1.237  0.422 -1.354  0.507 -1.424  0.407 -1.324  0.293 -1.218  0.179 -1.112  0.065 -1.006  -0.049 -0.900  -0.163 -0.794  -0.277 -0.688  -0.391 -0.583  -0.505 -0.477  -0.619 -0.371  -0.733 -0.265  -0.708 -0.214  -0.552 -0.214  -0.397 -0.214  -0.241 -0.214  -0.101 -0.178  0.031 -0.121  0.180 -0.077  0.328 -0.028  0.483 -0.027  0.639 -0.027  0.795 -0.027
3#app#app11#app1160/t  -0.176 1.981  -0.176 1.807  -0.176 1.634  -0.176 1.460  -0.176 1.287  -0.122 1.126  -0.052 0.969  -0.052 0.796  -0.052 0.622  -0.052 0.449  -0.052 0.275  0.010 0.116  0.073 -0.043  0.073 -0.216  0.073 -0.390  0.073 -0.563  0.073 -0.737  0.142 -0.894  0.197 -1.054  0.197 -1.228  0.302 -1.358  0.321 -1.523  0.393 -1.626  0.377 -1.526  0.279 -1.383  0.181 -1.240  0.083 -1.097  -0.016 -0.954  -0.114 -0.811  -0.212 -0.668  -0.311 -0.525  -0.409 -0.383  -0.507 -0.240  -0.606 -0.097  -0.704 0.046  -0.802 0.189  -0.900 0.332  -0.787 0.364  -0.614 0.364  -0.440 0.364  -0.267 0.364  -0.093 0.364  0.080 0.364  0.254 0.364  0.427 0.364  0.555 0.474  0.723 0.488  0.896 0.488  1.069 0.490  1.192 0.613
3#app#app11#app1160/j  -0.205 1.781  -0.205 1.699  -0.205 1.617  -0.205 1.535  -0.205 1.453  -0.205 1.371  -0.205 1.289  -0.205 1.207  -0.178 1.137  -0.120 1.079  -0.102 1.004  -0.102 0.922  -0.091 0.845  -0.033 0.787  0.000 0.719  0.000 0.637  0.000 0.555  0.000 0.473  0.038 0.406  0.096 0.348  0.103 0.269  0.126 0.193  0.163 0.120  0.199 0.046  0.206 -0.034  0.206 -0.116  0.214 -0.197  0.240 -0.275  0.266 -0.352  0.292 -0.430  0.309 -0.509  0.309 -0.591  0.309 -0.673  0.309 -0.755  0.309 -0.837  0.309 -0.919  0.304 -0.996  0.222 -0.996  0.206 -1.062  0.161 -1.099  0.079 -1.099  -0.003 -1.099  -0.085 -1.099  -0.148 -1.145  -0.207 -1.202  -0.289 -1.202  -0.371 -1.202  -0.453 -1.202  -0.535 -1.202  -0.617 -1.202
