2#apa#apa00#app0059/0  0.370 0.994  0.335 1.095  0.269 1.165  0.165 1.196  0.041 1.169  -0.055 1.073  -0.157 0.994  -0.276 0.953  -0.371 0.857  -0.467 0.761  -0.536 0.654  -0.568 0.527  -0.629 0.406  -0.720 0.307  -0.816 0.211  -0.838 0.085  -0.838 -0.050  -0.838 -0.186  -0.838 -0.321  -0.838 -0.456  -0.838 -0.592  -0.788 -0.715  -0.737 -0.839  -0.697 -0.957  -0.601 -1.053  -0.493 -1.119  -0.358 -1.119  -0.222 -1.119  -0.087 -1.119  0.049 -1.119  0.184 -1.119  0.305 -1.083  0.400 -0.988  0.496 -0.892  0.592 -0.796  0.682 -0.696  0.742 -0.575  0.772 -0.447  0.772 -0.312  0.772 -0.177  0.772 -0.041  0.772 0.094  0.772 0.229  0.772 0.365  0.738 0.495  0.695 0.623  0.628 0.736  0.547 0.842  0.486 0.963  0.471 1.095
2#apa#apa00#app0059/1  -0.545 -0.306  -0.545 -0.190  -0.545 -0.074  -0.518 0.030  -0.436 0.112  -0.391 0.209  -0.382 0.321  -0.300 0.403  -0.236 0.493  -0.236 0.608  -0.164 0.694  -0.082 0.776  -0.082 0.892  -0.027 0.985  0.055 1.067  0.073 1.175  0.109 1.276  0.191 1.358  0.227 1.329  0.201 1.239  0.086 1.239  0.073 1.136  0.073 1.021  0.073 0.905  0.073 0.789  0.073 0.673  0.073 0.557  0.073 0.442  0.073 0.326  0.073 0.210  0.073 0.094  0.073 -0.021  0.073 -0.137  0.073 -0.253  0.073 -0.369  0.073 -0.485  0.073 -0.600  0.073 -0.716  0.073 -0.832  0.073 -0.948  0.073 -1.064  0.073 -1.179  0.101 -1.289  0.152 -1.392  0.204 -1.496  0.227 -1.606  0.245 -1.714  0.327 -1.796  0.382 -1.889  0.382 -2.005
2#apa#apa00#app0059/  0.613 1.565  0.564 1.515  0.514 1.465  0.497 1.402  0.497 1.331  0.497 1.261  0.486 1.193  0.454 1.130  0.423 1.067  0.391 1.004  0.380 0.936  0.380 0.866  0.349 0.803  0.317 0.740  0.286 0.677  0.254 0.614  0.223 0.551  0.191 0.488  0.160 0.425  0.129 0.362  0.097 0.299  0.066 0.236  0.034 0.173  0.015 0.105  -0.002 0.037  -0.019 -0.031  -0.036 -0.100  -0.053 -0.168  -0.070 -0.236  -0.088 -0.304  -0.120 -0.367  -0.151 -0.430  -0.183 -0.493  -0.214 -0.556  -0.246 -0.619  -0.277 -0.682  -0.309 -0.745  -0.340 -0.808  -0.372 -0.871  -0.403 -0.934  -0.435 -0.997  -0.436 -1.067  -0.436 -1.138  -0.436 -1.208  -0.468 -1.265  -0.518 -1.315  -0.552 -1.371  -0.552 -1.442  -0.552 -1.512  -0.552 -1.582
2#apa#apa00#app0059/2  -0.473 0.894  -0.551 0.972  -0.583 1.069  -0.519 1.115  -0.473 1.180  -0.409 1.226  -0.317 1.271  -0.234 1.336  -0.123 1.336  -0.013 1.336  0.079 1.318  0.097 1.226  0.190 1.208  0.202 1.103  0.280 1.025  0.300 0.922  0.300 0.812  0.300 0.702  0.300 0.591  0.300 0.481  0.300 0.371  0.300 0.261  0.300 0.150  0.242 0.064  0.190 -0.025  0.174 -0.131  0.124 -0.230  0.079 -0.330  0.079 -0.440  0.079 -0.550  0.073 -0.658  -0.005 -0.736  -0.084 -0.814  -0.142 -0.900  -0.161 -1.002  -0.239 -1.080  -0.345 -1.093  -0.362 -1.185  -0.455 -1.203  -0.408 -1.138  -0.316 -1.093  -0.206 -1.093  -0.095 -1.093  0.015 -1.093  0.125 -1.093  0.222 -1.060  0.300 -0.982  0.411 -0.982  0.521 -0.982  0.631 -0.982
2#apa#apa00#app0059/3  -0.647 1.129  -0.637 1.236  -0.539 1.255  -0.511 1.343  -0.394 1.343  -0.291 1.309  -0.205 1.236  -0.088 1.236  0.029 1.236  0.133 1.206  0.216 1.124  0.298 1.041  0.318 0.933  0.318 0.816  0.318 0.699  0.308 0.593  0.211 0.573  0.184 0.473  0.080 0.420  -0.020 0.362  -0.103 0.279  -0.216 0.271  -0.226 0.164  -0.337 0.152  -0.420 0.069  -0.432 -0.042  -0.324 -0.051  -0.241 -0.134  -0.134 -0.157  -0.045 -0.223  0.055 -0.264  0.104 -0.332  0.181 -0.372  0.272 -0.433  0.318 -0.531  0.362 -0.630  0.425 -0.720  0.425 -0.837  0.425 -0.954  0.425 -1.070  0.425 -1.187  0.350 -1.229  0.258 -1.289  0.211 -1.386  0.152 -1.443  0.035 -1.443  -0.082 -1.443  -0.199 -1.443  -0.315 -1.443  -0.432 -1.443
2#apa#apa00#app0059/  0.200 1.560  0.272 1.560  0.322 1.539  0.322 1.467  0.322 1.396  0.322 1.324  0.322 1.253  0.322 1.181  0.322 1.110  0.307 1.042  0.275 0.978  0.243 0.914  0.210 0.850  0.200 0.780  0.200 0.709  0.200 0.637  0.192 0.568  0.160 0.504  0.128 0.440  0.096 0.376  0.078 0.308  0.078 0.237  0.078 0.165  0.077 0.094  0.045 0.030  0.013 -0.034  -0.019 -0.098  -0.044 -0.164  -0.044 -0.236  -0.044 -0.307  -0.044 -0.379  -0.070 -0.444  -0.102 -0.508  -0.134 -0.572  -0.166 -0.636  -0.166 -0.708  -0.166 -0.779  -0.166 -0.851  -0.185 -0.918  -0.217 -0.982  -0.249 -1.046  -0.281 -1.110  -0.306 -1.177  -0.329 -1.245  -0.351 -1.313  -0.374 -1.381  -0.397 -1.449  -0.431 -1.510  -0.481 -1.560  -0.532 -1.611
2#apa#apa00#app0059/4  -0.071 1.334  0.062 1.253  -0.054 1.086  -0.204 1.011  -0.302 0.837  -0.360 0.647  -0.470 0.478  -0.569 0.304  -0.627 0.113  -0.736 -0.056  -0.837 -0.229  -0.905 -0.394  -1.001 -0.512  -0.934 -0.660  -0.763 -0.554  -0.560 -0.527  -0.345 -0.527  -0.131 -0.527  0.084 -0.527  0.299 -0.527  0.513 -0.527  0.726 -0.526  0.647 -0.326  0.567 -0.127  0.487 0.072  0.407 0.272  0.328 0.471  0.248 0.670  0.168 0.870  0.089 1.069  0.009 1.268  -0.071 1.467  0.062 1.386  0.084 1.180  0.195 1.011  0.195 0.797  0.195 0.582  0.195 0.367  0.195 0.153  0.195 -0.062  0.202 -0.275  0.298 -0.467  0.328 -0.674  0.328 -0.889  0.328 -1.104  0.328 -1.318  0.328 -1.533  0.328 -1.748  0.328 -1.962  0.195 -2.122
2#apa#apa00#app0059/5  -0.352 0.673  -0.235 0.725  -0.340 0.789  -0.352 0.632  -0.352 0.463  -0.352 0.294  -0.352 0.126  -0.235 0.073  -0.164 -0.024  -0.112 -0.141  0.057 -0.141  0.113 -0.253  0.264 -0.291  0.346 -0.426  0.346 -0.595  0.457 -0.717  0.462 -0.884  0.462 -1.053  0.462 -1.221  0.375 -1.303  0.206 -1.303  0.037 -1.303  -0.132 -1.303  -0.281 -1.257  -0.421 -1.187  -0.554 -1.101  -0.673 -0.981  -0.792 -0.862  -0.774 -0.710  -0.721 -0.550  -0.667 -0.390  -0.614 -0.230  -0.561 -0.070  -0.507 0.090  -0.454 0.250  -0.401 0.410  -0.347 0.570  -0.294 0.730  -0.241 0.890  -0.083 0.905  0.086 0.905  0.213 1.005  0.375 1.022  0.544 1.022  0.707 1.034  0.833 1.138  1.002 1.138  1.170 1.138  1.339 1.138  1.508 1.138
2#apa#apa00#app0059/`  -1.205 1.107  -1.128 1.107  -1.051 1.107  -0.974 1.107  -0.930 1.074  -0.930 0.997  -0.930 0.920  -0.930 0.844  -0.872 0.803  -0.803 0.769  -0.734 0.734  -0.665 0.700  -0.597 0.665  -0.528 0.631  -0.459 0.597  -0.390 0.562  -0.334 0.511  -0.280 0.456  -0.225 0.402  -0.171 0.348  -0.116 0.293  -0.078 0.227  -0.044 0.158  -0.010 0.090  0.025 0.021  0.059 -0.048  0.094 -0.117  0.128 -0.185  0.162 -0.254  0.232 -0.266  0.309 -0.266  0.386 -0.266  0.457 -0.280  0.511 -0.334  0.565 -0.389  0.620 -0.443  0.674 -0.497  0.718 -0.556  0.718 -0.633  0.718 -0.710  0.718 -0.787  0.718 -0.864  0.718 -0.941  0.718 -1.018  0.721 -1.093  0.775 -1.148  0.829 -1.202  0.884 -1.256  0.938 -1.311  0.992 -1.365
2#apa#apa00#app0059/i  -0.237 0.690  -0.237 0.561  -0.252 0.438  -0.343 0.347  -0.355 0.223  -0.442 0.130  -0.473 0.013  -0.473 -0.116  -0.473 -0.245  -0.473 -0.374  -0.473 -0.503  -0.473 -0.632  -0.451 -0.752  -0.360 -0.843  -0.355 -0.970  -0.355 -1.100  -0.330 -1.203  -0.201 -1.203  -0.071 -1.203  0.058 -1.203  0.118 -1.135  0.198 -1.085  0.327 -1.085  0.456 -1.085  0.473 -0.974  0.592 -0.963  0.588 -0.834  0.554 -0.710  0.520 -0.585  0.486 -0.460  0.452 -0.336  0.418 -0.211  0.384 -0.087  0.350 0.038  0.316 0.162  0.282 0.287  0.248 0.411  0.214 0.536  0.180 0.661  0.146 0.785  0.112 0.910  0.078 1.034  0.044 1.159  0.010 1.283  -0.024 1.408  -0.058 1.532  -0.092 1.657  -0.138 1.775  -0.229 1.866  -0.237 1.992
2#apa#apa00#app0059/s  0.534 1.407  0.427 1.407  0.406 1.321  0.341 1.279  0.233 1.279  0.133 1.263  0.057 1.187  -0.035 1.151  -0.132 1.126  -0.208 1.050  -0.304 1.022  -0.364 0.975  -0.390 0.894  -0.496 0.890  -0.572 0.815  -0.620 0.728  -0.620 0.620  -0.620 0.513  -0.547 0.436  -0.492 0.352  -0.484 0.253  -0.377 0.253  -0.297 0.186  -0.221 0.110  -0.145 0.034  -0.070 -0.042  0.006 -0.117  0.098 -0.171  0.194 -0.219  0.278 -0.274  0.278 -0.382  0.348 -0.460  0.406 -0.543  0.411 -0.645  0.518 -0.645  0.534 -0.736  0.534 -0.844  0.534 -0.951  0.506 -1.030  0.401 -1.035  0.325 -1.111  0.278 -1.199  0.259 -1.287  0.151 -1.287  0.044 -1.287  -0.063 -1.287  -0.170 -1.287  -0.278 -1.287  -0.364 -1.266  -0.364 -1.158
