3#apa#apa00#app0047/o  0.218 0.581  0.320 0.684  0.338 0.821  0.338 0.966  0.291 1.064  0.218 1.136  0.121 1.184  -0.024 1.184  -0.126 1.081  -0.229 0.979  -0.331 0.876  -0.434 0.774  -0.525 0.663  -0.590 0.534  -0.671 0.416  -0.747 0.302  -0.747 0.157  -0.786 0.021  -0.850 -0.108  -0.867 -0.249  -0.867 -0.394  -0.867 -0.539  -0.867 -0.684  -0.808 -0.805  -0.706 -0.907  -0.626 -1.019  -0.569 -1.107  -0.433 -1.143  -0.303 -1.208  -0.162 -1.228  -0.017 -1.228  0.119 -1.206  0.222 -1.105  0.352 -1.040  0.477 -0.969  0.579 -0.866  0.596 -0.728  0.699 -0.626  0.700 -0.481  0.700 -0.336  0.700 -0.191  0.700 -0.046  0.700 0.099  0.700 0.244  0.700 0.389  0.700 0.534  0.700 0.679  0.700 0.824  0.682 0.961  0.580 1.064
3#apa#apa00#app0047/r  -0.627 1.288  -0.534 1.195  -0.459 1.094  -0.459 0.963  -0.459 0.831  -0.459 0.699  -0.459 0.567  -0.459 0.436  -0.459 0.304  -0.459 0.172  -0.459 0.040  -0.459 -0.091  -0.459 -0.223  -0.459 -0.355  -0.459 -0.487  -0.459 -0.618  -0.459 -0.750  -0.459 -0.882  -0.459 -1.014  -0.380 -1.067  -0.290 -1.109  -0.290 -1.241  -0.290 -1.372  -0.190 -1.404  -0.122 -1.340  -0.122 -1.208  -0.122 -1.076  -0.122 -0.945  -0.122 -0.813  -0.100 -0.686  -0.041 -0.568  0.018 -0.451  0.046 -0.326  0.069 -0.203  0.162 -0.110  0.214 0.000  0.224 0.130  0.283 0.247  0.342 0.365  0.411 0.475  0.504 0.569  0.598 0.662  0.691 0.755  0.784 0.848  0.877 0.941  0.970 1.034  1.067 1.120  1.198 1.120  1.299 1.195  1.392 1.288
3#apa#apa00#app0047/*  -1.208 1.437  -1.208 1.177  -1.038 0.987  -0.927 0.772  -0.827 0.536  -0.666 0.335  -0.491 0.144  -0.375 -0.089  -0.149 -0.212  0.048 -0.378  0.232 -0.563  0.416 -0.747  0.501 -0.972  0.715 -1.084  0.758 -1.142  0.771 -0.882  0.785 -0.622  0.799 -0.362  0.812 -0.102  0.826 0.158  0.840 0.418  0.853 0.678  0.867 0.938  0.881 1.198  0.893 1.417  0.892 1.157  0.753 1.036  0.619 0.816  0.475 0.600  0.390 0.374  0.305 0.149  0.193 -0.065  0.193 -0.325  0.053 -0.528  0.053 -0.788  -0.177 -0.720  -0.422 -0.631  -0.666 -0.542  -0.911 -0.453  -1.156 -0.364  -1.400 -0.275  -1.328 -0.263  -1.118 -0.383  -0.858 -0.383  -0.597 -0.383  -0.387 -0.263  -0.135 -0.243  0.126 -0.243  0.380 -0.220  0.613 -0.103
3#apa#apa00#app0047/Z  -0.895 1.177  -0.880 1.192  -0.704 1.272  -0.495 1.272  -0.286 1.272  -0.077 1.272  0.132 1.272  0.321 1.183  0.508 1.090  0.615 0.983  0.589 0.800  0.488 0.673  0.340 0.525  0.243 0.340  0.098 0.237  -0.022 0.069  -0.103 -0.107  -0.184 -0.282  -0.265 -0.458  -0.329 -0.641  -0.329 -0.850  -0.329 -1.059  -0.242 -1.182  -0.033 -1.182  0.176 -1.182  0.370 -1.116  0.572 -1.088  0.742 -0.993  0.951 -0.993  1.161 -0.993  1.276 -0.899  1.086 -0.811  0.896 -0.724  0.706 -0.636  0.516 -0.548  0.326 -0.461  0.136 -0.373  -0.053 -0.285  -0.243 -0.198  -0.433 -0.110  -0.623 -0.022  -0.813 0.065  -1.003 0.153  -1.162 0.234  -0.956 0.250  -0.766 0.328  -0.556 0.328  -0.355 0.362  -0.160 0.422  0.049 0.422
3#apa#apa00#app0047/A  0.384 1.700  0.267 1.550  0.138 1.337  0.032 1.114  -0.088 0.876  -0.228 0.660  -0.293 0.401  -0.389 0.154  -0.508 -0.085  -0.575 -0.336  -0.694 -0.574  -0.790 -0.819  -0.790 -1.085  -0.790 -1.352  -0.758 -1.324  -0.702 -1.064  -0.645 -0.803  -0.588 -0.542  -0.532 -0.281  -0.475 -0.021  -0.418 0.240  -0.362 0.501  -0.305 0.761  -0.248 1.022  -0.149 1.230  0.032 1.316  0.232 1.264  0.384 1.129  0.496 0.889  0.599 0.663  0.619 0.405  0.727 0.183  0.736 -0.080  0.854 -0.298  0.878 -0.555  1.031 -0.769  1.088 -1.022  1.042 -1.208  0.813 -1.070  0.585 -0.933  0.356 -0.796  0.127 -0.658  -0.102 -0.521  -0.330 -0.384  -0.559 -0.247  -0.538 -0.179  -0.271 -0.179  -0.025 -0.090  0.235 -0.061  0.501 -0.061
3#apa#apa00#app0047/P  -0.247 1.323  -0.247 1.124  -0.247 0.924  -0.247 0.725  -0.247 0.525  -0.247 0.326  -0.247 0.126  -0.247 -0.073  -0.247 -0.272  -0.247 -0.472  -0.171 -0.653  -0.133 -0.844  -0.133 -1.043  -0.093 -1.226  -0.019 -1.395  -0.019 -1.594  -0.019 -1.794  -0.037 -1.749  -0.068 -1.552  -0.098 -1.355  -0.128 -1.158  -0.159 -0.961  -0.189 -0.764  -0.219 -0.567  -0.250 -0.370  -0.280 -0.173  -0.310 0.025  -0.341 0.222  -0.371 0.419  -0.401 0.616  -0.432 0.813  -0.462 1.010  -0.475 1.209  -0.301 1.269  -0.124 1.323  0.076 1.323  0.256 1.276  0.427 1.209  0.571 1.075  0.712 0.934  0.780 0.763  0.780 0.563  0.780 0.364  0.780 0.164  0.780 -0.035  0.666 -0.187  0.553 -0.274  0.374 -0.362  0.181 -0.388  -0.019 -0.388
3#apa#apa00#app0047/*  -1.290 1.442  -1.007 1.442  -0.761 1.352  -0.560 1.152  -0.360 0.951  -0.198 0.723  -0.072 0.470  0.071 0.228  0.175 -0.012  0.297 -0.267  0.379 -0.520  0.476 -0.764  0.615 -0.989  0.619 -1.119  0.636 -0.836  0.653 -0.553  0.669 -0.271  0.686 0.012  0.702 0.295  0.719 0.578  0.736 0.861  0.752 1.143  0.761 1.164  0.675 0.916  0.468 0.805  0.384 0.541  0.220 0.315  0.152 0.054  0.063 -0.215  0.029 -0.493  0.029 -0.776  0.029 -1.059  0.029 -1.343  -0.073 -1.397  -0.284 -1.208  -0.494 -1.018  -0.705 -0.829  -0.915 -0.639  -1.126 -0.450  -1.337 -0.260  -1.288 -0.170  -1.144 -0.031  -0.868 -0.024  -0.620 0.061  -0.362 0.123  -0.079 0.123  0.205 0.123  0.488 0.123  0.771 0.123  1.054 0.123
3#apa#apa00#app0047/,  0.528 1.609  0.528 1.534  0.528 1.459  0.528 1.385  0.528 1.310  0.528 1.236  0.528 1.161  0.528 1.087  0.528 1.012  0.528 0.937  0.486 0.880  0.433 0.828  0.380 0.775  0.328 0.722  0.275 0.669  0.222 0.617  0.185 0.557  0.185 0.483  0.185 0.408  0.185 0.333  0.185 0.259  0.185 0.184  0.185 0.110  0.185 0.035  0.185 -0.039  0.180 -0.112  0.127 -0.165  0.074 -0.217  0.022 -0.270  -0.031 -0.323  -0.084 -0.375  -0.137 -0.428  -0.189 -0.481  -0.242 -0.534  -0.295 -0.586  -0.348 -0.639  -0.400 -0.692  -0.453 -0.745  -0.501 -0.800  -0.501 -0.874  -0.501 -0.949  -0.501 -1.023  -0.501 -1.098  -0.527 -1.162  -0.580 -1.214  -0.633 -1.267  -0.685 -1.320  -0.738 -1.373  -0.791 -1.425  -0.844 -1.478
3#apa#apa00#app0047/*  -1.830 1.181  -1.589 1.181  -1.388 1.087  -1.181 1.008  -0.997 0.870  -0.827 0.700  -0.657 0.530  -0.487 0.360  -0.267 0.313  -0.159 0.098  -0.051 -0.117  0.056 -0.332  0.211 -0.512  0.381 -0.682  0.551 -0.852  0.721 -1.022  0.776 -1.239  0.793 -1.022  0.810 -0.783  0.827 -0.543  0.844 -0.303  0.861 -0.063  0.878 0.176  0.895 0.416  0.912 0.656  0.930 0.895  0.947 1.135  0.950 0.987  0.889 0.772  0.703 0.624  0.488 0.516  0.429 0.313  0.259 0.143  0.089 -0.027  0.042 -0.248  -0.092 -0.433  -0.210 -0.556  -0.266 -0.740  -0.332 -0.864  -0.538 -0.740  -0.744 -0.617  -0.950 -0.493  -1.110 -0.382  -0.869 -0.382  -0.675 -0.270  -0.461 -0.208  -0.220 -0.208  0.020 -0.208  0.208 -0.082  0.429 -0.035
3#apa#apa00#app0047/K  -0.463 1.248  -0.512 1.036  -0.577 0.828  -0.577 0.604  -0.577 0.380  -0.577 0.157  -0.577 -0.067  -0.577 -0.291  -0.577 -0.515  -0.577 -0.738  -0.473 -0.919  -0.463 -1.138  -0.463 -1.362  -0.348 -1.538  -0.299 -1.480  -0.224 -1.269  -0.149 -1.058  -0.073 -0.848  0.002 -0.637  0.077 -0.426  0.152 -0.216  0.228 -0.005  0.303 0.206  0.378 0.417  0.453 0.627  0.529 0.838  0.604 1.049  0.679 1.259  0.754 1.470  0.798 1.498  0.654 1.334  0.569 1.145  0.454 1.036  0.308 0.873  0.150 0.715  -0.010 0.561  -0.234 0.560  -0.343 0.446  -0.567 0.446  -0.508 0.262  -0.430 0.070  -0.272 -0.088  -0.114 -0.247  0.044 -0.405  0.202 -0.563  0.361 -0.721  0.519 -0.879  0.677 -1.038  0.754 -1.229  0.913 -1.388
3#apa#apa00#app0047/A  0.286 1.480  0.143 1.337  -0.010 1.120  -0.171 0.907  -0.410 0.784  -0.601 0.593  -0.737 0.363  -0.875 0.146  -0.875 -0.124  -0.875 -0.394  -0.875 -0.664  -0.875 -0.933  -0.875 -1.203  -0.707 -1.305  -0.623 -1.102  -0.563 -0.838  -0.503 -0.575  -0.443 -0.312  -0.383 -0.049  -0.324 0.214  -0.264 0.477  -0.204 0.740  -0.144 1.003  -0.084 1.266  0.108 1.364  0.234 1.183  0.348 0.945  0.473 0.713  0.581 0.488  0.764 0.292  0.866 0.046  0.953 -0.203  1.022 -0.457  1.098 -0.709  1.214 -0.931  1.214 -1.200  1.082 -1.206  0.866 -1.044  0.650 -0.882  0.434 -0.720  0.219 -0.558  0.003 -0.396  -0.213 -0.235  -0.429 -0.073  -0.640 0.087  -0.486 0.204  -0.216 0.204  0.029 0.100  0.296 0.087  0.518 -0.029
