1b#tos#t3#t3050062/A  0.305 1.352  0.161 1.483  -0.030 1.314  -0.207 1.103  -0.330 0.859  -0.415 0.598  -0.507 0.342  -0.621 0.093  -0.697 -0.170  -0.833 -0.407  -0.924 -0.651  -0.964 -0.913  -1.008 -1.178  -1.039 -1.377  -0.922 -1.128  -0.805 -0.879  -0.689 -0.630  -0.572 -0.381  -0.455 -0.132  -0.338 0.117  -0.222 0.366  -0.105 0.615  0.012 0.864  0.129 1.113  0.245 1.362  0.149 1.308  0.307 1.128  0.480 0.933  0.575 0.688  0.769 0.494  0.815 0.229  0.946 -0.003  1.005 -0.269  1.048 -0.537  1.048 -0.812  1.060 -1.011  0.814 -0.890  0.569 -0.764  0.325 -0.638  0.080 -0.513  -0.164 -0.387  -0.409 -0.261  -0.662 -0.276  -0.515 -0.354  -0.240 -0.354  0.035 -0.354  0.308 -0.339  0.578 -0.311  0.817 -0.223  1.092 -0.223
1b#tos#t3#t3050062/B  -0.193 1.319  -0.373 1.298  -0.442 1.045  -0.442 0.771  -0.470 0.501  -0.483 0.229  -0.498 -0.042  -0.566 -0.303  -0.566 -0.576  -0.566 -0.850  -0.566 -1.124  -0.517 -1.217  -0.488 -0.945  -0.460 -0.673  -0.431 -0.401  -0.402 -0.128  -0.374 0.144  -0.345 0.416  -0.316 0.688  -0.288 0.961  -0.400 1.110  -0.312 1.319  -0.038 1.319  0.230 1.294  0.476 1.191  0.714 1.071  0.799 0.882  0.759 0.618  0.559 0.434  0.326 0.303  0.078 0.203  -0.147 0.084  -0.357 -0.045  -0.345 -0.004  -0.071 -0.004  0.203 -0.004  0.476 -0.004  0.750 -0.004  1.007 -0.046  1.179 -0.226  1.213 -0.491  1.049 -0.706  0.915 -0.898  0.670 -1.020  0.430 -1.148  0.193 -1.245  -0.076 -1.278  -0.349 -1.287  -0.623 -1.287  -0.524 -1.245
1b#tos#t3#t3050062/J  -0.615 0.886  -0.703 0.804  -0.742 0.783  -0.610 0.783  -0.493 0.818  -0.365 0.846  -0.242 0.884  -0.113 0.911  0.016 0.933  0.145 0.955  0.277 0.955  0.389 1.013  0.505 1.058  0.632 1.070  0.754 1.092  0.633 1.054  0.508 1.015  0.382 0.977  0.288 0.920  0.242 0.834  0.242 0.703  0.242 0.571  0.258 0.443  0.277 0.316  0.277 0.185  0.345 0.081  0.345 -0.050  0.345 -0.182  0.345 -0.313  0.345 -0.445  0.345 -0.576  0.345 -0.708  0.345 -0.840  0.345 -0.971  0.277 -1.034  0.208 -1.117  0.139 -1.180  0.038 -1.223  -0.067 -1.264  -0.144 -1.344  -0.276 -1.344  -0.408 -1.344  -0.467 -1.256  -0.539 -1.161  -0.607 -1.051  -0.615 -0.921  -0.672 -0.818  -0.718 -0.715  -0.718 -0.583  -0.718 -0.452
1b#tos#t3#t3050062/K  -0.471 1.679  -0.597 1.601  -0.565 1.385  -0.565 1.162  -0.565 0.939  -0.565 0.716  -0.565 0.493  -0.565 0.270  -0.565 0.047  -0.565 -0.176  -0.565 -0.399  -0.565 -0.622  -0.565 -0.845  -0.565 -1.068  -0.565 -1.291  -0.543 -1.422  -0.440 -1.224  -0.338 -1.026  -0.235 -0.828  -0.133 -0.630  -0.030 -0.432  0.072 -0.234  0.175 -0.036  0.277 0.162  0.380 0.360  0.483 0.558  0.585 0.756  0.688 0.954  0.790 1.152  0.678 1.069  0.484 0.983  0.377 0.797  0.181 0.722  0.023 0.567  -0.143 0.459  -0.294 0.297  -0.441 0.145  -0.568 -0.010  -0.480 -0.057  -0.264 -0.095  -0.083 -0.223  0.133 -0.245  0.301 -0.348  0.466 -0.494  0.631 -0.643  0.815 -0.761  0.967 -0.886  1.174 -0.955  1.277 -1.137  1.453 -1.184
1b#tos#t3#t3050062/L  -0.428 1.380  -0.522 1.380  -0.596 1.400  -0.596 1.334  -0.596 1.240  -0.596 1.147  -0.596 1.053  -0.596 0.959  -0.596 0.866  -0.596 0.772  -0.596 0.678  -0.596 0.585  -0.596 0.491  -0.596 0.398  -0.596 0.304  -0.596 0.210  -0.596 0.117  -0.596 0.023  -0.596 -0.071  -0.596 -0.164  -0.596 -0.258  -0.596 -0.351  -0.596 -0.445  -0.596 -0.539  -0.595 -0.632  -0.502 -0.632  -0.408 -0.632  -0.314 -0.632  -0.225 -0.614  -0.135 -0.599  -0.041 -0.599  0.050 -0.593  0.128 -0.541  0.219 -0.531  0.309 -0.515  0.398 -0.498  0.492 -0.498  0.583 -0.480  0.674 -0.455  0.763 -0.431  0.857 -0.428  0.948 -0.406  1.040 -0.397  1.133 -0.391  1.222 -0.364  1.314 -0.353  1.404 -0.330  1.497 -0.330  1.591 -0.330  1.651 -0.297
1b#tos#t3#t3050062/M  -0.467 0.880  -0.667 0.880  -0.690 0.704  -0.690 0.504  -0.690 0.304  -0.705 0.105  -0.722 -0.093  -0.722 -0.293  -0.722 -0.492  -0.722 -0.692  -0.722 -0.892  -0.722 -1.092  -0.754 -1.279  -0.742 -1.092  -0.729 -0.892  -0.716 -0.693  -0.704 -0.493  -0.691 -0.294  -0.678 -0.094  -0.666 0.105  -0.653 0.304  -0.640 0.504  -0.628 0.703  -0.690 0.648  -0.563 0.538  -0.471 0.404  -0.391 0.250  -0.264 0.108  -0.117 -0.021  0.010 -0.112  0.180 -0.128  0.326 -0.016  0.412 0.136  0.552 0.278  0.656 0.443  0.806 0.572  0.947 0.709  1.036 0.868  1.125 0.982  1.095 0.789  1.093 0.590  1.093 0.390  1.093 0.190  1.093 -0.010  1.093 -0.210  1.093 -0.409  1.116 -0.607  1.143 -0.804  1.188 -0.989  1.188 -1.189
1b#tos#t3#t3050062/N  -0.479 1.079  -0.545 0.943  -0.636 0.793  -0.644 0.594  -0.644 0.393  -0.644 0.192  -0.644 -0.009  -0.644 -0.210  -0.707 -0.399  -0.710 -0.600  -0.743 -0.797  -0.743 -0.998  -0.776 -1.192  -0.769 -1.200  -0.748 -1.000  -0.727 -0.800  -0.706 -0.600  -0.685 -0.399  -0.664 -0.199  -0.643 0.001  -0.622 0.201  -0.600 0.401  -0.579 0.601  -0.697 0.683  -0.562 0.617  -0.391 0.527  -0.248 0.386  -0.127 0.243  0.009 0.109  0.145 -0.033  0.299 -0.161  0.459 -0.281  0.616 -0.398  0.741 -0.554  0.886 -0.688  1.019 -0.829  1.092 -0.900  1.003 -0.768  0.907 -0.639  0.874 -0.451  0.874 -0.250  0.874 -0.049  0.874 0.152  0.907 0.349  0.907 0.551  0.907 0.752  0.950 0.947  0.972 1.146  1.004 1.340  1.005 1.409
1b#tos#t3#t3050062/O  -0.080 0.821  -0.241 0.827  -0.292 0.942  -0.442 0.925  -0.560 0.824  -0.644 0.680  -0.726 0.535  -0.777 0.380  -0.805 0.218  -0.805 0.051  -0.805 -0.116  -0.805 -0.282  -0.805 -0.449  -0.757 -0.596  -0.724 -0.749  -0.643 -0.866  -0.589 -1.020  -0.492 -1.133  -0.391 -1.243  -0.254 -1.313  -0.127 -1.354  0.035 -1.336  0.170 -1.241  0.322 -1.192  0.440 -1.075  0.516 -0.927  0.617 -0.804  0.689 -0.662  0.728 -0.505  0.846 -0.388  0.887 -0.231  0.927 -0.070  0.927 0.096  0.931 0.261  1.008 0.396  0.991 0.556  0.914 0.660  0.847 0.759  0.709 0.810  0.545 0.821  0.459 0.902  0.292 0.902  0.125 0.902  -0.029 0.872  -0.148 0.807  -0.281 0.753  -0.321 0.627  -0.379 0.505  -0.482 0.424  -0.523 0.298
1b#tos#t3#t3050062/R  -0.454 1.057  -0.580 1.094  -0.567 0.881  -0.548 0.668  -0.548 0.453  -0.548 0.238  -0.548 0.023  -0.548 -0.192  -0.548 -0.407  -0.560 -0.620  -0.580 -0.832  -0.570 -1.044  -0.531 -0.986  -0.504 -0.773  -0.477 -0.560  -0.450 -0.347  -0.423 -0.133  -0.396 0.080  -0.369 0.293  -0.342 0.506  -0.315 0.720  -0.362 0.867  -0.422 1.022  -0.241 1.104  -0.045 1.182  0.155 1.231  0.365 1.246  0.493 1.158  0.524 0.975  0.491 0.768  0.381 0.589  0.261 0.410  0.124 0.246  0.011 0.070  -0.138 -0.072  -0.275 -0.205  -0.480 -0.205  -0.312 -0.213  -0.110 -0.268  0.038 -0.417  0.193 -0.520  0.352 -0.655  0.527 -0.775  0.713 -0.867  0.902 -0.962  1.096 -1.037  1.294 -1.118  1.482 -1.214  1.666 -1.246  1.723 -1.214
1b#tos#t3#t3050062/T  -1.064 0.496  -1.120 0.412  -1.238 0.372  -1.228 0.365  -1.117 0.420  -0.994 0.430  -0.870 0.430  -0.779 0.472  -0.656 0.493  -0.533 0.513  -0.409 0.529  -0.288 0.541  -0.180 0.595  -0.059 0.615  0.057 0.661  0.177 0.694  0.301 0.694  0.422 0.717  0.545 0.727  0.670 0.727  0.795 0.727  0.920 0.727  0.917 0.707  0.798 0.669  0.680 0.631  0.561 0.594  0.442 0.556  0.323 0.518  0.202 0.496  0.126 0.405  0.056 0.328  0.056 0.203  0.086 0.082  0.089 -0.042  0.089 -0.167  0.089 -0.291  0.094 -0.416  0.118 -0.538  0.122 -0.662  0.122 -0.787  0.122 -0.912  0.142 -1.034  0.155 -1.157  0.155 -1.282  0.155 -1.407  0.155 -1.531  0.160 -1.655  0.188 -1.773  0.221 -1.884  0.221 -2.009
1b#tos#t3#t3050062/W  -0.993 1.047  -1.141 1.120  -1.204 1.143  -1.157 0.960  -1.095 0.788  -1.029 0.622  -0.979 0.439  -0.908 0.261  -0.885 0.071  -0.861 -0.120  -0.758 -0.274  -0.734 -0.458  -0.704 -0.647  -0.625 -0.817  -0.559 -0.990  -0.523 -1.029  -0.460 -0.876  -0.378 -0.719  -0.371 -0.527  -0.296 -0.350  -0.177 -0.200  -0.161 -0.014  -0.138 0.175  -0.125 0.366  -0.088 0.550  -0.052 0.728  -0.016 0.849  0.086 0.705  0.165 0.536  0.234 0.364  0.310 0.202  0.310 0.009  0.367 -0.174  0.418 -0.358  0.418 -0.551  0.527 -0.699  0.578 -0.860  0.635 -1.031  0.744 -1.018  0.801 -0.844  0.843 -0.659  0.920 -0.482  1.001 -0.308  1.032 -0.118  1.070 0.071  1.109 0.259  1.178 0.439  1.207 0.627  1.214 0.818  1.251 0.975
