1c#apa#apa01#app0127/v  -1.175 0.716  -1.175 0.586  -1.175 0.664  -1.097 0.716  -1.020 0.663  -0.993 0.560  -0.864 0.559  -0.864 0.429  -0.789 0.329  -0.708 0.233  -0.708 0.103  -0.708 -0.027  -0.614 -0.063  -0.552 -0.131  -0.552 -0.261  -0.536 -0.375  -0.406 -0.375  -0.397 -0.495  -0.397 -0.625  -0.327 -0.686  -0.241 -0.730  -0.241 -0.860  -0.241 -0.990  -0.155 -1.084  -0.053 -1.153  0.075 -1.149  0.167 -1.057  0.226 -0.952  0.226 -0.822  0.226 -0.692  0.351 -0.686  0.382 -0.588  0.382 -0.458  0.415 -0.341  0.507 -0.250  0.538 -0.132  0.581 -0.020  0.673 0.072  0.694 0.193  0.694 0.323  0.728 0.439  0.820 0.531  0.849 0.649  0.894 0.760  0.986 0.852  1.005 0.974  1.082 1.027  1.161 1.079  1.161 1.209  1.161 1.339
1c#apa#apa01#app0127/e  -0.487 -0.007  -0.323 -0.007  -0.158 -0.007  0.006 -0.007  0.123 0.106  0.266 0.158  0.431 0.158  0.506 0.247  0.594 0.324  0.672 0.410  0.672 0.575  0.672 0.739  0.672 0.904  0.590 0.986  0.506 1.067  0.427 1.152  0.262 1.152  0.098 1.152  -0.067 1.152  -0.231 1.152  -0.322 1.078  -0.394 0.986  -0.487 0.915  -0.487 0.750  -0.557 0.655  -0.653 0.587  -0.653 0.423  -0.719 0.324  -0.819 0.259  -0.819 0.095  -0.819 -0.070  -0.819 -0.234  -0.819 -0.399  -0.777 -0.546  -0.661 -0.662  -0.544 -0.778  -0.404 -0.836  -0.322 -0.918  -0.240 -1.001  -0.156 -1.081  -0.077 -1.167  0.087 -1.167  0.252 -1.167  0.416 -1.167  0.581 -1.167  0.745 -1.167  0.889 -1.116  1.006 -1.001  1.169 -1.000  1.169 -0.836
1c#apa#apa01#app0127/x  -1.187 0.850  -1.178 0.652  -0.990 0.634  -0.990 0.427  -0.953 0.258  -0.793 0.211  -0.753 0.021  -0.607 -0.125  -0.461 -0.272  -0.315 -0.418  -0.155 -0.532  -0.003 -0.586  0.042 -0.774  0.188 -0.921  0.392 -0.927  0.589 -0.916  0.608 -0.729  0.758 -0.729  0.589 -0.691  0.589 -0.484  0.589 -0.278  0.589 -0.071  0.589 0.136  0.589 0.342  0.589 0.549  0.589 0.756  0.589 0.962  0.589 1.169  0.589 1.376  0.589 1.582  0.589 1.489  0.589 1.282  0.470 1.125  0.392 0.951  0.286 0.850  0.194 0.735  0.194 0.528  0.100 0.361  -0.003 0.197  -0.053 0.011  -0.199 -0.136  -0.200 -0.342  -0.217 -0.532  -0.398 -0.558  -0.398 -0.764  -0.398 -0.971  -0.436 -1.162  -0.582 -1.308  -0.595 -1.509  -0.595 -1.716
1c#apa#apa01#app0127/i  -0.202 0.313  -0.202 0.194  -0.202 0.076  -0.202 -0.043  -0.127 -0.086  -0.009 -0.086  -0.003 -0.199  -0.003 -0.317  -0.003 -0.436  -0.003 -0.554  -0.003 -0.673  -0.003 -0.791  -0.003 -0.910  -0.003 -1.028  0.061 -1.083  0.179 -1.083  0.196 -1.184  0.196 -1.303  0.196 -1.421  0.196 -1.424  0.196 -1.305  0.185 -1.187  0.171 -1.070  0.157 -0.952  0.144 -0.834  0.130 -0.717  0.116 -0.599  0.102 -0.481  0.088 -0.364  0.074 -0.246  0.061 -0.128  0.047 -0.011  0.033 0.107  0.019 0.225  0.005 0.342  -0.009 0.460  -0.022 0.578  -0.036 0.695  -0.050 0.813  -0.064 0.931  -0.078 1.048  -0.092 1.166  -0.106 1.284  -0.119 1.401  -0.133 1.519  -0.147 1.637  -0.161 1.754  -0.175 1.872  -0.189 1.990  -0.202 2.107
1c#apa#apa01#app0127/n  -0.893 0.885  -0.893 0.716  -0.893 0.547  -0.893 0.379  -0.796 0.251  -0.715 0.115  -0.683 -0.040  -0.564 -0.159  -0.536 -0.316  -0.536 -0.485  -0.536 -0.654  -0.536 -0.822  -0.536 -0.991  -0.457 -1.081  -0.357 -1.150  -0.357 -1.201  -0.357 -1.033  -0.357 -0.864  -0.386 -0.724  -0.536 -0.705  -0.536 -0.537  -0.536 -0.368  -0.536 -0.199  -0.536 -0.031  -0.536 0.138  -0.536 0.307  -0.536 0.475  -0.419 0.527  -0.357 0.634  -0.289 0.774  -0.166 0.885  0.002 0.885  0.171 0.885  0.340 0.885  0.508 0.885  0.677 0.885  0.846 0.885  0.894 0.764  1.004 0.706  1.072 0.605  1.072 0.437  1.072 0.268  1.072 0.099  1.072 -0.069  1.072 -0.238  1.072 -0.407  1.103 -0.545  1.251 -0.565  1.251 -0.734  1.251 -0.902
1c#apa#apa01#app0127/g  0.100 0.616  0.160 0.710  0.193 0.831  0.193 0.985  0.089 1.096  -0.031 1.179  -0.185 1.179  -0.339 1.179  -0.457 1.091  -0.566 0.982  -0.651 0.863  -0.651 0.709  -0.651 0.555  -0.623 0.429  -0.557 0.340  -0.463 0.280  -0.348 0.241  -0.193 0.241  -0.039 0.241  0.021 0.335  0.100 0.411  0.223 0.459  0.287 0.586  0.287 0.741  0.287 0.895  0.229 0.804  0.193 0.686  0.278 0.616  0.287 0.471  0.287 0.317  0.343 0.186  0.381 0.047  0.381 -0.107  0.381 -0.261  0.381 -0.415  0.381 -0.569  0.381 -0.724  0.381 -0.878  0.381 -1.032  0.367 -1.180  0.287 -1.302  0.279 -1.447  0.193 -1.516  0.100 -1.577  0.004 -1.635  -0.151 -1.635  -0.305 -1.635  -0.433 -1.572  -0.542 -1.463  -0.651 -1.353
1c#apa#apa01#app0127/d  0.004 -0.591  0.118 -0.469  0.126 -0.241  0.004 -0.056  -0.118 0.058  -0.261 0.163  -0.456 0.263  -0.692 0.263  -0.806 0.141  -0.919 0.019  -0.972 -0.165  -0.972 -0.400  -0.972 -0.636  -0.972 -0.872  -0.850 -0.986  -0.749 -1.180  -0.522 -1.201  -0.286 -1.201  -0.172 -1.079  -0.058 -0.957  0.126 -0.906  0.243 -0.718  0.248 -0.484  0.318 -0.277  0.370 -0.063  0.370 0.173  0.370 0.408  0.370 0.644  0.370 0.880  0.370 1.116  0.370 1.352  0.296 1.557  0.248 1.773  0.248 1.933  0.248 1.697  0.248 1.461  0.239 1.229  0.126 1.040  0.175 0.824  0.248 0.619  0.248 0.383  0.248 0.147  0.248 -0.089  0.248 -0.324  0.340 -0.469  0.370 -0.674  0.492 -0.860  0.492 -1.095  0.614 -1.193  0.614 -0.957
1c#apa#apa01#app0127/a  0.532 0.198  0.532 0.384  0.532 0.569  0.532 0.755  0.414 0.824  0.323 0.918  0.251 1.032  0.065 1.032  -0.121 1.032  -0.306 1.032  -0.492 1.032  -0.678 1.032  -0.720 0.888  -0.841 0.824  -0.928 0.725  -0.928 0.539  -0.982 0.406  -1.137 0.376  -1.137 0.190  -1.137 0.004  -1.137 -0.182  -1.137 -0.368  -1.048 -0.517  -0.917 -0.648  -0.786 -0.780  -0.627 -0.845  -0.511 -0.916  -0.464 -1.054  -0.278 -1.054  -0.093 -1.053  0.039 -0.921  0.170 -0.790  0.302 -0.658  0.479 -0.637  0.532 -0.504  0.532 -0.318  0.532 -0.132  0.532 0.053  0.574 0.198  0.741 0.217  0.741 0.402  0.741 0.224  0.741 0.038  0.877 -0.011  0.949 -0.125  0.949 -0.311  0.949 -0.496  0.949 -0.682  0.949 -0.868  0.949 -1.054
1c#apa#apa01#app0127/f  -0.296 -1.902  -0.155 -1.891  -0.155 -1.740  -0.155 -1.589  -0.155 -1.437  -0.155 -1.286  -0.155 -1.135  -0.155 -0.984  -0.213 -0.857  -0.296 -0.739  -0.296 -0.588  -0.296 -0.437  -0.296 -0.286  -0.296 -0.134  -0.296 0.017  -0.296 0.168  -0.371 0.288  -0.436 0.412  -0.436 0.564  -0.380 0.692  -0.296 0.808  -0.296 0.959  -0.296 1.110  -0.296 1.262  -0.222 1.340  -0.071 1.340  0.080 1.340  0.232 1.340  0.349 1.258  0.476 1.199  0.550 1.121  0.637 1.058  0.644 0.972  0.572 0.839  0.499 0.706  0.427 0.573  0.354 0.441  0.282 0.308  0.209 0.175  0.137 0.042  0.064 -0.091  -0.008 -0.223  -0.080 -0.356  -0.153 -0.489  -0.050 -0.597  0.086 -0.633  0.237 -0.633  0.268 -0.754  0.399 -0.774  0.550 -0.774
1c#apa#apa01#app0127/t  -0.143 1.945  -0.143 1.763  -0.143 1.581  -0.143 1.399  -0.024 1.336  0.061 1.239  0.061 1.057  0.061 0.875  0.061 0.693  0.061 0.511  0.061 0.329  0.183 0.198  0.264 0.049  0.264 -0.133  0.264 -0.315  0.264 -0.497  0.264 -0.678  0.264 -0.860  0.264 -1.042  0.264 -1.224  0.334 -1.377  0.463 -1.506  0.467 -1.686  0.384 -1.582  0.286 -1.429  0.189 -1.275  0.091 -1.122  -0.007 -0.968  -0.104 -0.815  -0.202 -0.661  -0.300 -0.508  -0.397 -0.354  -0.495 -0.201  -0.593 -0.047  -0.690 0.106  -0.788 0.260  -0.886 0.413  -0.903 0.523  -0.752 0.492  -0.743 0.319  -0.561 0.319  -0.379 0.319  -0.197 0.319  -0.015 0.319  0.167 0.319  0.349 0.319  0.531 0.319  0.713 0.319  0.895 0.319  1.077 0.319
1c#apa#apa01#app0127/j  0.046 0.937  0.161 0.911  0.161 0.771  0.161 0.630  0.234 0.519  0.276 0.396  0.276 0.255  0.391 0.229  0.391 0.088  0.391 -0.053  0.391 -0.193  0.391 -0.334  0.391 -0.475  0.391 -0.616  0.391 -0.757  0.391 -0.898  0.378 -1.033  0.279 -1.133  0.254 -1.250  0.161 -1.298  0.087 -1.365  0.046 -1.265  -0.079 -1.250  -0.184 -1.214  -0.246 -1.135  -0.361 -1.073  -0.480 -1.020  -0.529 -0.928  -0.612 -0.822  -0.615 -0.699  -0.570 -0.566  -0.525 -0.432  -0.481 -0.298  -0.436 -0.165  -0.392 -0.031  -0.347 0.102  -0.303 0.236  -0.258 0.370  -0.214 0.503  -0.169 0.637  -0.125 0.771  -0.080 0.904  -0.035 1.038  0.009 1.171  0.054 1.305  0.098 1.439  0.143 1.572  0.187 1.706  0.232 1.840  0.276 1.973
1c#apa#apa01#app0127/i  -0.090 -0.242  -0.022 -0.310  0.047 -0.378  0.060 -0.469  0.060 -0.566  0.060 -0.663  0.060 -0.759  0.060 -0.856  0.060 -0.952  0.060 -1.049  0.060 -1.146  0.060 -1.242  0.060 -1.339  0.060 -1.436  0.060 -1.361  0.059 -1.265  0.054 -1.168  0.050 -1.072  0.045 -0.975  0.041 -0.878  0.036 -0.782  0.031 -0.685  0.027 -0.589  0.022 -0.492  0.018 -0.396  0.013 -0.299  0.008 -0.203  0.004 -0.106  -0.001 -0.010  -0.005 0.087  -0.010 0.183  -0.015 0.280  -0.019 0.376  -0.024 0.473  -0.028 0.570  -0.033 0.666  -0.038 0.763  -0.042 0.859  -0.047 0.956  -0.051 1.052  -0.056 1.149  -0.061 1.245  -0.065 1.342  -0.070 1.438  -0.074 1.535  -0.079 1.631  -0.084 1.728  -0.088 1.825  -0.090 1.813  -0.090 1.716
1c#apa#apa01#app0127/m  -1.045 0.415  -1.045 0.218  -1.045 0.022  -1.045 -0.174  -1.045 -0.371  -1.045 -0.567  -1.045 -0.764  -1.044 -0.958  -0.893 -0.913  -0.893 -0.717  -0.893 -0.520  -0.893 -0.324  -0.893 -0.128  -0.893 0.069  -0.893 0.265  -0.893 0.461  -0.802 0.567  -0.740 0.702  -0.562 0.720  -0.365 0.720  -0.202 0.640  -0.063 0.501  0.023 0.340  0.023 0.144  0.023 -0.053  0.023 -0.249  0.023 -0.445  0.123 -0.601  0.175 -0.775  0.175 -0.640  0.175 -0.444  0.175 -0.248  0.175 -0.051  0.328 -0.007  0.328 0.189  0.415 0.349  0.480 0.518  0.628 0.567  0.785 0.606  0.868 0.720  1.065 0.720  1.211 0.599  1.243 0.416  1.396 0.372  1.396 0.176  1.396 -0.020  1.396 -0.217  1.396 -0.413  1.396 -0.609  1.396 -0.806
