3#apa#apa03#app0319/w  -1.295 0.380  -1.194 0.345  -1.225 0.215  -1.287 0.093  -1.295 -0.041  -1.295 -0.178  -1.295 -0.315  -1.295 -0.451  -1.239 -0.532  -1.194 -0.623  -1.067 -0.633  -0.931 -0.633  -0.822 -0.565  -0.699 -0.532  -0.599 -0.444  -0.503 -0.347  -0.406 -0.251  -0.310 -0.154  -0.282 -0.029  -0.223 0.094  -0.138 0.177  -0.080 0.256  -0.067 0.380  0.022 0.428  -0.037 0.422  -0.080 0.303  -0.080 0.167  -0.080 0.030  -0.080 -0.107  0.022 -0.142  0.067 -0.251  0.189 -0.312  0.322 -0.329  0.458 -0.329  0.595 -0.329  0.731 -0.329  0.828 -0.232  0.960 -0.215  1.082 -0.154  1.136 -0.051  1.242 -0.016  1.303 0.106  1.339 0.234  1.339 0.371  1.339 0.507  1.339 0.644  1.242 0.684  1.237 0.816  1.171 0.886  1.136 0.988
3#apa#apa03#app0319/a  0.275 0.617  0.103 0.617  0.091 0.778  -0.058 0.801  -0.231 0.801  -0.403 0.801  -0.542 0.719  -0.664 0.597  -0.786 0.475  -0.941 0.433  -1.012 0.331  -1.012 0.159  -1.068 0.009  -1.190 -0.113  -1.196 -0.283  -1.196 -0.455  -1.196 -0.628  -1.196 -0.800  -1.112 -0.938  -0.981 -1.038  -0.808 -1.038  -0.636 -1.038  -0.463 -1.038  -0.340 -0.918  -0.218 -0.796  -0.096 -0.674  0.025 -0.552  0.147 -0.430  0.269 -0.308  0.391 -0.186  0.459 -0.042  0.459 0.130  0.459 0.303  0.489 0.463  0.611 0.585  0.643 0.744  0.643 0.917  0.643 0.880  0.643 0.707  0.643 0.535  0.643 0.362  0.702 0.249  0.827 0.201  0.853 0.039  0.975 -0.083  1.011 -0.240  1.121 -0.303  1.264 -0.373  1.390 -0.486  1.562 -0.486
3#apa#apa03#app0319/s  0.346 1.070  0.346 1.176  0.317 1.269  0.243 1.344  0.165 1.412  0.059 1.412  0.004 1.361  0.004 1.255  -0.087 1.241  -0.185 1.222  -0.260 1.147  -0.335 1.073  -0.338 0.968  -0.364 0.873  -0.438 0.798  -0.509 0.721  -0.509 0.616  -0.509 0.510  -0.509 0.404  -0.447 0.324  -0.372 0.249  -0.338 0.158  -0.338 0.052  -0.240 0.044  -0.167 0.011  -0.167 -0.094  -0.115 -0.179  -0.040 -0.254  0.047 -0.298  0.153 -0.298  0.175 -0.382  0.193 -0.469  0.299 -0.469  0.388 -0.511  0.463 -0.585  0.517 -0.669  0.517 -0.774  0.517 -0.880  0.517 -0.986  0.517 -1.092  0.473 -1.153  0.367 -1.153  0.261 -1.153  0.161 -1.167  0.086 -1.242  0.011 -1.317  -0.091 -1.324  -0.188 -1.345  -0.263 -1.420  -0.338 -1.495
3#apa#apa03#app0319/o  0.052 0.587  0.052 0.715  0.052 0.843  0.004 0.951  -0.087 1.041  -0.207 1.060  -0.335 1.060  -0.463 1.060  -0.580 1.049  -0.580 0.921  -0.580 0.793  -0.659 0.745  -0.738 0.695  -0.751 0.573  -0.842 0.482  -0.895 0.377  -0.895 0.249  -0.895 0.121  -0.895 -0.007  -0.895 -0.135  -0.868 -0.257  -0.811 -0.371  -0.754 -0.486  -0.738 -0.610  -0.676 -0.676  -0.548 -0.676  -0.422 -0.678  -0.422 -0.806  -0.322 -0.834  -0.194 -0.834  -0.066 -0.834  0.062 -0.834  0.190 -0.834  0.318 -0.834  0.446 -0.834  0.574 -0.834  0.697 -0.821  0.787 -0.730  0.878 -0.640  0.968 -0.549  0.999 -0.434  1.037 -0.322  1.128 -0.232  1.157 -0.116  1.157 0.012  1.157 0.140  1.157 0.268  1.157 0.396  1.090 0.496  0.999 0.587
3#apa#apa03#app0319/n  -1.083 0.973  -1.083 0.816  -0.945 0.797  -0.907 0.678  -0.907 0.521  -0.907 0.363  -0.907 0.206  -0.907 0.049  -0.907 -0.108  -0.907 -0.265  -0.907 -0.422  -0.907 -0.579  -0.819 -0.700  -0.731 -0.821  -0.717 -0.964  -0.560 -0.964  -0.555 -1.116  -0.555 -1.007  -0.474 -0.883  -0.379 -0.766  -0.377 -0.609  -0.307 -0.469  -0.237 -0.328  -0.203 -0.179  -0.159 -0.040  -0.048 0.071  -0.026 0.219  0.081 0.269  0.150 0.357  0.150 0.515  0.186 0.657  0.297 0.768  0.326 0.913  0.423 0.973  0.557 0.918  0.668 0.806  0.678 0.653  0.678 0.496  0.783 0.445  0.854 0.358  0.921 0.269  1.030 0.220  1.030 0.063  1.038 -0.091  1.149 -0.202  1.206 -0.336  1.206 -0.493  1.244 -0.612  1.382 -0.631  1.382 -0.788
3#apa#apa03#app0319/l  -0.301 1.338  -0.301 1.414  -0.296 1.484  -0.220 1.484  -0.156 1.473  -0.156 1.398  -0.144 1.327  -0.091 1.274  -0.037 1.220  -0.010 1.156  -0.010 1.080  -0.010 1.005  -0.010 0.929  -0.010 0.854  -0.010 0.778  -0.010 0.703  -0.010 0.627  -0.010 0.552  -0.010 0.476  -0.010 0.401  -0.010 0.325  -0.010 0.250  -0.010 0.174  -0.010 0.099  -0.010 0.023  -0.010 -0.052  -0.010 -0.128  -0.010 -0.203  -0.010 -0.279  -0.010 -0.354  -0.010 -0.430  -0.010 -0.505  -0.010 -0.581  -0.010 -0.656  -0.010 -0.732  -0.010 -0.807  0.027 -0.845  0.103 -0.845  0.136 -0.888  0.136 -0.964  0.136 -1.039  0.136 -1.115  0.136 -1.190  0.136 -1.266  0.136 -1.341  0.136 -1.417  0.136 -1.492  0.136 -1.568  0.206 -1.573  0.281 -1.573
3#apa#apa03#app0319/y  -0.922 1.477  -0.922 1.278  -0.922 1.079  -0.966 0.899  -1.029 0.726  -1.029 0.527  -0.972 0.352  -0.906 0.180  -0.745 0.089  -0.546 0.089  -0.391 0.193  -0.300 0.302  -0.175 0.439  -0.120 0.625  -0.010 0.787  0.055 0.959  0.146 1.121  0.202 1.264  0.253 1.115  0.253 0.917  0.253 0.718  0.179 0.549  0.146 0.364  0.146 0.165  0.146 -0.034  0.147 -0.232  0.253 -0.387  0.253 -0.586  0.253 -0.785  0.253 -0.984  0.253 -1.183  0.253 -1.382  0.205 -1.561  0.039 -1.611  -0.062 -1.513  -0.154 -1.406  -0.175 -1.228  -0.175 -1.029  -0.108 -0.846  -0.019 -0.668  0.088 -0.503  0.228 -0.363  0.310 -0.232  0.466 -0.189  0.562 -0.029  0.756 -0.018  0.848 0.089  1.045 0.104  1.233 0.167  1.427 0.196
3#apa#apa03#app0319/t  0.154 1.772  0.280 1.806  0.280 1.967  0.280 1.919  0.280 1.759  0.246 1.612  0.154 1.490  0.154 1.330  0.154 1.169  0.154 1.009  0.144 0.850  0.105 0.695  0.066 0.539  0.028 0.383  0.028 0.223  0.028 0.063  0.028 -0.098  0.028 -0.258  0.028 -0.418  0.028 -0.579  0.028 -0.739  0.028 -0.899  0.028 -1.060  0.028 -1.220  0.154 -1.255  0.199 -1.370  0.359 -1.370  0.405 -1.256  0.300 -1.140  0.187 -1.026  0.074 -0.913  -0.040 -0.800  -0.153 -0.686  -0.266 -0.573  -0.380 -0.459  -0.493 -0.346  -0.607 -0.233  -0.720 -0.119  -0.833 -0.006  -0.726 0.003  -0.682 -0.114  -0.545 -0.169  -0.413 -0.239  -0.253 -0.239  -0.093 -0.239  0.068 -0.239  0.206 -0.187  0.336 -0.114  0.496 -0.114  0.657 -0.114
3#apa#apa03#app0319/o  0.116 1.492  0.025 1.401  -0.065 1.310  -0.156 1.220  -0.247 1.129  -0.282 1.015  -0.289 0.894  -0.418 0.894  -0.482 0.830  -0.482 0.701  -0.568 0.609  -0.659 0.518  -0.681 0.399  -0.699 0.278  -0.790 0.187  -0.880 0.096  -0.880 -0.032  -0.880 -0.160  -0.880 -0.289  -0.799 -0.383  -0.708 -0.474  -0.681 -0.591  -0.667 -0.714  -0.576 -0.805  -0.486 -0.895  -0.395 -0.986  -0.304 -1.077  -0.185 -1.099  -0.057 -1.099  0.072 -1.099  0.175 -1.039  0.266 -0.949  0.374 -0.899  0.502 -0.899  0.515 -0.783  0.547 -0.668  0.637 -0.577  0.728 -0.487  0.819 -0.396  0.910 -0.305  0.913 -0.178  0.913 -0.050  0.913 0.078  0.913 0.207  0.913 0.335  0.913 0.463  0.845 0.563  0.755 0.654  0.714 0.766  0.714 0.894
3#apa#apa03#app0319/o  0.005 1.371  -0.084 1.282  -0.173 1.193  -0.283 1.152  -0.410 1.152  -0.506 1.079  -0.595 0.990  -0.685 0.901  -0.774 0.811  -0.864 0.722  -0.872 0.599  -0.872 0.473  -0.872 0.346  -0.872 0.220  -0.872 0.093  -0.872 -0.033  -0.872 -0.160  -0.872 -0.286  -0.843 -0.384  -0.717 -0.384  -0.653 -0.446  -0.653 -0.572  -0.557 -0.603  -0.433 -0.606  -0.433 -0.732  -0.397 -0.822  -0.270 -0.822  -0.144 -0.822  -0.017 -0.822  0.109 -0.822  0.235 -0.822  0.362 -0.822  0.444 -0.778  0.444 -0.652  0.522 -0.603  0.648 -0.603  0.663 -0.492  0.682 -0.384  0.808 -0.384  0.883 -0.332  0.883 -0.205  0.968 -0.164  1.095 -0.164  1.102 -0.045  1.102 0.081  1.102 0.208  1.102 0.334  1.102 0.460  1.102 0.587  1.102 0.713
3#apa#apa03#app0319/p  -0.290 0.713  -0.290 0.541  -0.290 0.368  -0.290 0.195  -0.290 0.022  -0.290 -0.151  -0.290 -0.324  -0.290 -0.496  -0.290 -0.669  -0.290 -0.842  -0.290 -1.015  -0.290 -1.188  -0.290 -1.361  -0.290 -1.533  -0.303 -1.694  -0.411 -1.629  -0.411 -1.456  -0.411 -1.283  -0.411 -1.110  -0.411 -0.938  -0.411 -0.765  -0.411 -0.592  -0.411 -0.419  -0.411 -0.246  -0.411 -0.073  -0.411 0.099  -0.411 0.272  -0.411 0.445  -0.346 0.603  -0.275 0.760  -0.220 0.924  -0.160 1.084  -0.038 1.207  0.090 1.315  0.263 1.315  0.432 1.311  0.488 1.195  0.629 1.118  0.784 1.074  0.909 0.959  0.988 0.805  1.034 0.643  1.034 0.470  0.995 0.314  0.856 0.232  0.715 0.154  0.593 0.032  0.437 -0.009  0.313 -0.127  0.191 -0.250
