3#apb#apb12#app1244/B  -0.528 0.527  -0.511 0.336  -0.462 0.149  -0.417 -0.040  -0.367 -0.227  -0.311 -0.413  -0.261 -0.574  -0.367 -0.411  -0.472 -0.249  -0.578 -0.086  -0.683 0.076  -0.789 0.239  -0.894 0.401  -1.000 0.564  -1.074 0.739  -1.058 0.930  -0.948 1.030  -0.754 1.035  -0.561 1.041  -0.367 1.047  -0.173 1.053  0.020 1.058  0.214 1.064  0.408 1.070  0.584 1.057  0.584 0.864  0.519 0.687  0.421 0.520  0.301 0.368  0.170 0.226  0.029 0.093  -0.082 0.012  0.111 0.001  0.300 -0.041  0.489 -0.084  0.676 -0.134  0.851 -0.213  1.011 -0.322  1.117 -0.471  1.114 -0.661  1.055 -0.843  0.949 -1.002  0.801 -1.126  0.647 -1.245  0.479 -1.338  0.296 -1.390  0.103 -1.388  -0.088 -1.354  -0.266 -1.281  -0.238 -1.293
3#apb#apb12#app1244/l  -0.797 1.413  -0.725 1.384  -0.685 1.303  -0.680 1.213  -0.677 1.123  -0.675 1.033  -0.672 0.943  -0.669 0.853  -0.666 0.763  -0.663 0.673  -0.661 0.583  -0.658 0.493  -0.655 0.403  -0.652 0.313  -0.649 0.223  -0.646 0.133  -0.644 0.042  -0.641 -0.048  -0.638 -0.138  -0.635 -0.228  -0.632 -0.318  -0.630 -0.408  -0.627 -0.498  -0.577 -0.568  -0.491 -0.576  -0.401 -0.576  -0.312 -0.567  -0.226 -0.541  -0.139 -0.515  -0.053 -0.491  0.037 -0.491  0.127 -0.491  0.218 -0.491  0.305 -0.469  0.392 -0.446  0.479 -0.422  0.567 -0.406  0.657 -0.406  0.747 -0.406  0.837 -0.406  0.927 -0.399  1.016 -0.391  1.106 -0.382  1.194 -0.367  1.280 -0.339  1.362 -0.302  1.437 -0.252  1.513 -0.207  1.601 -0.200  1.676 -0.150
3#apb#apb12#app1244/u  -1.425 0.957  -1.325 0.908  -1.273 0.804  -1.227 0.698  -1.187 0.589  -1.147 0.479  -1.109 0.370  -1.072 0.259  -1.035 0.149  -1.003 0.037  -0.968 -0.073  -0.896 -0.165  -0.825 -0.256  -0.753 -0.348  -0.682 -0.440  -0.611 -0.532  -0.539 -0.623  -0.468 -0.715  -0.396 -0.807  -0.313 -0.875  -0.197 -0.875  -0.081 -0.875  0.034 -0.857  0.147 -0.832  0.257 -0.795  0.360 -0.741  0.463 -0.691  0.578 -0.671  0.660 -0.602  0.737 -0.515  0.766 -0.412  0.764 -0.296  0.761 -0.179  0.759 -0.063  0.756 0.053  0.754 0.169  0.751 0.286  0.749 0.402  0.747 0.518  0.744 0.634  0.742 0.751  0.739 0.867  0.682 0.927  0.713 0.821  0.745 0.709  0.768 0.595  0.791 0.481  0.821 0.369  0.855 0.258  0.888 0.146
3#apb#apb12#app1244/e  -0.602 0.383  -0.540 0.260  -0.466 0.113  -0.430 -0.046  -0.403 -0.209  -0.361 -0.369  -0.319 -0.529  -0.277 -0.689  -0.236 -0.849  -0.194 -1.009  -0.085 -1.117  0.065 -1.188  0.219 -1.248  0.360 -1.320  0.521 -1.282  0.682 -1.248  0.823 -1.166  0.923 -1.036  0.837 -0.938  0.695 -0.854  0.553 -0.769  0.411 -0.684  0.268 -0.599  0.126 -0.515  -0.016 -0.430  -0.158 -0.345  -0.132 -0.246  0.017 -0.175  0.176 -0.127  0.339 -0.134  0.298 -0.053  0.182 0.065  0.066 0.183  -0.050 0.301  -0.166 0.419  -0.282 0.537  -0.398 0.655  -0.514 0.773  -0.630 0.891  -0.746 1.009  -0.771 1.158  -0.616 1.213  -0.456 1.255  -0.296 1.297  -0.136 1.339  0.024 1.381  0.184 1.422  0.344 1.464  0.504 1.506  0.664 1.548
3#apb#apb12#app1244/S  0.168 1.252  0.054 1.252  -0.060 1.250  -0.173 1.241  -0.287 1.233  -0.390 1.189  -0.492 1.138  -0.595 1.088  -0.698 1.040  -0.802 0.993  -0.899 0.935  -0.975 0.873  -0.885 0.803  -0.795 0.733  -0.706 0.662  -0.616 0.592  -0.526 0.522  -0.437 0.452  -0.347 0.382  -0.257 0.311  -0.168 0.241  -0.078 0.171  0.012 0.101  0.101 0.030  0.191 -0.040  0.285 -0.102  0.390 -0.148  0.494 -0.195  0.598 -0.241  0.690 -0.306  0.779 -0.378  0.856 -0.460  0.919 -0.554  0.942 -0.658  0.919 -0.768  0.868 -0.870  0.806 -0.962  0.704 -1.013  0.603 -1.064  0.497 -1.105  0.390 -1.144  0.279 -1.144  0.167 -1.123  0.065 -1.077  -0.031 -1.016  -0.127 -0.955  -0.223 -0.893  -0.319 -0.832  -0.401 -0.753  -0.491 -0.684
3#apb#apb12#app1244/p  -0.789 0.019  -0.703 -0.126  -0.622 -0.274  -0.557 -0.428  -0.511 -0.590  -0.453 -0.747  -0.377 -0.898  -0.311 -1.052  -0.246 -1.208  -0.181 -1.363  -0.145 -1.447  -0.207 -1.291  -0.268 -1.134  -0.329 -0.977  -0.390 -0.820  -0.452 -0.664  -0.513 -0.507  -0.574 -0.350  -0.636 -0.193  -0.697 -0.036  -0.758 0.120  -0.819 0.277  -0.881 0.434  -0.897 0.572  -0.742 0.636  -0.586 0.700  -0.431 0.765  -0.275 0.829  -0.120 0.894  0.036 0.958  0.192 1.022  0.347 1.087  0.507 1.107  0.672 1.074  0.830 1.022  0.972 0.932  1.109 0.835  1.242 0.731  1.339 0.594  1.295 0.438  1.222 0.289  1.109 0.164  0.982 0.057  0.833 -0.021  0.684 -0.100  0.536 -0.180  0.388 -0.259  0.227 -0.296  0.059 -0.307  -0.108 -0.286
3#apb#apb12#app1244/r  -0.919 0.465  -0.814 0.343  -0.718 0.183  -0.646 0.012  -0.591 -0.167  -0.528 -0.343  -0.462 -0.518  -0.395 -0.692  -0.328 -0.867  -0.261 -1.041  -0.246 -1.055  -0.293 -0.874  -0.340 -0.694  -0.387 -0.513  -0.434 -0.332  -0.480 -0.151  -0.527 0.030  -0.574 0.211  -0.621 0.392  -0.668 0.573  -0.715 0.753  -0.762 0.934  -0.699 1.058  -0.528 1.132  -0.368 1.228  -0.191 1.266  -0.005 1.264  0.175 1.215  0.353 1.158  0.526 1.088  0.492 0.928  0.426 0.753  0.359 0.578  0.293 0.404  0.226 0.229  0.160 0.054  0.094 -0.120  0.005 -0.275  -0.010 -0.269  0.172 -0.309  0.359 -0.309  0.500 -0.420  0.634 -0.550  0.774 -0.673  0.931 -0.773  1.093 -0.866  1.252 -0.965  1.402 -1.076  1.562 -1.156  1.724 -1.244
3#apb#apb12#app1244/i  -1.069 1.309  -1.016 1.263  -0.963 1.217  -0.909 1.172  -0.856 1.126  -0.803 1.080  -0.749 1.034  -0.696 0.989  -0.643 0.943  -0.589 0.897  -0.536 0.852  -0.483 0.806  -0.429 0.760  -0.376 0.714  -0.325 0.666  -0.285 0.609  -0.245 0.551  -0.205 0.494  -0.164 0.436  -0.124 0.379  -0.084 0.321  -0.043 0.263  -0.003 0.206  0.036 0.148  0.068 0.085  0.099 0.022  0.131 -0.041  0.162 -0.103  0.193 -0.166  0.225 -0.229  0.255 -0.292  0.284 -0.357  0.312 -0.421  0.341 -0.485  0.369 -0.549  0.398 -0.613  0.426 -0.677  0.455 -0.741  0.497 -0.798  0.539 -0.854  0.582 -0.910  0.615 -0.970  0.626 -1.039  0.638 -1.109  0.650 -1.178  0.661 -1.247  0.695 -1.307  0.737 -1.363  0.780 -1.419  0.822 -1.475
3#apb#apb12#app1244/n  -1.429 0.307  -1.381 0.215  -1.318 0.127  -1.255 0.040  -1.191 -0.048  -1.128 -0.135  -1.065 -0.223  -1.002 -0.310  -0.939 -0.398  -0.876 -0.485  -0.812 -0.573  -0.730 -0.624  -0.671 -0.536  -0.614 -0.445  -0.580 -0.343  -0.554 -0.239  -0.527 -0.134  -0.501 -0.029  -0.470 0.074  -0.438 0.177  -0.407 0.280  -0.365 0.380  -0.321 0.478  -0.276 0.576  -0.208 0.659  -0.138 0.741  -0.055 0.810  0.045 0.835  0.137 0.789  0.218 0.719  0.285 0.635  0.353 0.550  0.418 0.464  0.473 0.372  0.529 0.279  0.594 0.195  0.670 0.118  0.744 0.040  0.804 -0.050  0.864 -0.140  0.934 -0.221  1.010 -0.297  1.087 -0.373  1.168 -0.444  1.249 -0.515  1.342 -0.567  1.444 -0.601  1.541 -0.645  1.628 -0.710  1.714 -0.774
3#apb#apb12#app1244/g  -0.157 0.567  -0.115 0.692  -0.048 0.804  -0.008 0.923  0.074 1.021  0.063 1.101  -0.059 1.053  -0.181 1.004  -0.303 0.955  -0.425 0.906  -0.547 0.858  -0.669 0.809  -0.791 0.760  -0.906 0.704  -0.958 0.583  -0.984 0.456  -0.997 0.325  -0.981 0.196  -0.955 0.067  -0.913 -0.057  -0.869 -0.180  -0.836 -0.307  -0.810 -0.436  -0.738 -0.540  -0.646 -0.634  -0.570 -0.741  -0.478 -0.832  -0.369 -0.905  -0.251 -0.954  -0.120 -0.970  0.011 -0.972  0.136 -0.947  0.250 -0.882  0.345 -0.793  0.431 -0.694  0.496 -0.580  0.540 -0.457  0.556 -0.330  0.519 -0.208  0.502 -0.148  0.605 -0.202  0.736 -0.202  0.863 -0.180  0.984 -0.129  1.115 -0.128  1.246 -0.128  1.377 -0.128  1.508 -0.110  1.625 -0.057  1.705 0.046
3#apb#apb12#app1244/s  -0.128 1.346  -0.220 1.329  -0.312 1.312  -0.404 1.296  -0.493 1.269  -0.576 1.227  -0.657 1.181  -0.730 1.122  -0.794 1.058  -0.819 0.968  -0.845 0.878  -0.848 0.785  -0.830 0.700  -0.758 0.640  -0.686 0.580  -0.614 0.520  -0.542 0.460  -0.470 0.401  -0.399 0.341  -0.327 0.281  -0.255 0.221  -0.183 0.161  -0.111 0.101  -0.039 0.041  0.033 -0.018  0.104 -0.078  0.176 -0.138  0.248 -0.198  0.320 -0.258  0.392 -0.318  0.464 -0.378  0.535 -0.438  0.607 -0.497  0.679 -0.557  0.751 -0.617  0.825 -0.674  0.892 -0.734  0.892 -0.828  0.883 -0.918  0.831 -0.996  0.745 -1.032  0.659 -1.069  0.569 -1.093  0.477 -1.106  0.385 -1.107  0.295 -1.080  0.206 -1.053  0.116 -1.026  0.024 -1.010  -0.068 -0.995
