1c#apa#apa01#app0159/f  -0.182 -1.769  -0.107 -1.769  -0.182 -1.675  -0.195 -1.512  -0.303 -1.388  -0.303 -1.219  -0.303 -1.050  -0.303 -0.882  -0.303 -0.713  -0.425 -0.666  -0.425 -0.498  -0.425 -0.329  -0.425 -0.160  -0.477 -0.013  -0.547 0.127  -0.547 0.295  -0.547 0.464  -0.547 0.632  -0.425 0.679  -0.425 0.848  -0.425 1.017  -0.269 1.029  -0.182 1.111  -0.053 1.150  0.116 1.150  0.284 1.150  0.453 1.150  0.622 1.150  0.790 1.150  0.959 1.150  1.035 1.058  0.940 0.926  0.825 0.802  0.711 0.678  0.596 0.554  0.482 0.430  0.368 0.306  0.253 0.183  0.139 0.059  0.025 -0.065  -0.090 -0.189  -0.204 -0.313  -0.319 -0.437  -0.417 -0.561  -0.295 -0.674  -0.127 -0.674  0.042 -0.674  0.211 -0.674  0.379 -0.674  0.548 -0.674
1c#apa#apa01#app0159/y  -0.920 1.241  -0.812 1.133  -0.755 1.003  -0.695 0.910  -0.589 0.863  -0.589 0.710  -0.567 0.579  -0.424 0.569  -0.424 0.416  -0.424 0.263  -0.286 0.247  -0.258 0.122  -0.145 0.082  -0.092 -0.018  -0.005 -0.084  0.149 -0.084  0.247 -0.021  0.266 0.130  0.285 0.282  0.304 0.434  0.323 0.586  0.342 0.738  0.361 0.890  0.380 1.042  0.399 1.194  0.404 1.135  0.404 0.982  0.404 0.829  0.404 0.676  0.404 0.523  0.404 0.370  0.374 0.247  0.239 0.229  0.239 0.076  0.239 -0.077  0.239 -0.230  0.144 -0.344  0.073 -0.468  0.073 -0.621  0.073 -0.774  0.073 -0.927  0.073 -1.080  0.073 -1.233  0.073 -1.386  -0.019 -1.501  -0.092 -1.624  -0.092 -1.777  -0.092 -1.930  -0.092 -2.083  -0.092 -2.237
1c#apa#apa01#app0159/a  0.013 -0.357  0.213 -0.357  0.242 -0.187  0.383 -0.128  0.472 -0.017  0.472 0.182  0.472 0.382  0.472 0.582  0.472 0.781  0.280 0.789  0.128 0.904  -0.024 1.019  -0.224 1.019  -0.423 1.019  -0.571 0.893  -0.728 0.789  -0.921 0.773  -1.062 0.632  -1.134 0.462  -1.202 0.331  -1.363 0.292  -1.363 0.092  -1.363 -0.107  -1.363 -0.307  -1.363 -0.507  -1.244 -0.587  -1.044 -0.587  -0.844 -0.587  -0.645 -0.587  -0.445 -0.587  -0.245 -0.587  -0.046 -0.587  0.013 -0.446  0.124 -0.357  0.300 -0.300  0.441 -0.158  0.472 0.029  0.472 0.228  0.569 0.331  0.701 0.263  0.701 0.063  0.709 -0.128  0.909 -0.128  0.931 -0.306  1.079 -0.357  1.160 -0.476  1.160 -0.676  1.219 -0.816  1.419 -0.816  1.619 -0.816
1c#apa#apa01#app0159/m  -1.176 0.579  -1.176 0.391  -1.107 0.271  -1.022 0.168  -1.022 -0.020  -1.022 -0.209  -1.022 -0.397  -1.022 -0.585  -0.901 -0.653  -0.867 -0.808  -0.867 -0.927  -0.867 -0.739  -0.867 -0.550  -0.867 -0.362  -0.867 -0.174  -0.867 0.015  -0.867 0.203  -0.747 0.271  -0.713 0.425  -0.580 0.559  -0.400 0.579  -0.223 0.551  -0.090 0.418  0.043 0.285  0.057 0.102  0.057 -0.086  0.057 -0.275  0.057 -0.463  0.057 -0.651  0.189 -0.522  0.213 -0.344  0.346 -0.210  0.365 -0.030  0.365 0.158  0.419 0.325  0.519 0.471  0.600 0.579  0.673 0.694  0.822 0.733  0.981 0.704  1.045 0.579  1.135 0.481  1.229 0.332  1.289 0.168  1.426 0.117  1.443 -0.054  1.443 -0.242  1.443 -0.431  1.443 -0.619  1.443 -0.807
1c#apa#apa01#app0159/e  -0.774 -0.173  -0.607 -0.173  -0.440 -0.173  -0.274 -0.173  -0.145 -0.081  -0.015 0.006  0.121 0.037  0.140 0.185  0.299 0.192  0.299 0.358  0.299 0.525  0.449 0.542  0.478 0.679  0.478 0.846  0.365 0.900  0.299 1.000  0.211 1.079  0.044 1.079  -0.122 1.079  -0.289 1.079  -0.444 1.051  -0.562 0.933  -0.679 0.815  -0.797 0.697  -0.915 0.579  -0.952 0.428  -0.952 0.262  -0.952 0.095  -0.952 -0.072  -0.952 -0.238  -0.952 -0.405  -0.912 -0.531  -0.745 -0.531  -0.595 -0.547  -0.591 -0.709  -0.424 -0.709  -0.257 -0.709  -0.091 -0.709  0.076 -0.709  0.243 -0.709  0.409 -0.709  0.576 -0.709  0.742 -0.709  0.909 -0.709  1.076 -0.709  1.242 -0.709  1.409 -0.709  1.575 -0.709  1.742 -0.709  1.909 -0.709
1c#apa#apa01#app0159/o  -0.498 0.909  -0.633 0.909  -0.769 0.909  -0.881 0.886  -0.881 0.751  -0.881 0.615  -0.881 0.480  -0.881 0.344  -0.881 0.209  -0.881 0.073  -0.881 -0.062  -0.881 -0.198  -0.815 -0.306  -0.719 -0.402  -0.689 -0.525  -0.652 -0.623  -0.516 -0.623  -0.498 -0.740  -0.437 -0.814  -0.306 -0.819  -0.306 -0.954  -0.222 -1.006  -0.087 -1.006  0.049 -1.006  0.184 -1.006  0.320 -1.006  0.455 -1.006  0.460 -0.875  0.535 -0.814  0.652 -0.796  0.652 -0.660  0.721 -0.554  0.817 -0.458  0.843 -0.333  0.843 -0.198  0.843 -0.062  0.843 0.073  0.843 0.209  0.843 0.344  0.843 0.480  0.843 0.615  0.820 0.741  0.724 0.837  0.628 0.933  0.533 1.028  0.427 1.101  0.292 1.101  0.156 1.101  0.021 1.101  -0.115 1.101
1c#apa#apa01#app0159/u  -1.343 0.914  -1.343 0.766  -1.343 0.618  -1.343 0.470  -1.343 0.322  -1.328 0.180  -1.223 0.075  -1.163 -0.048  -1.163 -0.196  -1.163 -0.344  -1.059 -0.449  -0.954 -0.554  -0.850 -0.658  -0.721 -0.705  -0.573 -0.705  -0.430 -0.693  -0.326 -0.588  -0.204 -0.526  -0.083 -0.498  -0.083 -0.350  0.061 -0.346  0.097 -0.234  0.177 -0.166  0.277 -0.118  0.277 0.030  0.277 0.178  0.277 0.326  0.348 0.445  0.452 0.550  0.457 0.696  0.457 0.844  0.457 0.992  0.457 1.048  0.457 0.900  0.457 0.752  0.457 0.604  0.457 0.456  0.457 0.308  0.481 0.170  0.586 0.065  0.637 -0.062  0.668 -0.197  0.773 -0.302  0.877 -0.406  0.982 -0.511  1.124 -0.526  1.272 -0.526  1.356 -0.589  1.388 -0.705  1.536 -0.705
1c#apa#apa01#app0159/r  -0.677 0.686  -0.677 0.538  -0.624 0.412  -0.519 0.307  -0.456 0.185  -0.456 0.037  -0.456 -0.112  -0.456 -0.260  -0.456 -0.408  -0.320 -0.420  -0.235 -0.483  -0.235 -0.632  -0.235 -0.780  -0.235 -0.928  -0.235 -1.076  -0.235 -1.225  -0.167 -1.305  -0.019 -1.305  -0.013 -1.448  -0.013 -1.457  -0.013 -1.308  -0.013 -1.160  -0.064 -1.033  -0.169 -0.928  -0.235 -0.807  -0.235 -0.659  -0.235 -0.511  -0.235 -0.363  -0.235 -0.214  -0.235 -0.066  -0.235 0.082  -0.235 0.230  -0.100 0.244  -0.013 0.306  -0.013 0.454  -0.013 0.602  -0.013 0.750  -0.013 0.898  0.126 0.907  0.208 0.974  0.208 1.122  0.349 1.128  0.498 1.128  0.646 1.128  0.794 1.128  0.942 1.128  1.091 1.128  1.239 1.128  1.387 1.128  1.535 1.128
1c#apa#apa01#app0159/r  -0.607 0.388  -0.607 0.246  -0.577 0.117  -0.477 0.017  -0.376 -0.083  -0.367 -0.221  -0.354 -0.360  -0.290 -0.487  -0.227 -0.614  -0.163 -0.741  -0.084 -0.857  0.016 -0.957  0.114 -1.058  0.114 -1.200  0.114 -1.342  0.114 -1.484  0.114 -1.448  0.114 -1.306  0.114 -1.164  0.081 -1.055  -0.061 -1.055  -0.126 -0.979  -0.126 -0.837  -0.126 -0.695  -0.141 -0.559  -0.241 -0.459  -0.342 -0.359  -0.367 -0.227  -0.367 -0.085  -0.367 0.057  -0.367 0.198  -0.367 0.340  -0.367 0.482  -0.367 0.624  -0.230 0.629  -0.126 0.667  -0.126 0.809  -0.045 0.870  0.097 0.870  0.114 0.994  0.140 1.110  0.282 1.110  0.424 1.110  0.566 1.110  0.675 1.189  0.775 1.290  0.892 1.351  1.034 1.351  1.175 1.351  1.317 1.351
1c#apa#apa01#app0159/i  -0.256 0.002  -0.256 -0.103  -0.256 -0.208  -0.188 -0.286  -0.114 -0.360  -0.039 -0.435  -0.035 -0.538  -0.035 -0.644  0.028 -0.723  0.103 -0.797  0.177 -0.872  0.186 -0.973  0.186 -1.079  0.186 -1.184  0.186 -1.289  0.259 -1.322  0.364 -1.322  0.406 -1.258  0.406 -1.153  0.392 -1.050  0.363 -0.949  0.334 -0.847  0.305 -0.746  0.276 -0.645  0.247 -0.544  0.218 -0.442  0.189 -0.341  0.160 -0.240  0.131 -0.138  0.102 -0.037  0.074 0.064  0.045 0.165  0.016 0.267  -0.013 0.368  -0.042 0.469  -0.071 0.570  -0.100 0.672  -0.129 0.773  -0.158 0.874  -0.187 0.975  -0.216 1.077  -0.245 1.178  -0.274 1.279  -0.303 1.380  -0.332 1.482  -0.360 1.583  -0.389 1.684  -0.418 1.786  -0.447 1.887  -0.476 1.988
1c#apa#apa01#app0159/e  -0.603 -0.014  -0.443 -0.014  -0.393 0.097  -0.332 0.196  -0.184 0.209  -0.184 0.369  -0.060 0.406  0.100 0.406  0.236 0.431  0.236 0.591  0.372 0.616  0.446 0.703  0.472 0.852  0.586 0.965  0.593 1.035  0.433 1.035  0.272 1.035  0.112 1.035  -0.049 1.035  -0.184 1.010  -0.184 0.849  -0.320 0.825  -0.393 0.738  -0.431 0.616  -0.592 0.616  -0.752 0.616  -0.813 0.516  -0.813 0.355  -0.813 0.195  -0.813 0.034  -0.813 -0.126  -0.813 -0.287  -0.799 -0.433  -0.639 -0.433  -0.515 -0.522  -0.401 -0.635  -0.288 -0.749  -0.174 -0.862  -0.061 -0.976  0.063 -1.063  0.224 -1.063  0.384 -1.063  0.545 -1.063  0.705 -1.063  0.866 -1.063  0.979 -1.176  1.100 -1.272  1.260 -1.272  1.381 -1.176  1.494 -1.063
